i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.10909517820973394	0	0.10909517820973394	Slovak
1	og	network.prop	0.07331825229713526	0	0.07331825229713526	Slovak
1	og	mean.edit	-0.039727251166371984	0	-0.039727251166371984	Slovak
2	scr	min.pairs	-0.004112584624142585	0	-0.004112584624142585	Slovak
2	scr	network.prop	0.0121560495689921	0	0.0121560495689921	Slovak
2	scr	mean.edit	0.021048329147905335	0	0.021048329147905335	Slovak
3	scr	min.pairs	0.003589602676962643	0	0.003589602676962643	Slovak
3	scr	network.prop	-0.0204985380273806	0	-0.0204985380273806	Slovak
3	scr	mean.edit	-0.011076794543940395	0	-0.011076794543940395	Slovak
4	scr	min.pairs	-0.024949898669600117	0	-0.024949898669600117	Slovak
4	scr	network.prop	-0.011589182964947176	0	-0.011589182964947176	Slovak
4	scr	mean.edit	0.0014991635011799961	0	0.0014991635011799961	Slovak
5	scr	min.pairs	-0.009458522454081235	0	-0.009458522454081235	Slovak
5	scr	network.prop	-0.0014047288961569365	0	-0.0014047288961569365	Slovak
5	scr	mean.edit	0.00319763222210051	0	0.00319763222210051	Slovak
6	scr	min.pairs	0.011324244129261104	0	0.011324244129261104	Slovak
6	scr	network.prop	0.019786786637859086	0	0.019786786637859086	Slovak
6	scr	mean.edit	-0.011491829196924925	0	-0.011491829196924925	Slovak
7	scr	min.pairs	-0.0014557247912160682	0	-0.0014557247912160682	Slovak
7	scr	network.prop	0.005511981135035162	0	0.005511981135035162	Slovak
7	scr	mean.edit	0.003046796807899711	0	0.003046796807899711	Slovak
8	scr	min.pairs	-0.013649280504705206	0	-0.013649280504705206	Slovak
8	scr	network.prop	-0.013872244696010847	0	-0.013872244696010847	Slovak
8	scr	mean.edit	-0.007116837920132353	0	-0.007116837920132353	Slovak
9	scr	min.pairs	-0.0014255300384269558	0	-0.0014255300384269558	Slovak
9	scr	network.prop	-0.0012106484189417133	0	-0.0012106484189417133	Slovak
9	scr	mean.edit	0.008197197209004107	0	0.008197197209004107	Slovak
10	scr	min.pairs	-0.003752610655896969	0	-0.003752610655896969	Slovak
10	scr	network.prop	-0.0033925963063338666	0	-0.0033925963063338666	Slovak
10	scr	mean.edit	0.022763993274723265	0	0.022763993274723265	Slovak
11	scr	min.pairs	0.009304881641407527	0	0.009304881641407527	Slovak
11	scr	network.prop	0.00828496232536207	0	0.00828496232536207	Slovak
11	scr	mean.edit	0.01134507923368765	0	0.01134507923368765	Slovak
12	scr	min.pairs	-0.002144621192546981	0	-0.002144621192546981	Slovak
12	scr	network.prop	-0.005417596696888894	0	-0.005417596696888894	Slovak
12	scr	mean.edit	-0.00347753770558898	0	-0.00347753770558898	Slovak
13	scr	min.pairs	-0.015141433430018727	0	-0.015141433430018727	Slovak
13	scr	network.prop	-0.012172123290948147	0	-0.012172123290948147	Slovak
13	scr	mean.edit	-0.0010750497126342327	0	-0.0010750497126342327	Slovak
14	scr	min.pairs	0.008117781264651019	0	0.008117781264651019	Slovak
14	scr	network.prop	0.022508610083160824	0	0.022508610083160824	Slovak
14	scr	mean.edit	0.007622862148684293	0	0.007622862148684293	Slovak
15	scr	min.pairs	-0.02703159912597954	0	-0.02703159912597954	Slovak
15	scr	network.prop	-0.0053336391534995675	0	-0.0053336391534995675	Slovak
15	scr	mean.edit	0.013808064816969749	0	0.013808064816969749	Slovak
16	scr	min.pairs	0.002594775157331999	0	0.002594775157331999	Slovak
16	scr	network.prop	-0.0036448152024414733	0	-0.0036448152024414733	Slovak
16	scr	mean.edit	0.005564489166030687	0	0.005564489166030687	Slovak
17	scr	min.pairs	0.02321118089036732	0	0.02321118089036732	Slovak
17	scr	network.prop	0.025456867511885875	0	0.025456867511885875	Slovak
17	scr	mean.edit	-5.760201342226521e-4	0	-5.760201342226521e-4	Slovak
18	scr	min.pairs	-0.010022963334519295	0	-0.010022963334519295	Slovak
18	scr	network.prop	-0.004592781308173699	0	-0.004592781308173699	Slovak
18	scr	mean.edit	-0.006302675763068585	0	-0.006302675763068585	Slovak
19	scr	min.pairs	0.010312033641536862	0	0.010312033641536862	Slovak
19	scr	network.prop	0.007200428478158878	0	0.007200428478158878	Slovak
19	scr	mean.edit	0.003129164856125094	0	0.003129164856125094	Slovak
20	scr	min.pairs	-5.456234551003457e-5	0	-5.456234551003457e-5	Slovak
20	scr	network.prop	0.0031687782799048212	0	0.0031687782799048212	Slovak
20	scr	mean.edit	-0.0139412322525282	0	-0.0139412322525282	Slovak
21	scr	min.pairs	-0.004035034018008402	0	-0.004035034018008402	Slovak
21	scr	network.prop	-0.010935406928982606	0	-0.010935406928982606	Slovak
21	scr	mean.edit	0.001636868513398939	0	0.001636868513398939	Slovak
22	scr	min.pairs	0.008085594755617126	0	0.008085594755617126	Slovak
22	scr	network.prop	-0.0026504114273746293	0	-0.0026504114273746293	Slovak
22	scr	mean.edit	9.77748350697006e-4	0	9.77748350697006e-4	Slovak
23	scr	min.pairs	-0.015100860916273984	0	-0.015100860916273984	Slovak
23	scr	network.prop	-0.014250893654105545	0	-0.014250893654105545	Slovak
23	scr	mean.edit	0.013271051867083328	0	0.013271051867083328	Slovak
24	scr	min.pairs	-0.0044528719843405515	0	-0.0044528719843405515	Slovak
24	scr	network.prop	0.005029734198868445	0	0.005029734198868445	Slovak
24	scr	mean.edit	0.005154379024698219	0	0.005154379024698219	Slovak
25	scr	min.pairs	-0.011503877506870742	0	-0.011503877506870742	Slovak
25	scr	network.prop	-0.010851831230598574	0	-0.010851831230598574	Slovak
25	scr	mean.edit	-0.003575018785121949	0	-0.003575018785121949	Slovak
26	scr	min.pairs	-0.008751203691643152	0	-0.008751203691643152	Slovak
26	scr	network.prop	-0.017283803915658865	0	-0.017283803915658865	Slovak
26	scr	mean.edit	9.79639975033515e-4	0	9.79639975033515e-4	Slovak
27	scr	min.pairs	0.001669324981245785	0	0.001669324981245785	Slovak
27	scr	network.prop	-0.004221732809635472	0	-0.004221732809635472	Slovak
27	scr	mean.edit	0.005350240651340958	0	0.005350240651340958	Slovak
28	scr	min.pairs	-0.015083019421880308	0	-0.015083019421880308	Slovak
28	scr	network.prop	-0.008346967062000742	0	-0.008346967062000742	Slovak
28	scr	mean.edit	0.009050015826719637	0	0.009050015826719637	Slovak
29	scr	min.pairs	-0.01244464425096271	0	-0.01244464425096271	Slovak
29	scr	network.prop	-0.02571207868588083	0	-0.02571207868588083	Slovak
29	scr	mean.edit	7.487857513242355e-4	0	7.487857513242355e-4	Slovak
30	scr	min.pairs	0.001379966587639191	0	0.001379966587639191	Slovak
30	scr	network.prop	0.003456737320850443	0	0.003456737320850443	Slovak
30	scr	mean.edit	0.0028775522884255246	0	0.0028775522884255246	Slovak
31	scr	min.pairs	-0.012884954648160574	0	-0.012884954648160574	Slovak
31	scr	network.prop	-0.01938826651026112	0	-0.01938826651026112	Slovak
31	scr	mean.edit	0.005118285313551855	0	0.005118285313551855	Slovak
32	scr	min.pairs	-0.014875824648695916	0	-0.014875824648695916	Slovak
32	scr	network.prop	-0.01074085996381276	0	-0.01074085996381276	Slovak
32	scr	mean.edit	0.006434922732139998	0	0.006434922732139998	Slovak
33	scr	min.pairs	-0.004471312735356463	0	-0.004471312735356463	Slovak
33	scr	network.prop	-0.005012619675839354	0	-0.005012619675839354	Slovak
33	scr	mean.edit	5.348956443605926e-4	0	5.348956443605926e-4	Slovak
34	scr	min.pairs	-0.019143482739496034	0	-0.019143482739496034	Slovak
34	scr	network.prop	-0.018724478488361233	0	-0.018724478488361233	Slovak
34	scr	mean.edit	0.014380600420275938	0	0.014380600420275938	Slovak
35	scr	min.pairs	-0.004236847904430285	0	-0.004236847904430285	Slovak
35	scr	network.prop	0.0015880231446490662	0	0.0015880231446490662	Slovak
35	scr	mean.edit	0.017515301114133994	0	0.017515301114133994	Slovak
36	scr	min.pairs	0.009991138390784686	0	0.009991138390784686	Slovak
36	scr	network.prop	-0.009651808966514358	0	-0.009651808966514358	Slovak
36	scr	mean.edit	-0.002535415098010236	0	-0.002535415098010236	Slovak
37	scr	min.pairs	-0.004302926287181576	0	-0.004302926287181576	Slovak
37	scr	network.prop	-0.004762515932851354	0	-0.004762515932851354	Slovak
37	scr	mean.edit	0.00642006861196893	0	0.00642006861196893	Slovak
38	scr	min.pairs	-0.0021764894519098856	0	-0.0021764894519098856	Slovak
38	scr	network.prop	-0.0065840418532795144	0	-0.0065840418532795144	Slovak
38	scr	mean.edit	0.002187006302284444	0	0.002187006302284444	Slovak
39	scr	min.pairs	0.001861081381352322	0	0.001861081381352322	Slovak
39	scr	network.prop	0.005869727408998221	0	0.005869727408998221	Slovak
39	scr	mean.edit	-0.0016037119484059825	0	-0.0016037119484059825	Slovak
40	scr	min.pairs	0.0026603635030873728	0	0.0026603635030873728	Slovak
40	scr	network.prop	0.01930757768813019	0	0.01930757768813019	Slovak
40	scr	mean.edit	0.014099351834578692	0	0.014099351834578692	Slovak
41	scr	min.pairs	-0.011421786856078881	0	-0.011421786856078881	Slovak
41	scr	network.prop	0.008941760514784349	0	0.008941760514784349	Slovak
41	scr	mean.edit	0.014732313075348934	0	0.014732313075348934	Slovak
42	scr	min.pairs	-0.005532519335285498	0	-0.005532519335285498	Slovak
42	scr	network.prop	-0.011404983368533258	0	-0.011404983368533258	Slovak
42	scr	mean.edit	0.0019678529005024404	0	0.0019678529005024404	Slovak
43	scr	min.pairs	-0.0011950156301156845	0	-0.0011950156301156845	Slovak
43	scr	network.prop	0.007394592852927659	0	0.007394592852927659	Slovak
43	scr	mean.edit	-0.002019940118783978	0	-0.002019940118783978	Slovak
44	scr	min.pairs	0.007916755161379074	0	0.007916755161379074	Slovak
44	scr	network.prop	-0.002582134776454341	0	-0.002582134776454341	Slovak
44	scr	mean.edit	3.151258965287928e-4	0	3.151258965287928e-4	Slovak
45	scr	min.pairs	0.00847579092044285	0	0.00847579092044285	Slovak
45	scr	network.prop	0.012740675692949224	0	0.012740675692949224	Slovak
45	scr	mean.edit	0.018158534581194104	0	0.018158534581194104	Slovak
46	scr	min.pairs	0.0013561644040467702	0	0.0013561644040467702	Slovak
46	scr	network.prop	0.0029893163679468055	0	0.0029893163679468055	Slovak
46	scr	mean.edit	-0.018113163948353838	0	-0.018113163948353838	Slovak
