word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
sa	sa	30480.50550012372	2	1	0.031170356433967983	5.00368153745572	29	312	336	2.449852507374631	2.5185185185185186	2.449852507374631	-3.429451253278876	341	Slovak
na	na	29212.506736321753	2	2	0.029873659650990494	5.064982204990917	20	305	352	2.4867256637168142	2.5357686453576864	2.4867256637168142	-3.4073176483608765	325	Slovak
to	to	14459.59201550139	2	3	0.014786849155474355	6.079541520167136	27	287	363	2.4926253687315634	2.5584615384615383	2.4926253687315634	-3.040994475206308	314	Slovak
ktorI	ktorI	13610.416998145258	5	4	0.013918455159656137	6.1668570976386965	1	4	130	2.9338235294117645	4.975778546712803	4.97356719367589	-4.615390028761728	5	Slovak
Ze	Ze	12545.777072449047	2	5	0.012829719739646472	6.284366534127985	12	261	404	2.575221238938053	2.607518796992481	2.575221238938053	-2.9670390662585966	273	Slovak
aj	aj	10205.573897009954	2	6	0.010436551847268698	6.582211053972723	18	273	386	2.5398230088495577	2.5857359635811834	2.5398230088495577	-2.8594974489434253	291	Slovak
do	do	9150.711394824377	2	7	0.009357815138593762	6.7396125557788125	27	291	359	2.4867256637168142	2.5523076923076924	2.4867256637168142	-2.802665071833087	318	Slovak
on	on	9102.241312346989	2	8	0.009308248055554476	6.747274627018326	24	294	359	2.4911504424778763	2.549770290964778	2.4911504424778763	-2.799898556157355	318	Slovak
maT	maT	8703.13151300913	3	9	0.008900105391988742	6.811961864583136	8	161	765	2.807486631016043	3.2467082467082466	3.232093663911846	-3.276325128219016	169	Slovak
ako	ako	8553.83777709678	3	10	0.008747432761223884	6.836924614699298	9	138	799	2.832101372756072	3.254507628294036	3.2382920110192837	-3.265540724205486	147	Slovak
si	si	7128.915705042435	2	11	0.007290261098621967	7.099813799473171	26	292	359	2.4882005899705013	2.5514592933947773	2.4882005899705013	-2.6726085432589826	318	Slovak
rok	rok	6135.70207585018	3	12	0.006274568532864755	7.316268028291573	14	168	791	2.795687885010267	3.2157272094641614	3.1921487603305785	-3.0584548458728547	182	Slovak
za	za	5718.744139512142	2	13	0.005848173783815215	7.417798101736439	17	279	381	2.533923303834808	2.577272727272727	2.533923303834808	-2.557795129320548	296	Slovak
po	po	5356.890277145886	2	14	0.005478130253306234	7.512100715302821	24	293	360	2.4926253687315634	2.551301684532925	2.4926253687315634	-2.523745634015874	317	Slovak
bi	bi	5341.691397650191	2	15	0.0054625873847250084	7.516199831147057	24	260	393	2.5412979351032448	2.601837672281776	2.5412979351032448	-2.5222655814445485	284	Slovak
svoj	svoj	5067.243748072896	4	16	0.005181928290677033	7.592295233520854	3	34	303	2.873900293255132	4.258733624454148	4.253633720930233	-3.582368224568632	37	Slovak
pre	pre	5066.467532498335	3	17	0.005181134507380737	7.592516246796498	7	120	818	2.8551797040169133	3.2673130193905817	3.2541322314049586	-2.9391101269411846	127	Slovak
ale	ale	5004.512512368461	3	18	0.005117777288442423	7.610266918029299	6	104	857	2.8770661157024793	3.262975778546713	3.2513774104683195	-2.9314414842958407	110	Slovak
Co	Co	4872.208737230997	2	19	0.004982479144237513	7.648920518447344	18	274	385	2.53834808259587	2.584218512898331	2.53834808259587	-2.474344614589445	292	Slovak
uZ	uZ	4756.723769744835	2	20	0.004864380459840883	7.683528213351815	9	231	437	2.6283185840707963	2.654191616766467	2.6283185840707963	-2.4618489424061294	240	Slovak
ona	ona	4450.564580157093	3	21	0.004551292113423991	7.7795080995724994	9	148	906	2.8411654135338344	3.1664355062413314	3.1508264462809916	-2.8583259313621414	157	Slovak
ja	ja	4327.073985580495	2	22	0.004425006614347226	7.8201046729740655	18	280	379	2.5294985250737465	2.575113808801214	2.5294985250737465	-2.412535786123739	298	Slovak
keJ	keJ	3915.940076659047	3	23	0.004004567705185433	7.964137773175834	6	121	751	2.845278725824801	3.31280276816609	3.3009641873278235	-2.778562244117791	127	Slovak
