i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.06884027326100323	0	0.06884027326100323	Spanish
1	og	network.prop	0.04157911485265193	0	0.04157911485265193	Spanish
1	og	mean.edit	-0.04446681681837502	0	-0.04446681681837502	Spanish
2	scr	min.pairs	0.014879906863838091	0	0.014879906863838091	Spanish
2	scr	network.prop	8.82301460594241e-4	0	8.82301460594241e-4	Spanish
2	scr	mean.edit	-0.0058748922465740525	0	-0.0058748922465740525	Spanish
3	scr	min.pairs	0.023269804066197025	0	0.023269804066197025	Spanish
3	scr	network.prop	6.889017508727503e-4	0	6.889017508727503e-4	Spanish
3	scr	mean.edit	-0.015012152930541157	0	-0.015012152930541157	Spanish
4	scr	min.pairs	0.0014700920383864892	0	0.0014700920383864892	Spanish
4	scr	network.prop	-0.007676686066678193	0	-0.007676686066678193	Spanish
4	scr	mean.edit	0.013986483699306535	0	0.013986483699306535	Spanish
5	scr	min.pairs	-8.665364969473381e-4	0	-8.665364969473381e-4	Spanish
5	scr	network.prop	-0.0012648202308770328	0	-0.0012648202308770328	Spanish
5	scr	mean.edit	-0.011410784891138507	0	-0.011410784891138507	Spanish
6	scr	min.pairs	0.005707885033750428	0	0.005707885033750428	Spanish
6	scr	network.prop	0.019129077422707152	0	0.019129077422707152	Spanish
6	scr	mean.edit	0.005292899146532585	0	0.005292899146532585	Spanish
7	scr	min.pairs	0.014468708624896336	0	0.014468708624896336	Spanish
7	scr	network.prop	0.015237834244193307	0	0.015237834244193307	Spanish
7	scr	mean.edit	-0.005590879143714289	0	-0.005590879143714289	Spanish
8	scr	min.pairs	0.010257209194043989	0	0.010257209194043989	Spanish
8	scr	network.prop	0.0209318090691877	0	0.0209318090691877	Spanish
8	scr	mean.edit	0.01518418301743235	0	0.01518418301743235	Spanish
9	scr	min.pairs	-0.010162712256029587	0	-0.010162712256029587	Spanish
9	scr	network.prop	5.92150903087237e-4	0	5.92150903087237e-4	Spanish
9	scr	mean.edit	0.005900994275148906	0	0.005900994275148906	Spanish
10	scr	min.pairs	0.0037799853236611066	0	0.0037799853236611066	Spanish
10	scr	network.prop	0.0038096266549992913	0	0.0038096266549992913	Spanish
10	scr	mean.edit	0.0037178537669173223	0	0.0037178537669173223	Spanish
11	scr	min.pairs	-0.004360201452624073	0	-0.004360201452624073	Spanish
11	scr	network.prop	-0.01532377285655865	0	-0.01532377285655865	Spanish
11	scr	mean.edit	-0.024207684812094742	0	-0.024207684812094742	Spanish
12	scr	min.pairs	-0.026708192734839882	0	-0.026708192734839882	Spanish
12	scr	network.prop	-0.024113297579376157	0	-0.024113297579376157	Spanish
12	scr	mean.edit	0.009860474263309852	0	0.009860474263309852	Spanish
13	scr	min.pairs	-0.021078099151967383	0	-0.021078099151967383	Spanish
13	scr	network.prop	-0.004347419808303567	0	-0.004347419808303567	Spanish
13	scr	mean.edit	-0.004851721011975334	0	-0.004851721011975334	Spanish
14	scr	min.pairs	0.005739933431201388	0	0.005739933431201388	Spanish
14	scr	network.prop	-0.002241836186363937	0	-0.002241836186363937	Spanish
