word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
deTir	deTir	11813.095280214613	5	1	0.012038285098738838	6.376226300647037	0	18	174	2.8911917098445596	4.728315896051299	4.72672064777328	-3.2268066104280804	18	Spanish
aNo	aNo	7520.162499519906	3	2	0.007663517309446471	7.027777589610721	9	96	373	2.755741127348643	3.1529235382308847	3.119645494830133	-2.3397782112182104	105	Spanish
presidente	presidente	7252.186876213754	10	3	0.0073904333398051875	7.080125325045884	0	2	7	2.5	8.58377659574468	8.580923894981721	-3.9081519519545713	2	Spanish
mas	mas	6909.7423969145875	3	4	0.007041460934647576	7.149909500045383	8	61	294	2.78021978021978	3.377245508982036	3.344165435745938	-2.3015740351856966	69	Spanish
tener	tener	6851.7086559891395	5	5	0.006982320912321928	7.16207761898084	5	32	242	2.8392857142857144	4.651453684922245	4.6437246963562755	-2.939117381081101	37	Spanish
pero	pero	5779.2637913540075	4	6	0.0058894323232677685	7.407655703895945	10	106	429	2.7637362637362637	3.815947242206235	3.796902918403812	-3.033013716870965	116	Spanish
gobierno	gobierno	5469.241770444075	8	7	0.005573500436994764	7.487200587812201	0	1	8	2.6	7.059604089623668	7.0580687255328405	-3.2530586471930887	1	Spanish
aTer	aTer	5456.060883839622	4	8	0.005560068286738233	7.490681682948263	9	39	329	2.8412698412698414	3.951467944877172	3.9332936271590233	-3.0012230873309678	48	Spanish
oj	oj	4916.880635341438	2	9	0.005010609791986122	7.640798094347452	3	45	78	2.574803149606299	2.6341463414634148	2.574803149606299	-2.214064431116751	48	Spanish
pasar	pasar	4802.679920205814	5	10	0.004894232099715656	7.674701764534353	15	105	463	2.7636986301369864	4.41010854816825	4.39136302294197	-2.751452816629354	120	Spanish
partido	partido	4767.198739327029	7	11	0.0048580745507475955	7.685399655295844	1	7	68	2.844155844155844	6.108113894241062	6.105713674299166	-3.1131138903750073	8	Spanish
dolar	dolar	3794.8781597312814	5	12	0.0038672188887138637	8.014487859852224	12	73	375	2.7830802603036875	4.5350728566587595	4.519230769230769	-2.627061856629341	85	Spanish
ministro	ministro	3499.65783301305	8	13	0.003566370857298313	8.131327551927496	0	2	6	2.4444444444444446	6.9480095714596475	6.946498477598956	-2.9971582321967305	2	Spanish
estado	estado	3436.452643754754	6	14	0.0035019608047284763	8.157621347989503	3	20	116	2.7928571428571427	5.353728015853356	5.349170997277901	-2.9228172152202734	23	Spanish
dar	dar	3323.254685064157	3	15	0.0033866049841760914	8.20594456491149	5	76	291	2.7613941018766757	3.339791356184799	3.317577548005908	-1.9712349012847732	81	Spanish
grupo	grupo	3118.074319136257	5	16	0.0031775133208048006	8.297886111337835	0	15	93	2.834862385321101	4.887951400607492	4.886302294197031	-2.5233137013917295	15	Spanish
tambien	tambien	3113.558761811478	7	17	0.003172911684640362	8.299976919065085	0	0	9	2.7	6.506635273972603	6.505242884656537	-2.8727182459910363	0	Spanish
parte	parte	2930.571477204666	5	18	0.0029864361632560253	8.387359400966648	4	30	228	2.844106463878327	4.704967894558973	4.698380566801619	-2.490558775440815	34	Spanish
persona	persona	2844.902020920022	7	19	0.0028991336134547214	8.430162459704835	1	2	21	2.72	6.195889531149647	6.193451744061631	-2.8217953779050484	3	Spanish
dia	dia	2692.142482483138	3	20	0.002743462061534287	8.509786659287977	2	75	346	2.806603773584906	3.264094955489614	3.2525849335302808	-1.876189824053652	77	Spanish
punto	punto	2673.9288937206193	5	21	0.002724901272088898	8.519580325175472	2	42	275	2.846875	4.65450861195542	4.650472334682861	-2.4421545354761447	44	Spanish
Tiudad	Tiudad	2615.1005156123188	6	22	0.0026649514646281676	8.5516750264911	0	2	25	2.8214285714285716	5.6745049504950495	5.6731007176441475	-2.7679859159765385	2	Spanish
semana	semana	2558.8641683147507	6	23	0.0026076430991556834	8.583037859231508	1	5	81	2.8863636363636362	5.3968804159445405	5.394456817619401	-2.7556628533937295	6	Spanish
martes	martes	2546.8752374845744	6	24	0.0025954256266017754	8.589813137587372	0	8	58	2.8358208955223883	5.576980198019802	5.5756000989854	-2.7530007157008005	8	Spanish
donde	donde	2514.8942441969252	5	25	0.00256283498834777	8.60804369294487	2	13	126	2.859154929577465	4.938534278959811	4.934210526315789	-2.4097693278608205	15	Spanish
lunes	lunes	2509.9246084819447	5	26	0.002557770617820427	8.610897396271863	0	6	67	2.8783783783783785	4.981775227809653	4.980094466936572	-2.4087246267936155	6	Spanish
biernes	biernes	2477.1300580785182	7	27	0.0025243509138328847	8.629871809184433	0	1	9	2.6363636363636362	6.535316780821918	6.533918253798417	-2.743677848038734	1	Spanish
xuebes	xuebes	2476.7327394870917	6	28	0.002523946021265343	8.63010322841672	0	2	19	2.772727272727273	5.875742574257425	5.87428854243999	-2.7371699610343883	2	Spanish
informar	informar	2454.060353198569	8	29	0.002500841437450878	8.643370696417561	1	6	23	2.6451612903225805	6.943646649260226	6.940843845150066	-2.7937324163701565	7	Spanish
ir	ir	2414.5933731169066	2	30	0.002460622109075101	8.666761172263989	4	45	77	2.559055118110236	2.6311475409836067	2.559055118110236	-1.9244144267799077	49	Spanish
ultimo	ultimo	2403.928837591485	6	31	0.002449754278412998	8.673147237105043	0	4	42	2.851063829787234	5.6180693069306935	5.616679039841624	-2.720257138864541	4	Spanish
ekipo	ekipo	2345.340111966902	5	32	0.0023900486918660233	8.708744274490343	0	10	155	2.9216867469879517	4.7775902801214984	4.775978407557355	-2.372904246612329	10	Spanish
mes	mes	2296.1987395162287	3	33	0.0023399705508139208	8.739293911461127	3	50	254	2.8084415584415585	3.473997028231798	3.4579025110782866	-1.8043974854948261	53	Spanish
Legar	Legar	2293.4364293091708	5	34	0.0023371555834395853	8.741030507757658	9	56	315	2.797900262467192	4.575490859851049	4.5630904183535765	-2.3610847060065	65	Spanish
mierkoles	mierkoles	2287.640623189796	9	35	0.0023312492934464022	8.744680996545268	0	0	0	0	8.28265794110244	8.28057372924006	-2.9262830460390075	0	Spanish
ganar	ganar	2231.158316764202	5	36	0.0022736902801940117	8.78074853951734	4	92	466	2.8170515097690942	4.417370733355863	4.411268556005398	-2.346544487416107	96	Spanish
domingo	domingo	2226.674292660964	7	37	0.00226912077836033	8.783650883362673	2	1	17	2.619047619047619	6.33661670235546	6.33297667451316	-2.683526225437008	3	Spanish
akuerdo	akuerdo	2224.2147013807075	7	38	0.002266614300561265	8.78524536954671	1	9	29	2.65	6.1731963177049884	6.170768243098652	-2.6829025324430273	10	Spanish
indikar	indikar	2166.8116248860943	7	39	0.002208116964850762	8.82296769038077	2	11	48	2.7096774193548385	6.050963597430407	6.047506954846994	-2.668147216620007	13	Spanish
polikia	polikia	2129.1735716538537	7	40	0.0021697614276589053	8.848247862294151	0	3	22	2.769230769230769	6.271618150684931	6.270276053926813	-2.658258723218896	3	Spanish
autoridad	autoridad	2045.5348548364993	9	41	0.0020845283287583686	8.906063306144233	0	3	6	2.4	7.735212685627989	7.733266230498239	-2.859684294425348	3	Spanish
prensa	prensa	2036.7496993149662	6	42	0.0020755757042093983	8.912272731137502	3	10	86	2.81	5.505573445627942	5.500866122246968	-2.6263001148770195	13	Spanish
anunTiar	anunTiar	2021.24166096073	8	43	0.002059772040342981	8.923299604760766	1	4	17	2.608695652173913	6.648172323759791	6.64549804262723	-2.6825215405564222	5	Spanish
fuerTa	fuerTa	2012.8222908090813	6	44	0.002051192174030795	8.929321621935863	1	10	61	2.7945205479452055	5.565734092597178	5.563226924028705	-2.619601276477611	11	Spanish
antes	antes	2010.1293536894152	5	45	0.0020484479021841253	8.931253083186991	1	8	97	2.878504672897196	4.87305874409183	4.8701079622132255	-2.2914468688572374	9	Spanish
seguridad	seguridad	1925.9608787501593	9	46	0.0019626749465268666	8.992963027734215	0	1	7	2.5555555555555554	7.761892776239617	7.759939607448414	-2.823822786507603	1	Spanish
segir	segir	1906.5868674349044	5	47	0.001942931613709611	9.007549162070426	0	31	173	2.8341463414634145	4.7158285521430985	4.714237516869096	-2.263515936346098	31	Spanish
paT	paT	1906.530107636129	3	48	0.0019428737719142477	9.007592112276651	5	55	293	2.8079096045197742	3.3994038748137108	3.3766617429837518	-1.7204709207118534	60	Spanish
ora	ora	1895.253827612797	3	49	0.0019313825352354544	9.016150347701384	11	91	356	2.747276688453159	3.1909774436090226	3.1506646971935006	-1.7177938125627175	102	Spanish
RealiTar	RealiTar	1863.424193788548	8	50	0.0018989461417690835	9.040585296554628	1	10	51	2.761904761904762	6.547650130548303	6.545019573727708	-2.635925979626276	11	Spanish
beT	beT	1775.5411053516734	3	51	0.0018093877619486207	9.110282665927711	3	47	256	2.817589576547231	3.4799405646359585	3.463810930576071	-1.6883482103194685	50	Spanish
bisitar	bisitar	1741.0626809179169	7	52	0.0017742520846986405	9.13857328319246	0	14	66	2.7901234567901234	5.9184503424657535	5.917183821955917	-2.544696164444997	14	Spanish
afirmar	afirmar	1717.3686182514414	7	53	0.0017501063485676413	9.158341691810564	1	10	64	2.8026315789473686	6.028473560265468	6.026107425636636	-2.5369636308672834	11	Spanish
deklarar	deklarar	1700.037959692092	8	54	0.0017324453203834552	9.172974466069594	0	9	39	2.7551020408163267	6.673700239286491	6.672248803827751	-2.5833300702678863	9	Spanish
ReTibir	ReTibir	1699.4766683486487	7	55	0.001731873329295976	9.17345087069416	1	7	43	2.769230769230769	6.202098051809035	6.199657607532634	-2.5310535834119676	8	Spanish
sabado	sabado	1690.0293151747385	6	56	0.0017222458838011031	9.181493154693516	0	14	136	2.8874172185430464	5.370544554455446	5.369215540707746	-2.5205182119631067	14	Spanish
pedir	pedir	1676.3943501800832	5	57	0.001708350999181667	9.193179861955398	1	37	200	2.8242677824267783	4.665766374071573	4.662955465587045	-2.195559120919132	38	Spanish
enkontrar	enkontrar	1670.0246394286482	9	58	0.001701859864368702	9.19867203806349	0	2	9	2.5833333333333335	7.472942360936321	7.471061902365375	-2.738931429346737	2	Spanish
mismo	mismo	1663.163010421162	5	59	0.0016948674339959237	9.204611848938217	0	21	179	2.8805970149253732	4.780627742153223	4.779014844804318	-2.1913740296069926	21	Spanish
tratar	tratar	1631.5730290806305	6	60	0.0016626752614433082	9.232277862551513	7	32	226	2.8157894736842106	5.187949417307215	5.179411036872061	-2.5005639196208382	39	Spanish
kapital	kapital	1631.1000307575043	7	61	0.0016621932464819496	9.232696165168655	1	4	39	2.8	6.0969813744380215	6.09458591910978	-2.5078794252035017	5	Spanish
