i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.23579871591713564	0	0.23579871591713564	Swahili
1	og	network.prop	0.0804924863219845	0	0.0804924863219845	Swahili
1	og	mean.edit	-0.16430927848146956	0	-0.16430927848146956	Swahili
2	scr	min.pairs	-0.01603393567509295	0	-0.01603393567509295	Swahili
2	scr	network.prop	-0.020708152104413548	0	-0.020708152104413548	Swahili
2	scr	mean.edit	-0.004169814506460487	0	-0.004169814506460487	Swahili
3	scr	min.pairs	0.008124256204087464	0	0.008124256204087464	Swahili
3	scr	network.prop	0.0027916664096258224	0	0.0027916664096258224	Swahili
3	scr	mean.edit	-0.003819163948625848	0	-0.003819163948625848	Swahili
4	scr	min.pairs	-0.008791383266072223	0	-0.008791383266072223	Swahili
4	scr	network.prop	0.005701977235401117	0	0.005701977235401117	Swahili
4	scr	mean.edit	0.015928868954005786	0	0.015928868954005786	Swahili
5	scr	min.pairs	-0.01618864352070343	0	-0.01618864352070343	Swahili
5	scr	network.prop	-0.010167204780313636	0	-0.010167204780313636	Swahili
5	scr	mean.edit	0.003978411299333778	0	0.003978411299333778	Swahili
6	scr	min.pairs	-8.635340439328861e-4	0	-8.635340439328861e-4	Swahili
6	scr	network.prop	-0.012514841034413091	0	-0.012514841034413091	Swahili
6	scr	mean.edit	-0.00531309815821625	0	-0.00531309815821625	Swahili
7	scr	min.pairs	0.0028914708457059993	0	0.0028914708457059993	Swahili
7	scr	network.prop	0.011521898421787018	0	0.011521898421787018	Swahili
7	scr	mean.edit	-8.411216537797198e-4	0	-8.411216537797198e-4	Swahili
8	scr	min.pairs	0.0024459298465838585	0	0.0024459298465838585	Swahili
8	scr	network.prop	-5.670938670992932e-4	0	-5.670938670992932e-4	Swahili
8	scr	mean.edit	0.006488948804093184	0	0.006488948804093184	Swahili
9	scr	min.pairs	-0.0038903702854235942	0	-0.0038903702854235942	Swahili
9	scr	network.prop	-0.017116734139087042	0	-0.017116734139087042	Swahili
9	scr	mean.edit	-0.01797255094701845	0	-0.01797255094701845	Swahili
10	scr	min.pairs	-0.009254740511138651	0	-0.009254740511138651	Swahili
10	scr	network.prop	-0.008103187878307114	0	-0.008103187878307114	Swahili
10	scr	mean.edit	0.0041306438413540505	0	0.0041306438413540505	Swahili
11	scr	min.pairs	-0.015330782471762708	0	-0.015330782471762708	Swahili
11	scr	network.prop	0.012793504417887916	0	0.012793504417887916	Swahili
11	scr	mean.edit	0.02617113526340323	0	0.02617113526340323	Swahili
12	scr	min.pairs	-5.46660328840086e-4	0	-5.46660328840086e-4	Swahili
12	scr	network.prop	0.012022876391879848	0	0.012022876391879848	Swahili
12	scr	mean.edit	8.286573058842612e-4	0	8.286573058842612e-4	Swahili
13	scr	min.pairs	0.00633279747745141	0	0.00633279747745141	Swahili
13	scr	network.prop	-0.007570166880592233	0	-0.007570166880592233	Swahili
13	scr	mean.edit	0.0015991249736003446	0	0.0015991249736003446	Swahili
14	scr	min.pairs	0.004923593467477301	0	0.004923593467477301	Swahili
14	scr	network.prop	0.00687520716523945	0	0.00687520716523945	Swahili
14	scr	mean.edit	0.006004432193909087	0	0.006004432193909087	Swahili
15	scr	min.pairs	0.006550018106816091	0	0.006550018106816091	Swahili
15	scr	network.prop	0.006691340341990037	0	0.006691340341990037	Swahili
15	scr	mean.edit	-0.012886948797585703	0	-0.012886948797585703	Swahili
16	scr	min.pairs	-0.004557301976576242	0	-0.004557301976576242	Swahili
16	scr	network.prop	-0.003023069201126266	0	-0.003023069201126266	Swahili
16	scr	mean.edit	0.02497534727381156	0	0.02497534727381156	Swahili
17	scr	min.pairs	0.005066833515708977	0	0.005066833515708977	Swahili
17	scr	network.prop	-0.001440162086910296	0	-0.001440162086910296	Swahili
17	scr	mean.edit	-0.014825987179822234	0	-0.014825987179822234	Swahili
18	scr	min.pairs	0.002207802560285779	0	0.002207802560285779	Swahili
18	scr	network.prop	-0.01535638880801736	0	-0.01535638880801736	Swahili
18	scr	mean.edit	0.007128480201942779	0	0.007128480201942779	Swahili
19	scr	min.pairs	-0.008230911322596384	0	-0.008230911322596384	Swahili
19	scr	network.prop	-0.009432219770278652	0	-0.009432219770278652	Swahili
19	scr	mean.edit	-0.013268283419312429	0	-0.013268283419312429	Swahili
20	scr	min.pairs	0.001052603651620368	0	0.001052603651620368	Swahili
20	scr	network.prop	0.006085935222776847	0	0.006085935222776847	Swahili
20	scr	mean.edit	0.009569028690007973	0	0.009569028690007973	Swahili
21	scr	min.pairs	0.0012244511129726684	0	0.0012244511129726684	Swahili
21	scr	network.prop	-0.005274504597866985	0	-0.005274504597866985	Swahili
21	scr	mean.edit	-0.014538317467471779	0	-0.014538317467471779	Swahili
22	scr	min.pairs	0.008378867221199307	0	0.008378867221199307	Swahili
22	scr	network.prop	0.012721288246716455	0	0.012721288246716455	Swahili
22	scr	mean.edit	-0.00288439398947205	0	-0.00288439398947205	Swahili
23	scr	min.pairs	0.013457289049184735	0	0.013457289049184735	Swahili
23	scr	network.prop	0.003154324838884121	0	0.003154324838884121	Swahili
23	scr	mean.edit	-1.918813313870229e-4	0	-1.918813313870229e-4	Swahili
24	scr	min.pairs	0.008691962736756008	0	0.008691962736756008	Swahili
24	scr	network.prop	0.010676589642753708	0	0.010676589642753708	Swahili
24	scr	mean.edit	0.0045881862911631354	0	0.0045881862911631354	Swahili
25	scr	min.pairs	0.010152520728880478	0	0.010152520728880478	Swahili
25	scr	network.prop	0.018099400039934	0	0.018099400039934	Swahili
25	scr	mean.edit	-0.006265773763838898	0	-0.006265773763838898	Swahili
26	scr	min.pairs	-3.446549500481349e-4	0	-3.446549500481349e-4	Swahili
26	scr	network.prop	0.0024330442727128814	0	0.0024330442727128814	Swahili
26	scr	mean.edit	5.756598157913408e-4	0	5.756598157913408e-4	Swahili
27	scr	min.pairs	-0.005986360369609199	0	-0.005986360369609199	Swahili
27	scr	network.prop	-0.011399051951726531	0	-0.011399051951726531	Swahili
27	scr	mean.edit	0.0023726314964018307	0	0.0023726314964018307	Swahili
28	scr	min.pairs	-0.014862955980344457	0	-0.014862955980344457	Swahili
28	scr	network.prop	-0.0043193987484077025	0	-0.0043193987484077025	Swahili
28	scr	mean.edit	-0.006456494194460074	0	-0.006456494194460074	Swahili
29	scr	min.pairs	0.01163246800440721	0	0.01163246800440721	Swahili
29	scr	network.prop	0.010391341842738763	0	0.010391341842738763	Swahili
29	scr	mean.edit	-0.020391795454559863	0	-0.020391795454559863	Swahili
30	scr	min.pairs	-0.0069755146720609975	0	-0.0069755146720609975	Swahili
30	scr	network.prop	-0.009611740100192992	0	-0.009611740100192992	Swahili
30	scr	mean.edit	0.007501795030490061	0	0.007501795030490061	Swahili
31	scr	min.pairs	-0.010480174938935086	0	-0.010480174938935086	Swahili
31	scr	network.prop	-0.00811468704110822	0	-0.00811468704110822	Swahili
31	scr	mean.edit	-9.588757101529252e-5	0	-9.588757101529252e-5	Swahili
32	scr	min.pairs	-0.017131862435284844	0	-0.017131862435284844	Swahili
32	scr	network.prop	-0.0035991904590115214	0	-0.0035991904590115214	Swahili
32	scr	mean.edit	0.018189766544778652	0	0.018189766544778652	Swahili
33	scr	min.pairs	0.007551718740893788	0	0.007551718740893788	Swahili
33	scr	network.prop	4.480207819488676e-4	0	4.480207819488676e-4	Swahili
33	scr	mean.edit	-0.0028501630712427545	0	-0.0028501630712427545	Swahili
34	scr	min.pairs	-1.543878252098167e-4	0	-1.543878252098167e-4	Swahili
34	scr	network.prop	-0.006407193329999689	0	-0.006407193329999689	Swahili
34	scr	mean.edit	0.002006852541800013	0	0.002006852541800013	Swahili
35	scr	min.pairs	-0.01502844574451092	0	-0.01502844574451092	Swahili
35	scr	network.prop	-0.013780584345640095	0	-0.013780584345640095	Swahili
35	scr	mean.edit	0.008612051638638235	0	0.008612051638638235	Swahili
36	scr	min.pairs	0.004095546545820153	0	0.004095546545820153	Swahili
36	scr	network.prop	0.008697239594715743	0	0.008697239594715743	Swahili
36	scr	mean.edit	-0.010095981060089963	0	-0.010095981060089963	Swahili
37	scr	min.pairs	-0.002032214812913447	0	-0.002032214812913447	Swahili
37	scr	network.prop	-0.0032501080504107795	0	-0.0032501080504107795	Swahili
37	scr	mean.edit	-0.0026355714300767726	0	-0.0026355714300767726	Swahili
38	scr	min.pairs	0.0044488173394853	0	0.0044488173394853	Swahili
38	scr	network.prop	0.0019156783925691958	0	0.0019156783925691958	Swahili
38	scr	mean.edit	0.002202149225624047	0	0.002202149225624047	Swahili
39	scr	min.pairs	-0.0028166936194713877	0	-0.0028166936194713877	Swahili
39	scr	network.prop	-0.0015219587885150147	0	-0.0015219587885150147	Swahili
39	scr	mean.edit	0.004439722750083276	0	0.004439722750083276	Swahili
40	scr	min.pairs	-0.0051569092725749196	0	-0.0051569092725749196	Swahili
40	scr	network.prop	-0.006231966741305109	0	-0.006231966741305109	Swahili
40	scr	mean.edit	0.01026492573117261	0	0.01026492573117261	Swahili
41	scr	min.pairs	9.581449232408172e-4	0	9.581449232408172e-4	Swahili
41	scr	network.prop	0.0017884141820542988	0	0.0017884141820542988	Swahili
41	scr	mean.edit	-6.160345127001506e-4	0	-6.160345127001506e-4	Swahili
42	scr	min.pairs	-0.006782866962457006	0	-0.006782866962457006	Swahili
42	scr	network.prop	-0.0016712506681027684	0	-0.0016712506681027684	Swahili
42	scr	mean.edit	0.011004085716174561	0	0.011004085716174561	Swahili
43	scr	min.pairs	-0.015552818974962586	0	-0.015552818974962586	Swahili
43	scr	network.prop	-0.010862782506118308	0	-0.010862782506118308	Swahili
43	scr	mean.edit	0.004253498427975971	0	0.004253498427975971	Swahili
44	scr	min.pairs	-4.6729064508632337e-4	0	-4.6729064508632337e-4	Swahili
44	scr	network.prop	-0.004140839854516509	0	-0.004140839854516509	Swahili
44	scr	mean.edit	0.00817512574519496	0	0.00817512574519496	Swahili
45	scr	min.pairs	-3.86748744419972e-4	0	-3.86748744419972e-4	Swahili
45	scr	network.prop	0.014585857295321516	0	0.014585857295321516	Swahili
45	scr	mean.edit	0.009171693262652037	0	0.009171693262652037	Swahili
46	scr	min.pairs	0.0064028646068909545	0	0.0064028646068909545	Swahili
46	scr	network.prop	-3.6235171748792017e-4	0	-3.6235171748792017e-4	Swahili
46	scr	mean.edit	-0.014874979703064953	0	-0.014874979703064953	Swahili
47	scr	min.pairs	0.00420681691596519	0	0.00420681691596519	Swahili
47	scr	network.prop	-1.9706417029468829e-4	0	-1.9706417029468829e-4	Swahili
47	scr	mean.edit	-0.005611652906760434	0	-0.005611652906760434	Swahili
48	scr	min.pairs	0.0025574671280279983	0	0.0025574671280279983	Swahili
48	scr	network.prop	-0.007699993500368187	0	-0.007699993500368187	Swahili
48	scr	mean.edit	-0.007529844458872891	0	-0.007529844458872891	Swahili
49	scr	min.pairs	-0.014482153545253423	0	-0.014482153545253423	Swahili
49	scr	network.prop	-0.0035910787807923537	0	-0.0035910787807923537	Swahili
49	scr	mean.edit	0.0030967889728111993	0	0.0030967889728111993	Swahili
50	scr	min.pairs	-0.01784029061705276	0	-0.01784029061705276	Swahili
50	scr	network.prop	-0.023563595167418665	0	-0.023563595167418665	Swahili
50	scr	mean.edit	-0.003250642611621822	0	-0.003250642611621822	Swahili
51	scr	min.pairs	-0.0059490165044534605	0	-0.0059490165044534605	Swahili
51	scr	network.prop	0.007098449077046552	0	0.007098449077046552	Swahili
51	scr	mean.edit	-0.006748745501008579	0	-0.006748745501008579	Swahili
52	scr	min.pairs	0.012030545466192415	0	0.012030545466192415	Swahili
52	scr	network.prop	0.014974964985073334	0	0.014974964985073334	Swahili
52	scr	mean.edit	0.009315786197146052	0	0.009315786197146052	Swahili
53	scr	min.pairs	-0.006703759211409927	0	-0.006703759211409927	Swahili
53	scr	network.prop	0.0011128165557533333	0	0.0011128165557533333	Swahili
53	scr	mean.edit	-0.008881300619582084	0	-0.008881300619582084	Swahili
54	scr	min.pairs	0.013637543120282463	0	0.013637543120282463	Swahili
54	scr	network.prop	6.557880597338986e-4	0	6.557880597338986e-4	Swahili
54	scr	mean.edit	-0.009077258912090888	0	-0.009077258912090888	Swahili
55	scr	min.pairs	-0.002145181684043993	0	-0.002145181684043993	Swahili
55	scr	network.prop	-0.003434278871322397	0	-0.003434278871322397	Swahili
