word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
wa	wa	62571.110900733365	2	1	0.06315481422379761	3.9849634764733866	24	213	277	2.487378640776699	2.5653061224489795	2.487378640776699	-2.573551654294821	237	Swahili
na	na	48838.75893396664	2	2	0.04929435809904004	4.3424336549021065	28	226	260	2.4466019417475726	2.5349794238683128	2.4466019417475726	-2.488037290123267	254	Swahili
ya	ya	41817.751417060004	2	3	0.04220785413561228	4.5663447058144895	20	215	279	2.499029126213592	2.564777327935223	2.499029126213592	-2.434473070489839	235	Swahili
kwa	kwa	18757.347308583354	3	4	0.018932327835511506	5.723004380408985	12	224	984	2.7944307944307942	3.2928395061728395	3.277723258096173	-3.652242521185851	236	Swahili
katika	katika	14915.86375957073	6	5	0.015055008472162573	6.053612669839435	6	48	376	2.8538283062645013	4.986935866983373	4.982036942891035	-4.8129478803249555	54	Swahili
sema	sema	12051.115220679212	4	6	0.012163535727518224	6.361293533764426	22	181	1097	2.824750192159877	3.811122244488978	3.7947696139476963	-3.629561138838117	203	Swahili
za	za	11857.301927241777	2	7	0.011967914419778262	6.3846844258305	22	230	262	2.462135922330097	2.532520325203252	2.462135922330097	-1.9994880720529504	252	Swahili
la	la	11520.525083393122	2	8	0.011627995906234829	6.426253721104668	23	226	265	2.466019417475728	2.539714867617108	2.466019417475728	-1.9895438247592174	249	Swahili
ni	ni	11395.81996853889	2	9	0.011502127462347507	6.4419554594302815	16	171	327	2.6	2.6566265060240966	2.6	-1.9857876396273417	187	Swahili
ake	ake	9456.043774964417	3	10	0.00954425579637545	6.711151575323727	4	167	1000	2.848122866894198	3.3438268568617806	3.337585868498528	-3.2912118191797335	171	Swahili
amba	amba	8551.794754004555	4	11	0.008631571362477991	6.856161061238099	21	164	1106	2.838235294117647	3.7991485098923117	3.7835616438356166	-3.4312651775391183	185	Swahili
hiyo	hiyo	7086.82917708957	4	12	0.007152939650135483	7.127248015206676	9	91	638	2.848443843031123	4.1131086142322095	4.105105853051058	-3.3226392420140285	100	Swahili
cha	Ca	6472.889281485827	2	13	0.006533272530704851	7.257978462695005	20	223	271	2.483495145631068	2.548582995951417	2.483495145631068	-1.7905778221811028	243	Swahili
nchi	nCi	6032.860984562401	3	14	0.006089139368525573	7.359545950865651	7	104	824	2.8707264957264957	3.491625615763547	3.4813542688910695	-3.0543136345940693	111	Swahili
mtu	mtu	5357.116284598252	3	15	0.0054070908900087635	7.530931677185614	9	116	806	2.8530042918454934	3.4881656804733727	3.4754661432777234	-2.9916959300602177	125	Swahili
kama	kama	4704.377213435908	4	16	0.004748262651506307	7.7183845443863035	31	361	1329	2.7526132404181185	3.6196334421290484	3.598505603985056	-3.0857677970213806	392	Swahili
mwaka	mwaka	4652.1580877429205	5	17	0.004695556392426111	7.734488166818295	9	116	681	2.8302354399008673	4.467794293524689	4.461709022684633	-3.7792792044070986	125	Swahili
ingine	iGine	4296.027302203857	5	18	0.004336103391251554	7.8493851275395965	0	9	149	2.9245283018867925	4.88877516206073	4.887941326965717	-3.7259657494751326	9	Swahili
kwamba	kwamba	4072.1788822751764	6	19	0.004110166770159522	7.926587352166102	6	34	242	2.8268551236749118	5.2432982694265355	5.238095238095238	-3.9085524913376255	40	Swahili
ao	ao	3936.975166975675	2	20	0.003973701788170411	7.975300677014319	23	214	277	2.4893203883495145	2.564154786150713	2.4893203883495145	-1.618979303576623	237	Swahili
serikali	serikali	3837.010232301163	8	21	0.0038728043166794766	8.012405677302601	1	1	4	2.142857142857143	6.8531770512029615	6.849260172626387	-4.201431715244926	2	Swahili
huo	huo	3669.397793888007	3	22	0.003703628282289195	8.076844976077151	11	140	884	2.8407335907335907	3.425468904244817	3.4106967615309127	-2.7922403605382176	151	Swahili
vya	vya	3536.47638303313	3	23	0.003569466895539604	8.130075662674379	5	157	993	2.8529411764705883	3.3567913385826773	3.349362119725221	-2.7727919299305457	162	Swahili
wakati	wakati	3417.9791362682736	6	24	0.0034498642307037733	8.179244698871171	0	20	203	2.8973214285714284	5.251016949152542	5.250127097102186	-3.7865529034574594	20	Swahili
fanya	faYa	3405.2895235561664	4	25	0.003437056241172047	8.18461082567921	7	200	1237	2.8498269896193773	3.7556775642625406	3.7499377334993773	-2.8989485302495224	207	Swahili
moja	moja	3397.620980622231	4	26	0.003429316161167263	8.187863366938084	11	178	1101	2.8427575522850503	3.806395203597302	3.797758405977584	-2.8976452202528336	189	Swahili
kuu	kuu	3395.4299683553927	3	27	0.003427104709737325	8.188794012877663	13	157	796	2.8076525336091005	3.4515810276679844	3.4342492639842983	-2.7513385196454903	170	Swahili
hilo	hilo	3361.286693863824	4	28	0.0033926429249541198	8.203374690011579	10	120	705	2.8289473684210527	4.06043956043956	4.051805728518057	-2.8914297533872255	130	Swahili
lakini	lakini	3225.261348964258	6	29	0.003255348648678782	8.262972219985906	3	28	226	2.856589147286822	5.214007122265559	5.2109811896288765	-3.7461237483054846	31	Swahili
weza	weza	3027.3399075265015	4	30	0.0030555808695076877	8.354337620526744	9	131	983	2.8647686832740216	3.8916354556803996	3.884184308841843	-2.830938131356901	140	Swahili
chama	Cama	2992.557587790438	4	31	0.003020474078057417	8.371009279355116	15	322	1287	2.7815384615384615	3.6609152288072018	3.6500622665006226	-2.8242577119915455	337	Swahili
ili	ili	2919.7064299180533	3	32	0.002946943318011968	8.40656497296484	23	197	923	2.784965034965035	3.346077457795432	3.3179587831207065	-2.671773447760017	220	Swahili
toa	toa	2868.947979069625	3	33	0.0028957113598850636	8.431866480727077	23	325	988	2.720269259536275	3.18669314796425	3.16045142296369	-2.6625292570602688	348	Swahili
taka	taka	2797.101035152875	4	34	0.002823194181745003	8.468455922645287	29	293	1307	2.7828220858895705	3.6702634880803013	3.6500622665006226	-2.7852103412634004	322	Swahili
ingi	iGi	2709.0953757681896	3	35	0.0027343675493091473	8.514577103925307	11	172	971	2.8294372294372296	3.350937808489635	3.336604514229637	-2.632309999736772	183	Swahili
hayo	hayo	2700.9703719453296	4	36	0.0027261667502564593	8.518910475119663	10	109	779	2.8531701890989987	4.004495504495504	3.9960149439601493	-2.7649929428095295	119	Swahili
kubwa	kubwa	2697.136100478362	5	37	0.0027222967102540673	8.520959966136324	5	69	522	2.862646566164154	4.6156735530134885	4.6118028313150266	-3.4143476294987805	74	Swahili
pia	pia	2674.7695169210506	3	38	0.00269972147690678	8.532973708723834	26	304	1040	2.7381473377097008	3.1805072103431127	3.151128557409225	-2.625588593068695	330	Swahili
kwenye	kweYe	2604.291955671075	5	39	0.0026285864559104314	8.571497097797954	0	20	142	2.8588957055214723	5.019617877857387	5.018761726078799	-3.390897843931619	20	Swahili
taifa	taifa	2564.1233974457	5	40	0.0025880431796948956	8.593922596770609	2	61	798	2.9211136890951277	4.378327645051194	4.376428449599182	-3.3804921654758977	63	Swahili
