i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.23144175524324653	0	0.23144175524324653	Tagalog
1	og	network.prop	0.13815878340024063	0	0.13815878340024063	Tagalog
1	og	mean.edit	-0.07234969619799175	0	-0.07234969619799175	Tagalog
2	scr	min.pairs	2.7614402852757633e-4	0	2.7614402852757633e-4	Tagalog
2	scr	network.prop	0.01481930442559301	0	0.01481930442559301	Tagalog
2	scr	mean.edit	0.034651484738863994	0	0.034651484738863994	Tagalog
3	scr	min.pairs	0.011568087606322571	0	0.011568087606322571	Tagalog
3	scr	network.prop	0.021670664747582606	0	0.021670664747582606	Tagalog
3	scr	mean.edit	0.013211769047869868	0	0.013211769047869868	Tagalog
4	scr	min.pairs	-0.008648930383065648	0	-0.008648930383065648	Tagalog
4	scr	network.prop	-0.009622622315825561	0	-0.009622622315825561	Tagalog
4	scr	mean.edit	-0.00415404077767187	0	-0.00415404077767187	Tagalog
5	scr	min.pairs	0.008133091578548	0	0.008133091578548	Tagalog
5	scr	network.prop	0.012372307329991375	0	0.012372307329991375	Tagalog
5	scr	mean.edit	0.013241584237048026	0	0.013241584237048026	Tagalog
6	scr	min.pairs	0.030843601065380175	0	0.030843601065380175	Tagalog
6	scr	network.prop	0.017184199850491993	0	0.017184199850491993	Tagalog
6	scr	mean.edit	-0.028367884994381795	0	-0.028367884994381795	Tagalog
7	scr	min.pairs	0.010841995764653497	0	0.010841995764653497	Tagalog
7	scr	network.prop	0.008654586687206492	0	0.008654586687206492	Tagalog
7	scr	mean.edit	-0.012164977886592872	0	-0.012164977886592872	Tagalog
8	scr	min.pairs	-0.017563986624665476	0	-0.017563986624665476	Tagalog
8	scr	network.prop	-0.014442978461411252	0	-0.014442978461411252	Tagalog
8	scr	mean.edit	0.00584172775035518	0	0.00584172775035518	Tagalog
9	scr	min.pairs	-0.010897476035889087	0	-0.010897476035889087	Tagalog
9	scr	network.prop	-0.004151310194312724	0	-0.004151310194312724	Tagalog
9	scr	mean.edit	0.014473799276557134	0	0.014473799276557134	Tagalog
10	scr	min.pairs	0.0019233700932833086	0	0.0019233700932833086	Tagalog
10	scr	network.prop	-5.010222889875479e-4	0	-5.010222889875479e-4	Tagalog
10	scr	mean.edit	0.0060183488465148415	0	0.0060183488465148415	Tagalog
11	scr	min.pairs	-0.014079736112471777	0	-0.014079736112471777	Tagalog
11	scr	network.prop	4.654960739501663e-4	0	4.654960739501663e-4	Tagalog
11	scr	mean.edit	0.020961804823906357	0	0.020961804823906357	Tagalog
12	scr	min.pairs	-0.0166027920325713	0	-0.0166027920325713	Tagalog
12	scr	network.prop	0.004638485921445987	0	0.004638485921445987	Tagalog
12	scr	mean.edit	0.016937934101781287	0	0.016937934101781287	Tagalog
