word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
sa	sa	91352.8837168132	2	1	0.09419390272959671	3.408222514081794	28	148	115	2.291095890410959	2.4372623574144487	2.291095890410959	-2.816601504699472	176	Tagalog
ang	aG	76485.2549625998	2	2	0.07886389978151916	3.6644911369963853	20	138	133	2.3801369863013697	2.4907749077490773	2.3801369863013697	-2.745832049034516	158	Tagalog
ng	G	73353.4962819178	1	3	0.0756347453143741	3.7248070535128	9	87	0	1.8865979381443299	2	1.8865979381443299	-1.7839714042148502	96	Tagalog
na	na	69327.1732157083	2	4	0.07148320605446272	3.8062518484122783	27	153	111	2.280821917808219	2.4204545454545454	2.280821917808219	-2.7066843443039095	180	Tagalog
at	at	29883.8293517907	2	5	0.03081319823330735	5.020307756152198	17	142	132	2.386986301369863	2.4817518248175183	2.386986301369863	-2.3714186580079635	159	Tagalog
mga	mga	26114.1778532909	3	6	0.02692631287044477	5.214839500511137	8	81	482	2.825174825174825	3.2476635514018692	3.223121387283237	-3.9709473283600243	89	Tagalog
ni	ni	19913.3269987939	2	7	0.020532619333195997	5.605938506898781	13	127	151	2.4657534246575343	2.5431654676258995	2.4657534246575343	-2.2096947255981516	140	Tagalog
ay	ay	17853.4266959841	2	8	0.01840865738628022	5.763471780511641	13	144	134	2.4075342465753424	2.4820143884892087	2.4075342465753424	-2.1661913739357197	157	Tagalog
si	si	17532.783069181	2	9	0.018078041938085043	5.789617764189375	11	128	152	2.4760273972602738	2.5428571428571427	2.4760273972602738	-2.158971071225018	139	Tagalog
hindi	hindi	12963.0891663448	5	10	0.01336623333966021	6.225263224553107	1	15	128	2.8620689655172415	4.903022670025189	4.900251730648207	-4.63539340030516	16	Tagalog
pa	pa	9526.61459602167	2	11	0.009822886504401255	6.6696372546569105	25	153	113	2.2945205479452055	2.424812030075188	2.2945205479452055	-1.9159506826708754	178	Tagalog
dahil	dahil	7837.75223595402	5	12	0.008081501554134915	6.951160912051074	0	27	237	2.8867924528301887	4.636134718287693	4.6346758967904345	-4.26430577023582	27	Tagalog
ito	ito	7598.05284718746	3	13	0.007834347660451473	6.995971133284305	12	120	411	2.729779411764706	3.2359154929577465	3.2011560693641616	-3.249928005486774	132	Tagalog
naman	naman	6383.36705574734	5	14	0.0065818858811319	7.247283271896627	7	75	535	2.8511326860841426	4.277917981072555	4.269351793580869	-4.112924457664916	82	Tagalog
isang	isaG	6371.61708570976	4	15	0.00656977049418663	7.249941311782993	9	85	392	2.782340862422998	3.946942900454775	3.9316239316239314	-3.5423707517864425	94	Tagalog
kanyang	kanyaG	6267.43401804325	6	16	0.006462347396605265	7.273725976973044	6	31	212	2.816	5.129633740288568	5.123005319148936	-5.291059838035757	37	Tagalog
niya	niya	6236.361875055	4	17	0.006430308928905569	7.280896234590386	10	78	392	2.79002079002079	3.975227502527806	3.9582704876822525	-3.5284208536262245	88	Tagalog
siya	Sya	6195.36753514612	3	18	0.006388039690007635	7.29041100816853	9	95	462	2.7954144620811285	3.2374269005847953	3.2104046242774564	-3.1307358945222585	104	Tagalog
