i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.10986879776344974	0	0.10986879776344974	Turkish
1	og	network.prop	0.08319966944319947	0	0.08319966944319947	Turkish
1	og	mean.edit	-0.03169293083318497	0	-0.03169293083318497	Turkish
2	scr	min.pairs	-0.011268377367259731	0	-0.011268377367259731	Turkish
2	scr	network.prop	-0.009371787756841585	0	-0.009371787756841585	Turkish
2	scr	mean.edit	0.00432784094374471	0	0.00432784094374471	Turkish
3	scr	min.pairs	-0.0013197639496798118	0	-0.0013197639496798118	Turkish
3	scr	network.prop	-1.1491867391087727e-4	0	-1.1491867391087727e-4	Turkish
3	scr	mean.edit	0.014001610454030242	0	0.014001610454030242	Turkish
4	scr	min.pairs	-0.01235803945893255	0	-0.01235803945893255	Turkish
4	scr	network.prop	-0.015224818447486244	0	-0.015224818447486244	Turkish
4	scr	mean.edit	0.00513324616877104	0	0.00513324616877104	Turkish
5	scr	min.pairs	0.008165570424775887	0	0.008165570424775887	Turkish
5	scr	network.prop	0.013873999268809497	0	0.013873999268809497	Turkish
5	scr	mean.edit	4.683899456641194e-5	0	4.683899456641194e-5	Turkish
6	scr	min.pairs	0.006485888534268097	0	0.006485888534268097	Turkish
6	scr	network.prop	-0.0036455285487961503	0	-0.0036455285487961503	Turkish
6	scr	mean.edit	-0.0012977689546812086	0	-0.0012977689546812086	Turkish
7	scr	min.pairs	0.026649587640062977	0	0.026649587640062977	Turkish
7	scr	network.prop	0.02090480725139451	0	0.02090480725139451	Turkish
7	scr	mean.edit	-0.01737936019986376	0	-0.01737936019986376	Turkish
8	scr	min.pairs	-0.00605224270412442	0	-0.00605224270412442	Turkish
8	scr	network.prop	-0.012426830550005888	0	-0.012426830550005888	Turkish
8	scr	mean.edit	0.004404680552821378	0	0.004404680552821378	Turkish
9	scr	min.pairs	-0.004688250523644248	0	-0.004688250523644248	Turkish
9	scr	network.prop	-0.015419065121787054	0	-0.015419065121787054	Turkish
9	scr	mean.edit	-0.008812975488259024	0	-0.008812975488259024	Turkish
10	scr	min.pairs	-0.0015090698410312104	0	-0.0015090698410312104	Turkish
10	scr	network.prop	0.0056189452015230484	0	0.0056189452015230484	Turkish
10	scr	mean.edit	-0.0018913901567275471	0	-0.0018913901567275471	Turkish
11	scr	min.pairs	-0.01020691273341253	0	-0.01020691273341253	Turkish
11	scr	network.prop	-0.03176752988379788	0	-0.03176752988379788	Turkish
11	scr	mean.edit	-0.011085243407335988	0	-0.011085243407335988	Turkish
12	scr	min.pairs	-0.004512321199785996	0	-0.004512321199785996	Turkish
12	scr	network.prop	-0.0033005168242384174	0	-0.0033005168242384174	Turkish
12	scr	mean.edit	1.8058685011441446e-4	0	1.8058685011441446e-4	Turkish
13	scr	min.pairs	0.01574663028549361	0	0.01574663028549361	Turkish
13	scr	network.prop	0.005665693460749346	0	0.005665693460749346	Turkish
13	scr	mean.edit	-0.0017277957427910306	0	-0.0017277957427910306	Turkish
14	scr	min.pairs	0.013634790269818165	0	0.013634790269818165	Turkish
14	scr	network.prop	-0.0046676613875317515	0	-0.0046676613875317515	Turkish
