word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
ol	ol	22139.4191155757	2	1	0.022247404148270124	5.490219179129206	15	248	592	2.671728971962617	2.704761904761905	2.671728971962617	-3.0340189772767623	263	Turkish
de	de	15368.0988457701	2	2	0.015443056758967746	6.016897845554353	23	278	554	2.6179906542056073	2.6658653846153846	2.6179906542056073	-2.859290161824337	301	Turkish
iki	iki	15299.1412785208	3	3	0.015373762851134481	6.023385870402201	4	144	1190	2.8842419716206122	3.3808127356514452	3.3754180602006687	-3.469294609114956	148	Turkish
bin	bin	10853.277540658	3	4	0.010906214409685656	6.51870576640006	16	217	1102	2.811377245508982	3.353263157894737	3.3361204013377925	-3.2777606529288814	233	Turkish
yUz	yUz	10778.1347969296	3	5	0.010830705157170557	6.528729013898232	7	116	913	2.871745419479267	3.5197147651006713	3.510869565217391	-3.273884789547118	123	Turkish
yap	yap	10739.4506295862	3	6	0.010791832307773055	6.533916353965218	17	256	1151	2.794385964912281	3.2994945240101097	3.281772575250836	-3.2718789105724593	273	Turkish
beS	beS	7695.45892834113	3	7	0.007732993534811038	7.014757277782705	14	183	1032	2.8260162601626018	3.4118636937315943	3.3963210702341136	-3.085943790301562	197	Turkish
UC	UC	7585.36814988241	2	8	0.0076223657885010326	7.035545441587591	9	178	668	2.767523364485981	2.789598108747045	2.767523364485981	-2.5213476948806046	187	Turkish
tUrkiye	tUrkiye	7471.20159039121	7	9	0.007507642381533622	7.0574243540825075	0	4	24	2.7586206896551726	6.321828776333483	6.320412278736276	-4.582062940818037	4	Turkish
ed	ed	7292.43926440483	2	10	0.007328008142173391	7.092363178243245	19	252	584	2.657710280373832	2.6985645933014353	2.657710280373832	-2.502498068997873	271	Turkish
dokuz	dokuz	6070.86690977688	5	11	0.006100477567505228	7.3568620981664505	3	21	196	2.8642533936651584	5.0033826638477805	5.000986054373856	-3.69202980510226	24	Turkish
dOrt	dOrt	6044.96424874145	4	12	0.006074448566221927	7.363030836747892	3	51	574	2.9046104928457868	4.278992219340497	4.276379118844872	-3.4571229119132902	54	Turkish
yirmi	yirmi	5996.23363867756	5	13	0.006025480272572325	7.374708045934643	0	11	231	2.94238683127572	4.867145674837983	4.866460064797859	-3.684063553515935	11	Turkish
