i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.15560939420972839	0	0.15560939420972839	Vietnamese
1	og	network.prop	0.12925977995377372	0	0.12925977995377372	Vietnamese
1	og	mean.edit	-0.08641140808184497	0	-0.08641140808184497	Vietnamese
2	scr	min.pairs	-0.008020194296892873	0	-0.008020194296892873	Vietnamese
2	scr	network.prop	0.0029644258417150893	0	0.0029644258417150893	Vietnamese
2	scr	mean.edit	0.010349193305907629	0	0.010349193305907629	Vietnamese
3	scr	min.pairs	0.014526633650919243	0	0.014526633650919243	Vietnamese
3	scr	network.prop	-0.002447069175315984	0	-0.002447069175315984	Vietnamese
3	scr	mean.edit	0.002418112574478543	0	0.002418112574478543	Vietnamese
4	scr	min.pairs	0.019360696889542717	0	0.019360696889542717	Vietnamese
4	scr	network.prop	0.003088648743229763	0	0.003088648743229763	Vietnamese
4	scr	mean.edit	-0.014434485063515296	0	-0.014434485063515296	Vietnamese
5	scr	min.pairs	0.01088149535297623	0	0.01088149535297623	Vietnamese
5	scr	network.prop	0.00499908189825043	0	0.00499908189825043	Vietnamese
5	scr	mean.edit	-0.013502982465514932	0	-0.013502982465514932	Vietnamese
6	scr	min.pairs	0.007249670121527838	0	0.007249670121527838	Vietnamese
6	scr	network.prop	0.001777893504735089	0	0.001777893504735089	Vietnamese
6	scr	mean.edit	-0.002095956563141429	0	-0.002095956563141429	Vietnamese
7	scr	min.pairs	-0.021293400930355623	0	-0.021293400930355623	Vietnamese
7	scr	network.prop	-0.005172337029269831	0	-0.005172337029269831	Vietnamese
7	scr	mean.edit	0.021217143353987757	0	0.021217143353987757	Vietnamese
8	scr	min.pairs	0.01183416006646952	0	0.01183416006646952	Vietnamese
8	scr	network.prop	0.015176190614161457	0	0.015176190614161457	Vietnamese
8	scr	mean.edit	-8.485347762528522e-4	0	-8.485347762528522e-4	Vietnamese
9	scr	min.pairs	-0.01557463992906925	0	-0.01557463992906925	Vietnamese
9	scr	network.prop	-0.004969863122608061	0	-0.004969863122608061	Vietnamese
9	scr	mean.edit	0.015792843356513528	0	0.015792843356513528	Vietnamese
10	scr	min.pairs	-0.0024992945837964695	0	-0.0024992945837964695	Vietnamese
10	scr	network.prop	-0.009085189056921638	0	-0.009085189056921638	Vietnamese
10	scr	mean.edit	-0.01781933927867548	0	-0.01781933927867548	Vietnamese
11	scr	min.pairs	0.008467314704642034	0	0.008467314704642034	Vietnamese
11	scr	network.prop	0.010259889156237762	0	0.010259889156237762	Vietnamese
11	scr	mean.edit	0.005251452675100826	0	0.005251452675100826	Vietnamese
12	scr	min.pairs	-0.0030588311354159013	0	-0.0030588311354159013	Vietnamese
12	scr	network.prop	0.012190405378194068	0	0.012190405378194068	Vietnamese
12	scr	mean.edit	-0.0010709542996450378	0	-0.0010709542996450378	Vietnamese
13	scr	min.pairs	-0.015666900410470117	0	-0.015666900410470117	Vietnamese
13	scr	network.prop	0.001127944860073065	0	0.001127944860073065	Vietnamese
13	scr	mean.edit	0.0019159656288910854	0	0.0019159656288910854	Vietnamese
14	scr	min.pairs	-0.010467072398814375	0	-0.010467072398814375	Vietnamese
14	scr	network.prop	-0.009672708874459073	0	-0.009672708874459073	Vietnamese
14	scr	mean.edit	-0.0017109393280209842	0	-0.0017109393280209842	Vietnamese
15	scr	min.pairs	0.010033653726053204	0	0.010033653726053204	Vietnamese
15	scr	network.prop	0.006167097228599984	0	0.006167097228599984	Vietnamese
15	scr	mean.edit	0.0025911765074874593	0	0.0025911765074874593	Vietnamese
16	scr	min.pairs	0.009726003110234634	0	0.009726003110234634	Vietnamese
16	scr	network.prop	0.013205596577442092	0	0.013205596577442092	Vietnamese
