word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
kua1	kua	21200.21913641858	3	1	0.02151307345977836	5.53864254002864	22	246	1235	2.805186170212766	3.099582898852972	3.0741885625966	-4.00690423156149	268	Vietnamese
va2	va	20189.63714700313	2	2	0.020487578183737722	5.609106734894141	42	490	708	2.5350523771152296	2.5909849749582636	2.5350523771152296	-3.8188343085977428	532	Vietnamese
la2	la	17503.854058165816	2	3	0.01776216065312684	5.815049102796616	48	497	695	2.5197421434327154	2.583053691275168	2.5197421434327154	-3.7313095508918215	545	Vietnamese
mo6t	mot	14021.728181392022	3	4	0.014228648603029947	6.135057544515413	29	274	1108	2.7627478753541075	3.133437990580848	3.0999484801648634	-3.7431246643431524	303	Vietnamese
kO3	kO	13915.142352594326	2	5	0.014120489873634684	6.146066049748914	43	419	778	2.590652699435939	2.6499582289055974	2.590652699435939	-3.5906285517674768	462	Vietnamese
xo1N	xoN	12387.39715675531	3	6	0.012570199548123433	6.313848637486231	22	224	1162	2.8076650106458483	3.1605839416058394	3.134466769706337	-3.6640497973938895	246	Vietnamese
cO1N	cON	12242.267375108266	3	7	0.012422928067876747	6.330850934804575	24	249	1139	2.7876857749469215	3.145615866388309	3.117465224111283	-3.6565301028949064	273	Vietnamese
YI5N	YIN	11851.085584251485	3	8	0.012025973557705055	6.377702498272604	21	220	1173	2.812720848056537	3.1594580510682646	3.134466769706337	-3.635808818148334	241	Vietnamese
DI@6k	DI@k	11321.887225203529	4	9	0.011488965751335931	6.443607258855723	18	85	458	2.7793594306049823	4.173189252336448	4.155387743247168	-4.31354732032306	103	Vietnamese
ka3k	kak	11024.615584189905	3	10	0.011187307235002534	6.481993365811402	28	338	1112	2.7315753887762	3.064853556485356	3.033487892838743	-3.5896835535301475	366	Vietnamese
Da5	Da	10412.092615702317	2	11	0.010565745187361308	6.564461667632215	45	501	694	2.521353746978243	2.580753138075314	2.521353746978243	-3.41281193514104	546	Vietnamese
NI@2i1	NI@i	10136.374123833022	4	12	0.010285957882728501	6.603180038273207	16	112	489	2.762135922330097	4.100116754232341	4.0845193145512635	-4.23442268617073	128	Vietnamese
v@i1	v@i	7675.955167472014	3	13	0.007789230211687672	7.004303526934348	29	281	1182	2.77093101138647	3.087388801674516	3.054611025244719	-3.358678720958391	310	Vietnamese
De4	De	6861.025878657164	2	14	0.00696227490797186	7.16622550413432	37	354	849	2.652699435938759	2.70573566084788	2.652699435938759	-3.1570644921914957	391	Vietnamese
toi1	toi	6408.949137220024	3	15	0.006503526812708662	7.264561991854449	29	253	1189	2.786684782608696	3.1130298273155415	3.079855744461618	-3.243572855537369	282	Vietnamese
nai1	nai	6288.0020338621325	3	16	0.006380794877602576	7.292048127984781	29	345	1119	2.7282463186077646	3.053375196232339	3.021123132405976	-3.231416419098949	374	Vietnamese
ve2	ve	6194.1031213230135	2	17	0.006285510286898641	7.313754410582144	32	347	861	2.6663980660757454	2.712748344370861	2.6663980660757454	-3.094365243256085	379	Vietnamese
