word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
ET	ET	4823.839479349346	7.647318247830248	2	2	8.382778399807195	0	0	0	0	0	0	-1.7803527487830184	2.376947022942907	0	0	Armenian
EC	EC	183.5524990074199	12.363235486472401	2	2	9.1901333218648	0	0	0	0	0	0	-0.3148932437701485	2.376947022942907	0	0	Armenian
aP	aP	153.2264339540201	12.62376303669562	2	2	8.774559881419318	0	0	0	0	0	0	-0.23393495814462267	2.376947022942907	0	0	Armenian
oT	oT	146.84199920593593	12.685163581359763	2	2	6.94251450533924	0	0	0	0	0	0	-0.21485489222367263	2.376947022942907	0	0	Armenian
o3	o3	51.47450515642863	14.197498281993521	2	2	5.0869044146744145	0	0	0	0	0	0	0.2550993392977143	2.376947022942907	0	0	Armenian
ES	ES	50.27742364116285	14.23144561391686	2	2	7.605170821143644	0	0	0	0	0	0	0.26564838791740686	2.376947022942907	0	0	Armenian
aK	aK	40.30174434728133	14.550514054664982	2	2	8.310612781659529	0	0	0	0	0	0	0.3647981090814283	2.376947022942907	0	0	Armenian
Eh	Eh	29.92703788164455	14.979906846920896	2	2	7.235937011477924	0	0	0	0	0	0	0.4982308469673517	2.376947022942907	0	0	Armenian
Ey	Ey	13.965951011434123	16.079442520471808	2	2	7.868205226977437	0	0	0	0	0	0	0.8399088116913168	2.376947022942907	0	0	Armenian
aa	aa	8.778597778615735	16.74929391877948	2	2	12.047578375825735	0	0	0	0	0	0	1.0480634609189567	2.376947022942907	0	0	Armenian
of	of	4.3892988893078675	17.74929391877948	2	2	8.012903833230638	0	0	0	0	0	0	1.358810963653932	2.376947022942907	0	0	Armenian
oEk	oEk	46.28715192361024	14.350744542289204	3	2	13.783498263581652	4.448666335463653	0.3227530667753473	1	0.3333333333333333	4.448666335463653	0.3227530667753473	-0.09137306029046764	3.099183972632782	4.559264789101638	5.903512966015744	Armenian
k@h	k@h	36.710499801483984	14.685163581359763	3	2	14.760641989935724	5.614709844115208	0.380383851050889	1	0.3333333333333333	5.614709844115208	0.380383851050889	0.04659690017449509	3.099183972632782	5.792959912185305	6.979059883885229	Armenian
1ri	1ri	35.5134182862182	14.732992106450379	3	2	10.6202903298467	4.372362816403116	0.41169899132750254	1	0.3333333333333333	4.372362816403116	0.41169899132750254	0.06632932849014907	3.099183972632782	4.478534285787943	7.5634854305883366	Armenian
ion	ion	9.177624950370996	16.685163581359763	3	2	10.084117793920075	4.021948972833645	0.3988399436645377	1	0.3333333333333333	4.021948972833645	0.3988399436645377	0.8717291106396567	3.099183972632782	4.107790101145479	7.323500685377984	Armenian
aim	aim	8.778597778615735	16.74929391877948	3	2	15.20382844037097	4.3786424858816835	0.2879960467230085	1	0.3333333333333333	4.3786424858816835	0.2879960467230085	0.8981871141761602	3.099183972632782	4.4851782896804275	5.25485259705585	Armenian
iX3	iX3	8.778597778615735	16.74929391877948	3	2	14.704220514014406	7.057089192206821	0.4799363002942454	1	0.3333333333333333	7.057089192206821	0.4799363002942454	0.8981871141761602	3.099183972632782	7.319023351649096	8.83697889880122	Armenian
@h@	@h@	6.384434748084171	17.208725537416775	3	2	14.672701566874384	9.057991722759176	0.6173363290649094	1	0.3333333333333333	9.057991722759176	0.6173363290649094	1.08773302769805	3.099183972632782	9.436014420501111	11.401236514191398	Armenian
Pp@	Pp@	5.98540757632891	17.30183494180826	3	2	16.670066069097572	8.969626350956482	0.5380678345111112	1	0.3333333333333333	8.969626350956482	0.5380678345111112	1.1261468120283697	3.099183972632782	9.342522258816228	9.921871170248394	Armenian
@@h	@@h	4.788326061063128	17.62376303669562	3	2	12.814382188951573	5.614709844115208	0.43815688976064354	1	0.3333333333333333	5.614709844115208	0.43815688976064354	1.2589634323009933	3.099183972632782	5.792959912185305	8.05726165575669	Armenian
xpEl	xpEl	188.34082506848304	12.326082488054935	4	2	11.888056218821745	3.8899359520399672	0.3272137917619562	2	0.5	1.9449679760199836	0.3272137917619562	-1.172453693000206	2.5282450233677713	0.19789852604578684	1.7641974848124315	Armenian
1yun	1yun	78.2093256640311	13.594015693301568	4	2	9.543965971559311	3.296038458115727	0.34535312342246477	2	0.5	1.6480192290578635	0.34535312342246477	-0.591585065413747	2.5282450233677713	0.059506570187638864	1.8898208626611976	Armenian
ocax	ocax	59.05602141977858	13.999272171787826	4	2	13.13340815727289	6.8860390704052294	0.5243147085619163	2	0.5	3.4430195352026147	0.5243147085619163	-0.40592798702447574	2.5282450233677713	0.8960603717264447	3.129213760434429	Armenian
kXzi	kXzi	42.695907377812894	14.467258551015629	4	2	20.61877145527122	12.347308427366844	0.5988382214794974	2	0.5	6.173654213683422	0.5988382214794974	-0.19153293474068211	2.5282450233677713	2.1686633975181313	3.6453240337938726	Armenian
mhEr	mhEr	38.705635660260285	14.608812695229648	4	2	16.330729976766545	5.591793295090404	0.342409267867741	2	0.5	2.795896647545202	0.342409267867741	-0.1266838077215823	2.5282450233677713	0.5944709458754371	1.869433282478826	Armenian
32El	32El	37.508554144994505	14.65413668573914	4	2	10.967265237912637	4.412676386234999	0.4023497463142278	2	0.5	2.2063381931174995	0.4023497463142278	-0.1059198715338959	2.5282450233677713	0.31970922879244007	2.284549203685138	Armenian
ivan	ivan	31.922173740420853	14.886797442529414	4	2	8.940841562426721	3.765015959544724	0.42110308445314004	2	0.5	1.882507979772362	0.42110308445314004	6.672372591934975e-4	2.5282450233677713	0.16878925674584405	2.4144248643236836	Armenian
ccal	ccal	28.330929194623508	15.058978417912094	4	2	13.432783849840288	5.62757739436126	0.4189434935654213	2	0.5	2.81378869718063	0.4189434935654213	0.07954720227090012	2.5282450233677713	0.6028094748932875	2.3994686847265445	Armenian
bxEl	bxEl	25.138711820581424	15.23144561391686	4	2	13.89620700269513	5.085635367953984	0.3659729138294816	2	0.5	2.542817683976992	0.3659729138294816	0.15855829136646976	2.5282450233677713	0.4765243537006422	2.0326225804941918	Armenian
craK	craK	22.74454879004986	15.375835523252034	4	2	18.058051208877338	10.25284475339831	0.5677713854503864	2	0.5	5.126422376699155	0.5677713854503864	0.22470654596363662	2.5282450233677713	1.680604553559913	3.430171626081556	Armenian
Tzuk	Tzuk	19.951358587763036	15.564869347642052	4	2	17.1888136439792	9.085525835567175	0.5285720133890451	2	0.5	4.5427629177835875	0.5285720133890451	0.31130717893585286	2.5282450233677713	1.4085920433177412	3.158697592745635	Armenian
PtEl	PtEl	18.754277072497253	15.65413668573914	4	2	11.837091004552445	4.136651286411352	0.3494651924886301	2	0.5	2.068325643205676	0.3494651924886301	0.352202547835562	2.5282450233677713	0.2553889482367388	1.918298869222142	Armenian
TxEl	TxEl	15.163032526699906	15.96079802397319	4	2	13.188923176366005	5.085635367953984	0.3855989833246757	2	0.5	2.542817683976992	0.3855989833246757	0.4926909820344209	2.5282450233677713	0.4765243537006422	2.1685423150260084	Armenian
22El	22El	14.764005354944645	15.999272171787826	4	2	13.84103655893929	4.412676386234999	0.3188111213668498	2	0.5	2.2063381931174995	0.3188111213668498	0.5103168517144401	2.5282450233677713	0.31970922879244007	1.706005052051461	Armenian
lcak	lcak	13.167896667923603	16.16433141805832	4	2	13.884065969405967	4.084784347884043	0.2942066363617841	2	0.5	2.0423921739420217	0.2942066363617841	0.5859341929551785	2.5282450233677713	0.24330274288884385	1.5356074555790997	Armenian
Epos	Epos	11.97081515265782	16.30183494180826	4	2	13.927526793261364	7.595374466524138	0.545349837000425	2	0.5	3.797687233262069	0.545349837000425	0.6489276399273258	2.5282450233677713	1.0613520488804695	3.274891888900493	Armenian
Tyur	Tyur	9.975679293881518	16.564869347642052	4	2	13.49693706315417	5.393649254742149	0.39962024194855944	2	0.5	2.6968246273710745	0.39962024194855944	0.7694295983053108	2.5282450233677713	0.5482987670635011	2.265646106002949	Armenian
shaT	shaT	9.177624950370996	16.685163581359763	4	2	20.40110805834725	9.759056365419275	0.4783591331171	2	0.5	4.879528182709637	0.4783591331171	0.8245390836922637	2.5282450233677713	1.565540352259919	2.8109498504729427	Armenian
Zlat	Zlat	9.177624950370996	16.685163581359763	4	2	14.03411947278447	6.213940510369282	0.4427738072502237	2	0.5	3.106970255184641	0.4427738072502237	0.8245390836922637	2.5282450233677713	0.7394457451210582	2.5645047817729454	Armenian
CpEr	CpEr	8.379570606860474	16.816408114638016	4	2	11.451640859473567	5.111790856588942	0.4463806470458882	2	0.5	2.555895428294471	0.4463806470458882	0.8846651468067119	2.5282450233677713	0.4826191920618884	2.5894838387178707	Armenian
dvin	dvin	7.581516263349953	16.96079802397319	4	2	14.106177279037137	6.684112512864324	0.47384293991522625	2	0.5	3.342056256432162	0.47384293991522625	0.9508134014038788	2.5282450233677713	0.8490067782634733	2.7796730947657755	Armenian
CtEs	CtEs	7.182489091594692	17.038800535974463	4	2	13.681526119160758	7.341676116276133	0.5366123670950884	2	0.5	3.6708380581380666	0.5366123670950884	0.9865481009187972	2.5282450233677713	1.0022344212629237	3.21438081253322	Armenian
jhuT	jhuT	7.182489091594692	17.038800535974463	4	2	17.28407902253314	11.306799099033226	0.6541742307641978	2	0.5	5.653399549516613	0.6541742307641978	0.9865481009187972	2.5282450233677713	1.9262004767112855	4.0285518468752635	Armenian
PkEl	PkEl	6.384434748084171	17.208725537416775	4	2	12.08521098347059	4.3847712653294995	0.36282124253575054	2	0.5	2.1923856326647497	0.36282124253575054	1.0643945536909079	2.5282450233677713	0.3132066853399453	2.0107957788678967	Armenian
SyuX	SyuX	5.98540757632891	17.30183494180826	4	2	13.952893216801932	6.73372469633977	0.48260418765558155	2	0.5	3.366862348169885	0.48260418765558155	1.1070500592967838	2.5282450233677713	0.860567573141042	2.8403488437907227	Armenian
kzak	kzak	5.586380404573649	17.401370615359173	4	2	13.763984441992777	4.84044471750871	0.3516746722512206	2	0.5	2.420222358754355	0.3516746722512206	1.152649582877497	2.5282450233677713	0.41938921839464705	1.9336005526722218	Armenian
tRuz	tRuz	5.187353232818389	17.508285819275685	4	2	19.98681718423438	9.770475498906512	0.48884599327868333	2	0.5	4.885237749453256	0.48884599327868333	1.201629834763108	2.5282450233677713	1.5682012764659834	2.8835762747085103	Armenian
dtum	dtum	4.788326061063128	17.62376303669562	4	2	15.125753671687775	6.703688905514961	0.4431970168906595	2	0.5	3.3518444527574807	0.4431970168906595	1.2545325369895823	2.5282450233677713	0.8535685339456994	2.5674357069891953	Armenian
ztEl	ztEl	4.788326061063128	17.62376303669562	4	2	9.278007135656894	4.136651286411352	0.4458555836321279	2	0.5	2.068325643205676	0.4458555836321279	1.2545325369895823	2.5282450233677713	0.2553889482367388	2.5858475283589297	Armenian
kyanK	kyanK	1628.4298879332187	9.214018542158676	5	2	15.949557209490855	9.172858873336057	0.5751168357123863	3	0.6	3.0576196244453526	0.5751168357123863	-3.2034542688119005	2.3810399734037313	0.3427258008031407	2.384936665261832	Armenian
EXnEl	EXnEl	221.46008032416967	12.092381576179308	5	2	14.511500461450698	10.42465494799792	0.7183719544157862	3	0.6	3.4748849826659733	0.7183719544157862	-1.6952096721799117	2.3810399734037313	0.5429866720926391	3.192174912833136	Armenian
zspEl	zspEl	76.21418980525479	13.631296709381028	5	2	17.334541580761726	8.105722890265845	0.4676052638889374	3	0.6	2.701907630088615	0.4676052638889374	-0.8888275699596352	2.3810399734037313	0.17200663489447393	1.7791122199093086	Armenian
jncEl	jncEl	51.07547798467337	14.208725537416775	5	2	15.483709522239515	9.506429598739597	0.6139633131896043	3	0.6	3.1688098662465323	0.6139633131896043	-0.5862584014666882	2.3810399734037313	0.39609005513987616	2.603835387254119	Armenian
Cncin	Cncin	48.28228778238654	14.289862300142183	5	2	18.196336963307346	11.856486960422721	0.6515864695367621	3	0.6	3.952162320140907	0.6515864695367621	-0.5437432348520485	2.3810399734037313	0.7720494820442051	2.815840731793756	Armenian
tZZal	tZZal	30.326065053399812	14.96079802397319	5	2	23.850182465433228	13.633840780105363	0.5716451352045331	3	0.6	4.544613593368454	0.5716451352045331	-0.19217702579676774	2.3810399734037313	1.0563884664235172	2.3653737382305535	Armenian
raffi	raffi	20.350385759518296	15.53630019544528	5	2	20.48184559086001	18.539613619121234	0.9051730000051609	3	0.6	6.179871206373744	0.9051730000051609	0.10938258645975017	2.3810399734037313	1.8412082649318737	4.24479313723502	Armenian
ilham	ilham	17.55719555723147	15.749293918779479	5	2	20.03840964100086	14.391278319193274	0.718184655220696	3	0.6	4.797092773064425	0.718184655220696	0.22098999266194896	2.3810399734037313	1.1775624376441032	3.1911194875514104	Armenian
pztik	pztik	15.562059698455165	15.923323318554528	5	2	20.559268288930905	12.004679437253266	0.5839059673012087	3	0.6	4.001559812417756	0.5839059673012087	0.31218033201924117	2.3810399734037313	0.7957571410865537	2.4344631551049223	Armenian
msxEl	msxEl	14.764005354944645	15.999272171787826	5	2	18.974770646228425	11.820796465273443	0.622974405628615	3	0.6	3.940265488424481	0.622974405628615	0.35197706584176713	2.3810399734037313	0.7663397583919092	2.6546126197537867	Armenian
Tmpuk	Tmpuk	14.764005354944645	15.999272171787826	5	2	21.6627052598705	13.55941745145848	0.6259337090541912	3	0.6	4.519805817152826	0.6259337090541912	0.35197706584176713	2.3810399734037313	1.0444823093898203	2.6712882047724267	Armenian
1nhal	1nhal	13.965951011434123	16.079442520471808	5	2	17.667133875978234	11.41920636253465	0.6463530781334709	3	0.6	3.8064021208448833	0.6463530781334709	0.3939858374190676	2.3810399734037313	0.7020938436590052	2.7863507300159185	Armenian
Pxrun	Pxrun	11.57178798090256	16.350744542289203	5	2	18.54737314734355	10.846933429202457	0.584823162990928	3	0.6	3.615644476400819	0.584823162990928	0.5361464348228787	2.3810399734037313	0.6105422894048835	2.439631524989016	Armenian
gmpET	gmpET	11.172760809147299	16.401370615359173	5	2	23.680903167732787	14.926015665569318	0.6302975676158865	3	0.6	4.975338555189773	0.6302975676158865	0.5626741869701891	2.3810399734037313	1.2631090926176198	2.695878415369267	Armenian
