word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
Rin	Rin	207.2252013221348	12.15674703022308	3	1	3.8735345168609956	3.8735345168609956	1	2	0.6666666666666666	1.9367672584304978	1	-0.9594613091828853	6.241870033148135	3.709678625076373	15.675581659071797	Bengali
AGa2	AGa2	213.68910668447663	12.112433129666444	4	1	6.781804989775382	6.781804989775382	1	3	0.75	2.2606016632584605	1	-1.2833503570218063	4.382908277028826	1.1069128578594776	8.720543669332317	Bengali
Jola	Jola	21.673094450204925	15.413969435722628	4	1	12.013391815159217	12.013391815159217	1	3	0.75	4.004463938386405	1	0.3808060325508761	4.382908277028826	2.3338266633129123	8.720543669332317	Bengali
ut	ut	57.03445907948664	14.01804075939149	2	2	5.076419741638582	0	0	0	0	0	0	0.33233370684704666	5.723403964528143	0	0	Bengali
oR	oR	37.07239840166632	14.639529136137758	2	2	7.249652193913047	0	0	0	0	0	0	0.5876696845453498	5.723403964528143	0	0	Bengali
oH	oH	14.63884449706824	15.980072909192469	2	2	6.316766389771583	0	0	0	0	0	0	1.1384266540196812	5.723403964528143	0	0	Bengali
eo	eo	12.547580997487062	16.202465330528916	2	2	6.066641206933185	0	0	0	0	0	0	1.2297956778973684	5.723403964528143	0	0	Bengali
Duk	Duk	153.61280978741738	12.588647967135575	3	2	8.023952321744446	4.023952321744447	0.5014925513502578	1	0.3333333333333333	4.023952321744447	0.5014925513502578	-0.7604145894707258	4.004850840060145	7.838378936216348	7.809118178172576	Bengali
Cut	Cut	89.54410075479403	13.367276200274587	3	2	8.541305790367987	5.076419741638582	0.5943376652505815	1	0.3333333333333333	5.076419741638582	0.5943376652505815	-0.40157444249277385	4.004850840060145	9.920284676324643	9.274217044508648	Bengali
dub	dub	77.37674948450355	13.577974465621123	3	2	11.917037117827935	5.216597399686842	0.4377428171204394	1	0.3333333333333333	5.216597399686842	0.4377428171204394	-0.3044716233461526	4.004850840060145	10.197572757085343	6.8031453334453404	Bengali
Gir	Gir	61.02687121505071	13.920429962765066	3	2	7.611062067100064	3.619282573905032	0.47552924177952954	1	0.3333333333333333	3.619282573905032	0.47552924177952954	-0.14664690585148055	4.004850840060145	7.037894042384864	7.399416322895152	Bengali
CEO	CEO	12.737695861085351	16.180770259429597	3	2	10.347697725879517	2.2978491764289535	0.22206380948701754	1	0.3333333333333333	2.2978491764289535	0.22206380948701754	0.895057992268337	4.004850840060145	4.423941607018286	3.3997236960347186	Bengali
oes	oes	11.216776952299039	16.364216400525528	3	2	15.37462671116256	4.665542898612215	0.3034573122497247	1	0.3333333333333333	4.665542898612215	0.3034573122497247	0.9796013435516826	4.004850840060145	9.107521409923285	4.684115772421071	Bengali
oSu3	oSu3	179.08820150958806	12.367276200274587	4	2	15.17805812582018	9.05393681399099	0.596514833382333	2	0.5	4.526968406995495	0.596514833382333	-1.154895393945097	3.073284055014922	2.701440525422848	5.055427173410967	Bengali
Fail	Fail	162.35809351293864	12.508767190266878	4	2	11.443943779050143	8.74350406090905	0.7640289247938589	2	0.5	4.371752030454525	0.7640289247938589	-1.0835761312640493	3.073284055014922	2.5922363079071022	6.577065911405598	Bengali
Fira	Fira	107.22478306943489	13.107308097488575	4	2	8.989756878093344	6.196207755560771	0.6892519830719758	2	0.5	3.0981038777803853	0.6892519830719758	-0.7818785023915511	3.073284055014922	1.696146906757854	5.897818629735088	Bengali
Doka	Doka	36.69216867446974	14.654402412619289	4	2	10.388378858932422	6.3883788589324215	0.6149543586812287	2	0.5	3.1941894294662108	0.6149543586812287	-0.0020576398816909624	3.073284055014922	1.7637489711808025	5.222925297112703	Bengali
GU1a	GU1a	15.209189087863106	15.924931355000007	4	2	14.348451537407128	6.482202926295955	0.45177020735628015	2	0.5	3.2411014631479773	0.45177020735628015	0.6383590212107264	3.073284055014922	1.796754457099599	3.740618202882571	Bengali
