r	b	b0	lex.type	test	i	language
-0.182905635649816	-0.182905635649816	0	og	redun.prop	1	English
0.09889577527937013	0.09889577527937013	0	og	bigram.prob	1	English
-0.09627806342711986	-0.09627806342711986	0	og	seg.h.prop	1	English
-0.007025134916807577	-0.007025134916807577	0	scr	redun.prop	2	English
0.0032291172333811765	0.0032291172333811765	0	scr	bigram.prob	2	English
-1.3159165043394124e-6	-1.3159165043394124e-6	0	scr	seg.h.prop	2	English
0.01278347944823777	0.01278347944823777	0	scr	redun.prop	3	English
-0.006535709752220158	-0.006535709752220158	0	scr	bigram.prob	3	English
0.001801202480271883	0.001801202480271883	0	scr	seg.h.prop	3	English
-0.0017899397580508412	-0.0017899397580508412	0	scr	redun.prop	4	English
0.031145146946294066	0.031145146946294066	0	scr	bigram.prob	4	English
0.0011961531673657056	0.0011961531673657056	0	scr	seg.h.prop	4	English
-0.02330077811537982	-0.02330077811537982	0	scr	redun.prop	5	English
-0.006345312736548994	-0.006345312736548994	0	scr	bigram.prob	5	English
-0.01949796489960208	-0.01949796489960208	0	scr	seg.h.prop	5	English
-0.006423645995446636	-0.006423645995446636	0	scr	redun.prop	6	English
-0.028192133282455952	-0.028192133282455952	0	scr	bigram.prob	6	English
0.017259893744047152	0.017259893744047152	0	scr	seg.h.prop	6	English
-4.868458438884232e-4	-4.868458438884232e-4	0	scr	redun.prop	7	English
0.013149720320376805	0.013149720320376805	0	scr	bigram.prob	7	English
0.002032699821629084	0.002032699821629084	0	scr	seg.h.prop	7	English
-0.010469518161131092	-0.010469518161131092	0	scr	redun.prop	8	English
0.009159654371977136	0.009159654371977136	0	scr	bigram.prob	8	English
0.0055355518598467135	0.0055355518598467135	0	scr	seg.h.prop	8	English
-0.012397503116287322	-0.012397503116287322	0	scr	redun.prop	9	English
0.0017291977807042892	0.0017291977807042892	0	scr	bigram.prob	9	English
-0.0027832820842223216	-0.0027832820842223216	0	scr	seg.h.prop	9	English
-0.008154827072947493	-0.008154827072947493	0	scr	redun.prop	10	English
0.0021021291559279328	0.0021021291559279328	0	scr	bigram.prob	10	English
-0.00994105314215823	-0.00994105314215823	0	scr	seg.h.prop	10	English
0.0026976185627640655	0.0026976185627640655	0	scr	redun.prop	11	English
0.012396438262489961	0.012396438262489961	0	scr	bigram.prob	11	English
-0.013895185351447277	-0.013895185351447277	0	scr	seg.h.prop	11	English
0.020539734713918643	0.020539734713918643	0	scr	redun.prop	12	English
0.010336558098496543	0.010336558098496543	0	scr	bigram.prob	12	English
0.011268525595360438	0.011268525595360438	0	scr	seg.h.prop	12	English
0.0026174506115364707	0.0026174506115364707	0	scr	redun.prop	13	English
0.004085948722945247	0.004085948722945247	0	scr	bigram.prob	13	English
-0.011616774903911567	-0.011616774903911567	0	scr	seg.h.prop	13	English
-0.009307844703691176	-0.009307844703691176	0	scr	redun.prop	14	English
0.025964659432309998	0.025964659432309998	0	scr	bigram.prob	14	English
0.0018045108709423357	0.0018045108709423357	0	scr	seg.h.prop	14	English
0.013555058162765306	0.013555058162765306	0	scr	redun.prop	15	English
-0.0080801037188638	-0.0080801037188638	0	scr	bigram.prob	15	English
-0.020023198758415617	-0.020023198758415617	0	scr	seg.h.prop	15	English
-0.0013076902647453969	-0.0013076902647453969	0	scr	redun.prop	16	English
0.04078736355417572	0.04078736355417572	0	scr	bigram.prob	16	English
-0.018072644145527655	-0.018072644145527655	0	scr	seg.h.prop	16	English
0.015131919961591515	0.015131919961591515	0	scr	redun.prop	17	English
0.0035573290876470664	0.0035573290876470664	0	scr	bigram.prob	17	English
0.01105265488202892	0.01105265488202892	0	scr	seg.h.prop	17	English
0.013831165845720894	0.013831165845720894	0	scr	redun.prop	18	English
-0.005436294416525766	-0.005436294416525766	0	scr	bigram.prob	18	English
0.015430166635699486	0.015430166635699486	0	scr	seg.h.prop	18	English
0.012598920229219997	0.012598920229219997	0	scr	redun.prop	19	English
-0.003186389630250838	-0.003186389630250838	0	scr	bigram.prob	19	English
-0.0018176380606391323	-0.0018176380606391323	0	scr	seg.h.prop	19	English
-0.003466484810688157	-0.003466484810688157	0	scr	redun.prop	20	English
0.002100076474603349	0.002100076474603349	0	scr	bigram.prob	20	English
-0.01312004061543638	-0.01312004061543638	0	scr	seg.h.prop	20	English
-0.0119144102126622	-0.0119144102126622	0	scr	redun.prop	21	English
0.005341559677342538	0.005341559677342538	0	scr	bigram.prob	21	English
-0.012147735421774187	-0.012147735421774187	0	scr	seg.h.prop	21	English
-0.005974876963265998	-0.005974876963265998	0	scr	redun.prop	22	English
0.010362302160647973	0.010362302160647973	0	scr	bigram.prob	22	English
