word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
ecstatic	|kst@t|k	3.0589770949251687	18.31693146298698	8	1	29.849176944911587	29.849176944911587	1	7	0.875	4.2641681349873695	1	0.5161223588426107	2.8296284330253094	0.9347289164028127	3.1174372116966373	English
the	Dx	59664.60416100584	4.065393076769948	2	2	4.142957953842043	0	0	0	0	0	0	-2.0618192912646305	2.8973731623368892	0	0	English
is	Iz	16088.63215821929	5.956226713157417	2	2	4.936327981961763	0	0	0	0	0	0	-1.6171064400617572	2.8973731623368892	0	0	English
they	De	7550.167265694301	7.047687876496554	2	2	5.7279204545632	0	0	0	0	0	0	-1.360401251099121	2.8973731623368892	0	0	English
were	wX	5141.561771172872	7.601989831897994	2	2	5.415037499278844	0	0	0	0	0	0	-1.2300327203780033	2.8973731623368892	0	0	English
us	^s	891.8489057782639	10.129325263490546	2	2	3.7336065820762916	0	0	0	0	0	0	-0.6356184239003344	2.8973731623368892	0	0	English
each	iC	362.8277534807728	11.426839762549749	2	2	5.987651607572355	0	0	0	0	0	0	-0.33045071308252055	2.8973731623368892	0	0	English
oil	Ol	195.93988418844998	12.315713484830306	2	2	2.807354922057604	0	0	0	0	0	0	-0.12139288811705928	2.8973731623368892	0	0	English
oath	oT	22.63643050244625	15.42940619224539	2	2	7.695808269409446	0	0	0	0	0	0	0.6109291602307232	2.8973731623368892	0	0	English
zoo	zu	14.550809965049451	16.066953209978628	2	2	5.994353436858858	0	0	0	0	0	0	0.7608764356418624	2.8973731623368892	0	0	English
ash	@S	9.524166522577822	16.678387922060978	2	2	5.218598848178002	0	0	0	0	0	0	0.9046822517125205	2.8973731623368892	0	0	English
jaw	Jc	7.176194914581206	17.08676169105881	2	2	7.1649069266756875	0	0	0	0	0	0	1.0007293389192318	2.8973731623368892	0	0	English
yea	ye	4.249497910247396	17.84268837430941	2	2	8.294620748891626	0	0	0	0	0	0	1.178518809203342	2.8973731623368892	0	0	English
thou	DW	4.150287842303878	17.876769369552516	2	2	5.7279204545632	0	0	0	0	0	0	1.1865344570502618	2.8973731623368892	0	0	English
owl	Wl	3.9684027177407595	17.94142232789477	2	2	5.772589503896928	0	0	0	0	0	0	1.201740449206196	2.8973731623368892	0	0	English
ace	es	3.9518677064168393	17.947446115522542	2	2	4.459431618637297	0	0	0	0	0	0	1.2031572083115107	2.8973731623368892	0	0	English
thy	DY	2.629066800503253	18.535429968218935	2	2	5.7279204545632	0	0	0	0	0	0	1.3414475214103625	2.8973731623368892	0	0	English
itch	IC	1.636966121068063	19.21895630342368	2	2	6.660693539348336	0	0	0	0	0	0	1.502208859452724	2.8973731623368892	0	0	English
chow	CW	1.4054759625331856	19.43892198736559	2	2	7.7279204545632	0	0	0	0	0	0	1.5539434830547714	2.8973731623368892	0	0	English
this	DIs	10819.188609467225	6.528676080155076	3	2	7.757357840916443	3.6143998870744007	0.4659318238498845	1	0.3333333333333333	3.6143998870744007	0.4659318238498845	-2.835293295569713	2.9009964954532927	4.840156280958499	8.180478303236246	English
year	yIr	2933.311008863378	8.411666439427501	3	2	12.6333861933526	4.338765444460973	0.3434364609817701	1	0.3333333333333333	4.338765444460973	0.3434364609817701	-2.208689831953754	2.9009964954532927	5.844088058349976	5.995956948812437	English
other	^DX	1752.8434804260933	9.15449930574198	3	2	7.843397671983135	1.268488835925902	0.16172695673164503	1	0.3333333333333333	1.268488835925902	0.16172695673164503	-1.9614970385183832	2.9009964954532927	1.5888494964685302	2.7554400586870567	English
issue	ISu	769.4732869699332	10.342253334675341	3	2	10.323031798276997	5.825276830054866	0.5642990299639642	1	0.3333333333333333	5.825276830054866	0.5642990299639642	-1.5662476498061502	2.9009964954532927	7.904313040382795	9.934710114954482	English
old	old	761.48687650048	10.357305404050935	3	2	8.123414442191347	5.012568673503056	0.6170519440038419	1	0.3333333333333333	5.012568673503056	0.6170519440038419	-1.5612387665907421	2.9009964954532927	6.777943162925761	10.875479336988384	English
able	ebL	460.3016452352802	11.083544978375267	3	2	8.011567894608909	2.659051479888124	0.3319015097753132	1	0.3333333333333333	2.659051479888124	0.3319015097753132	-1.3195677296437234	2.9009964954532927	3.5160946732876783	5.790248368154802	English
