word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
Bc	Bc	16.85236328986962	15.830345128906243	2	1	0	0	0	1	0.5	0	0	0.6849431456836116	2.8780625378180003	-0.125	0	Finnish
4h	4h	14.752299556824328	16.022356194515478	2	1	0	0	0	1	0.5	0	0	0.759420266633294	2.8780625378180003	-0.125	0	Finnish
Dr	Dr	14.130058450736835	16.084528617157773	2	1	1.5849625007211563	1.5849625007211563	1	1	0.5	1.5849625007211563	1	0.7835356634526025	2.8780625378180003	7.875	9.695896898516747	Finnish
åbo	åbo	21.0524907559602	15.509305119636883	3	1	4.066089190457772	4.066089190457772	1	2	0.6666666666666666	2.033044595228886	1	0.5897251970441901	3.2483569317947834	0.5456217382238654	6.28181289774938	Finnish
OPera	OPera	98.72892216588232	13.279823273514117	5	1	15.246154464254902	15.246154464254902	1	4	0.8	3.8115386160637255	1	-0.5583704618430905	3.772523473072647	0.9053471438825572	5.48196730290887	Finnish
zyskowicz	zyskowicz	19.23762086320501	15.639365660201257	9	1	38.224330909256146	38.224330909256146	1	8	0.8888888888888888	4.778041363657018	1	0.5324367165914737	3.2953675870766137	1.73459926412766	3.721667720932247	Finnish
tv	tv	340.21032475333715	11.49494103105281	2	2	9.487840033823051	0	0	0	0	0	0	-0.9966704339144289	1.0700488922656668	0	-0.10206207261596575	Finnish
ns	ns	272.3860441898003	11.815715167667346	2	2	4.845991770664573	0	0	0	0	0	0	-0.8722487809520398	1.0700488922656668	0	-0.10206207261596575	Finnish
mk	mk	223.9549447659904	12.098159435615038	2	2	10.827342704234116	0	0	0	0	0	0	-0.7626944912618048	1.0700488922656668	0	-0.10206207261596575	Finnish
km	km	79.28388760064816	13.596268345461255	2	2	9.94982671075911	0	0	0	0	0	0	-0.18160903079422044	1.0700488922656668	0	-0.10206207261596575	Finnish
ay	ay	71.99848131687374	13.735329575003213	2	2	9.396298963471994	0	0	0	0	0	0	-0.1276700560838488	1.0700488922656668	0	-0.10206207261596575	Finnish
vr	vr	63.987127075997265	13.905514357672642	2	2	10.649256177517314	0	0	0	0	0	0	-0.0616588988494978	1.0700488922656668	0	-0.10206207261596575	Finnish
cd	cd	59.501805769616574	14.01036259852089	2	2	5.20945336562895	0	0	0	0	0	0	-0.02099043481988675	1.0700488922656668	0	-0.10206207261596575	Finnish
Mk	Mk	58.490663972224404	14.035089684423266	2	2	6.94251450533924	0	0	0	0	0	0	-0.011399309633215065	1.0700488922656668	0	-0.10206207261596575	Finnish
dl	dl	49.31260765743387	14.281339505961496	2	2	8.980139577639157	0	0	0	0	0	0	0.08411590291117302	1.0700488922656668	0	-0.10206207261596575	Finnish
cm	cm	44.02355825569017	14.445020293269021	2	2	6.20945336562895	0	0	0	0	0	0	0.1476042948679724	1.0700488922656668	0	-0.10206207261596575	Finnish
xa	xa	43.47909728786362	14.462974063257713	2	2	1	0	0	0	0	0	0	0.15456819090546345	1.0700488922656668	0	-0.10206207261596575	Finnish
pk	pk	40.575305459455315	14.56269409500208	2	2	9.468624042918018	0	0	0	0	0	0	0.19324752869136963	1.0700488922656668	0	-0.10206207261596575	Finnish
tk	tk	28.908284720314807	15.051813042014393	2	2	5.6465377798421095	0	0	0	0	0	0	0.38296665170042093	1.0700488922656668	0	-0.10206207261596575	Finnish
tl	tl	26.263760019442962	15.190222578020922	2	2	9.487840033823051	0	0	0	0	0	0	0.4366528479674966	1.0700488922656668	0	-0.10206207261596575	Finnish
pm	pm	22.608093521178933	15.406456712045134	2	2	10.468624042918018	0	0	0	0	0	0	0.5205255961451755	1.0700488922656668	0	-0.10206207261596575	Finnish
pK	pK	22.322899680888835	15.424771609425216	2	2	10.468624042918018	0	0	0	0	0	0	0.5276295660285224	1.0700488922656668	0	-0.10206207261596575	Finnish
ey	ey	22.141412691613315	15.436548777201569	2	2	7.3878450129655775	0	0	0	0	0	0	0.5321976858196453	1.0700488922656668	0	-0.10206207261596575	Finnish
xc	xc	21.93399898958415	15.45012718370211	2	2	2	0	0	0	0	0	0	0.5374644688565293	1.0700488922656668	0	-0.10206207261596575	Finnish
yt	yt	21.104344181467493	15.505756052555812	2	2	3.9390818813697415	0	0	0	0	0	0	0.5590417565027677	1.0700488922656668	0	-0.10206207261596575	Finnish
tp	tp	20.30061608610448	15.561772539531018	2	2	11.072802534544207	0	0	0	0	0	0	0.5807693932011607	1.0700488922656668	0	-0.10206207261596575	Finnish
vt	vt	20.30061608610448	15.561772539531018	2	2	10.649256177517314	0	0	0	0	0	0	0.5807693932011607	1.0700488922656668	0	-0.10206207261596575	Finnish
aB	aB	18.356112629581062	15.707035486739063	2	2	12.203653885529597	0	0	0	0	0	0	0.6371138859229414	1.0700488922656668	0	-0.10206207261596575	Finnish
pn	pn	17.526457821464405	15.773761600539876	2	2	10.468624042918018	0	0	0	0	0	0	0.6629955653578085	1.0700488922656668	0	-0.10206207261596575	Finnish
dj	dj	16.074561907260254	15.898516631547823	2	2	6.980139577639157	0	0	0	0	0	0	0.711385461554569	1.0700488922656668	0	-0.10206207261596575	Finnish
vT	vT	15.659734503201923	15.936236297496981	2	2	10.649256177517314	0	0	0	0	0	0	0.7260161398134681	1.0700488922656668	0	-0.10206207261596575	Finnish
wc	wc	15.167126960882658	15.982348222351293	2	2	5.087462841250339	0	0	0	0	0	0	0.7439020017230439	1.0700488922656668	0	-0.10206207261596575	Finnish
vs	vs	15.063420109868074	15.99224668341753	2	2	10.649256177517314	0	0	0	0	0	0	0.7477414100389489	1.0700488922656668	0	-0.10206207261596575	Finnish
pc	pc	13.896718035954024	16.10855184636429	2	2	10.468624042918018	0	0	0	0	0	0	0.7928537771849479	1.0700488922656668	0	-0.10206207261596575	Finnish
fm	fm	12.730015962039973	16.235061822507365	2	2	6.426264754702098	0	0	0	0	0	0	0.8419243803017725	1.0700488922656668	0	-0.10206207261596575	Finnish
nk	nk	12.263335132474355	16.288944663482663	2	2	4.489847960439298	0	0	0	0	0	0	0.8628244198473933	1.0700488922656668	0	-0.10206207261596575	Finnish
jr	jr	12.10777485595248	16.307362297112398	2	2	9.929258408636972	0	0	0	0	0	0	0.869968238997068	1.0700488922656668	0	-0.10206207261596575	Finnish
pt	pt	11.952214579430606	16.326018096392723	2	2	6.8836615421968625	0	0	0	0	0	0	0.8772044376765825	1.0700488922656668	0	-0.10206207261596575	Finnish
kc	kc	11.87443444116967	16.335437248725114	2	2	11.534789211480266	0	0	0	0	0	0	0.8808579320482594	1.0700488922656668	0	-0.10206207261596575	Finnish
ms	ms	11.615167313633215	16.367286114764454	2	2	8.019987782176512	0	0	0	0	0	0	0.8932114484489728	1.0700488922656668	0	-0.10206207261596575	Finnish
ovi	ovi	221.82895432019149	12.111920269657016	3	2	7.851051571805723	2.4843492508416265	0.3164352224819525	1	0.3333333333333333	2.4843492508416265	0.3164352224819525	-0.9389129804658676	1.8730445211558628	0.7645726560150917	1.7415951199091222	Finnish
dpa	dpa	115.68499230676653	13.051166238577919	3	2	10.08244140631136	2.1023018286722026	0.20851118731582347	1	0.3333333333333333	2.1023018286722026	0.20851118731582347	-0.5163034411982085	1.8730445211558628	0.5792219562528754	1.024766753040001	Finnish
Eva	Eva	95.77327691196672	13.323672885839622	3	2	8.546445371933538	1.5020512525750855	0.175751577083475	1	0.3333333333333333	1.5020512525750855	0.175751577083475	-0.39369028931111055	1.8730445211558628	0.28800977196300004	0.8071783551824195	Finnish
uLa	uLa	65.49087641570871	13.872002113034508	3	2	8.693100558137925	1.8512741642635202	0.21295901869333328	1	0.3333333333333333	1.8512741642635202	0.21295901869333328	-0.14697199640424255	1.8730445211558628	0.45743562670871074	1.0543091223328258	Finnish
nhl	nhl	44.82728635105319	14.418918883179778	3	2	13.0264906385882	6.060204634205916	0.46522158594685914	1	0.3333333333333333	6.060204634205916	0.46522158594685914	0.09911076774580854	1.8730445211558628	2.4994025726560096	2.7298299071904726	Finnish
jne	jne	41.76793424612301	14.520900258115491	3	2	11.31713069812704	1.3878722894900668	0.12263464357796598	1	0.3333333333333333	1.3878722894900668	0.12263464357796598	0.14499683305943412	1.8730445211558628	0.23261573060091123	0.4543771961149401	Finnish
Iro	Iro	31.50095599567937	14.927900438328917	3	2	7.44864403812853	3.8202592571162457	0.5128798258529863	1	0.3333333333333333	3.8202592571162457	0.5128798258529863	0.32812475091407584	1.8730445211558628	1.4126907694061062	3.046374578886436	Finnish
Ate	Ate	29.297185411619495	15.03253397951951	3	2	6.693885521596856	3.2494352944979727	0.48543335317195646	1	0.3333333333333333	3.2494352944979727	0.48543335317195646	0.3752041466183802	1.8730445211558628	1.1357549369077558	2.864075889275957	Finnish
