word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
1bl	1bl	75.70930113432415	13.667924699815442	3	1	4.386359967482361	4.386359967482361	1	2	0.6666666666666666	2.1931799837411803	1	-0.20928571878072	4.959277813809283	2.861764086861854	13.926890702396264	French
s2	s2	8342.184357690967	6.884113865579091	2	2	8.18262007429068	0	0	0	0	0	0	-2.3157952784506435	3.163297585258653	0	0	French
k2	k2	253.31857073021254	11.925514311221571	2	2	9.632389404549178	0	0	0	0	0	0	-0.5367953344803424	3.163297585258653	0	0	French
9f	9f	239.97960295192047	12.00355536652419	2	2	5.7233765294182515	0	0	0	0	0	0	-0.5092563530985434	3.163297585258653	0	0	French
v2	v2	174.07657493314434	12.466745079772112	2	2	7.020781562136503	0	0	0	0	0	0	-0.3458068348941507	3.163297585258653	0	0	French
Ef	Ef	81.16061445011015	13.56761546322139	2	2	7.604367899893749	0	0	0	0	0	0	0.04266624348779154	3.163297585258653	0	0	French
if	if	43.79323211229209	14.45768732042863	2	2	4.154277396411836	0	0	0	0	0	0	0.35675313286986005	3.163297585258653	0	0	French
n@	n@	36.30148308612807	14.728366760405766	2	2	4.656249585356452	0	0	0	0	0	0	0.4522699865190193	3.163297585258653	0	0	French
6s	6s	28.38337435928806	15.083349136213647	2	2	2.489384840738925	0	0	0	0	0	0	0.5775355022188305	3.163297585258653	0	0	French
g2	g2	26.22112159157405	15.197665853471085	2	2	6.805206455479027	0	0	0	0	0	0	0.6178753712271797	3.163297585258653	0	0	French
6z	6z	7.400386233162015	17.022722777262146	2	2	6.675251386050259	0	0	0	0	0	0	1.2618980391692296	3.163297585258653	0	0	French
N6	N6	6.212669924136013	17.27510993889643	2	2	3.101538026462062	0	0	0	0	0	0	1.3509599479081604	3.163297585258653	0	0	French
Od	Od	5.847218752128011	17.36257278014677	2	2	6.2112246304811425	0	0	0	0	0	0	1.381823671463056	3.163297585258653	0	0	French
j6	j6	5.17722493678001	17.538144344730227	2	2	1.5673837535833202	0	0	0	0	0	0	1.4437790362321292	3.163297585258653	0	0	French
us	us	5.05540787944401	17.572495849521005	2	2	3.9933871769283473	0	0	0	0	0	0	1.4559009308836262	3.163297585258653	0	0	French
6kl	6kl	771.7719667522294	10.318292514321179	3	2	8.652288961986883	4.240071981770417	0.4900520544793202	1	0.3333333333333333	4.240071981770417	0.4900520544793202	-1.5998579522423995	3.074848634801091	5.694652393755762	6.754147892448194	French
9vR	9vR	255.5721862909285	11.91273631829066	3	2	8.107188287365268	4.046776770669448	0.49915909526564084	1	0.3333333333333333	4.046776770669448	0.49915909526564084	-0.9379377297127085	3.074848634801091	5.427132786549449	6.882244224424368	French
ON6	ON6	121.69524027866424	12.983194413075509	3	2	9.45026618069314	3.101538026462062	0.32819583778481215	1	0.3333333333333333	3.101538026462062	0.32819583778481215	-0.493545861812008	3.074848634801091	4.118927083333868	4.477537064345839	French
aNo	aNo	98.24545674148419	13.292004557712286	3	2	10.817533133169002	3.8791456051256143	0.3585979869320924	1	0.3333333333333333	3.8791456051256143	0.3585979869320924	-0.3653458718540592	3.074848634801091	5.195132090275615	4.905162665387269	French
jOt	jOt	42.331427424260085	14.506666113257058	3	2	9.698720167536315	4.27833882633968	0.44112406095189677	1	0.3333333333333333	4.27833882633968	0.44112406095189677	0.13891087594904217	3.074848634801091	5.747613515606042	6.065944484901021	French
p1k	p1k	38.920549818852074	14.627863159920933	3	2	13.303495376790377	2.321928094887362	0.17453519012290997	1	0.3333333333333333	2.321928094887362	0.17453519012290997	0.1892248323882551	3.074848634801091	3.0399508299591256	2.3162021371828136	French
