word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
ix	ix	24.784624732104824	15.244865702262542	2	2	7.481799431665752	0	0	0	0	0	0	0.43084039578166583	3.9183329788742216	0	0	Georgian
eh	eh	20.327064076582566	15.530909261451372	2	2	12.50754690343482	0	0	0	0	0	0	0.5259889033581842	3.9183329788742216	0	0	Georgian
oh	oh	20.128787078725725	15.545050876262323	2	2	9.17907971658543	0	0	0	0	0	0	0.5306929195849425	3.9183329788742216	0	0	Georgian
iQo	iQo	1470.6425238817117	9.354008320972158	3	2	10.369985428336399	1.9877216702215632	0.19168027611591762	1	0.3333333333333333	1.9877216702215632	0.19168027611591762	-1.9627301793505463	2.437920077606902	2.453765718546122	2.4257190742131676	Georgian
3re	3re	222.67241218574299	12.077460194587646	3	2	7.369446505177198	2.6498344777612597	0.3595703525223628	1	0.3333333333333333	2.6498344777612597	0.3595703525223628	-0.8432101996451904	2.437920077606902	3.382097583723407	4.799215815783304	Georgian
ezo	ezo	113.44381714416456	13.050405040137447	3	2	10.43101305524552	3.2453942466980634	0.31112934376647416	1	0.3333333333333333	3.2453942466980634	0.31112934376647416	-0.443265113669301	2.437920077606902	4.217117092220844	4.1143952540121	Georgian
tma	tma	67.06903042320397	13.80866437113853	3	2	7.664174003922175	2.124394812223681	0.2771850966766298	1	0.3333333333333333	2.124394812223681	0.2771850966766298	-0.13157006259178752	2.437920077606902	2.6453917245524456	3.6345184108581696	Georgian
2ma	2ma	46.7860279017007	14.328233366981896	3	2	8.589280860953085	2.124394812223681	0.24733092870221424	1	0.3333333333333333	2.124394812223681	0.24733092870221424	0.08200737467348383	2.437920077606902	2.6453917245524456	3.2124638622735295	Georgian
2la	2la	38.223399031290555	14.619855040901317	3	2	9.615411331963244	2.980600281791528	0.3099815680150376	1	0.3333333333333333	2.980600281791528	0.3099815680150376	0.20188329156806142	2.437920077606902	3.8458560736599927	4.098168910773726	Georgian
Tba	Tba	37.628568037720036	14.642482728746451	3	2	9.958156526337415	0.8177527691629289	0.08211889088107117	1	0.3333333333333333	0.8177527691629289	0.08211889088107117	0.21118477726075105	2.437920077606902	0.8133814822782516	0.8768271061895259	Georgian
Sla	Sla	15.17920572481798	15.95221481566265	3	2	9.274514000509294	2.980600281791528	0.3213753606526286	1	0.3333333333333333	2.980600281791528	0.3213753606526286	0.7495718343514072	2.437920077606902	3.8458560736599927	4.259245314324698	Georgian
xda	xda	14.62843628632676	16.005535557020018	3	2	6.777215060060165	1.3671453683037849	0.2017267205169151	1	0.3333333333333333	1.3671453683037849	0.2017267205169151	0.7714902078172946	2.437920077606902	1.5836711526596077	2.5677477370175503	Georgian
bma	bma	12.403327754822238	16.24358387628671	3	2	10.397931423008762	2.124394812223681	0.20430936941195585	1	0.3333333333333333	2.124394812223681	0.20430936941195585	0.8693439103688849	2.437920077606902	2.6453917245524456	2.604259178719197	Georgian
oTi	oTi	8.804967423346278	16.737921545673874	3	2	7.045590765869891	1.656587979910229	0.23512407049456224	1	0.3333333333333333	1.656587979910229	0.23512407049456224	1.0725495931868534	2.437920077606902	1.9894914244239252	3.0398929825597696	Georgian
Qda	Qda	7.556556696099516	16.95851022219413	3	2	6.430155165829585	1.3671453683037849	0.21261467772487305	1	0.3333333333333333	1.3671453683037849	0.21261467772487305	1.1632262205411477	2.437920077606902	1.5836711526596077	2.7216730404576484	Georgian
Cori	Cori	49.05519798828452	14.259905101726682	4	2	9.002732966332346	4.865229442582411	0.54041694458527	2	0.5	2.4326147212912055	0.54041694458527	-0.15548760113074456	2.6933488865999484	1.1172192513804384	4.7112244484725325	Georgian
2sKa	2sKa	13.519553816831106	16.11926357773819	4	2	17.293283162400634	7.658472112228917	0.44285819183716973	2	0.5	3.8292360561144587	0.44285819183716973	0.755572807445294	2.6933488865999484	2.1680313046600035	3.7654475045414397	Georgian
uoci	uoci	7.571243881125948	16.955708871719988	4	2	19.33981076401885	10.61132332377695	0.5486777225100364	2	0.5	5.305661661888475	0.5486777225100364	1.1654196450068333	2.6933488865999484	3.2788877577545423	4.791308019450034	Georgian
dgoma	dgoma	594.5225626849608	10.660651459646273	5	2	14.0212016492779	9.345009477383485	0.666491340124529	3	0.6	3.1150031591278284	0.666491340124529	-2.088072924803634	2.347480901208509	0.638488056380695	2.962337458262799	Georgian
xSiri	xSiri	561.3221809327101	10.743553953018882	5	2	16.166602420315307	8.920031460841805	0.5517567160328443	3	0.6	2.973343820280602	0.5517567160328443	-2.0452266251920688	2.347480901208509	0.5424532815770766	2.303848333413319	Georgian
spero	spero	361.73802360851903	11.377437769352703	5	2	16.95543743346475	9.066140897870968	0.5347040401315292	3	0.6	3.022046965956989	0.5347040401315292	-1.717617951331183	2.347480901208509	0.575470487963334	2.2059789960664196	Georgian
mkone	mkone	177.1641693813419	12.40729616715793	5	2	19.18058004342806	10.008152534782576	0.5217857078421214	3	0.6	3.3360508449275255	0.5217857078421214	-1.1853586708831902	2.347480901208509	0.7883423822541812	2.1318376338480776	Georgian
jdoma	jdoma	117.70310080182998	12.997230694657299	5	2	14.688757935543382	9.468206861031103	0.6445886645133039	3	0.6	3.156068953677034	0.6445886645133039	-0.8804642040444343	2.347480901208509	0.6663276916900039	2.836632826297713	Georgian
bneli	bneli	43.76046778625561	14.424682956974461	5	2	14.079672407116501	6.636210794889108	0.4713327556921614	3	0.6	2.2120702649630357	0.4713327556921614	-0.1427174267845912	2.347480901208509	0.026364931569196077	1.8422762170542117	Georgian
ijara	ijara	37.08514219174204	14.663469816561578	5	2	15.554175066281182	7.434945714000137	0.4780032166487466	3	0.6	2.4783152380000457	0.4780032166487466	-0.019305778799649446	2.347480901208509	0.20685974565116436	1.88055956902767	Georgian
gdeba	gdeba	30.637467965138175	14.939014046568332	5	2	12.251719491085343	5.307641935711423	0.43321608363408876	3	0.6	1.7692139785704744	0.43321608363408876	0.1231030940197068	2.347480901208509	-0.27385956531302286	1.6235156273508116	Georgian
lxini	lxini	18.38101206058026	15.676094913399766	5	2	16.971096735155413	8.358228237864372	0.4924978254676027	3	0.6	2.786076079288124	0.4924978254676027	0.5040468554608589	2.347480901208509	0.4154993124244311	1.9637475547967875	Georgian
oueni	oueni	14.452190066009571	16.023022983748856	5	2	19.643507383823245	12.338896785153954	0.6281412246834922	3	0.6	4.112965595051318	0.6281412246834922	0.6833488696841196	2.347480901208509	1.3150343298299951	2.742237081810918	Georgian
bgera	bgera	14.253913068152732	16.042953086374432	5	2	19.659698200446947	9.216236588219553	0.46878830459411786	3	0.6	3.072078862739851	0.46878830459411786	0.693649297495701	2.347480901208509	0.6093884913907098	1.827673010829087	Georgian
