word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
ƴan	ƴan	7.909278082724389	16.91581121295028	3	1	2.6078316082673814	2.6078316082673814	1	2	0.6666666666666666	1.3039158041336907	1	0.9919215874848295	4.6067243489396175	0.9642743967228624	13.285400574422734	Hausa
oi	oi	1005.7271498874801	9.925333987068788	2	2	6.741466986401147	0	0	0	0	0	0	-3.005324403522428	0.976014003261371	0	0	Hausa
yd	yd	442.91957263256575	11.108456290892677	2	2	8.824958740528523	0	0	0	0	0	0	-2.326287149444767	0.976014003261371	0	0	Hausa
bn	bn	163.18089518041896	12.549028882278659	2	2	7.858869080745575	0	0	0	0	0	0	-1.4994897392423774	0.976014003261371	0	0	Hausa
rd	rd	159.85067282979816	12.578776225672712	2	2	5.866733469136536	0	0	0	0	0	0	-1.4824166485660224	0.976014003261371	0	0	Hausa
yg	yg	143.61583887052177	12.733286174728336	2	2	8.50303064564116	0	0	0	0	0	0	-1.3937377256894001	0.976014003261371	0	0	Hausa
ss	ss	103.65317066307225	13.203736794325787	2	2	4.9220769994231945	0	0	0	0	0	0	-1.1237288721008043	0.976014003261371	0	0	Hausa
sb	sb	91.99739243589946	13.375836167002436	2	2	8.314394422201955	0	0	0	0	0	0	-1.0249547343188194	0.976014003261371	0	0	Hausa
dw	dw	88.66717008527866	13.429029106168029	2	2	9.700439718141093	0	0	0	0	0	0	-0.994425356898934	0.976014003261371	0	0	Hausa
mm	mm	87.41833670379587	13.449493208727745	2	2	4.814118624276905	0	0	0	0	0	0	-0.9826802583876464	0.976014003261371	0	0	Hausa
ms	ms	73.26489171365749	13.70430710775657	2	2	6.204065142592919	0	0	0	0	0	0	-0.8364332222713267	0.976014003261371	0	0	Hausa
km	km	68.2695581877263	13.806186721775784	2	2	11.395534135462302	0	0	0	0	0	0	-0.777960777684231	0.976014003261371	0	0	Hausa
rt	rt	63.27422466179511	13.915811212950281	2	2	5.409875794163065	0	0	0	0	0	0	-0.7150432642317321	0.976014003261371	0	0	Hausa
tt	tt	61.192835692657106	13.964066381557503	2	2	4.272540067925199	0	0	0	0	0	0	-0.6873478543149398	0.976014003261371	0	0	Hausa
dl	dl	60.776557898829516	13.97391416751385	2	2	8.700439718141093	0	0	0	0	0	0	-0.6816958490125883	0.976014003261371	0	0	Hausa
df	df	57.03005775438111	14.06570664343334	2	2	9.700439718141093	0	0	0	0	0	0	-0.6290127826956857	0.976014003261371	0	0	Hausa
nm	nm	40.79522379510474	14.549028882278659	2	2	5.935110469255977	0	0	0	0	0	0	-0.35161643504890483	0.976014003261371	0	0	Hausa
kk	kk	39.13011261979434	14.60914987471623	2	2	5.588179213404699	0	0	0	0	0	0	-0.31711079392855174	0.976014003261371	0	0	Hausa
ck	ck	37.465001444483946	14.671885630064192	2	2	5.949201400466483	0	0	0	0	0	0	-0.28110444453738254	0.976014003261371	0	0	Hausa
kb	kb	37.04872365065635	14.68800529542747	2	2	10.395534135462302	0	0	0	0	0	0	-0.27185277776586353	0.976014003261371	0	0	Hausa
lk	lk	35.799890269173545	14.73747397169177	2	2	5.6019213278809925	0	0	0	0	0	0	-0.24346089132707358	0.976014003261371	0	0	Hausa
bm	bm	35.38361247534595	14.754347790256165	2	2	9.66622400280318	0	0	0	0	0	0	-0.23377638839213677	0.976014003261371	0	0	Hausa
ty	ty	34.96733468151835	14.771421303615107	2	2	8.972979786066292	0	0	0	0	0	0	-0.22397727329537725	0.976014003261371	0	0	Hausa
zz	zz	33.71850130003555	14.823888723509242	2	2	4.911463325398342	0	0	0	0	0	0	-0.19386429797718344	0.976014003261371	0	0	Hausa
nn	nn	31.637112330897555	14.915811212950281	2	2	4.581473514641276	0	0	0	0	0	0	-0.14110661213499587	0.976014003261371	0	0	Hausa
jy	jy	28.306889980276758	15.076275885143527	2	2	9.321928094887362	0	0	0	0	0	0	-0.04901005539660394	0.976014003261371	0	0	Hausa
rr	rr	28.306889980276758	15.076275885143527	2	2	5.811238356544832	0	0	0	0	0	0	-0.04901005539660394	0.976014003261371	0	0	Hausa
cj	cj	27.89061218644916	15.097649535936094	2	2	9.756556322524087	0	0	0	0	0	0	-0.036742933817633265	0.976014003261371	0	0	Hausa
sg	sg	27.89061218644916	15.097649535936094	2	2	8.314394422201955	0	0	0	0	0	0	-0.036742933817633265	0.976014003261371	0	0	Hausa
zg	zg	27.474334392621557	15.119344607035414	2	2	7.718818247455947	0	0	0	0	0	0	-0.024291337343889136	0.976014003261371	0	0	Hausa
tl	tl	26.64177880496636	15.163738726393868	2	2	7.972979786066291	0	0	0	0	0	0	0.0011880748934850222	0.976014003261371	0	0	Hausa
zm	zm	26.64177880496636	15.163738726393868	2	2	8.303780748177102	0	0	0	0	0	0	0.0011880748934850222	0.976014003261371	0	0	Hausa
zy	zy	26.64177880496636	15.163738726393868	2	2	5.844349129539806	0	0	0	0	0	0	0.0011880748934850222	0.976014003261371	0	0	Hausa
mk	mk	26.22550101113876	15.18645880289395	2	2	9.06204613772049	0	0	0	0	0	0	0.014227959535324014	0.976014003261371	0	0	Hausa
oz	oz	26.22550101113876	15.18645880289395	2	2	8.326429487122303	0	0	0	0	0	0	0.014227959535324014	0.976014003261371	0	0	Hausa
kc	kc	24.976667629655964	15.256848130785349	2	2	11.395534135462302	0	0	0	0	0	0	0.05462697472865244	0.976014003261371	0	0	Hausa
mj	mj	24.976667629655964	15.256848130785349	2	2	11.06204613772049	0	0	0	0	0	0	0.05462697472865244	0.976014003261371	0	0	Hausa
dk	dk	24.560389835828364	15.281095677032026	2	2	9.700439718141093	0	0	0	0	0	0	0.0685435302430311	0.976014003261371	0	0	Hausa
sn	sn	23.727834248173167	15.330848712229125	2	2	8.314394422201955	0	0	0	0	0	0	0.0970986206957054	0.976014003261371	0	0	Hausa
kg	kg	23.311556454345563	15.356383804336263	2	2	11.395534135462302	0	0	0	0	0	0	0.11175414597065773	0.976014003261371	0	0	Hausa
lc	lc	23.311556454345563	15.356383804336263	2	2	7.48944659862258	0	0	0	0	0	0	0.11175414597065773	0.976014003261371	0	0	Hausa
gk	gk	22.895278660517967	15.382379012869208	2	2	7.92955431573285	0	0	0	0	0	0	0.126673748926613	0.976014003261371	0	0	Hausa
tc	tc	22.895278660517967	15.382379012869208	2	2	8.972979786066292	0	0	0	0	0	0	0.126673748926613	0.976014003261371	0	0	Hausa
ue	ue	22.895278660517967	15.382379012869208	2	2	8.919856486911685	0	0	0	0	0	0	0.126673748926613	0.976014003261371	0	0	Hausa
ls	ls	22.062723072862767	15.435818271830668	2	2	6.004019771452338	0	0	0	0	0	0	0.15734449830548355	0.976014003261371	0	0	Hausa
mz	mz	22.062723072862767	15.435818271830668	2	2	11.06204613772049	0	0	0	0	0	0	0.15734449830548355	0.976014003261371	0	0	Hausa
bk	bk	21.646445279035166	15.463299008252775	2	2	8.344295907915816	0	0	0	0	0	0	0.173116700164741	0.976014003261371	0	0	Hausa
zw	zw	21.646445279035166	15.463299008252775	2	2	9.303780748177102	0	0	0	0	0	0	0.173116700164741	0.976014003261371	0	0	Hausa
dc	dc	21.23016748520757	15.491313384422371	2	2	9.115477217419937	0	0	0	0	0	0	0.18919517743409733	0.976014003261371	0	0	Hausa
sd	sd	21.23016748520757	15.491313384422371	2	2	8.899356922923111	0	0	0	0	0	0	0.18919517743409733	0.976014003261371	0	0	Hausa
cs	cs	20.39761189755237	15.549028882278659	2	2	8.171593821802931	0	0	0	0	0	0	0.22232021704783145	0.976014003261371	0	0	Hausa
