word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
tyúk	cuuk	17.6936840507633	15.556416152088445	4	1	10.958079744874103	10.958079744874103	1	3	0.75	3.6526932482913677	1	0.6381219886213976	4.242869473805177	1.62695814432801	7.275426026360359	Hungarian
dzurinda	2urinda	8.423014495169214	16.627242064955453	7	1	17.8734038472255	17.8734038472255	1	6	0.8571428571428571	2.97890064120425	1	1.0677202119225535	3.1754841240166387	0.3295353774854048	4.00934128722524	Hungarian
öcs	0C	35.904883822628086	14.535470524511767	2	2	9.832890014164741	0	0	0	0	0	0	0.24626075310872284	2.241262102912885	0	0	Hungarian
kny	kN	17.122632220582332	15.603746118121913	2	2	9.323617763291578	0	0	0	0	0	0	0.5800244922249502	2.241262102912885	0	0	Hungarian
uo	uo	15.471935523965483	15.74999693109546	2	2	9.539158811108031	0	0	0	0	0	0	0.6257179616618761	2.241262102912885	0	0	Hungarian
ogy	oJ	14.499362875688531	15.843661111514114	2	2	6.722031262632718	0	0	0	0	0	0	0.6549816715741664	2.241262102912885	0	0	Hungarian
hgy	hJ	13.616017075877352	15.934345867482763	2	2	10.14720492494223	0	0	0	0	0	0	0.6833145132247496	2.241262102912885	0	0	Hungarian
ui	ui	11.528108821778204	16.174494759623368	2	2	9.539158811108031	0	0	0	0	0	0	0.7583447700844027	2.241262102912885	0	0	Hungarian
mny	mN	8.378401070936325	16.63490376666352	2	2	10.98299357469431	0	0	0	0	0	0	0.9021913885334898	2.241262102912885	0	0	Hungarian
usa	uSa	70.65874130004768	13.558782569315952	3	2	6.082159546914296	2.619816332857095	0.43073785102961076	1	0.3333333333333333	2.619816332857095	0.43073785102961076	-0.04010327940828392	2.909977455256858	2.50387205149886	5.253608606491337	Hungarian
atya	aca	66.66137848878093	13.642799467700456	3	2	11.171688583209967	0.862496476250065	0.07720377003225089	1	0.3333333333333333	0.862496476250065	0.07720377003225089	-0.008755161326010525	2.909977455256858	0.6531394333165967	0.749321300012666	Hungarian
nyög	N0g	15.19533229372158	15.776022394638751	3	2	11.471350063378523	5.189033824390017	0.45234726477013737	1	0.3333333333333333	5.189033824390017	0.45234726477013737	0.787186196844954	2.909977455256858	5.209659843577332	5.528928620158213	Hungarian
oep	oEp	15.052569336176338	15.789640856029727	3	2	17.995244072487054	6.813781191217037	0.3786434439994417	1	0.3333333333333333	6.813781191217037	0.3786434439994417	0.7922674738736468	2.909977455256858	6.920772898373324	4.589887090131289	Hungarian
lyó	Loo	12.92897034269088	16.009043234760366	3	2	4.876951839460062	2.2330956496853376	0.4578875746971839	1	0.3333333333333333	2.2330956496853376	0.4578875746971839	0.8741301920675882	2.909977455256858	2.096594696849502	5.599516291954811	Hungarian
uck	u1k	11.974243064107082	16.11971615811711	3	2	12.080532043281504	4.348728154231077	0.3599781978683289	1	0.3333333333333333	4.348728154231077	0.3599781978683289	0.9154241214628384	2.909977455256858	4.324686566140324	4.352077962978709	Hungarian
