r	b	b0	lex.type	test	i	language
-0.192872697687624	-0.192872697687624	0	og	redun.prop	1	Japanese
0.06644026874801529	0.06644026874801529	0	og	bigram.prob	1	Japanese
-0.04618616220614026	-0.04618616220614026	0	og	seg.h.prop	1	Japanese
-1.0371469809133583e-4	-1.0371469809133583e-4	0	scr	redun.prop	2	Japanese
-0.009514065534256136	-0.009514065534256136	0	scr	bigram.prob	2	Japanese
0.024059049469735187	0.024059049469735187	0	scr	seg.h.prop	2	Japanese
0.02976721334454834	0.02976721334454834	0	scr	redun.prop	3	Japanese
0.026806700590856915	0.026806700590856915	0	scr	bigram.prob	3	Japanese
0.006333832189415738	0.006333832189415738	0	scr	seg.h.prop	3	Japanese
-0.010140501888817535	-0.010140501888817535	0	scr	redun.prop	4	Japanese
0.0863655696204814	0.0863655696204814	0	scr	bigram.prob	4	Japanese
-0.04439959339890729	-0.04439959339890729	0	scr	seg.h.prop	4	Japanese
-0.01577366683100068	-0.01577366683100068	0	scr	redun.prop	5	Japanese
-0.008304041865518226	-0.008304041865518226	0	scr	bigram.prob	5	Japanese
-0.022727864534594792	-0.022727864534594792	0	scr	seg.h.prop	5	Japanese
0.002040070691343743	0.002040070691343743	0	scr	redun.prop	6	Japanese
-0.049113218790469655	-0.049113218790469655	0	scr	bigram.prob	6	Japanese
0.017103008035386155	0.017103008035386155	0	scr	seg.h.prop	6	Japanese
0.013703317594572351	0.013703317594572351	0	scr	redun.prop	7	Japanese
0.00811494430898759	0.00811494430898759	0	scr	bigram.prob	7	Japanese
-0.04361753005690398	-0.04361753005690398	0	scr	seg.h.prop	7	Japanese
-0.01478056538520276	-0.01478056538520276	0	scr	redun.prop	8	Japanese
-0.015130173623902838	-0.015130173623902838	0	scr	bigram.prob	8	Japanese
-0.008578750177434652	-0.008578750177434652	0	scr	seg.h.prop	8	Japanese
-0.019719086110760287	-0.019719086110760287	0	scr	redun.prop	9	Japanese
0.01572099227015737	0.01572099227015737	0	scr	bigram.prob	9	Japanese
-0.039225419025599936	-0.039225419025599936	0	scr	seg.h.prop	9	Japanese
-0.03824254522353345	-0.03824254522353345	0	scr	redun.prop	10	Japanese
0.013839817957559947	0.013839817957559947	0	scr	bigram.prob	10	Japanese
0.01546529907847123	0.01546529907847123	0	scr	seg.h.prop	10	Japanese
0.023920363976010692	0.023920363976010692	0	scr	redun.prop	11	Japanese
0.018942998770243018	0.018942998770243018	0	scr	bigram.prob	11	Japanese
-0.015151518013915883	-0.015151518013915883	0	scr	seg.h.prop	11	Japanese
-0.009079365171149281	-0.009079365171149281	0	scr	redun.prop	12	Japanese
0.004240527153135661	0.004240527153135661	0	scr	bigram.prob	12	Japanese
-0.0013006742659415122	-0.0013006742659415122	0	scr	seg.h.prop	12	Japanese
0.0032108762334845465	0.0032108762334845465	0	scr	redun.prop	13	Japanese
0.03277893172541165	0.03277893172541165	0	scr	bigram.prob	13	Japanese
-0.008553224154871895	-0.008553224154871895	0	scr	seg.h.prop	13	Japanese
-0.011889060302114802	-0.011889060302114802	0	scr	redun.prop	14	Japanese
0.00257517720219225	0.00257517720219225	0	scr	bigram.prob	14	Japanese
-0.0018301627964672617	-0.0018301627964672617	0	scr	seg.h.prop	14	Japanese
0.002599040042321383	0.002599040042321383	0	scr	redun.prop	15	Japanese
-0.0032927352665948176	-0.0032927352665948176	0	scr	bigram.prob	15	Japanese
