word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
wo	wo	4781.857727737974	7.708051559240795	2	2	5.584962500721156	0	0	0	0	0	0	-0.8801297180902364	3.203277854165793	0	0	Japanese
et	et	2854.7210849539406	8.452272969409801	2	2	4.392317422778761	0	0	0	0	0	0	-0.6437414574811453	3.203277854165793	0	0	Japanese
eN	eN	447.79938587512794	11.124698311381296	2	2	1.8073549220576042	0	0	0	0	0	0	0.2051053635916822	3.203277854165793	0	0	Japanese
ie	ie	143.93551688843397	12.762128231996588	2	2	5.857980995127572	0	0	0	0	0	0	0.7252049005233477	3.203277854165793	0	0	Japanese
zo	zo	135.939099283521	12.844590392188561	2	2	5.7279204545632	0	0	0	0	0	0	0.7513974909910447	3.203277854165793	0	0	Japanese
j3	j3	55.97492323439099	14.124698311381296	2	2	6.658211482751795	0	0	0	0	0	0	1.1580002576880892	3.203277854165793	0	0	Japanese
iN	iN	39.982088024564995	14.610125138551538	2	2	2.975337945765731	0	0	0	0	0	0	1.3121871727107368	3.203277854165793	0	0	Japanese
z@	z@	39.982088024564995	14.610125138551538	2	2	4.7279204545632	0	0	0	0	0	0	1.3121871727107368	3.203277854165793	0	0	Japanese
iya	iya	2510.8751279426815	8.637432484547274	3	2	7.539533468975172	1.851477475289912	0.24556923620123913	1	0.3333333333333333	1.851477475289912	0.24556923620123913	-1.8084259504015427	1.9114064166304372	1.0286462903710127	1.8215264277879202	Japanese
uso	uso	655.7062436028659	10.574501228820816	3	2	7.162818259612193	2.6692787866546315	0.3726576174221054	1	0.3333333333333333	2.6692787866546315	0.3726576174221054	-0.8607921329582049	1.9114064166304372	1.6678134784053351	2.9325266179593314	Japanese
@da	@da	559.74923234391	10.802770216493935	3	2	6.574908836057233	1.989946335336077	0.3026576314523298	1	0.3333333333333333	1.989946335336077	0.3026576314523298	-0.7491206123515741	1.9114064166304372	1.1368690954412708	2.3205902869011785	Japanese
emu	emu	327.85312180143296	11.574501228820816	3	2	7.432265637106021	3.280956313831056	0.44144766535936086	1	0.3333333333333333	3.280956313831056	0.44144766535936086	-0.3715819176549125	1.9114064166304372	2.145880949802165	3.533885732034216	Japanese
a@u	a@u	263.8817809621289	11.887659114080448	3	2	14.10459875356437	5.584962500721156	0.39596748537846793	1	0.3333333333333333	5.584962500721156	0.39596748537846793	-0.21838188118312454	1.9114064166304372	3.9466180423249515	3.1363003027258602	Japanese
esu	esu	239.89252814738995	12.025162637830382	3	2	6.122996754097535	1.730679331318775	0.282652335257339	1	0.3333333333333333	1.730679331318775	0.282652335257339	-0.15111375272445762	1.9114064166304372	0.9342343483395784	2.145705001058691	Japanese
oya	oya	239.89252814738995	12.025162637830382	3	2	7.466187319405121	1.851477475289912	0.24798165329683036	1	0.3333333333333333	1.851477475289912	0.24798165329683036	-0.15111375272445762	1.9114064166304372	1.0286462903710127	1.8426156558214153	Japanese
enu	enu	231.89611054247698	12.074072238311329	3	2	11.594713376203707	6.327926835508806	0.5457596604755977	1	0.3333333333333333	6.327926835508806	0.5457596604755977	-0.1271866765427756	1.9114064166304372	4.527295057728058	4.445775908760069	Japanese
i$a	i$a	199.91044012282498	12.288197043664177	3	2	10.331912183459984	4.643856189774724	0.4494672532359421	1	0.3333333333333333	4.643856189774724	0.4494672532359421	-0.022434634414333503	1.9114064166304372	3.211079634584834	3.603992562968618	Japanese
