r	b	b0	lex.type	test	i	language
-0.2487962997898154	-0.2487962997898154	0	og	redun.prop	1	Slovak
0.034079107498404114	0.034079107498404114	0	og	bigram.prob	1	Slovak
-0.102986280169797	-0.102986280169797	0	og	seg.h.prop	1	Slovak
0.00711184801645348	0.00711184801645348	0	scr	redun.prop	2	Slovak
-0.013280302949653525	-0.013280302949653525	0	scr	bigram.prob	2	Slovak
0.015663640503169	0.015663640503169	0	scr	seg.h.prop	2	Slovak
-0.0014354185536923907	-0.0014354185536923907	0	scr	redun.prop	3	Slovak
-0.004980108605595707	-0.004980108605595707	0	scr	bigram.prob	3	Slovak
0.0047632294022543825	0.0047632294022543825	0	scr	seg.h.prop	3	Slovak
-0.013175582499882776	-0.013175582499882776	0	scr	redun.prop	4	Slovak
-0.009133787615208916	-0.009133787615208916	0	scr	bigram.prob	4	Slovak
0.003979064300345353	0.003979064300345353	0	scr	seg.h.prop	4	Slovak
0.006541320246503528	0.006541320246503528	0	scr	redun.prop	5	Slovak
0.010690124064564991	0.010690124064564991	0	scr	bigram.prob	5	Slovak
-0.00880234824289442	-0.00880234824289442	0	scr	seg.h.prop	5	Slovak
-0.0027631040611340546	-0.0027631040611340546	0	scr	redun.prop	6	Slovak
0.009168019433565213	0.009168019433565213	0	scr	bigram.prob	6	Slovak
0.003868286828967079	0.003868286828967079	0	scr	seg.h.prop	6	Slovak
0.011459392206646001	0.011459392206646001	0	scr	redun.prop	7	Slovak
-0.01390154940448374	-0.01390154940448374	0	scr	bigram.prob	7	Slovak
0.013700487509149354	0.013700487509149354	0	scr	seg.h.prop	7	Slovak
0.004368322418357452	0.004368322418357452	0	scr	redun.prop	8	Slovak
0.008435237377738613	0.008435237377738613	0	scr	bigram.prob	8	Slovak
0.001947758228678789	0.001947758228678789	0	scr	seg.h.prop	8	Slovak
-0.00789402867348145	-0.00789402867348145	0	scr	redun.prop	9	Slovak
-0.013369907143709002	-0.013369907143709002	0	scr	bigram.prob	9	Slovak
0.010238260698019107	0.010238260698019107	0	scr	seg.h.prop	9	Slovak
-0.005236862898139029	-0.005236862898139029	0	scr	redun.prop	10	Slovak
0.010570635758517176	0.010570635758517176	0	scr	bigram.prob	10	Slovak
-0.006377201937814961	-0.006377201937814961	0	scr	seg.h.prop	10	Slovak
0.0052284926298406444	0.0052284926298406444	0	scr	redun.prop	11	Slovak
0.005223025179893261	0.005223025179893261	0	scr	bigram.prob	11	Slovak
-0.007298797509152659	-0.007298797509152659	0	scr	seg.h.prop	11	Slovak
0.0027054202345389152	0.0027054202345389152	0	scr	redun.prop	12	Slovak
0.012201524099594442	0.012201524099594442	0	scr	bigram.prob	12	Slovak
0.0018400204098147316	0.0018400204098147316	0	scr	seg.h.prop	12	Slovak
