word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
Era	Era	40.515078141814705	14.558893728232254	3	1	3.8573259032431397	3.8573259032431397	1	2	0.6666666666666666	1.9286629516215699	1	0.07050335398354941	4.110025221561213	0.9043730644685323	9.45421313813005	Slovak
Wsmi	Wsmi	65.61432212423719	13.863341894389835	4	1	10.121509660804115	10.121509660804115	1	3	0.75	3.3738365536013717	1	-0.34901762004040493	3.7704798869884093	0.8107616281893375	6.394544945046075	Slovak
aZ	aZ	2217.418888823201	8.784615128555684	2	2	6.085277175799027	0	0	0	0	0	0	-2.0642835692801644	1.8691749509511604	0	0	Slovak
eU	eU	330.2893694056489	11.531694020233392	2	2	9.588339860923476	0	0	0	0	0	0	-1.0724059713394996	1.8691749509511604	0	0	Slovak
fc	fc	160.57055720986955	12.572217177058478	2	2	7.087462841250339	0	0	0	0	0	0	-0.6967081300725554	1.8691749509511604	0	0	Slovak
cm	cm	127.47773917388261	12.905179218291668	2	2	9.590587049915035	0	0	0	0	0	0	-0.5764867594143213	1.8691749509511604	0	0	Slovak
nr	nr	115.80557826695892	13.043719807927278	2	2	10.472013835457062	0	0	0	0	0	0	-0.5264644219847873	1.8691749509511604	0	0	Slovak
kg	kg	86.10207419940132	13.471304658771006	2	2	11.208843990734614	0	0	0	0	0	0	-0.37207794402248945	1.8691749509511604	0	0	Slovak
fk	fk	58.131796834049005	14.038025148871018	2	2	6.087462841250339	0	0	0	0	0	0	-0.16745427626868215	1.8691749509511604	0	0	Slovak
zS	zS	54.209738635873684	14.138800600139932	2	2	8.885696373339394	0	0	0	0	0	0	-0.13106765743555823	1.8691749509511604	0	0	Slovak
