word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
kk	kk	39.908445183246805	14.585703542984492	2	2	10.54978466794786	0	0	0	0	0	0	-0.13824958614846594	4.2485291572496005	0	0	Spanish
uir	uir	184.62701212698326	12.375855877181344	3	2	9.103866232419591	4.243198653571719	0.4660875440437988	1	0.3333333333333333	4.243198653571719	0.4660875440437988	-0.6384683765707886	2.9734925209437475	5.499523067139765	6.19578003163463	Spanish
ski	ski	22.19938796539645	15.431877713932625	3	2	8.556920849229488	4.630921430673265	0.5411901678499526	1	0.3333333333333333	4.630921430673265	0.5411901678499526	0.31645171396915517	2.9734925209437475	6.02200819062142	7.224366438928493	Spanish
oLa	oLa	5.013782225139255	17.578426377285567	3	2	9.086599990828908	0.9929105752136805	0.109271958291971	1	0.3333333333333333	0.9929105752136805	0.109271958291971	0.9871872497258033	2.9734925209437475	1.1195194453069475	1.3089246487624289	Spanish
uNa	uNa	4.679530076796639	17.67796205083648	3	2	8.727233230953814	1.2420747871981477	0.14232171346042957	1	0.3333333333333333	1.2420747871981477	0.14232171346042957	1.0182893227725833	2.9734925209437475	1.4552866525861257	1.7615656779015623	Spanish
oCo	oCo	3.708306853310544	18.013565082620918	3	2	10.560498049001101	2.1867007141931394	0.2070641653496613	1	0.3333333333333333	2.1867007141931394	0.2070641653496613	1.1231557454018652	2.9734925209437475	2.728239966806011	2.6482618093180017	Spanish
ogar	ogar	142.73828063091418	12.74709722166509	4	2	8.891926431904393	3.397274702222045	0.3820628441135727	2	0.5	1.6986373511110224	0.3820628441135727	-0.9783274585810072	3.015211463502572	0.6475176165781972	3.4460257497586935	Spanish
eTes	eTes	1.4000750364539807	19.418821561107176	4	2	10.141671989253439	5.267202871337298	0.51936237702409	2	0.5	2.633601435668649	0.51936237702409	1.5661660407845834	3.015211463502572	1.3269277226177176	4.839423022979277	Spanish
oeste	oeste	597.5230149947406	10.681475238297354	5	2	14.63031657073326	6.972726269924706	0.4765943536637525	3	0.6	2.324242089974902	0.4765943536637525	-1.634195493799367	3.097469926541295	0.4238717236466807	2.8272318891294823	Spanish
ikono	ikono	3.071335778167066	18.28545946537494	5	2	10.499132719195345	6.603056242670238	0.628914446485471	3	0.6	2.201018747556746	0.628914446485471	1.1394629764420958	3.097469926541295	0.34557644352629896	3.934772989656103	Spanish
oasis	oasis	2.5100444347238033	18.576612806913634	5	2	19.24766280155856	11.153973385943331	0.5794975473614464	3	0.6	3.717991128647777	0.5794975473614464	1.2456651867284085	3.097469926541295	1.3094504562060971	3.575455674215028	Spanish
ukraniano	ukraniano	20.616420244000285	15.538603765690018	9	2	28.40129500616243	23.43969851846378	0.8253038642561158	7	0.7777777777777778	3.34852835978054	0.8253038642561158	-0.08102325229637902	2.8760432539193475	0.8557976151727678	3.051573584475614	Spanish
oj	oj	4916.880635341438	7.640798094347452	2	3	7.59618975614441	0	0	-1	-0.5	-0	0	-2.0350273870755258	-0.22360679774997919	0	0	Spanish
ir	ir	2414.5933731169066	8.666761172263989	2	3	4.243198653571719	0	0	-1	-0.5	-0	0	-1.7548185339593467	-0.22360679774997919	0	0	Spanish
ja	ja	1548.0162986392847	9.30812076504031	2	3	1.8413022539809418	0	0	-1	-0.5	-0	0	-1.5796517664652707	-0.22360679774997919	0	0	Spanish
as	as	202.8595208224268	12.23998850697348	2	3	4.683225776390045	0	0	-1	-0.5	-0	0	-0.7789062863026336	-0.22360679774997919	0	0	Spanish
do	do	122.05879394383037	12.972893280825867	2	3	2.2461478448085943	0	0	-1	-0.5	-0	0	-0.5787368937143592	-0.22360679774997919	0	0	Spanish
si	si	86.26858749393695	13.473562281702558	2	3	2.7065542812701118	0	0	-1	-0.5	-0	0	-0.4419952413623302	-0.22360679774997919	0	0	Spanish
fe	fe	80.69351392535442	13.569944900530475	2	3	2.5589086090731965	0	0	-1	-0.5	-0	0	-0.41567142556093784	-0.22360679774997919	0	0	Spanish
ai	ai	73.47240619229224	13.705195093028278	2	3	7.857476703235148	0	0	-1	-0.5	-0	0	-0.3787321807291321	-0.22360679774997919	0	0	Spanish
ma	ma	67.67029342860907	13.8238749718134	2	3	2.055887178502495	0	0	-1	-0.5	-0	0	-0.3463185847253865	-0.22360679774997919	0	0	Spanish
te	te	7.971598405755998	16.90945667928018	2	3	2.1007138647481955	0	0	-1	-0.5	-0	0	0.4964089266791359	-0.22360679774997919	0	0	Spanish
Re	Re	7.328320686304169	17.030843074052754	2	3	0.6490585050167785	0	0	-1	-0.5	-0	0	0.5295617205712938	-0.22360679774997919	0	0	Spanish
aL	aL	4.547090546321262	17.71938197821646	2	3	7.089650145364181	0	0	-1	-0.5	-0	0	0.7176140012180622	-0.22360679774997919	0	0	Spanish
or	or	4.048865645961512	17.88680794033498	2	3	2.489408737694292	0	0	-1	-0.5	-0	0	0.7633410237951059	-0.22360679774997919	0	0	Spanish
el	el	3.9479593370278914	17.923218580524665	2	3	4.49690632405596	0	0	-1	-0.5	-0	0	0.7732854203805041	-0.22360679774997919	0	0	Spanish
aT	aT	3.84074638378592	17.96293900955095	2	3	3.7931344696498326	0	0	-1	-0.5	-0	0	0.7841337794514175	-0.22360679774997919	0	0	Spanish
id	id	2.837989938758069	18.399456236240248	2	3	4.142168733340474	0	0	-1	-0.5	-0	0	0.9033544357195307	-0.22360679774997919	0	0	Spanish
oT	oT	1.54512785554606	19.276599488454714	2	3	5.508726914894071	0	0	-1	-0.5	-0	0	1.1429179346523894	-0.22360679774997919	0	0	Spanish
ex	ex	1.475754768154196	19.34287270787388	2	3	4.454814990566927	0	0	-1	-0.5	-0	0	1.161018335344657	-0.22360679774997919	0	0	Spanish
ki	ki	1.4189949693790345	19.399456236240248	2	3	4.630921430673265	0	0	-1	-0.5	-0	0	1.176472308231288	-0.22360679774997919	0	0	Spanish
aNo	aNo	7520.162499519906	7.027777589610721	3	3	8.447202149982264	0	0	0	0	0	0	-2.3095910567708278	1.1960416844019544	0	-0.18763626084848153	Spanish
muj	muj	1628.8485587394227	9.2346889499887	3	3	13.597557643348814	0	0	0	0	0	0	-1.61999389135722	1.1960416844019544	0	-0.18763626084848153	Spanish
ixo	ixo	736.496228973569	10.379791382873826	3	3	10.27870756628824	0	0	0	0	0	0	-1.2621818804160267	1.1960416844019544	0	-0.18763626084848153	Spanish
oro	oro	736.4205492418688	10.37993963669961	3	3	5.296763659751896	0	0	0	0	0	0	-1.2621355553030846	1.1960416844019544	0	-0.18763626084848153	Spanish
eCo	eCo	560.2633604210013	10.774364373597917	3	3	9.646132332830437	0	0	0	0	0	0	-1.1388890192539451	1.1960416844019544	0	-0.18763626084848153	Spanish
uso	uso	308.34445352391003	11.635926625767647	3	3	6.563876755841527	0	0	0	0	0	0	-0.8696752675870669	1.1960416844019544	0	-0.18763626084848153	Spanish
Rio	Rio	242.90040553614895	11.980104622592746	3	3	6.272574246507327	0	0	0	0	0	0	-0.7621294117500333	1.1960416844019544	0	-0.18763626084848153	Spanish
aLi	aLi	199.79449168856806	12.261952712490311	3	3	11.433057967661995	0	0	0	0	0	0	-0.6740598828327903	1.1960416844019544	0	-0.18763626084848153	Spanish
jen	jen	128.6555438903658	12.896955895711063	3	3	4.0549171057704605	0	0	0	0	0	0	-0.47563941020327366	1.1960416844019544	0	-0.18763626084848153	Spanish
oxo	oxo	107.67333827648113	13.153808462603497	3	3	9.757470663177472	0	0	0	0	0	0	-0.39538027282319554	1.1960416844019544	0	-0.18763626084848153	Spanish
oxa	oxa	58.090500724223496	14.044095350569318	3	3	8.961611379957697	0	0	0	0	0	0	-0.11719088770852434	1.1960416844019544	0	-0.18763626084848153	Spanish
ojo	ojo	42.01486438223613	14.511497788782933	3	3	9.774526997402923	0	0	0	0	0	0	0.028859108809828657	1.1960416844019544	0	-0.18763626084848153	Spanish
oir	oir	41.699532166818564	14.52236641816497	3	3	12.336888069186946	0	0	0	0	0	0	0.0322552470274052	1.1960416844019544	0	-0.18763626084848153	Spanish
tio	tio	24.595912802569934	15.283979018820311	3	3	5.142240421831676	0	0	0	0	0	0	0.2702375692830926	1.1960416844019544	0	-0.18763626084848153	Spanish
peT	peT	22.678692932831147	15.401060121942837	3	3	7.213189197223921	0	0	0	0	0	0	0.3068220911113568	1.1960416844019544	0	-0.18763626084848153	Spanish
xet	xet	15.930583522895295	15.910598503669732	3	3	6.21833459836298	0	0	0	0	0	0	0.4660383741106535	1.1960416844019544	0	-0.18763626084848153	Spanish
oso	oso	15.798143992419917	15.922642539374714	3	3	6.895298136655571	0	0	0	0	0	0	0.4698017934447554	1.1960416844019544	0	-0.18763626084848153	Spanish
feo	feo	8.898675119083634	16.75073515486002	3	3	8.58949692890662	0	0	0	0	0	0	0.7285572335548667	1.1960416844019544	0	-0.18763626084848153	Spanish
uba	uba	6.949922027803094	17.107328918886125	3	3	6.725667803163118	0	0	0	0	0	0	0.8399826642683387	1.1960416844019544	0	-0.18763626084848153	Spanish
tos	tos	4.629076922329828	17.69360117461407	3	3	6.450167678890608	0	0	0	0	0	0	1.023176105096605	1.1960416844019544	0	-0.18763626084848153	Spanish
etk	etk	4.212838397978645	17.82953313498323	3	3	16.495605231190783	0	0	0	0	0	0	1.0656509848052458	1.1960416844019544	0	-0.18763626084848153	Spanish
lio	lio	3.430814503743088	18.125774586206944	3	3	4.580115395823175	0	0	0	0	0	0	1.1582180306366192	1.1960416844019544	0	-0.18763626084848153	Spanish
boa	boa	2.926282959074987	18.35525643232971	3	3	10.76365994154287	0	0	0	0	0	0	1.229924594588983	1.1960416844019544	0	-0.18763626084848153	Spanish
axo	axo	1.8667667152719745	19.003784061828334	3	3	9.509981944312537	0	0	0	0	0	0	1.4325710728408603	1.1960416844019544	0	-0.18763626084848153	Spanish
gaj	gaj	1.854153426655272	19.013565082620918	3	3	9.573683737234557	0	0	0	0	0	0	1.4356273642418262	1.1960416844019544	0	-0.18763626084848153	Spanish
kaer	kaer	810.1136879849535	10.242345137205152	4	3	12.575002940717043	2.4274212237346764	0.19303543984668536	1	0.25	2.4274212237346764	0.19303543984668536	-1.9336015484819824	1.656520257091617	1.1771028021026269	1.527663290061865	Spanish
ajer	ajer	701.916898230879	10.449169285012715	4	3	12.01072296353083	2.4274212237346764	0.20210450537451077	1	0.25	2.4274212237346764	0.20210450537451077	-1.8547219855934205	1.656520257091617	1.1771028021026269	1.619701557849466	Spanish
klub	klub	600.8087766793916	10.673563633179759	4	3	13.548768491352464	4.530962133368791	0.3344187433906402	1	0.25	4.530962133368791	0.3344187433906402	-1.769141417339132	1.656520257091617	2.705682323046671	2.9625050951352896	Spanish
edad	edad	359.49764550894713	11.414487199310637	4	3	10.67553016563382	3.5200356089764604	0.32972934874073034	1	0.25	3.5200356089764604	0.32972934874073034	-1.4865645149330526	1.656520257091617	1.971072610781061	2.914914330769775	Spanish
usar	usar	358.55164886269444	11.418288569134564	4	3	8.329724844261182	1.6810676682226362	0.20181551007423956	1	0.25	1.6810676682226362	0.20181551007423956	-1.4851147306923453	1.656520257091617	0.6347502597230649	1.6167686617584507	Spanish
erar	erar	357.11373396039033	11.424085902748962	4	3	6.069414202606927	1.6810676682226362	0.27697362745495047	1	0.25	1.6810676682226362	0.27697362745495047	-1.482903716426021	1.656520257091617	0.6347502597230649	2.3795179122378967	Spanish
RaiT	RaiT	189.72908737243944	12.336528645902188	4	3	14.974964457275796	4.195410754617454	0.28016165023877937	1	0.25	4.195410754617454	0.28016165023877937	-1.1349120263660506	1.656520257091617	2.4618472906806743	2.411871862464715	Spanish
leer	leer	137.01184759893124	12.80616887086816	4	3	12.746287727616432	2.4274212237346764	0.19044142699488603	1	0.25	2.4274212237346764	0.19044142699488603	-0.955798436135427	1.656520257091617	1.1771028021026269	1.5013377057151795	Spanish
