r	b	b0	lex.type	test	i	language
-0.22757532918530513	-0.22757532918530513	0	og	redun.prop	1	Tagalog
0.0031685839652306957	0.0031685839652306957	0	og	bigram.prob	1	Tagalog
-0.02338722525710089	-0.02338722525710089	0	og	seg.h.prop	1	Tagalog
-0.01241394666104324	-0.01241394666104324	0	scr	redun.prop	2	Tagalog
0.013086077724130257	0.013086077724130257	0	scr	bigram.prob	2	Tagalog
-0.004368414905827319	-0.004368414905827319	0	scr	seg.h.prop	2	Tagalog
-0.01307459059617156	-0.01307459059617156	0	scr	redun.prop	3	Tagalog
0.007991797197360503	0.007991797197360503	0	scr	bigram.prob	3	Tagalog
0.004954572365218613	0.004954572365218613	0	scr	seg.h.prop	3	Tagalog
4.2325459125214915e-4	4.2325459125214915e-4	0	scr	redun.prop	4	Tagalog
0.0022999279289164635	0.0022999279289164635	0	scr	bigram.prob	4	Tagalog
-0.0083172206102641	-0.0083172206102641	0	scr	seg.h.prop	4	Tagalog
0.005318698999075467	0.005318698999075467	0	scr	redun.prop	5	Tagalog
0.016531557848013658	0.016531557848013658	0	scr	bigram.prob	5	Tagalog
0.00507707202633431	0.00507707202633431	0	scr	seg.h.prop	5	Tagalog
0.007888883323257172	0.007888883323257172	0	scr	redun.prop	6	Tagalog
-0.03474363742931606	-0.03474363742931606	0	scr	bigram.prob	6	Tagalog
0.022568895100179183	0.022568895100179183	0	scr	seg.h.prop	6	Tagalog
0.0011644135909947189	0.0011644135909947189	0	scr	redun.prop	7	Tagalog
-0.003606637900523002	-0.003606637900523002	0	scr	bigram.prob	7	Tagalog
0.004145967610163916	0.004145967610163916	0	scr	seg.h.prop	7	Tagalog
-0.010851875922029465	-0.010851875922029465	0	scr	redun.prop	8	Tagalog
-0.008164355083800224	-0.008164355083800224	0	scr	bigram.prob	8	Tagalog
0.005823273275087032	0.005823273275087032	0	scr	seg.h.prop	8	Tagalog
-0.009760066655675319	-0.009760066655675319	0	scr	redun.prop	9	Tagalog
0.007250997875714533	0.007250997875714533	0	scr	bigram.prob	9	Tagalog
-0.020960636351749537	-0.020960636351749537	0	scr	seg.h.prop	9	Tagalog
-0.009528361542995668	-0.009528361542995668	0	scr	redun.prop	10	Tagalog
0.005471986488735307	0.005471986488735307	0	scr	bigram.prob	10	Tagalog
-0.002542427645737118	-0.002542427645737118	0	scr	seg.h.prop	10	Tagalog
-0.006692602838380324	-0.006692602838380324	0	scr	redun.prop	11	Tagalog
-0.005554275982520311	-0.005554275982520311	0	scr	bigram.prob	11	Tagalog
-0.012153235925310245	-0.012153235925310245	0	scr	seg.h.prop	11	Tagalog
-0.009128520931355974	-0.009128520931355974	0	scr	redun.prop	12	Tagalog
-0.0090120799933905	-0.0090120799933905	0	scr	bigram.prob	12	Tagalog
0.005394202341242588	0.005394202341242588	0	scr	seg.h.prop	12	Tagalog
0.012802556882480134	0.012802556882480134	0	scr	redun.prop	13	Tagalog
-0.03908168462474884	-0.03908168462474884	0	scr	bigram.prob	13	Tagalog
0.02531863775133159	0.02531863775133159	0	scr	seg.h.prop	13	Tagalog
-2.482191925685167e-4	-2.482191925685167e-4	0	scr	redun.prop	14	Tagalog
-0.014607117361802984	-0.014607117361802984	0	scr	bigram.prob	14	Tagalog
0.002056873667032747	0.002056873667032747	0	scr	seg.h.prop	14	Tagalog
-0.0046346211961443015	-0.0046346211961443015	0	scr	redun.prop	15	Tagalog
0.0010049098028152214	0.0010049098028152214	0	scr	bigram.prob	15	Tagalog
-0.01212649651047132	-0.01212649651047132	0	scr	seg.h.prop	15	Tagalog
0.003343697730621843	0.003343697730621843	0	scr	redun.prop	16	Tagalog
-0.013837133466069027	-0.013837133466069027	0	scr	bigram.prob	16	Tagalog
0.001891210209996655	0.001891210209996655	0	scr	seg.h.prop	16	Tagalog
0.021340886066641054	0.021340886066641054	0	scr	redun.prop	17	Tagalog
0.013187703686894769	0.013187703686894769	0	scr	bigram.prob	17	Tagalog
1.0222920522932158e-6	1.0222920522932158e-6	0	scr	seg.h.prop	17	Tagalog
0.008844711891229652	0.008844711891229652	0	scr	redun.prop	18	Tagalog
0.010986906072976933	0.010986906072976933	0	scr	bigram.prob	18	Tagalog
-0.005431445485183366	-0.005431445485183366	0	scr	seg.h.prop	18	Tagalog
-0.002877350237447922	-0.002877350237447922	0	scr	redun.prop	19	Tagalog
0.01575469030093646	0.01575469030093646	0	scr	bigram.prob	19	Tagalog
-0.008344571284656177	-0.008344571284656177	0	scr	seg.h.prop	19	Tagalog
-0.005416796142101597	-0.005416796142101597	0	scr	redun.prop	20	Tagalog
0.002594067134692677	0.002594067134692677	0	scr	bigram.prob	20	Tagalog
0.009489053045899176	0.009489053045899176	0	scr	seg.h.prop	20	Tagalog
-0.008805246375493823	-0.008805246375493823	0	scr	redun.prop	21	Tagalog
0.009004864526035621	0.009004864526035621	0	scr	bigram.prob	21	Tagalog
-0.0015187410096280823	-0.0015187410096280823	0	scr	seg.h.prop	21	Tagalog
0.0044319901627566174	0.0044319901627566174	0	scr	redun.prop	22	Tagalog
-0.008596698131903151	-0.008596698131903151	0	scr	bigram.prob	22	Tagalog
0.002016012432908129	0.002016012432908129	0	scr	seg.h.prop	22	Tagalog
0.01743625610781502	0.01743625610781502	0	scr	redun.prop	23	Tagalog
-0.005296657668357614	-0.005296657668357614	0	scr	bigram.prob	23	Tagalog
0.021125908965410778	0.021125908965410778	0	scr	seg.h.prop	23	Tagalog
-0.008077120728414839	-0.008077120728414839	0	scr	redun.prop	24	Tagalog
-0.008653877663381715	-0.008653877663381715	0	scr	bigram.prob	24	Tagalog
0.020252336121706915	0.020252336121706915	0	scr	seg.h.prop	24	Tagalog
-0.017649940643435728	-0.017649940643435728	0	scr	redun.prop	25	Tagalog
-0.014026730209837992	-0.014026730209837992	0	scr	bigram.prob	25	Tagalog
-0.015722676714731595	-0.015722676714731595	0	scr	seg.h.prop	25	Tagalog
