r	b	b0	lex.type	test	i	language
-0.2032067228159509	-0.2032067228159509	0	og	redun.prop	1	Turkish
0.009031210819388132	0.009031210819388132	0	og	bigram.prob	1	Turkish
-0.010501717108699654	-0.010501717108699654	0	og	seg.h.prop	1	Turkish
-0.015044400019882116	-0.015044400019882116	0	scr	redun.prop	2	Turkish
-0.01590304856768859	-0.01590304856768859	0	scr	bigram.prob	2	Turkish
-0.016566545545821477	-0.016566545545821477	0	scr	seg.h.prop	2	Turkish
-0.011168284857390472	-0.011168284857390472	0	scr	redun.prop	3	Turkish
0.018942255434873524	0.018942255434873524	0	scr	bigram.prob	3	Turkish
-0.006845221890745088	-0.006845221890745088	0	scr	seg.h.prop	3	Turkish
0.004278599422021102	0.004278599422021102	0	scr	redun.prop	4	Turkish
0.01785737090312983	0.01785737090312983	0	scr	bigram.prob	4	Turkish
0.0031022580933967826	0.0031022580933967826	0	scr	seg.h.prop	4	Turkish
-0.017383003779232888	-0.017383003779232888	0	scr	redun.prop	5	Turkish
0.00590300179201797	0.00590300179201797	0	scr	bigram.prob	5	Turkish
-0.007666152478527002	-0.007666152478527002	0	scr	seg.h.prop	5	Turkish
-0.0034571969517395713	-0.0034571969517395713	0	scr	redun.prop	6	Turkish
0.006899252934347601	0.006899252934347601	0	scr	bigram.prob	6	Turkish
-0.027802427543715178	-0.027802427543715178	0	scr	seg.h.prop	6	Turkish
0.019188312469485214	0.019188312469485214	0	scr	redun.prop	7	Turkish
0.024955067041190437	0.024955067041190437	0	scr	bigram.prob	7	Turkish
-0.019088580476635073	-0.019088580476635073	0	scr	seg.h.prop	7	Turkish
0.019602782009046388	0.019602782009046388	0	scr	redun.prop	8	Turkish
-0.004210323176130642	-0.004210323176130642	0	scr	bigram.prob	8	Turkish
0.014145718053011375	0.014145718053011375	0	scr	seg.h.prop	8	Turkish
0.0028036420769303743	0.0028036420769303743	0	scr	redun.prop	9	Turkish
-0.001465831742893985	-0.001465831742893985	0	scr	bigram.prob	9	Turkish
0.0014619601215751909	0.0014619601215751909	0	scr	seg.h.prop	9	Turkish
-0.002035865754556723	-0.002035865754556723	0	scr	redun.prop	10	Turkish
-7.75669640890352e-4	-7.75669640890352e-4	0	scr	bigram.prob	10	Turkish
0.020777531047009586	0.020777531047009586	0	scr	seg.h.prop	10	Turkish
-0.0025206485282827057	-0.0025206485282827057	0	scr	redun.prop	11	Turkish
-0.009144713208970201	-0.009144713208970201	0	scr	bigram.prob	11	Turkish
0.012770701503970864	0.012770701503970864	0	scr	seg.h.prop	11	Turkish
0.003753493191950068	0.003753493191950068	0	scr	redun.prop	12	Turkish
0.014525876198560248	0.014525876198560248	0	scr	bigram.prob	12	Turkish
-0.017095342228958827	-0.017095342228958827	0	scr	seg.h.prop	12	Turkish
0.004828620318923132	0.004828620318923132	0	scr	redun.prop	13	Turkish
0.0021291305186364935	0.0021291305186364935	0	scr	bigram.prob	13	Turkish
-5.251245168606292e-4	-5.251245168606292e-4	0	scr	seg.h.prop	13	Turkish
0.015915261497878468	0.015915261497878468	0	scr	redun.prop	14	Turkish
0.020469673814499066	0.020469673814499066	0	scr	bigram.prob	14	Turkish
-7.660098215052e-4	-7.660098215052e-4	0	scr	seg.h.prop	14	Turkish
0.016581707472367254	0.016581707472367254	0	scr	redun.prop	15	Turkish
0.007254765214814018	0.007254765214814018	0	scr	bigram.prob	15	Turkish
0.007151159831721837	0.007151159831721837	0	scr	seg.h.prop	15	Turkish
0.018303511179989716	0.018303511179989716	0	scr	redun.prop	16	Turkish
-6.577151619906685e-4	-6.577151619906685e-4	0	scr	bigram.prob	16	Turkish
0.01899410230396046	0.01899410230396046	0	scr	seg.h.prop	16	Turkish
-0.003995377650681982	-0.003995377650681982	0	scr	redun.prop	17	Turkish
-0.010878321272498777	-0.010878321272498777	0	scr	bigram.prob	17	Turkish
0.015313346103778809	0.015313346103778809	0	scr	seg.h.prop	17	Turkish
-0.004561034948613981	-0.004561034948613981	0	scr	redun.prop	18	Turkish
0.009699966126924161	0.009699966126924161	0	scr	bigram.prob	18	Turkish
0.002873815928553658	0.002873815928553658	0	scr	seg.h.prop	18	Turkish
0.01354522182059135	0.01354522182059135	0	scr	redun.prop	19	Turkish
9.419960137960894e-4	9.419960137960894e-4	0	scr	bigram.prob	19	Turkish
0.013179233552616422	0.013179233552616422	0	scr	seg.h.prop	19	Turkish
-0.006603147290352436	-0.006603147290352436	0	scr	redun.prop	20	Turkish
-0.021538044752380685	-0.021538044752380685	0	scr	bigram.prob	20	Turkish
0.0068327428752411054	0.0068327428752411054	0	scr	seg.h.prop	20	Turkish
0.014953429601913702	0.014953429601913702	0	scr	redun.prop	21	Turkish
-0.006287523330238096	-0.006287523330238096	0	scr	bigram.prob	21	Turkish
0.005821763070352757	0.005821763070352757	0	scr	seg.h.prop	21	Turkish
-0.002195196993690969	-0.002195196993690969	0	scr	redun.prop	22	Turkish
-0.013049192657290095	-0.013049192657290095	0	scr	bigram.prob	22	Turkish
0.0016916031296535122	0.0016916031296535122	0	scr	seg.h.prop	22	Turkish
-0.006245702629308151	-0.006245702629308151	0	scr	redun.prop	23	Turkish
0.015556418162896974	0.015556418162896974	0	scr	bigram.prob	23	Turkish
-0.0031513392985643126	-0.0031513392985643126	0	scr	seg.h.prop	23	Turkish
0.00292165607330015	0.00292165607330015	0	scr	redun.prop	24	Turkish
0.008750437154390634	0.008750437154390634	0	scr	bigram.prob	24	Turkish
0.004957570311413404	0.004957570311413404	0	scr	seg.h.prop	24	Turkish
-0.015486853802493797	-0.015486853802493797	0	scr	redun.prop	25	Turkish
-0.004902029952232105	-0.004902029952232105	0	scr	bigram.prob	25	Turkish
-0.014490141813370048	-0.014490141813370048	0	scr	seg.h.prop	25	Turkish
0.0074553936603749486	0.0074553936603749486	0	scr	redun.prop	26	Turkish
-0.012546356489542658	-0.012546356489542658	0	scr	bigram.prob	26	Turkish
