word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
tv	tv	188.406553473349	12.366843590649857	2	2	7.763765653509921	0	0	0	0	0	0	-0.7526574672468018	1.9925788241297684	0	0	Turkish
aa	aa	149.382737710521	12.70167929512965	2	2	7.523799534491619	0	0	0	0	0	0	-0.6415737083164449	1.9925788241297684	0	0	Turkish
tl	tl	145.485719004018	12.739815194746342	2	2	4.2057702003890345	0	0	0	0	0	0	-0.6289218942388681	1.9925788241297684	0	0	Turkish
fp	fp	90.4716131817087	13.425155637498658	2	2	8.08214904135387	0	0	0	0	0	0	-0.40155608017134037	1.9925788241297684	0	0	Turkish
km	km	57.8296124565951	14.07081239962751	2	2	6.197708157955851	0	0	0	0	0	0	-0.1873555658399771	1.9925788241297684	0	0	Turkish
cd	cd	44.4492523565142	14.450461680704622	2	2	6.651051691178929	0	0	0	0	0	0	-0.06140463332884076	1.9925788241297684	0	0	Turkish
s.	s.	22.1933427712095	15.45249385033054	2	2	9.901621158346112	0	0	0	0	0	0	0.2710255659658264	1.9925788241297684	0	0	Turkish
b.	b.	21.4872315835633	15.499141215796195	2	2	10.243173983472952	0	0	0	0	0	0	0.28650111003354606	1.9925788241297684	0	0	Turkish
f.	f.	21.451479118366	15.501543706011502	2	2	7.497186540632716	0	0	0	0	0	0	0.28729815061296776	1.9925788241297684	0	0	Turkish
k.	k.	20.8883777915089	15.539920377724556	2	2	9.10459875356437	0	0	0	0	0	0	0.3000298422817087	1.9925788241297684	0	0	Turkish
pc	pc	20.3967813950464	15.574279320218697	2	2	9.361943773735241	0	0	0	0	0	0	0.3114286281162446	1.9925788241297684	0	0	Turkish
mb	mb	17.3488837369785	15.807777993793719	2	2	5.671482095752286	0	0	0	0	0	0	0.3888932175221548	1.9925788241297684	0	0	Turkish
rp	rp	17.2058738761894	15.819719666037756	2	2	6.61640746546138	0	0	0	0	0	0	0.3928549391158624	1.9925788241297684	0	0	Turkish
hp	hp	16.3478147114548	15.893523036758662	2	2	7.1649069266756875	0	0	0	0	0	0	0.41733965126490286	1.9925788241297684	0	0	Turkish
g.	g.	14.8998398709651	16.02732400752096	2	2	8.643856189774725	0	0	0	0	0	0	0.4617289281011304	1.9925788241297684	0	0	Turkish
d.	d.	13.442926914176	16.17577354482975	2	2	7.532495080827021	0	0	0	0	0	0	0.5109779549973278	1.9925788241297684	0	0	Turkish
mm	mm	12.6384964472373	16.264795991697984	2	2	6.490909850110465	0	0	0	0	0	0	0.5405116871979159	1.9925788241297684	0	0	Turkish
iU	iU	11.4586650957272	16.40618184988864	2	2	11.519636252843213	0	0	0	0	0	0	0.5874172960600683	1.9925788241297684	0	0	Turkish
fm	fm	11.3960982816319	16.414080864761168	2	2	8.08214904135387	0	0	0	0	0	0	0.5900378417550098	1.9925788241297684	0	0	Turkish
y.	y.	11.3871601653326	16.415212834251086	2	2	10.260919533662905	0	0	0	0	0	0	0.5904133794418583	1.9925788241297684	0	0	Turkish
bp	bp	10.1268857671286	16.584430250686868	2	2	9.243173983472952	0	0	0	0	0	0	0.646552275153037	1.9925788241297684	0	0	Turkish
cc	cc	8.6699728103396	16.808521459432892	2	2	8.066089190457772	0	0	0	0	0	0	0.7208958815179248	1.9925788241297684	0	0	Turkish
gb	gb	5.71145631526495	17.410690275560388	2	2	8.643856189774725	0	0	0	0	0	0	0.9206690081921198	1.9925788241297684	0	0	Turkish
mO	mO	3.65568956642154	18.054405363565632	2	2	9.578372691360805	0	0	0	0	0	0	1.1342253604541985	1.9925788241297684	0	0	Turkish
eU	eU	3.57524651972767	18.086506206732658	2	2	10.89519657256334	0	0	0	0	0	0	1.1448750082549521	1.9925788241297684	0	0	Turkish
mp	mp	2.77081605278894	18.454237991233146	2	2	5.823485189197336	0	0	0	0	0	0	1.266872239595457	1.9925788241297684	0	0	Turkish
aU	aU	2.72612547129235	18.47769696405713	2	2	12.568193653850074	0	0	0	0	0	0	1.2746548949308008	1.9925788241297684	0	0	Turkish
