word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
lt	lt	147.02888602941954	12.710478285127449	2	2	9.219168520462162	0	0	0	0	0	0	-2.6489751333006732	0.7510042750545954	0	0	Vietnamese
tk	tk	93.67416645836451	13.360854766931718	2	2	5.31312816562588	0	0	0	0	0	0	-2.1644124149342003	0.7510042750545954	0	0	Vietnamese
tp	tp	89.99956803803279	13.418587924898455	2	2	9.522581531254831	0	0	0	0	0	0	-2.121398350393253	0.7510042750545954	0	0	Vietnamese
tt	tt	72.4806110432403	13.730910884012248	2	2	5.237179312392581	0	0	0	0	0	0	-1.8887022638794944	0.7510042750545954	0	0	Vietnamese
ts	ts	44.949216150846695	14.420210044548138	2	2	5.393298514309864	0	0	0	0	0	0	-1.3751402204452134	0.7510042750545954	0	0	Vietnamese
kX	kX	37.34156131731589	14.687723751518195	2	2	6.828363198273443	0	0	0	0	0	0	-1.1758292479910861	0.7510042750545954	0	0	Vietnamese
tv	tv	37.038154108297675	14.699493802027009	2	2	6.274654017811245	0	0	0	0	0	0	-1.1670599769159096	0.7510042750545954	0	0	Vietnamese
sv	sv	26.93581777839488	15.158980135561094	2	2	8.116343961237469	0	0	0	0	0	0	-0.8247198815117112	0.7510042750545954	0	0	Vietnamese
kp	kp	24.39618706587204	15.301850318595083	2	2	10.635718120331047	0	0	0	0	0	0	-0.7182745130192824	0.7510042750545954	0	0	Vietnamese
hs	hs	24.283814025494927	15.30851097235072	2	2	10.00842862207058	0	0	0	0	0	0	-0.7133119958000629	0.7510042750545954	0	0	Vietnamese
mt	mt	23.261219358063162	15.37057927682354	2	2	5.368431197661214	0	0	0	0	0	0	-0.6670680322171376	0.7510042750545954	0	0	Vietnamese
pX	pX	22.4296588592725	15.423098323872965	2	2	5.954196310386875	0	0	0	0	0	0	-0.6279387387751504	0.7510042750545954	0	0	Vietnamese
lD	lD	21.29469115146362	15.498012196151773	2	2	9.219168520462162	0	0	0	0	0	0	-0.5721241904168312	0.7510042750545954	0	0	Vietnamese
ll	ll	20.08106231539076	15.582670410168737	2	2	7.4118135984045574	0	0	0	0	0	0	-0.5090496244326693	0.7510042750545954	0	0	Vietnamese
vv	vv	19.53043441754289	15.622781962395827	2	2	9.50382573799575	0	0	0	0	0	0	-0.47916452967780226	0.7510042750545954	0	0	Vietnamese
sn	sn	18.013398372451814	15.739435619055678	2	2	9.116343961237469	0	0	0	0	0	0	-0.392251772897802	0.7510042750545954	0	0	Vietnamese
kD	kD	17.035752921170896	15.819940291039135	2	2	5.728827524722529	0	0	0	0	0	0	-0.3322718016213422	0.7510042750545954	0	0	Vietnamese
kz	kz	16.215429726417945	15.891138744719028	2	2	6.112156164274035	0	0	0	0	0	0	-0.27922542429400055	0.7510042750545954	0	0	Vietnamese
mm	mm	13.687036317932819	16.135695911303895	2	2	5.904484097901423	0	0	0	0	0	0	-0.09701821239172707	0.7510042750545954	0	0	Vietnamese
ms	ms	12.237424097068011	16.29720609049332	2	2	5.525972474647693	0	0	0	0	0	0	0.02331487722856509	0.7510042750545954	0	0	Vietnamese
Bs	Bs	11.237304037711674	16.42021004454814	2	2	8.074141462752506	0	0	0	0	0	0	0.11495892035459833	0.7510042750545954	0	0	Vietnamese
nv	nv	10.866473004467188	16.468622249733386	2	2	5.144771524213974	0	0	0	0	0	0	0.15102841302997896	0.7510042750545954	0	0	Vietnamese
kv	kv	10.124810937978218	16.570611033396688	2	2	6.387790606887462	0	0	0	0	0	0	0.2270151124839309	0.7510042750545954	0	0	Vietnamese
ss	ss	10.06862441778966	16.57863940715262	2	2	7.116343961237468	0	0	0	0	0	0	0.2329966489017995	0.7510042750545954	0	0	Vietnamese
hp	hp	9.697793384545173	16.63277758003127	2	2	9.00842862207058	0	0	0	0	0	0	0.2733322713472722	0.7510042750545954	0	0	Vietnamese
zt	zt	9.66408147243204	16.637801479620766	2	2	7.630813152299126	0	0	0	0	0	0	0.27707532557815834	0.7510042750545954	0	0	Vietnamese
Bv	Bv	9.046029750357897	16.733149356208248	2	2	10.074141462752506	0	0	0	0	0	0	0.348114220068205	0.7510042750545954	0	0	Vietnamese
XD	XD	8.93365670998078	16.751183279038507	2	2	9.226412192788786	0	0	0	0	0	0	0.3615503865255148	0.7510042750545954	0	0	Vietnamese
vs	vs	8.787571757490529	16.774969531902872	2	2	9.50382573799575	0	0	0	0	0	0	0.37927232400353367	0.7510042750545954	0	0	Vietnamese
Xz	Xz	7.708790569870208	16.963929563037414	2	2	6.419057270731182	0	0	0	0	0	0	0.520056914023077	0.7510042750545954	0	0	Vietnamese
