language	i	lex.type	seq.H	seq.H.scaled
Arabic	1	original	1.158306472332528	5.019087024703366
Arabic	2	shuffled	1.0268793043547624	-0.9821405234176711
Arabic	3	shuffled	1.0850663151407407	1.6747948533737107
Arabic	4	shuffled	1.0710067128202945	1.0328052704028399
Arabic	5	shuffled	1.0425159732118292	-0.2681389258046792
Arabic	6	shuffled	1.0588558962598735	0.4779746657678853
Arabic	7	shuffled	1.0262766512252883	-1.0096588715507822
Arabic	8	shuffled	1.0644951223891848	0.7354730180342279
Arabic	9	shuffled	1.0102722374168942	-1.7404524397018684
Arabic	10	shuffled	1.0586681435861438	0.4694015028887245
Arabic	11	shuffled	1.027790800850267	-0.9405197690256769
Arabic	12	shuffled	1.0601183356411947	0.5356201747565548
Arabic	13	shuffled	1.0541618959059864	0.2636372143255555
Arabic	14	shuffled	1.0612635620020447	0.5879135026226032
Arabic	15	shuffled	1.0244728496773075	-1.0920240606334348
Arabic	16	shuffled	1.0126608225302691	-1.6313848625488523
Arabic	17	shuffled	1.0625075503731047	0.644716501552097
Arabic	18	shuffled	1.0653962958777972	0.776622403269494
Arabic	19	shuffled	1.095070241617085	2.131594159658477
Arabic	20	shuffled	1.0414695184223857	-0.3159221460239127
Arabic	21	shuffled	1.0371268532097984	-0.5142169316990844
Arabic	22	shuffled	1.0165843669721137	-1.4522279701576342
Arabic	23	shuffled	1.0758857877102013	1.2555935955960589
Arabic	24	shuffled	1.054922949193424	0.29838843071736865
Arabic	25	shuffled	1.0750033699841999	1.215300636022238
Arabic	26	shuffled	1.0606648132104344	0.5605734343710813
Arabic	27	shuffled	1.0771028632842867	1.3111677023483441
Arabic	28	shuffled	1.0292241709841197	-0.8750692197497009
Arabic	29	shuffled	1.0360021766072678	-0.5655719164688657
Arabic	30	shuffled	1.057043781476262	0.3952298777069717
Arabic	31	shuffled	1.0500374136460418	0.0753050989724813
Arabic	32	shuffled	1.0638401347825568	0.7055649729241135
Arabic	33	shuffled	1.0795646698433226	1.423578717266738
Arabic	34	shuffled	1.0231397436187477	-1.152896351547816
Arabic	35	shuffled	1.0559724186463753	0.34630930650636904
Arabic	36	shuffled	1.0636685839194997	0.697731617149025
Arabic	37	shuffled	1.0623550683734928	0.6377538682492284
Arabic	38	shuffled	1.0607394681808493	0.563982329746001
Arabic	39	shuffled	1.0287740151550095	-0.8956242359169818
Arabic	40	shuffled	1.0561393302814206	0.35393082584478686
Arabic	41	shuffled	1.038434431074658	-0.45451030920504437
Arabic	42	shuffled	1.0141602867943744	-1.5629163229947312
Arabic	43	shuffled	1.042895872815696	-0.25079194950346434
Arabic	44	shuffled	1.0726350867277514	1.1071600822916985
Arabic	45	shuffled	1.0756509935737173	1.244872425371625
Arabic	46	shuffled	1.0129077585169293	-1.6201092711428347
