language	i	lex.type	seq.H	seq.H.scaled
Bengali	1	original	1.456198735458571	3.334956561222185
Bengali	2	shuffled	1.4410115576396698	2.230352431478173
Bengali	3	shuffled	1.4226769295921833	0.8968258144809893
Bengali	4	shuffled	1.3854946764557563	-1.8075390686751611
Bengali	5	shuffled	1.4041953713616269	-0.447387428361916
Bengali	6	shuffled	1.4162699014225313	0.4308254910518504
Bengali	7	shuffled	1.4197924843383947	0.6870323836442168
Bengali	8	shuffled	1.4089985896912585	-0.09803649125956385
Bengali	9	shuffled	1.392207517841282	-1.3192961307713285
Bengali	10	shuffled	1.3771786585927828	-2.4123853267490745
Bengali	11	shuffled	1.3981797206190143	-0.8849218230087962
Bengali	12	shuffled	1.4007210827681866	-0.7000817455022845
Bengali	13	shuffled	1.4239906273563567	0.9923745723111294
Bengali	14	shuffled	1.435760098573196	1.8483997447328278
Bengali	15	shuffled	1.4336281137434133	1.6933347764015385
Bengali	16	shuffled	1.4109892003365958	0.04674595389067708
Bengali	17	shuffled	1.4135582380503333	0.23359894935180997
Bengali	18	shuffled	1.4176074372335377	0.528108053891102
Bengali	19	shuffled	1.4061285154947825	-0.3067846765974298
Bengali	20	shuffled	1.4062138459214961	-0.3005783660593771
Bengali	21	shuffled	1.3936272703232113	-1.2160337291945458
Bengali	22	shuffled	1.387528979999724	-1.6595787219527525
Bengali	23	shuffled	1.4049082718984653	-0.3955362624324266
Bengali	24	shuffled	1.3909034203130044	-1.4141466377254024
Bengali	25	shuffled	1.4117471486437352	0.10187356483868747
Bengali	26	shuffled	1.3973436174088851	-0.9457338494309457
Bengali	27	shuffled	1.4139067341379106	0.2589460034343911
Bengali	28	shuffled	1.441415814387093	2.2597551077360865
Bengali	29	shuffled	1.4025424713817196	-0.5676072720768583
Bengali	30	shuffled	1.4216007472212717	0.8185521875147505
Bengali	31	shuffled	1.4167643170327233	0.46678566293765894
Bengali	32	shuffled	1.401166692697117	-0.6676713415667537
Bengali	33	shuffled	1.4133043333709365	0.21513178179985246
