language	i	lex.type	seq.H	seq.H.scaled
French	1	original	1.1675784624084027	1.6596909126159722
French	2	shuffled	1.1576275373718472	0.7504847290639414
French	3	shuffled	1.1627296183435503	1.2166568237601059
French	4	shuffled	1.141344595416478	-0.7372715808122557
French	5	shuffled	1.151490730183039	0.18977072279479934
French	6	shuffled	1.1456557680884645	-0.3433639956047376
French	7	shuffled	1.1542175956975618	0.43892172919983374
French	8	shuffled	1.1455346534881967	-0.3544301169027426
French	9	shuffled	1.1331613533959242	-1.4849663146443421
French	10	shuffled	1.1280637022673825	-1.9507336589499935
French	11	shuffled	1.1371583488419004	-1.1197647919958693
French	12	shuffled	1.1424147967037106	-0.6394883471507944
French	13	shuffled	1.1493081611947538	-0.009648448075045958
French	14	shuffled	1.1433449529948547	-0.5545008863397338
French	15	shuffled	1.1496836577929388	0.024660304902030104
French	16	shuffled	1.1495420741820257	0.011723950336105897
French	17	shuffled	1.1482670094370235	-0.10477745494294058
French	18	shuffled	1.1353733940522777	-1.2828543465974729
French	19	shuffled	1.1467007010926666	-0.24788949998467297
French	20	shuffled	1.140661549276549	-0.7996808313887973
French	21	shuffled	1.1614988840400564	1.1042058470985883
French	22	shuffled	1.1485556194757383	-0.07840744101251236
French	23	shuffled	1.1512489205893368	0.16767681926034164
French	24	shuffled	1.141774975881422	-0.697948143185148
French	25	shuffled	1.131921328899941	-1.5982661270097394
French	26	shuffled	1.156497269372074	0.647213259256907
French	27	shuffled	1.1639609308102252	1.3291606266199354
French	28	shuffled	1.1160088049097177	-3.0521777135891455
French	29	shuffled	1.1595066947466466	0.9221814807486881
French	30	shuffled	1.1524036966019962	0.27318756197726857
French	31	shuffled	1.1657449236089121	1.492162285060716
French	32	shuffled	1.1495900513133384	0.016107573396104097
French	33	shuffled	1.1550454636738272	0.5145632077980679
French	34	shuffled	1.1662612359448388	1.539337232791122
French	35	shuffled	1.1478068246484419	-0.14682408415761236
French	36	shuffled	1.1789916861377137	2.702505882162191
French	37	shuffled	1.1416956788987342	-0.7051934301038851
French	38	shuffled	1.1524867468976283	0.2807757853893827
French	39	shuffled	1.1594758228273576	0.9193607440018496
French	40	shuffled	1.1500824351263756	0.06109619564477443
French	41	shuffled	1.1552907364549734	0.5369735393457258
French	42	shuffled	1.1385927063073062	-0.9887089683231722
French	43	shuffled	1.1605716173086806	1.0194824025070726
French	44	shuffled	1.1654267530376596	1.4630913544945274
French	45	shuffled	1.1600744424180354	0.9740560242336055
French	46	shuffled	1.140593080618934	-0.8059367449500475
French	47	shuffled	1.155989380401162	0.600807946060925
French	48	shuffled	1.1286770300708573	-1.8946945038548522
French	49	shuffled	1.1484683204812811	-0.08638386383619209
French	50	shuffled	1.1643030226852418	1.3604172230635176
French	51	shuffled	1.156641057431341	0.6603510320897046
French	52	shuffled	1.1517957764789843	0.21764250130023907
French	53	shuffled	1.1747908402659073	2.318678747623002
French	54	shuffled	1.1565118936557577	0.6485494656001664
French	55	shuffled	1.1402448710535051	-0.8377523087189233
French	56	shuffled	1.1588647769525535	0.8635300864735368
French	57	shuffled	1.1280741411464437	-1.949779868889583
French	58	shuffled	1.1429961117504988	-0.5863741659877352
French	59	shuffled	1.1568033488417533	0.6751794378250638
French	60	shuffled	1.1413401860186805	-0.7376744631300856
French	61	shuffled	1.1477594977232664	-0.15114829852562342
French	62	shuffled	1.1329614893572513	-1.5032276942812626
French	63	shuffled	1.1453960304307451	-0.3670959686255603
French	64	shuffled	1.1477393021289164	-0.15299355001692067
French	65	shuffled	1.1527690869610263	0.30657291787333857
French	66	shuffled	1.1406971809051007	-0.7964252047118586
French	67	shuffled	1.1752414669509268	2.3598520623639097
French	68	shuffled	1.1512973508288908	0.17210184237243148
French	69	shuffled	1.1429641045012255	-0.5892986367128981
French	70	shuffled	1.1560337604974849	0.6048629115897666
French	71	shuffled	1.141404663351996	-0.7317832329244377
French	72	shuffled	1.1486268599456118	-0.07189826970530286
French	73	shuffled	1.1318571803272337	-1.6041273186836056
French	74	shuffled	1.1554644024287242	0.5528412276889455
French	75	shuffled	1.159027478942867	0.8783960064885868
French	76	shuffled	1.1413977599310334	-0.7324139916733834
French	77	shuffled	1.1457359638078302	-0.33603659200418534
French	78	shuffled	1.1479460737741825	-0.13410102919413272
French	79	shuffled	1.1309648123661953	-1.685662097128756
French	80	shuffled	1.1547162972259293	0.4844875948528161
French	81	shuffled	1.14724488238064	-0.19816819365575006
French	82	shuffled	1.1460234311412214	-0.3097709859295359
French	83	shuffled	1.167107072066782	1.6166204430974325
French	84	shuffled	1.1549840488567173	0.5089517966706726
French	85	shuffled	1.1514046176860633	0.18190270907307474
French	86	shuffled	1.1571445398371747	0.706353721790607
French	87	shuffled	1.1525628094468656	0.2877255453211721
French	88	shuffled	1.1567337446432837	0.6688197710184867
French	89	shuffled	1.157027189066692	0.6956314978993201
French	90	shuffled	1.1387901359811003	-0.9706700141987229
French	91	shuffled	1.1351501719053243	-1.3032499334972019
French	92	shuffled	1.1450960153588305	-0.39450804916495485
French	93	shuffled	1.141394901265032	-0.7326751851599888
French	94	shuffled	1.1731875012613515	2.172183247765746
French	95	shuffled	1.1622521445297893	1.173030513405958
French	96	shuffled	1.1380346862229842	-1.0396947117940574
French	97	shuffled	1.1464324918739772	-0.2723955111567248
French	98	shuffled	1.1587488809941664	0.85294078732525
French	99	shuffled	1.1499843932976863	0.052138210677183314
French	100	shuffled	1.159832923683968	0.9519886962564507
French	101	shuffled	1.1510081728701924	0.14567993815451216
French	102	shuffled	1.1512170817554217	0.1647677364799608
French	103	shuffled	1.1647081306923563	1.3974315412019755
French	104	shuffled	1.1633963912412872	1.2775792042845617
French	105	shuffled	1.1598473442252446	0.9533062868573979
French	106	shuffled	1.1575779447601822	0.7459535011611377
French	107	shuffled	1.14922999779658	-0.016790160497346523
French	108	shuffled	1.1526056647305585	0.2916411902273775
French	109	shuffled	1.165900103448948	1.5063409136409665
French	110	shuffled	1.151492417645952	0.1899249046130062
French	111	shuffled	1.1481378691607829	-0.1165768743207673
French	112	shuffled	1.142935246619473	-0.5919353528410115
French	113	shuffled	1.1513265071652428	0.17476582800226048
French	114	shuffled	1.1449559594141923	-0.40730482237353166
French	115	shuffled	1.1624514570184248	1.191241498461197
French	116	shuffled	1.1311490656889438	-1.668827053173792
French	117	shuffled	1.148587873487087	-0.07546042388045443
French	118	shuffled	1.1325285132775675	-1.5427882906612385
French	119	shuffled	1.168071044752345	1.704697674437178
French	120	shuffled	1.1394425968916784	-0.9110553057927925
French	121	shuffled	1.1446265617316207	-0.43740156300232486
French	122	shuffled	1.121820912450125	-2.521131193210876
French	123	shuffled	1.1488790970299714	-0.04885161665762947
French	124	shuffled	1.1662421637890545	1.5375946287709945
French	125	shuffled	1.136307744799417	-1.197483642488582
French	126	shuffled	1.1493731551690312	-0.0037100128954474718
French	127	shuffled	1.12694778054018	-2.052694324014336
French	128	shuffled	1.1333143135223307	-1.4709904991040958
French	129	shuffled	1.1453670189951601	-0.3697467148155564
French	130	shuffled	1.1382129782960897	-1.023404341325953
French	131	shuffled	1.1526764931649904	0.2981127142636129
French	132	shuffled	1.1631655701404453	1.2564893084800184
French	133	shuffled	1.1453497929604184	-0.3713206405810246
French	134	shuffled	1.1447593480695322	-0.4252690065739698
French	135	shuffled	1.1547742720519683	0.48978469739668534
French	136	shuffled	1.1572188240836987	0.7131409999614318
French	137	shuffled	1.1504765114218622	0.09710255719723962
French	138	shuffled	1.1563303114900016	0.63195848261902
French	139	shuffled	1.1554146469482842	0.5482951186271829
French	140	shuffled	1.1589991330783758	0.875806072871477
French	141	shuffled	1.1425728662626533	-0.6250456878106733
French	142	shuffled	1.1539856224761573	0.41772656527842866
French	143	shuffled	1.1688436516279517	1.7752900008968635
French	144	shuffled	1.1540632187606146	0.424816461081082
French	145	shuffled	1.1226753170701549	-2.4430650877048246
French	146	shuffled	1.1429251542271717	-0.592857484748707
French	147	shuffled	1.1347220672712393	-1.3423654307085182
French	148	shuffled	1.1538785395915014	0.407942507964756
French	149	shuffled	1.1448195144489914	-0.4197716639605597
French	150	shuffled	1.1412122638523894	-0.7493625850059885
French	151	shuffled	1.1346944235328427	-1.3448912117584548
French	152	shuffled	1.1327094298119347	-1.5262581257620822
French	153	shuffled	1.1327105271380011	-1.5261578641641573
French	154	shuffled	1.1431678627628323	-0.5706814457761615
French	155	shuffled	1.1725931509171463	2.1178780443638034
French	156	shuffled	1.1577874436071391	0.7650952037064359
French	157	shuffled	1.1362381530467878	-1.203842172131029
French	158	shuffled	1.152595784910575	0.2907384808422355
French	159	shuffled	1.1624457777233723	1.1907225868865499
French	160	shuffled	1.1480829580034937	-0.12159405247957247
French	161	shuffled	1.1706581347425706	1.9410775293629974
French	162	shuffled	1.1451472687597108	-0.38982507659333426
French	163	shuffled	1.1428562074135185	-0.5991570869544746
French	164	shuffled	1.138131776720082	-1.030823649053538
French	165	shuffled	1.1396697271386698	-0.890302639655961
French	166	shuffled	1.1531805292376291	0.34416599195316433
French	167	shuffled	1.1527697000492731	0.30662893514038053
French	168	shuffled	1.1357933100272488	-1.244487039074452
French	169	shuffled	1.1635703312457615	1.2934719305440883
French	170	shuffled	1.1598944997738745	0.9576148427198508
French	171	shuffled	1.1571522640377017	0.7070594743569582
French	172	shuffled	1.1611504341884973	1.0723683286235206
French	173	shuffled	1.1492580282410494	-0.014229046495825768
French	174	shuffled	1.1555592848597118	0.5615105416117729
French	175	shuffled	1.153624062365405	0.38469117538109704
French	176	shuffled	1.1490249051724197	-0.03552927082151114
French	177	shuffled	1.1556909701032634	0.5735424921369553
French	178	shuffled	1.1438478668547454	-0.5085501441196035
French	179	shuffled	1.153314646417917	0.356420146133831
French	180	shuffled	1.1653973776602968	1.460407355304068
French	181	shuffled	1.1675885032653133	1.6606083357859518
French	182	shuffled	1.1382404973725955	-1.0208899505097446
French	183	shuffled	1.1345241188564015	-1.360451781689324
French	184	shuffled	1.1391469370186535	-0.9380694561149848
French	185	shuffled	1.1442651782901097	-0.470420810805732
French	186	shuffled	1.1504605273501678	0.09564210836765363
French	187	shuffled	1.154190717648084	0.4364659083894742
French	188	shuffled	1.1393637814889481	-0.9182565912268841
French	189	shuffled	1.1565996477367009	0.6565674692261985
French	190	shuffled	1.1517492045542383	0.21338727057511264
French	191	shuffled	1.1445109431448108	-0.4479655189837943
French	192	shuffled	1.16389657400388	1.3232804088444257
French	193	shuffled	1.1473206761972496	-0.19124298755849714
French	194	shuffled	1.1500456526392975	0.057735416161958646
French	195	shuffled	1.1436480509603006	-0.5268071248659902
French	196	shuffled	1.1422426010007707	-0.655221698303468
French	197	shuffled	1.156376050784708	0.6361376367605304
French	198	shuffled	1.1556225046618709	0.5672868724387866
French	199	shuffled	1.1520300102211172	0.23904420676594695
French	200	shuffled	1.1500718667873566	0.06013057695599204
French	201	shuffled	1.1386274521254962	-0.9855342772633123
French	202	shuffled	1.1498584665698433	0.04063241003967619
French	203	shuffled	1.1538220909097856	0.4027848477190141
French	204	shuffled	1.1551546912265096	0.5245432213091997
French	205	shuffled	1.1488050317754062	-0.05561888574966537
French	206	shuffled	1.141264724241466	-0.7445693311160483
French	207	shuffled	1.1419873408403296	-0.6785445668242275
French	208	shuffled	1.1352804176476714	-1.2913495087740445
French	209	shuffled	1.145434652266468	-0.36356712967537336
French	210	shuffled	1.1452210872458013	-0.38308035449289346
French	211	shuffled	1.1462186409950237	-0.2919348545633249
French	212	shuffled	1.164640126532966	1.3912180683843407
French	213	shuffled	1.1392397284032003	-0.9295911990383466
French	214	shuffled	1.1603465919189726	0.9989220550994541
French	215	shuffled	1.1479473405426384	-0.1339852858125867
French	216	shuffled	1.1403716536837618	-0.8261683051239913
French	217	shuffled	1.1709103617647292	1.9641232630373058
French	218	shuffled	1.1296358243858085	-1.807090415118808
French	219	shuffled	1.146284056108973	-0.2859579402682133
French	220	shuffled	1.1655236004587137	1.4719402076172243
French	221	shuffled	1.1540677865451126	0.4252338150351554
French	222	shuffled	1.152286909938864	0.2625168800169354
French	223	shuffled	1.1420686064624828	-0.6711194072636414
French	224	shuffled	1.1500832121496032	0.061167191488944304
French	225	shuffled	1.1758581128903185	2.4161943922576197
French	226	shuffled	1.1425124353698979	-0.6305671987424671
French	227	shuffled	1.1397175480954695	-0.8859332861068173
French	228	shuffled	1.1395644587336589	-0.8999209097581851
French	229	shuffled	1.1529767292665698	0.3255449900649796
French	230	shuffled	1.1589133154000426	0.8679649964376833
French	231	shuffled	1.1426222823748846	-0.6205305864866506
French	232	shuffled	1.161337335661006	1.0894453314042265
French	233	shuffled	1.1604753759071988	1.0106889207936132
French	234	shuffled	1.1359179739297678	-1.2330966215384345
French	235	shuffled	1.147012689509573	-0.21938342674969846
French	236	shuffled	1.1408531638665484	-0.7821731957221401
French	237	shuffled	1.1529135742132157	0.31977457527226955
French	238	shuffled	1.1583260841612895	0.8143102586632646
French	239	shuffled	1.149399729749539	-0.0012819197448767584
French	240	shuffled	1.1604865167124234	1.0117068451536821
French	241	shuffled	1.1410970918447996	-0.7598857374855903
French	242	shuffled	1.1526397364991476	0.29475429404154735
French	243	shuffled	1.1491455547807288	-0.024505635379103767
French	244	shuffled	1.1541646355413349	0.4340828120794153
French	245	shuffled	1.1521551027412298	0.2504737866677833
French	246	shuffled	1.136522083853345	-1.1778996950171547
French	247	shuffled	1.1546496051358792	0.4783940045137504
French	248	shuffled	1.1489225597791706	-0.044880468228622766
French	249	shuffled	1.141467976166934	-0.7259984036117721
French	250	shuffled	1.150287056748362	0.07979227096591872
French	251	shuffled	1.1559470109749614	0.5969366934734885
French	252	shuffled	1.1619359715033364	1.144142096533423
French	253	shuffled	1.1528801728322438	0.31672272411196783
French	254	shuffled	1.1610463144607437	1.0628550120267664
French	255	shuffled	1.1328410520551222	-1.5142319315178825
French	256	shuffled	1.1446814704627222	-0.432384606521891
French	257	shuffled	1.148384007131005	-0.094087491302528
French	258	shuffled	1.1447139502343664	-0.4294169618948034
