language	i	lex.type	seq.H	seq.H.scaled
German	1	original	1.1045585378224656	0.059140262435807965
German	2	shuffled	1.0978416950144116	-0.22426900381395642
German	3	shuffled	1.1082574697749346	0.21521233684851218
German	4	shuffled	1.087173164170155	-0.6744150895476148
German	5	shuffled	1.1223184906703452	0.808500542121473
German	6	shuffled	1.1183722432223702	0.6419932818459223
German	7	shuffled	1.0773810714141951	-1.0875809030587762
German	8	shuffled	1.1589174279817944	2.352749568840044
German	9	shuffled	1.0906534393543548	-0.5275689797773166
German	10	shuffled	1.128131653614699	1.053780101540993
German	11	shuffled	1.1315154899369206	1.1965570871867206
German	12	shuffled	1.079678160716449	-0.9906579271509105
German	13	shuffled	1.0816178828251544	-0.9088136388049817
German	14	shuffled	1.1309695901904597	1.173523490746901
German	15	shuffled	1.083108040419431	-0.84593819531774
German	16	shuffled	1.165534600876215	2.6319533805485587
German	17	shuffled	1.1344214373499084	1.3191701135162555
German	18	shuffled	1.1136177741708195	0.441384063525154
German	19	shuffled	1.129098860910966	1.0945902735190778
German	20	shuffled	1.08351361881978	-0.8288252927034613
German	21	shuffled	1.1012787192981808	-0.07924781481461933
German	22	shuffled	1.0647703137118731	-1.6196769620856697
German	23	shuffled	1.085613730521841	-0.7402135544906874
German	24	shuffled	1.1119117488588415	0.36940033609722134
German	25	shuffled	1.0876738638217418	-0.6532886578411015
German	26	shuffled	1.124612354001702	0.9052874019892568
German	27	shuffled	1.0900992137617518	-0.5509538754827978
German	28	shuffled	1.1076801130425398	0.19085144996037987
German	29	shuffled	1.1144528682595038	0.4766198744093615
German	30	shuffled	1.1084219134538889	0.22215084407931507
German	31	shuffled	1.119613499866234	0.6943666430690347
German	32	shuffled	1.1351588276664561	1.3502834288825
German	33	shuffled	1.070529591185709	-1.3766710365887342
German	34	shuffled	1.0696700396417536	-1.412938800974129
German	35	shuffled	1.138817105720633	1.504640159968826
German	36	shuffled	1.0956196826036604	-0.3180241987656359
German	37	shuffled	1.1070321758731445	0.1635125047145459
German	38	shuffled	1.1202762335361056	0.7223299092142738
German	39	shuffled	1.1140640560615909	0.4602144019473073
German	40	shuffled	1.0819897133015492	-0.893124690068826
German	41	shuffled	1.0994917824796615	-0.15464550790399528
German	42	shuffled	1.0784744752797375	-1.0414460155672234
German	43	shuffled	1.0712066033612893	-1.3481053057228398
German	44	shuffled	1.0945008557202058	-0.36523178053607075
