language	i	lex.type	seq.H	seq.H.scaled
Hausa	1	original	1.4270243521013164	6.720725115006717
Hausa	2	shuffled	1.3240803193904491	0.41340546872434353
Hausa	3	shuffled	1.2820179761723838	-2.163729278785594
Hausa	4	shuffled	1.3330370349248464	0.9621781014706674
Hausa	5	shuffled	1.3247824090861493	0.4564220867305535
Hausa	6	shuffled	1.2829350456232593	-2.107540979063952
Hausa	7	shuffled	1.297455358765621	-1.2178900304731075
Hausa	8	shuffled	1.3277780459890993	0.6399629777715409
Hausa	9	shuffled	1.3067713991388956	-0.647101778598924
Hausa	10	shuffled	1.3226087833613027	0.32324533158540214
Hausa	11	shuffled	1.329065286157079	0.7188314171281575
Hausa	12	shuffled	1.3342503326031867	1.0365161284729543
Hausa	13	shuffled	1.3024438636746425	-0.9122473021896865
Hausa	14	shuffled	1.3107459587310912	-0.40358287671575477
Hausa	15	shuffled	1.341959336625524	1.5088422190966133
Hausa	16	shuffled	1.3162507701718944	-0.06630635436330824
Hausa	17	shuffled	1.3547640322484331	2.2933783028332537
Hausa	18	shuffled	1.330125526467676	0.7837917102574344
Hausa	19	shuffled	1.302264520626043	-0.9232355440922801
Hausa	20	shuffled	1.2917299722208304	-1.568681058234218
Hausa	21	shuffled	1.3412594407859613	1.4659600173508927
Hausa	22	shuffled	1.3135006485575957	-0.23480466971734262
Hausa	23	shuffled	1.3103512331054288	-0.42776748099121037
Hausa	24	shuffled	1.3196401464576353	0.14135871443907458
Hausa	25	shuffled	1.3127933614610092	-0.27813972938410103
Hausa	26	shuffled	1.3273659804176343	0.6147159653317084
Hausa	27	shuffled	1.322777079103502	0.3335567115965286
Hausa	28	shuffled	1.3251948607714723	0.48169275613677953
Hausa	29	shuffled	1.3161291163971645	-0.07376000877330882
Hausa	30	shuffled	1.2975567058539532	-1.2116805546589378
Hausa	31	shuffled	1.3263644171460265	0.5533507794763066
Hausa	32	shuffled	1.3096465165791804	-0.47094504334249565
Hausa	33	shuffled	1.307407725510847	-0.6081144403184364
Hausa	34	shuffled	1.2945362657699044	-1.3967411218512755
Hausa	35	shuffled	1.2874795349069879	-1.8291028240123988
Hausa	36	shuffled	1.3081806495324841	-0.5607578452990025
Hausa	37	shuffled	1.286552557624546	-1.8858981706802749
Hausa	38	shuffled	1.3494032687235433	1.964927510599602
Hausa	39	shuffled	1.3240310469553287	0.4103865759350148
Hausa	40	shuffled	1.2975491915347297	-1.2121409525277493
Hausa	41	shuffled	1.3387265730892852	1.3107727202926112
Hausa	42	shuffled	1.3204952132922279	0.19374815074431184
Hausa	43	shuffled	1.3015264416848662	-0.9684572017600636
Hausa	44	shuffled	1.3249700032161935	0.4679158674849789
Hausa	45	shuffled	1.32298900266321	0.3465411420337024
Hausa	46	shuffled	1.324617161288963	0.44629745249725733
Hausa	47	shuffled	1.31366080487073	-0.22499198768317016
Hausa	48	shuffled	1.3004067824550654	-1.0370580567226722
