language	i	lex.type	seq.H	seq.H.scaled
Kaqchikel	1	original	1.136014596141629	2.2617229950685114
Kaqchikel	2	shuffled	1.0676584127569673	0.0562650736641738
Kaqchikel	3	shuffled	1.096894160688754	0.999533241541542
Kaqchikel	4	shuffled	1.1308500154605559	2.09509190465628
Kaqchikel	5	shuffled	1.1072520918291653	1.3337236563929782
Kaqchikel	6	shuffled	1.071987435724803	0.19593755863349704
Kaqchikel	7	shuffled	1.0663575178591265	0.014292733850929374
Kaqchikel	8	shuffled	1.0986934356963216	1.057585419438816
Kaqchikel	9	shuffled	1.107893255419859	1.3544102899935446
Kaqchikel	10	shuffled	1.038763838429393	-0.875995399068049
Kaqchikel	11	shuffled	1.0345382630066184	-1.0123302312251727
Kaqchikel	12	shuffled	1.0688256845848922	0.09392617134194313
Kaqchikel	13	shuffled	1.1107431210594965	1.4463589395327856
Kaqchikel	14	shuffled	0.9958025738921394	-2.2621064499739925
Kaqchikel	15	shuffled	1.0523241925406372	-0.4384813526298974
Kaqchikel	16	shuffled	1.0851957644456012	0.622093785669622
Kaqchikel	17	shuffled	1.0365633456861627	-0.9469925482833572
Kaqchikel	18	shuffled	1.0509236002239484	-0.483670350414005
Kaqchikel	19	shuffled	1.0727549866875339	0.2207019803290529
Kaqchikel	20	shuffled	1.0376590786197362	-0.9116395961664395
Kaqchikel	21	shuffled	1.0687956782813752	0.09295804181061362
Kaqchikel	22	shuffled	1.0215572326296403	-1.431152857874642
Kaqchikel	23	shuffled	1.098913614964922	1.0646893285223722
Kaqchikel	24	shuffled	1.0396741939226988	-0.8466235027070843
Kaqchikel	25	shuffled	1.0422450102659817	-0.7636781569018164
Kaqchikel	26	shuffled	1.0804394236137982	0.46863422948918454
Kaqchikel	27	shuffled	1.0688531772550818	0.09481320049201805
Kaqchikel	28	shuffled	1.049109814180542	-0.5421907153479686
Kaqchikel	29	shuffled	1.0594454000233733	-0.20872125376094638
Kaqchikel	30	shuffled	1.0753430502153514	0.30420379283375015
Kaqchikel	31	shuffled	1.0992817809082713	1.0765679100338947
Kaqchikel	32	shuffled	1.0703069164263552	0.1417169392935063
Kaqchikel	33	shuffled	1.0956394326584558	0.959050439012078
Kaqchikel	34	shuffled	1.0112425437740669	-1.7639480947785489
Kaqchikel	35	shuffled	1.0214121596285943	-1.4358335229366188
