language	i	lex.type	seq.H	seq.H.scaled
Russian	1	original	1.171857310569451	3.502722072632978
Russian	2	shuffled	1.0982652503020374	-1.6612394370612908
Russian	3	shuffled	1.1198263510022157	-0.1482950553198191
Russian	4	shuffled	1.1289776461223364	0.4938521490448551
Russian	5	shuffled	1.125921803160721	0.27942337267806977
Russian	6	shuffled	1.1283472843127544	0.4496196039845022
Russian	7	shuffled	1.1039090976505326	-1.2652101593332898
Russian	8	shuffled	1.1297551833625312	0.5484120073519853
Russian	9	shuffled	1.1533476699578076	2.2038989206587383
Russian	10	shuffled	1.1344565860692566	0.8783098595235792
Russian	11	shuffled	1.0993461873554293	-1.5853899864842143
Russian	12	shuffled	1.1145452352077314	-0.5188714271710528
Russian	13	shuffled	1.114750746195322	-0.50445070262711
Russian	14	shuffled	1.1333523605126337	0.8008262525733
Russian	15	shuffled	1.128954090216779	0.4921992290262721
Russian	16	shuffled	1.115553077808545	-0.44815102092723086
Russian	17	shuffled	1.1074001083109664	-1.0202456262721746
Russian	18	shuffled	1.1138090697189513	-0.5705282259481477
Russian	19	shuffled	1.130612508289608	0.608570574847422
Russian	20	shuffled	1.132224794547346	0.7217048470408497
Russian	21	shuffled	1.1071212941085762	-1.0398100440132625
Russian	22	shuffled	1.132277731780036	0.7254194574356108
Russian	23	shuffled	1.1062263135036532	-1.1026109138211113
Russian	24	shuffled	1.128824425707876	0.4831006587360026
Russian	25	shuffled	1.1179329973319911	-0.28115185321011343
Russian	26	shuffled	1.1260906028405187	0.2912680614414554
Russian	27	shuffled	1.1312271219908654	0.6516980737255822
Russian	28	shuffled	1.1250489327182809	0.2181739749668002
Russian	29	shuffled	1.1414442131717795	1.368632283850412
Russian	30	shuffled	1.0980845271954498	-1.673920793758459
Russian	31	shuffled	1.1378521404139446	1.116576214295115
Russian	32	shuffled	1.1295885448238654	0.536718966056835
Russian	33	shuffled	1.1008427606128075	-1.4803753059676434
Russian	34	shuffled	1.130956208740272	0.6326880664850354
Russian	35	shuffled	1.1162771547628874	-0.39734247570246184
Russian	36	shuffled	1.1412594487082095	1.3556673447691088
Russian	37	shuffled	1.139901968944118	1.2604128672278567
Russian	38	shuffled	1.1392313688853388	1.2133568005903486
Russian	39	shuffled	1.1256835386509731	0.26270433052877895
Russian	40	shuffled	1.1304792202526643	0.5992177412675737
Russian	41	shuffled	1.1363037414257926	1.0079249175735472
