language	i	lex.type	seq.H	seq.H.scaled
Spanish	1	original	1.692952191251647	7.534127775843353
Spanish	2	shuffled	1.601384804496097	0.37707696002647945
Spanish	3	shuffled	1.6021205577181594	0.43458458784881254
Spanish	4	shuffled	1.5906664612800459	-0.4606855859707667
Spanish	5	shuffled	1.585508552349172	-0.8638358519073631
Spanish	6	shuffled	1.5877608372214413	-0.6877937275912008
Spanish	7	shuffled	1.6113181940916521	1.1534862977581315
Spanish	8	shuffled	1.583971583771934	-0.9839677307276423
Spanish	9	shuffled	1.586383305374204	-0.7954637810940223
Spanish	10	shuffled	1.6057453665932533	0.7179053446803748
Spanish	11	shuffled	1.6007767736532212	0.32955231403365326
Spanish	12	shuffled	1.600368894149399	0.2976718111709988
Spanish	13	shuffled	1.5980724774019193	0.11818027015015566
Spanish	14	shuffled	1.6031619006052762	0.51597758402201
Spanish	15	shuffled	1.6167311691629627	1.576572933980951
Spanish	16	shuffled	1.6101466586227189	1.0619172448368004
Spanish	17	shuffled	1.5865687745931676	-0.7809672155380369
Spanish	18	shuffled	1.5868247696452276	-0.7609582400598776
Spanish	19	shuffled	1.6069282691050273	0.8103628635295822
Spanish	20	shuffled	1.5978983186006188	0.10456774460919359
Spanish	21	shuffled	1.5942189885521372	-0.1830144727958369
Spanish	22	shuffled	1.579310550644189	-1.3482814032203765
Spanish	23	shuffled	1.6032997331940169	0.5267507957150126
Spanish	24	shuffled	1.5972364072489091	0.05283171339101475
Spanish	25	shuffled	1.5808819964851535	-1.2254547272979481
Spanish	26	shuffled	1.5923282154039682	-0.33080027276361085
Spanish	27	shuffled	1.5995409797981743	0.2329607246934795
Spanish	28	shuffled	1.6107008633152973	1.1052347543528973
Spanish	29	shuffled	1.588674016200723	-0.6164182238203916
Spanish	30	shuffled	1.5825736352259607	-1.093233585481557
Spanish	31	shuffled	1.6032890834917632	0.525918398254485
Spanish	32	shuffled	1.601516870021245	0.3873994089680995
Spanish	33	shuffled	1.591880759870438	-0.36577410028849905
Spanish	34	shuffled	1.5846715216700449	-0.9292594848969558
Spanish	35	shuffled	1.6083010543787015	0.917661917385087
Spanish	36	shuffled	1.578588764921313	-1.404697309361112
Spanish	37	shuffled	1.592054492497629	-0.3521948851855277
Spanish	38	shuffled	1.5759985057655583	-1.6071560346861289
Spanish	39	shuffled	1.608440916133659	0.9285937318977416
Spanish	40	shuffled	1.5860695876372326	-0.8199844523164259
Spanish	41	shuffled	1.6079379813524153	0.889283559204787
Spanish	42	shuffled	1.5918043764382785	-0.371744349356672
Spanish	43	shuffled	1.6026360169675744	0.4748736926519729
Spanish	44	shuffled	1.6065252594554131	0.7788629961231532
Spanish	45	shuffled	1.5979478930046898	0.10844255792069231
Spanish	46	shuffled	1.60995765511931	1.0471444340556424
Spanish	47	shuffled	1.5746505029771876	-1.7125180505530686
Spanish	48	shuffled	1.608264431751245	0.9147994352830744
Spanish	49	shuffled	1.5846407714051436	-0.9316629739152227
Spanish	50	shuffled	1.6083665587334361	0.9227818406689584
Spanish	51	shuffled	1.581404188928456	-1.1846393454816126
Spanish	52	shuffled	1.584553396041216	-0.9384923696404742
Spanish	53	shuffled	1.5862025677656286	-0.8095905165479522
Spanish	54	shuffled	1.6195686412371944	1.798354209425143
Spanish	55	shuffled	1.593412718191819	-0.2460338309379399
Spanish	56	shuffled	1.5823209802840497	-1.1129814927026307
Spanish	57	shuffled	1.6013316847186427	0.3729250347609922
Spanish	58	shuffled	1.602483437853282	0.4629478693526942
Spanish	59	shuffled	1.603998878589093	0.581397098263354
Spanish	60	shuffled	1.5863813223640135	-0.7956187762861376
Spanish	61	shuffled	1.598638343280969	0.16240923632244042
Spanish	62	shuffled	1.5825530248883737	-1.0948445218494958
Spanish	63	shuffled	1.5763384419629334	-1.580586087405185
Spanish	64	shuffled	1.5992686709793134	0.2116766395706182
Spanish	65	shuffled	1.603403524514722	0.5348632884140845
Spanish	66	shuffled	1.591280939861236	-0.4126569746208613
Spanish	67	shuffled	1.6172293988780755	1.6155153513127014
Spanish	68	shuffled	1.5772944763807197	-1.5058609352280958
Spanish	69	shuffled	1.5903333619482662	-0.48672115309496217
Spanish	70	shuffled	1.5811593121866114	-1.2037792963646947
Spanish	71	shuffled	1.6094537722354587	1.007760156173262
Spanish	72	shuffled	1.5951717923752307	-0.10854182897572336
Spanish	73	shuffled	1.621634200398225	1.9598015587749467
Spanish	74	shuffled	1.601496179484339	0.3857822040953846
Spanish	75	shuffled	1.6102309986356798	1.0685093927614655
Spanish	76	shuffled	1.6010773948364039	0.35304933803514593
Spanish	77	shuffled	1.588362098131565	-0.640798230178931
Spanish	78	shuffled	1.5766070926412925	-1.5595879282914717
Spanish	79	shuffled	1.604342703065899	0.6082709595737236
Spanish	80	shuffled	1.5967448041323227	0.014407241411529582
Spanish	81	shuffled	1.6038257966138592	0.5678687391396183
Spanish	82	shuffled	1.6006386685346414	0.31875780098023554
Spanish	83	shuffled	1.6162947368847764	1.5424607014130352
Spanish	84	shuffled	1.5812151845590052	-1.1994122239539666
Spanish	85	shuffled	1.6020024968175088	0.425356762361414
Spanish	86	shuffled	1.5880013288380204	-0.6689965249886086
Spanish	87	shuffled	1.600261352285884	0.2892661701532045
Spanish	88	shuffled	1.6081753825189045	0.9078392073727662
Spanish	89	shuffled	1.5899370895788323	-0.5176944240971632
Spanish	90	shuffled	1.5785975795234715	-1.4040083462072621
Spanish	91	shuffled	1.5937079490703905	-0.22295812161388168
Spanish	92	shuffled	1.5939996253429118	-0.2001602458835592
Spanish	93	shuffled	1.5835204375398353	-1.0192300290513248
Spanish	94	shuffled	1.599911857641849	0.26194911966347106
Spanish	95	shuffled	1.5976214447270085	0.08292684763469396
Spanish	96	shuffled	1.5792731802463422	-1.3512023322309423
Spanish	97	shuffled	1.5960217180207865	-0.042110305150014106
Spanish	98	shuffled	1.6065807765375308	0.7832022984876844
Spanish	99	shuffled	1.5840402827586373	-0.9785981099898167
Spanish	100	shuffled	1.5861660282204646	-0.8124465048074395
