language	i	lex.type	seq.H	seq.H.scaled
Swahili	1	original	1.1726605767066127	5.910322047274317
Swahili	2	shuffled	1.0803283303668219	-1.0140738846592847
Swahili	3	shuffled	1.0849841154872817	-0.6649163494962333
Swahili	4	shuffled	1.0883919292865267	-0.40934960067653814
Swahili	5	shuffled	1.0987516794857228	0.36757303446839934
Swahili	6	shuffled	1.1111997927519792	1.3011110807962958
Swahili	7	shuffled	1.1056030605841183	0.8813878422579405
Swahili	8	shuffled	1.0864880388076472	-0.5521306117469795
Swahili	9	shuffled	1.1362812647740121	3.1820795367909147
Swahili	10	shuffled	1.1021514964934607	0.6225400691819607
Swahili	11	shuffled	1.1113663203706305	1.3135997097515613
Swahili	12	shuffled	1.1144102343511642	1.5418760316163682
Swahili	13	shuffled	1.0925695144570315	-0.09605435544341742
Swahili	14	shuffled	1.080347543122287	-1.0126330367317349
Swahili	15	shuffled	1.1147318730141071	1.5659971110606925
Swahili	16	shuffled	1.0915499428655007	-0.17251645466204088
Swahili	17	shuffled	1.0678715934576106	-1.9482586554042955
Swahili	18	shuffled	1.089270535489852	-0.34345910779620686
Swahili	19	shuffled	1.094958163599253	0.08308081194269622
Swahili	20	shuffled	1.0618081766531553	-2.4029806005401033
Swahili	21	shuffled	1.0861419800390275	-0.578083060914325
Swahili	22	shuffled	1.0926763982068997	-0.08803867909939213
Swahili	23	shuffled	1.0918172359689844	-0.1524709846148232
Swahili	24	shuffled	1.0829790505088122	-0.8152848754506771
Swahili	25	shuffled	1.0772250842533877	-1.2467997807083648
Swahili	26	shuffled	1.0834405766209165	-0.7806730289959093
Swahili	27	shuffled	1.0928958723363327	-0.0715793614800858
Swahili	28	shuffled	1.0765771991548727	-1.2953874964670384
Swahili	29	shuffled	1.104255781022984	0.780349499943997
Swahili	30	shuffled	1.101876800189094	0.6019394009660681
Swahili	31	shuffled	1.0783364094939778	-1.1634566770793466
Swahili	32	shuffled	1.0822460012788508	-0.8702594190913823
Swahili	33	shuffled	1.1225506190674739	2.152358815784243
Swahili	34	shuffled	1.0711844557180008	-1.6998127346315843
Swahili	35	shuffled	1.1033790508784942	0.7145997008589846
Swahili	36	shuffled	1.0987870153488537	0.3702230242240294
Swahili	37	shuffled	1.1139416021931658	1.5067312719353911
Swahili	38	shuffled	1.0922560610516827	-0.11956158689168767
Swahili	39	shuffled	1.0921651304428022	-0.1263808679465812
Swahili	40	shuffled	1.0872653802588064	-0.49383440218308267
Swahili	41	shuffled	1.07827737675004	-1.1678837987857718
Swahili	42	shuffled	1.092435020251056	-0.10614065973735325
Swahili	43	shuffled	1.0908493099174885	-0.22505996061271555
Swahili	44	shuffled	1.0878026740485045	-0.45354040870709356
Swahili	45	shuffled	1.0859779418162017	-0.5903849992711242
Swahili	46	shuffled	1.0963883537183345	0.19033697688008783
Swahili	47	shuffled	1.1013909471434458	0.5655031721709496
Swahili	48	shuffled	1.087834900754811	-0.4511235881173873
Swahili	49	shuffled	1.077991324969261	-1.1893360634675954
Swahili	50	shuffled	1.0864373144333668	-0.5559346527493482
