language	i	lex.type	seq.H	seq.H.scaled
Turkish	1	original	1.2600773788249724	4.447081229480587
Turkish	2	shuffled	1.2202461989584275	0.9176265578924504
Turkish	3	shuffled	1.1986589891480754	-0.9952235953538173
Turkish	4	shuffled	1.215926942720535	0.534895763632954
Turkish	5	shuffled	1.2074435136397401	-0.21682383143350012
Turkish	6	shuffled	1.2195166571566605	0.8529816056466843
Turkish	7	shuffled	1.2229986631727816	1.1615233671830791
Turkish	8	shuffled	1.2126932545232658	0.24835753020499066
Turkish	9	shuffled	1.2125356437685852	0.23439158653313114
Turkish	10	shuffled	1.2125547097555134	0.23608103025178095
Turkish	11	shuffled	1.2037575097732076	-0.5434419132933377
Turkish	12	shuffled	1.2056412924384003	-0.37651927755425285
Turkish	13	shuffled	1.2083715074066097	-0.1345939816862289
Turkish	14	shuffled	1.2071136845324877	-0.24605010309600767
Turkish	15	shuffled	1.2019775836701483	-0.7011617830178329
Turkish	16	shuffled	1.2116725373375277	0.15791142613164147
Turkish	17	shuffled	1.217687554817131	0.690904212541715
Turkish	18	shuffled	1.1909379083524863	-1.6793912442913426
Turkish	19	shuffled	1.2267168647419038	1.4909944986437633
Turkish	20	shuffled	1.216061054592664	0.5467794631665096
Turkish	21	shuffled	1.2103750420469288	0.04293991812933565
Turkish	22	shuffled	1.2103636975927263	0.04193468210530356
Turkish	23	shuffled	1.1943517749421364	-1.3768873409826767
Turkish	24	shuffled	1.2032229518102033	-0.590809279916207
Turkish	25	shuffled	1.2253743963312376	1.3720379068641397
Turkish	26	shuffled	1.2216848678449825	1.0451075072274518
Turkish	27	shuffled	1.2333912597764243	2.0824149590353733
Turkish	28	shuffled	1.2091563833610834	-0.06504585096511818
Turkish	29	shuffled	1.2022991942223886	-0.6726637603672385
Turkish	30	shuffled	1.2158287564548227	0.5261954445521404
Turkish	31	shuffled	1.2298085764910578	1.7649521497305902
Turkish	32	shuffled	1.2121203152485642	0.19758918223219307
Turkish	33	shuffled	1.2047242455272256	-0.45777912261924547
Turkish	34	shuffled	1.197431804364439	-1.1039648649325675
Turkish	35	shuffled	1.2203048640749523	0.9228248942277453
Turkish	36	shuffled	1.1971628900360904	-1.1277934568956158
Turkish	37	shuffled	1.214941984087093	0.44761823728874917
Turkish	38	shuffled	1.1817334725800603	-2.4949994925322594
Turkish	39	shuffled	1.2052359154935022	-0.41243986932981075
Turkish	40	shuffled	1.2092746501899956	-0.05456618621010895
Turkish	41	shuffled	1.2154966382824042	0.49676633803083453
Turkish	42	shuffled	1.2208548921017184	0.9715630685695112
Turkish	43	shuffled	1.2004550452845124	-0.8360744377737195
Turkish	44	shuffled	1.2071530135328559	-0.2425651467240534
Turkish	45	shuffled	1.2157955718488151	0.5232549450969258
Turkish	46	shuffled	1.207345764541275	-0.22548541297281005
Turkish	47	shuffled	1.212730141850799	0.251626129099638
Turkish	48	shuffled	1.2100402606064748	0.01327481850310858
Turkish	49	shuffled	1.2078261612592591	-0.18291729306811821
Turkish	50	shuffled	1.2166938668906815	0.6028531805145658
Turkish	51	shuffled	1.2216370075572	1.0408665905168903
Turkish	52	shuffled	1.2156278926527877	0.5083968333430158
Turkish	53	shuffled	1.2097833355921164	-0.009491396186329323
Turkish	54	shuffled	1.2050793187686255	-0.4263159594688222
Turkish	55	shuffled	1.2158020701496328	0.523830761787648
Turkish	56	shuffled	1.2222744003560813	1.0973461876361665
Turkish	57	shuffled	1.217291382374731	0.6557992349269718
Turkish	58	shuffled	1.2151793876951118	0.46865465338742723
Turkish	59	shuffled	1.2107849286577934	0.07926011297128183
Turkish	60	shuffled	1.2072071318055468	-0.23776970779888446
Turkish	61	shuffled	1.206098813719873	-0.3359781580178791
Turkish	62	shuffled	1.2018410147782563	-0.7132631999253075
Turkish	63	shuffled	1.2254691977848238	1.3804382965677398
Turkish	64	shuffled	1.2220857014973	1.0806255162706508
Turkish	65	shuffled	1.209448606270733	-0.039151877523621016
Turkish	66	shuffled	1.223086780222044	1.169331449499688
Turkish	67	shuffled	1.2095809615689153	-0.027423828617114142
Turkish	68	shuffled	1.2206098203302278	0.9498471738443262
Turkish	69	shuffled	1.2127037513454202	0.24928765725906502
Turkish	70	shuffled	1.2103809046124496	0.04345940209476869
Turkish	71	shuffled	1.231040284792997	1.874094249836064
Turkish	72	shuffled	1.2106964740896948	0.0714221229934585
Turkish	73	shuffled	1.2019801858236647	-0.7009312052916505
Turkish	74	shuffled	1.195108228883126	-1.3098576947403944
Turkish	75	shuffled	1.185316229378987	-2.1775301691654003
Turkish	76	shuffled	1.2087072734400452	-0.10484163693419515
Turkish	77	shuffled	1.2038483057218476	-0.5353964527731485
Turkish	78	shuffled	1.1901896031269732	-1.7456988300271896
Turkish	79	shuffled	1.195878995461016	-1.2415598007751005
Turkish	80	shuffled	1.191274668770262	-1.6495507867978172
Turkish	81	shuffled	1.2019016914050493	-0.7078866229670489
Turkish	82	shuffled	1.208874765368432	-0.0900001190309221
Turkish	83	shuffled	1.1922399185101997	-1.5640196723471032
Turkish	84	shuffled	1.212581127021673	0.23842187337443912
Turkish	85	shuffled	1.2165474502262885	0.5898791490680567
Turkish	86	shuffled	1.221452593722297	1.0245256166043784
Turkish	87	shuffled	1.2137292934097677	0.3401612955004839
Turkish	88	shuffled	1.2128670064033575	0.26375374460139195
Turkish	89	shuffled	1.2130689999612303	0.28165246386738896
Turkish	90	shuffled	1.2042577215902739	-0.49911797058203927
Turkish	91	shuffled	1.2397192339969156	2.6431389508687557
Turkish	92	shuffled	1.208407190528175	-0.13143208790031688
Turkish	93	shuffled	1.218844422454449	0.7934146553812548
Turkish	94	shuffled	1.210211335192014	0.028433796900044148
Turkish	95	shuffled	1.1959899316615763	-1.2317297055424847
Turkish	96	shuffled	1.206143167264009	-0.33204797507885425
Turkish	97	shuffled	1.2038632763153043	-0.5340699032913319
Turkish	98	shuffled	1.1997224874344787	-0.9009866431031319
Turkish	99	shuffled	1.208663447364713	-0.1087250806794397
Turkish	100	shuffled	1.21763918972319	0.6866185647822398
Turkish	101	shuffled	1.2041050155002386	-0.5126493102174889
Turkish	102	shuffled	1.2101449665601476	0.022552849396783446
Turkish	103	shuffled	1.205657383227662	-0.3750934671333851
Turkish	104	shuffled	1.210149945460738	0.022994031506058644
Turkish	105	shuffled	1.2029310157646091	-0.6166778342341978
Turkish	106	shuffled	1.2165378999630956	0.5890328969320632
Turkish	107	shuffled	1.1937114569210296	-1.4336261430585728
Turkish	108	shuffled	1.2104069539277924	0.045767640967839814
Turkish	109	shuffled	1.1937104195551724	-1.4337180644072038
Turkish	110	shuffled	1.2130289941699954	0.2781075368218542
Turkish	111	shuffled	1.19010224401349	-1.7534397513913536
Turkish	112	shuffled	1.2018460374324966	-0.7128181407899373
Turkish	113	shuffled	1.2216010458769677	1.0376800135508184
Turkish	114	shuffled	1.2048037586149711	-0.4507334403186895
Turkish	115	shuffled	1.2146809284857323	0.4244860098515037
Turkish	116	shuffled	1.214785369034763	0.43374052314773726
Turkish	117	shuffled	1.221384709756485	1.0185103948342886
Turkish	118	shuffled	1.2158516659348773	0.5282254615306272
Turkish	119	shuffled	1.2176360066075365	0.6863365077994663
Turkish	120	shuffled	1.224942811803497	1.333795052077448
Turkish	121	shuffled	1.207541067945407	-0.2081795105516349
Turkish	122	shuffled	1.2099921691592195	0.009013418671428684
Turkish	123	shuffled	1.201435515399256	-0.7491946406291519
Turkish	124	shuffled	1.2184078378377383	0.7547287409756076
Turkish	125	shuffled	1.2197210175119624	0.8710900476542878
Turkish	126	shuffled	1.2059838335813264	-0.34616658799892597
Turkish	127	shuffled	1.2042665748664512	-0.4983334787073961
Turkish	128	shuffled	1.187905713751658	-1.9480750602092956
Turkish	129	shuffled	1.1905681380451394	-1.7121567195560141
Turkish	130	shuffled	1.2213802529552469	1.0181154761298283
Turkish	131	shuffled	1.208294937849108	-0.14137883675031723
Turkish	132	shuffled	1.203197358223206	-0.5930771365424201
Turkish	133	shuffled	1.220952738492842	0.9802332712450653
Turkish	134	shuffled	1.1924157229863053	-1.548441576705553
Turkish	135	shuffled	1.1941730833149329	-1.392721268085019
Turkish	136	shuffled	1.222628205416165	1.128696976800034
Turkish	137	shuffled	1.2198165538971923	0.8795555599059035
Turkish	138	shuffled	1.2264106020726866	1.4638564572344115
Turkish	139	shuffled	1.2153215763508949	0.4812540395236624
Turkish	140	shuffled	1.208109050113929	-0.15785041347779502
Turkish	141	shuffled	1.1824810610587293	-2.4287554179830186
Turkish	142	shuffled	1.2100848232111663	0.017223526370495172
Turkish	143	shuffled	1.2077195118821429	-0.19236753138759718
Turkish	144	shuffled	1.2022061826998338	-0.6809055436609421
Turkish	145	shuffled	1.2071445237996796	-0.24331742492720532
Turkish	146	shuffled	1.1940618314799	-1.4025793317977906
Turkish	147	shuffled	1.2030732561242803	-0.6040738665984975
Turkish	148	shuffled	1.206746903807352	-0.27855067044340204
Turkish	149	shuffled	1.1960103276428717	-1.2299224105613669
Turkish	150	shuffled	1.2298658428276998	1.7700265396950157
Turkish	151	shuffled	1.2105714528888942	0.060343951001273516
Turkish	152	shuffled	1.223145567249391	1.1745405883952393
Turkish	153	shuffled	1.1946812662737982	-1.3476909997324797
Turkish	154	shuffled	1.2001578139302291	-0.8624122112324143
Turkish	155	shuffled	1.2193052784149185	0.8342512619808643
Turkish	156	shuffled	1.2003558810572847	-0.8448614143638125
Turkish	157	shuffled	1.2175733143378071	0.6807813240210796
Turkish	158	shuffled	1.2015179654020642	-0.7418887172656186
Turkish	159	shuffled	1.2065981464529603	-0.29173211124304554
Turkish	160	shuffled	1.2222589298817759	1.095975343538859
Turkish	161	shuffled	1.2170117661833195	0.6310223471637888
Turkish	162	shuffled	1.2144698369949352	0.4057811195915951
Turkish	163	shuffled	1.219617955095678	0.8619576511789977
Turkish	164	shuffled	1.2198760548862424	0.8848279631957497
Turkish	165	shuffled	1.2067658573130147	-0.2768711937287177
Turkish	166	shuffled	1.2121014700150992	0.19591929955451906
Turkish	167	shuffled	1.2262199271837682	1.4469606891526583
Turkish	168	shuffled	1.175622696823702	-3.0364774530789815
Turkish	169	shuffled	1.2032138951640614	-0.5916117924739982
Turkish	170	shuffled	1.2104882967704194	0.05297545848346139
Turkish	171	shuffled	1.2020473769630116	-0.6949773751151009
Turkish	172	shuffled	1.2079602357749273	-0.17103690370351995
Turkish	173	shuffled	1.2060968753168648	-0.33614992058116
Turkish	174	shuffled	1.1863298015302397	-2.087717189077523
Turkish	175	shuffled	1.194028727208003	-1.4055127128195954
Turkish	176	shuffled	1.2278711857750422	1.593279286003143
Turkish	177	shuffled	1.1871321752825441	-2.016618572417937
