language	i	lex.type	seq.H	seq.H.scaled
Bengali	1	original	1.4583982020102004	3.08209637911813
Bengali	2	shuffled	1.4428630239247386	0.03174967804514007
Bengali	3	shuffled	1.4416642014249235	-0.2036402374979235
Bengali	4	shuffled	1.4450686268414354	0.4648218670996803
Bengali	5	shuffled	1.4457018051067592	0.5891470098303447
Bengali	6	shuffled	1.449894199875492	1.412327631388027
Bengali	7	shuffled	1.443315420254427	0.12057811916443668
Bengali	8	shuffled	1.4363448852349676	-1.2480929307812043
Bengali	9	shuffled	1.4359535542590909	-1.324931132746225
Bengali	10	shuffled	1.446773737224413	0.7996218805316533
Bengali	11	shuffled	1.443073826793471	0.0731410178596765
Bengali	12	shuffled	1.443354311648433	0.12821448063735713
Bengali	13	shuffled	1.4479635240529678	1.0332376335984799
Bengali	14	shuffled	1.438119032501282	-0.8997374609405131
Bengali	15	shuffled	1.4387405755054146	-0.7776969125927018
Bengali	16	shuffled	1.4392284257893087	-0.6819070545101309
Bengali	17	shuffled	1.448196070695681	1.0788983837066068
Bengali	18	shuffled	1.4371787666433076	-1.0843595387967078
Bengali	19	shuffled	1.4451578182769347	0.4823346886162656
Bengali	20	shuffled	1.4490513014515243	1.2468237399781468
Bengali	21	shuffled	1.4445176149044894	0.3566301595525241
Bengali	22	shuffled	1.4312541442167472	-2.2476646759855594
Bengali	23	shuffled	1.4379262557987793	-0.9375893462094194
Bengali	24	shuffled	1.4485225895969638	1.1430106743985484
Bengali	25	shuffled	1.4372162429068753	-1.0770010395047402
Bengali	26	shuffled	1.4510901319580347	1.647150010804814
Bengali	27	shuffled	1.4363240890357962	-1.2521762838775343
Bengali	28	shuffled	1.4431299327231524	0.084157469462131
Bengali	29	shuffled	1.4404594865914877	-0.44018711824101825
Bengali	30	shuffled	1.4333529830087517	-1.835555722354308
Bengali	31	shuffled	1.4585020350695943	3.102484097137329
Bengali	32	shuffled	1.435684800241389	-1.3777012346908275
Bengali	33	shuffled	1.445039989368863	0.4591988726603627
Bengali	34	shuffled	1.4445456068646574	0.3621264070294003
Bengali	35	shuffled	1.4397918139892942	-0.5712852561763408
Bengali	36	shuffled	1.4380566581411978	-0.9119847246968682
Bengali	37	shuffled	1.4442456413808327	0.30322790461205346
Bengali	38	shuffled	1.4497384533417748	1.3817466542846886
Bengali	39	shuffled	1.4467217324127457	0.7894106872748793
Bengali	40	shuffled	1.44234967076852	-0.06904769279559261
Bengali	41	shuffled	1.4447862070592938	0.40936847956628614
Bengali	42	shuffled	1.4479593439488487	1.0324168662574431
Bengali	43	shuffled	1.4539070935355571	2.200263042903633
Bengali	44	shuffled	1.448251070946378	1.0896977342096605
Bengali	45	shuffled	1.4392742420949114	-0.6729109801888805
Bengali	46	shuffled	1.441654698903354	-0.20550606646760874
Bengali	47	shuffled	1.4371559792109458	-1.0888338723864568
Bengali	48	shuffled	1.433697835796507	-1.767843555960199
Bengali	49	shuffled	1.4547378073493467	2.363374474744892
Bengali	50	shuffled	1.4428727243653554	0.03365436860430395
Bengali	51	shuffled	1.4441625984830015	0.2869223541991005
Bengali	52	shuffled	1.4383743925922	-0.8495972690076017
Bengali	53	shuffled	1.445054036344345	0.4619570093927241
Bengali	54	shuffled	1.4324484550501873	-2.013160630341644
Bengali	55	shuffled	1.4423572753700244	-0.06755452220014534
Bengali	56	shuffled	1.4476028911710934	0.9624270310117341
Bengali	57	shuffled	1.4455739902963438	0.5640504526390505
Bengali	58	shuffled	1.4474093533278491	0.9244256950485872
Bengali	59	shuffled	1.4479389317778448	1.0284089174498423
Bengali	60	shuffled	1.4357996195775198	-1.3551563509914246
Bengali	61	shuffled	1.4470919048124904	0.8620943830894872
Bengali	62	shuffled	1.43991762670849	-0.546581811462611
Bengali	63	shuffled	1.4442951906786872	0.3129569554423367
Bengali	64	shuffled	1.4562315019476673	2.656662801749118
Bengali	65	shuffled	1.4401300540861501	-0.5048714978055535
Bengali	66	shuffled	1.4476261085705808	0.9669857890474842
Bengali	67	shuffled	1.4450717331674015	0.46543179709924265
Bengali	68	shuffled	1.4437316682361647	0.20230879846127425
Bengali	69	shuffled	1.4487621370866026	1.1900460473276784
Bengali	70	shuffled	1.439594048537995	-0.6101166869226273
Bengali	71	shuffled	1.4442519369260354	0.3044640407821628
Bengali	72	shuffled	1.4436241560813858	0.18119868663307875
Bengali	73	shuffled	1.446079706578587	0.6633483161545825
Bengali	74	shuffled	1.4511100244643307	1.6510559229625108
Bengali	75	shuffled	1.4406211342779163	-0.40844744430094926
Bengali	76	shuffled	1.4386774013073649	-0.7901012252792832
Bengali	77	shuffled	1.4470036038712613	0.8447564109530752
Bengali	78	shuffled	1.4348662093723754	-1.5384323150226638
Bengali	79	shuffled	1.4429878405631515	0.05625754136845322
Bengali	80	shuffled	1.4458148159026478	0.6113367849670197
Bengali	81	shuffled	1.4325616140863424	-1.9909417480904308
Bengali	82	shuffled	1.448604514457562	1.1590966971584569
Bengali	83	shuffled	1.437610085502775	-0.9996696786065616
Bengali	84	shuffled	1.4480449919874179	1.0492339384831708
Bengali	85	shuffled	1.4342843745127694	-1.6526761321714032
Bengali	86	shuffled	1.4385260054414815	-0.8198279446971796
Bengali	87	shuffled	1.4432614786674085	0.10998663826172929
Bengali	88	shuffled	1.4515690182575125	1.741179782189807
Bengali	89	shuffled	1.437868454071461	-0.9489387692589467
Bengali	90	shuffled	1.438048067050916	-0.9136715932834828
Bengali	91	shuffled	1.443045842277171	0.06764623199321564
Bengali	92	shuffled	1.443410841711114	0.1393142111497192
Bengali	93	shuffled	1.4541164994825255	2.241380095827401
Bengali	94	shuffled	1.4392628456398617	-0.6751486847631971
Bengali	95	shuffled	1.4425065036281834	-0.03825341457987634
Bengali	96	shuffled	1.4352255423886928	-1.4678769422499394
Bengali	97	shuffled	1.4449012515403519	0.4319575706820447
Bengali	98	shuffled	1.4429701783001676	0.05278953956440766
Bengali	99	shuffled	1.432240708831179	-2.053951794133008
Bengali	100	shuffled	1.4456456262193822	0.5781162329163259
Bengali	101	shuffled	1.4406394919679655	-0.40484289474426743
Bengali	102	shuffled	1.4458114309040366	0.6106721373337596
Bengali	103	shuffled	1.4454617620179702	0.5420143255460158
Bengali	104	shuffled	1.4433558601919543	0.12851853860150442
Bengali	105	shuffled	1.4528970938325183	2.0019486595537352
Bengali	106	shuffled	1.4478996434746323	1.0206946224841946
Bengali	107	shuffled	1.4465435240346456	0.7544193060849861
Bengali	108	shuffled	1.4459648918882533	0.6408043446617677
Bengali	109	shuffled	1.446447538094739	0.7355723772932671
Bengali	110	shuffled	1.4459725873459515	0.6423153549555524
Bengali	111	shuffled	1.4418781362056736	-0.1616339438387144
Bengali	112	shuffled	1.4366508038959906	-1.1880255164706122
Bengali	113	shuffled	1.4397015342608679	-0.5890117650238178
Bengali	114	shuffled	1.4520373594683273	1.8331390155842748
Bengali	115	shuffled	1.4427921839463196	0.017840182235956386
Bengali	116	shuffled	1.4393686171964803	-0.6543803410065918
Bengali	117	shuffled	1.4410029376658293	-0.33347999311550375
Bengali	118	shuffled	1.4410989993230574	-0.3146181971571096
Bengali	119	shuffled	1.4422529902120433	-0.08803101019845452
Bengali	120	shuffled	1.4437010810398585	0.19630297394902976
Bengali	121	shuffled	1.4454487178175883	0.5394530846394751
Bengali	122	shuffled	1.442038208207567	-0.1302036570262163
Bengali	123	shuffled	1.440485302028274	-0.43511823315939735
Bengali	124	shuffled	1.4471458754159459	0.8726915613966586
Bengali	125	shuffled	1.4435634369592496	0.16927643039105775
