language	i	lex.type	seq.H	seq.H.scaled
English	1	original	0.8322598490489378	2.62950957745697
English	2	shuffled	0.7511869264130977	-2.0616020257171166
English	3	shuffled	0.8050312685770854	1.0539858928945094
English	4	shuffled	0.8090916634382321	1.288931973870914
English	5	shuffled	0.7797551752463054	-0.408561291194734
English	6	shuffled	0.801368541653494	0.8420500182289792
English	7	shuffled	0.8179192876760737	1.7997236061969022
English	8	shuffled	0.7781942972887926	-0.4988781622235087
English	9	shuffled	0.7892293017403	0.13963881410490553
English	10	shuffled	0.7841370947994456	-0.15501087027005495
English	11	shuffled	0.7982946648064315	0.6641866962323887
English	12	shuffled	0.79528824769753	0.49022678797919716
English	13	shuffled	0.7997223910146128	0.746799025523134
English	14	shuffled	0.8345095784907187	2.7596853691420145
English	15	shuffled	0.7852441097947174	-0.09095581069691736
English	16	shuffled	0.8028911549679557	0.9301527873705588
English	17	shuffled	0.7857981362008291	-0.058898255379102545
English	18	shuffled	0.7632687637050872	-1.3625123017325267
English	19	shuffled	0.7943038993731852	0.43326957346455114
English	20	shuffled	0.7768437674704053	-0.577023687208798
English	21	shuffled	0.7717371360549017	-0.8725080130176235
English	22	shuffled	0.7697419471931978	-0.9879553574004603
English	23	shuffled	0.7855410838123038	-0.07377204311524767
English	24	shuffled	0.764795945853126	-1.2741451667890265
English	25	shuffled	0.8202154578373535	1.9325865909794442
English	26	shuffled	0.7933324273583882	0.37705741911501933
English	27	shuffled	0.7609653410324911	-1.4957949376005584
English	28	shuffled	0.7695317144543636	-1.0001200260524314
English	29	shuffled	0.826191919927635	2.2784018119698293
English	30	shuffled	0.7760169156249178	-0.6248677041797303
English	31	shuffled	0.7686858517318486	-1.0490640668403326
English	32	shuffled	0.7767539938793552	-0.5822182444165781
English	33	shuffled	0.7857186330121895	-0.06349853767547087
English	34	shuffled	0.8000674956439433	0.7667677682096785
English	35	shuffled	0.7737124552977608	-0.7582103817138652
English	36	shuffled	0.7917381403332753	0.2848074037074004
English	37	shuffled	0.7644482253474648	-1.294265271575379
English	38	shuffled	0.7944002321206194	0.43884366225476074
English	39	shuffled	0.7857785105199013	-0.06003385351133947
English	40	shuffled	0.7901964394451154	0.19560017285973252
English	41	shuffled	0.787290445417901	0.027451031856723745
English	42	shuffled	0.7953893975645514	0.49607960911128846
English	43	shuffled	0.808489887790287	1.254111510603993
English	44	shuffled	0.8041547222141499	1.0032664087535834
English	45	shuffled	0.7804379289255653	-0.3690552070083748
English	46	shuffled	0.7844418143266805	-0.13737892530680137
English	47	shuffled	0.78564531300622	-0.06774104330578126
English	48	shuffled	0.758973964056025	-1.6110217153812845
English	49	shuffled	0.808868492407279	1.2760186585646536
English	50	shuffled	0.7780304057029251	-0.5083613989828274
English	51	shuffled	0.7750048845057671	-0.6834267245217749
English	52	shuffled	0.7911839866105014	0.2527424814827076
English	53	shuffled	0.7776993169099808	-0.5275191452162818
English	54	shuffled	0.792425072229713	0.3245552515115819
English	55	shuffled	0.7881678480592451	0.07822006271987345
English	56	shuffled	0.780310428175609	-0.37643276573066053
English	57	shuffled	0.7849020572069922	-0.11074795351111655
English	58	shuffled	0.7850844290180408	-0.1001953979711565
English	59	shuffled	0.7586591317953896	-1.6292388120752619
English	60	shuffled	0.8067213875803356	1.1517810211459627
English	61	shuffled	0.7812876833340103	-0.31988598212166014
English	62	shuffled	0.7942384905580833	0.4294848320058893
English	63	shuffled	0.7583778686167129	-1.6455135055011123
English	64	shuffled	0.8077562454404764	1.2116608621274976
English	65	shuffled	0.7866596662834351	-0.00904765624441639
English	66	shuffled	0.7796202077368074	-0.4163708980187252
English	67	shuffled	0.7823270120905336	-0.25974744226491037
English	68	shuffled	0.8026390265932403	0.9155639171822998
English	69	shuffled	0.7746551436389224	-0.703663733195174
English	70	shuffled	0.780935642229464	-0.3402560891393822
English	71	shuffled	0.7755569447216707	-0.6514829386031545
English	72	shuffled	0.7679172206806858	-1.0935392618307191
