language	i	lex.type	seq.H	seq.H.scaled
Finnish	1	original	1.4125016129659065	1.6361268488262801
Finnish	2	shuffled	1.3765666717447687	-0.3585213795646352
Finnish	3	shuffled	1.3915597184173463	0.47370076877848993
Finnish	4	shuffled	1.3937844810564892	0.5971911295793716
Finnish	5	shuffled	1.3882778414992607	0.2915329466531601
Finnish	6	shuffled	1.3852138914659389	0.12146163727673819
Finnish	7	shuffled	1.362194380775	-1.1562871124860115
Finnish	8	shuffled	1.4034844803547966	1.1356110005538878
Finnish	9	shuffled	1.3852577688126089	0.12389714625011367
Finnish	10	shuffled	1.357811520937515	-1.3995674216515912
Finnish	11	shuffled	1.3492465360304025	-1.874985813629304
Finnish	12	shuffled	1.3566118466851114	-1.4661579889625942
Finnish	13	shuffled	1.4101962295509463	1.50816145391679
Finnish	14	shuffled	1.406370170889763	1.295787623018189
Finnish	15	shuffled	1.390580142799802	0.41932726199895315
Finnish	16	shuffled	1.37745960554997	-0.3089571178157553
Finnish	17	shuffled	1.4135840498693453	1.696209898315703
Finnish	18	shuffled	1.3802553871911778	-0.15377108694720298
Finnish	19	shuffled	1.3493656089014296	-1.8683764111042735
Finnish	20	shuffled	1.3932590601198804	0.5680264807792856
Finnish	21	shuffled	1.3708094763389023	-0.6780872178985179
Finnish	22	shuffled	1.392203642897367	0.5094432183176958
Finnish	23	shuffled	1.3393967672020342	-2.42171897294245
Finnish	24	shuffled	1.3971554256999732	0.7843028523939903
Finnish	25	shuffled	1.411233530242942	1.56573911836503
Finnish	26	shuffled	1.4066336496529888	1.310412593323635
Finnish	27	shuffled	1.338801153300695	-2.454779837180415
Finnish	28	shuffled	1.3884613576380123	0.301719414992967
Finnish	29	shuffled	1.3690551361697327	-0.7754657411829989
Finnish	30	shuffled	1.4143758317204305	1.7401594975879056
Finnish	31	shuffled	1.3917089818374857	0.4819859643688353
Finnish	32	shuffled	1.408632326185101	1.421353545734577
Finnish	33	shuffled	1.3396444150367506	-2.407972733266082
Finnish	34	shuffled	1.385443843777482	0.13422564788166616
Finnish	35	shuffled	1.3789845813952337	-0.22430996758457317
Finnish	36	shuffled	1.3843351498053968	0.07268514184219399
Finnish	37	shuffled	1.383842593271832	0.04534470427164983
Finnish	38	shuffled	1.3769214366587164	-0.3388293699757954
Finnish	39	shuffled	1.379650289685852	-0.187358359556734
Finnish	40	shuffled	1.4084729011897852	1.4125043094853484
Finnish	41	shuffled	1.3736703177516545	-0.5192899008099079
Finnish	42	shuffled	1.403585032780735	1.1411923848957866
Finnish	43	shuffled	1.3521247751730034	-1.7152227971450191
Finnish	44	shuffled	1.3961358860054762	0.7277110513141439
Finnish	45	shuffled	1.3640903339878816	-1.0510480446407686
Finnish	46	shuffled	1.3868646662433188	0.21309153489951452
Finnish	47	shuffled	1.353258918420425	-1.652269672906151
Finnish	48	shuffled	1.4100333249901738	1.4991190767067633
Finnish	49	shuffled	1.3830913292377667	0.003644135864415237
Finnish	50	shuffled	1.3655018377279484	-0.9726994140651516
Finnish	51	shuffled	1.3523416547494769	-1.7031844175543929
Finnish	52	shuffled	1.3489728641271521	-1.8901765766701952
Finnish	53	shuffled	1.4070666123876578	1.3344451455505182
Finnish	54	shuffled	1.3770570113172038	-0.3313039993148955
Finnish	55	shuffled	1.3986685573315583	0.8682925634022844
Finnish	56	shuffled	1.399992535251594	0.941782880149336
Finnish	57	shuffled	1.369488955686411	-0.751385631379603
Finnish	58	shuffled	1.4001008689926537	0.9477961835620192
Finnish	59	shuffled	1.3769285252806467	-0.3384359003694851
Finnish	60	shuffled	1.3833604791812844	0.01858389754943659
Finnish	61	shuffled	1.3896940299208567	0.3701416108171216
Finnish	62	shuffled	1.388343684699756	0.29518771882633676
Finnish	63	shuffled	1.40177240574472	1.0405785204157716
Finnish	64	shuffled	1.383380186894888	0.019677817692045747
Finnish	65	shuffled	1.3919511735644774	0.4954293507431742
Finnish	66	shuffled	1.3529008840685244	-1.6721431598648933
Finnish	67	shuffled	1.4043037484448888	1.1810862841900405
Finnish	68	shuffled	1.3572777707498997	-1.4291944039131856
Finnish	69	shuffled	1.3820212631976792	-0.055752241549619705
Finnish	70	shuffled	1.3947131907625263	0.6487412116690195
Finnish	71	shuffled	1.3624925306824798	-1.1397376437923095
Finnish	72	shuffled	1.346873918407946	-2.0066831916257994
Finnish	73	shuffled	1.368458864159924	-0.8085631351841458
Finnish	74	shuffled	1.3973562336995267	0.7954491436343509
Finnish	75	shuffled	1.392905213578859	0.5483854475067648
