language	i	lex.type	seq.H	seq.H.scaled
French	1	original	1.1685657072227662	2.0019721814982656
French	2	shuffled	1.1439733610053144	-1.0342698380731248
French	3	shuffled	1.1521467183714433	-0.025163555306040947
French	4	shuffled	1.1612314317233785	1.0964613669769936
French	5	shuffled	1.15413895639083	0.2208038987125117
French	6	shuffled	1.153084220326113	0.09058314096395895
French	7	shuffled	1.1611703590275577	1.0889211557397274
French	8	shuffled	1.1459364876375258	-0.791896559909456
French	9	shuffled	1.1672093217605268	1.834508918791578
French	10	shuffled	1.1704382475392265	2.2331614117533167
French	11	shuffled	1.1532161588158847	0.10687264758938121
French	12	shuffled	1.1446561450973394	-0.9499713440551018
French	13	shuffled	1.1621806837888233	1.2136587658255515
French	14	shuffled	1.1557812313944542	0.4235639090671622
French	15	shuffled	1.16452237537257	1.5027707651679614
French	16	shuffled	1.1598082434311003	0.9207504341294985
French	17	shuffled	1.1389044661342138	-1.6600902239907545
French	18	shuffled	1.1628114198543194	1.291531260315692
French	19	shuffled	1.1502567766174003	-0.2585012172528975
French	20	shuffled	1.1475719415590901	-0.5899787000265796
French	21	shuffled	1.160804046400976	1.0436951419510139
French	22	shuffled	1.1490476090772705	-0.4077885305324455
French	23	shuffled	1.1460033332356423	-0.783643609498373
French	24	shuffled	1.1539375935141412	0.19594305697019399
French	25	shuffled	1.1510999745212773	-0.15439757118642153
French	26	shuffled	1.1477219398707292	-0.5714594756859523
French	27	shuffled	1.1574859548666425	0.6340339875314409
French	28	shuffled	1.14676332838026	-0.6898124161524852
French	29	shuffled	1.1551577884503461	0.3465918443862002
French	30	shuffled	1.1481149758803755	-0.5229341159199236
French	31	shuffled	1.1495102220743036	-0.3506729951552242
French	32	shuffled	1.1486972557327622	-0.45104416530953173
French	33	shuffled	1.1579257313231186	0.6883300577219023
French	34	shuffled	1.134860299524178	-2.1593947021793483
French	35	shuffled	1.1557967766025543	0.42548316531132674
French	36	shuffled	1.1621683317138278	1.2121337430075323
French	37	shuffled	1.1543479088945532	0.24660177770662134
French	38	shuffled	1.1470657148983576	-0.6524789041613382
French	39	shuffled	1.1519305436504006	-0.05185311008846784
French	40	shuffled	1.1435771261929355	-1.0831901312539425
French	41	shuffled	1.1517436260467413	-0.07493049674404485
French	42	shuffled	1.1503531506200733	-0.24660260481785556
French	43	shuffled	1.1625545488089148	1.2598172199076678
French	44	shuffled	1.1613226087063035	1.1077183403591555
French	45	shuffled	1.1591838356229858	0.8436592445544044
French	46	shuffled	1.1489605549853121	-0.4185364799002128
French	47	shuffled	1.153673668386443	0.16335809920926525
French	48	shuffled	1.158105205530873	0.7104884612428428
French	49	shuffled	1.1478582292120314	-0.554632800377206
French	50	shuffled	1.1488326496922467	-0.434328036423402
French	51	shuffled	1.1627494077383826	1.2838750655604336
French	52	shuffled	1.1539971601188108	0.20329732184846208
French	53	shuffled	1.1552328833518593	0.3558632775960973
French	54	shuffled	1.1715764563104278	2.373687950685729
French	55	shuffled	1.1436855863055984	-1.0697993328078503
French	56	shuffled	1.1632489659647691	1.345551965550594
French	57	shuffled	1.1545281422139315	0.2688539033389037
French	58	shuffled	1.154365987597815	0.2488338265732627
French	59	shuffled	1.1543943342675083	0.2523335882014018
French	60	shuffled	1.1425219500229158	-1.2134652256729825
French	61	shuffled	1.1574170594263284	0.625527957688301
French	62	shuffled	1.1573384915677936	0.6158277431840798
French	63	shuffled	1.1617637879290088	1.1621876001156306
French	64	shuffled	1.1601750840463478	0.9660416349222666
French	65	shuffled	1.152460839749165	0.013618776312529376
French	66	shuffled	1.1495623608316223	-0.344235793742254
French	67	shuffled	1.15405043549551	0.2098748535695897
French	68	shuffled	1.1567736214019395	0.5460872427046574
French	69	shuffled	1.152285866379857	-0.007983940707685058
French	70	shuffled	1.1339501686879876	-2.27176208118885
French	71	shuffled	1.1535050783190806	0.1425434830647894
French	72	shuffled	1.1575755493891555	0.6450955857853062
French	73	shuffled	1.1539317288789077	0.19521899218321553
French	74	shuffled	1.158095265177806	0.709261196572599
French	75	shuffled	1.1595377720877764	0.8873572616998084
French	76	shuffled	1.1565452097932662	0.5178868864686382
French	77	shuffled	1.158377023601111	0.7440479044630322
French	78	shuffled	1.1669162410459901	1.7983243281578107
French	79	shuffled	1.1601585996593737	0.9640064249445327
French	80	shuffled	1.1676643141419127	1.890683590973462
French	81	shuffled	1.1446417411571033	-0.9517496960759118
French	82	shuffled	1.1609803495778275	1.06546204084742
French	83	shuffled	1.1408755601973144	-1.4167332638213057
French	84	shuffled	1.1460291571010675	-0.7804553205641526
French	85	shuffled	1.153042950421202	0.08548783942884003
French	86	shuffled	1.160263789616835	0.9769934805941638
French	87	shuffled	1.1465457071108796	-0.7166805659663774
French	88	shuffled	1.1572963513789296	0.6106249938811038
French	89	shuffled	1.1504232766181044	-0.2379446467684762
French	90	shuffled	1.1570180120506144	0.5762604173231242
French	91	shuffled	1.148451597062809	-0.48137389349358917
French	92	shuffled	1.1430250543232197	-1.151350517165599
French	93	shuffled	1.1416204009511086	-1.3247730752910074
French	94	shuffled	1.1687483979689859	2.024527708138722
French	95	shuffled	1.1557930131339889	0.4250185166236119
French	96	shuffled	1.1527791747049736	0.05292132843904564
French	97	shuffled	1.1506522958665604	-0.20966926957167845
French	98	shuffled	1.1508132630161558	-0.18979580084889594
French	99	shuffled	1.1604543367011761	1.0005189734067457
French	100	shuffled	1.161750740563958	1.1605767347812832
French	101	shuffled	1.1524329081946851	0.010170266006373137
French	102	shuffled	1.1484279910440367	-0.48428836068097103
French	103	shuffled	1.1540321148632149	0.2076129354464725
French	104	shuffled	1.1466414687363262	-0.7048575593905634
French	105	shuffled	1.156218192191786	0.47751234985573277
French	106	shuffled	1.151126328045408	-0.15114388906020407
French	107	shuffled	1.1619245765869248	1.182039031740673
French	108	shuffled	1.1666033547079153	1.7596944780974544
French	109	shuffled	1.1578057122364465	0.6735121549938602
French	110	shuffled	1.1581624533785262	0.7175564456896262
French	111	shuffled	1.1467765061167385	-0.6881854547855231
French	112	shuffled	1.1524858771116981	0.01670996133043923
French	113	shuffled	1.1526073949150892	0.031712899948805724
French	114	shuffled	1.150175620034012	-0.2685210431966865
French	115	shuffled	1.161000510849529	1.0679512096223993
French	116	shuffled	1.1441677470362681	-1.0102703778353528
French	117	shuffled	1.1666262968069898	1.7625269758433475
French	118	shuffled	1.1621514781820788	1.210052957350798
French	119	shuffled	1.1599276275381545	0.9354899404418149
French	120	shuffled	1.1540715830130943	0.2124857871068653
French	121	shuffled	1.1357879032534444	-2.044870069376697
French	122	shuffled	1.1506413511369105	-0.21102053747275898
French	123	shuffled	1.1616196600275261	1.1443931535506358
French	124	shuffled	1.1544676599761343	0.2613865917528604
French	125	shuffled	1.1509653468365624	-0.17101909357858205
French	126	shuffled	1.1603498183708822	0.9876148387850321
French	127	shuffled	1.1532804360404787	0.11480849919492142
French	128	shuffled	1.1530737219863296	0.08928698564376748
French	129	shuffled	1.1563179044297347	0.4898231104496313
French	130	shuffled	1.161326976713899	1.1082576271797662
French	131	shuffled	1.1529952694824086	0.07960101315300282
French	132	shuffled	1.152595571190031	0.030253108738484854
French	133	shuffled	1.146616459552344	-0.7079452654032581
French	134	shuffled	1.1487561950635041	-0.4437673454802309
French	135	shuffled	1.138507406306403	-1.709112375957196
French	136	shuffled	1.1449688315962625	-0.9113661667130005
French	137	shuffled	1.1553545538040308	0.37088506267333793
French	138	shuffled	1.1572738002184182	0.6078407625381715
French	139	shuffled	1.158474996974019	0.7561439797618923
French	140	shuffled	1.1553614957965097	0.37174214109430226
French	141	shuffled	1.1540658588967052	0.21177907118184366
French	142	shuffled	1.165502149964226	1.623736563168286
French	143	shuffled	1.1436099868009773	-1.079133065773373
French	144	shuffled	1.1443920091385376	-0.9825823316323963
French	145	shuffled	1.1382435514684537	-1.7416886555429194
French	146	shuffled	1.156910142423496	0.5629425219260615
French	147	shuffled	1.1517867417102459	-0.06960731252743
French	148	shuffled	1.1483858327241223	-0.48949334849574727
French	149	shuffled	1.1682705417663397	1.9655302026157422
French	150	shuffled	1.1430208328997193	-1.1518717062908959
