language	i	lex.type	seq.H	seq.H.scaled
Hausa	1	original	1.4279645219597028	5.1524024681821805
Hausa	2	shuffled	1.398226970650747	-0.3468665401447608
Hausa	3	shuffled	1.4063146331433536	1.1487586790710789
Hausa	4	shuffled	1.39406962216493	-1.1156715250388425
Hausa	5	shuffled	1.4052945552368443	0.9601189770638722
Hausa	6	shuffled	1.3994777329751618	-0.11556711619504394
Hausa	7	shuffled	1.3877604857470216	-2.2823996800184947
Hausa	8	shuffled	1.3982445588417707	-0.34361401296780114
Hausa	9	shuffled	1.3952862512579327	-0.89068424897608
Hausa	10	shuffled	1.4064013022598856	1.1647861179671628
Hausa	11	shuffled	1.3980131760140593	-0.3864028895727541
Hausa	12	shuffled	1.3976779280401852	-0.4483992111150353
Hausa	13	shuffled	1.402133574452536	0.3755690427917668
Hausa	14	shuffled	1.4048401742395191	0.876091771508093
Hausa	15	shuffled	1.4057521269238957	1.0447362265322861
Hausa	16	shuffled	1.4054129063730898	0.9820052692098908
Hausa	17	shuffled	1.4027867146678514	0.4963521465133606
Hausa	18	shuffled	1.403629897246581	0.6522791687282845
Hausa	19	shuffled	1.3903169551518664	-1.8096400764204341
Hausa	20	shuffled	1.4025585204334778	0.4541529261427291
Hausa	21	shuffled	1.3901590236430423	-1.838845838619583
Hausa	22	shuffled	1.4167044085986997	3.070106189209007
Hausa	23	shuffled	1.4085050156783496	1.5538190240180654
Hausa	24	shuffled	1.3939992705183692	-1.1286814270848096
Hausa	25	shuffled	1.4029666411826538	0.5296253739001406
Hausa	26	shuffled	1.3983203603819438	-0.32959627975477
Hausa	27	shuffled	1.3979298970291245	-0.4018034024172248
Hausa	28	shuffled	1.393902240577942	-1.1466248595728354
Hausa	29	shuffled	1.4033893437865899	0.6077943968103975
Hausa	30	shuffled	1.387602013523045	-2.311705434918805
Hausa	31	shuffled	1.4052709285790648	0.9557497757954978
Hausa	32	shuffled	1.3987864240812065	-0.2434086299838489
Hausa	33	shuffled	1.4091162889615414	1.6668598116387463
Hausa	34	shuffled	1.391929763208166	-1.5113887083692479
Hausa	35	shuffled	1.3919666033387694	-1.504575982385677
