language	i	lex.type	seq.H	seq.H.scaled
Korean	1	original	1.9092892138437156	2.728696226287835
Korean	2	shuffled	1.901154304310105	2.067444810999487
Korean	3	shuffled	1.8566836921725194	-1.5473778361634296
Korean	4	shuffled	1.868405030676963	-0.5946012080873991
Korean	5	shuffled	1.890062283244287	1.1658226604548443
Korean	6	shuffled	1.9127226411118572	3.0077845961053287
Korean	7	shuffled	1.881689627644575	0.485245901468544
Korean	8	shuffled	1.8812850470863418	0.4523593075089611
Korean	9	shuffled	1.8816834751396785	0.4847457911042517
Korean	10	shuffled	1.8804764716175373	0.38663372434109067
Korean	11	shuffled	1.8789520257282935	0.2627181481901706
Korean	12	shuffled	1.8813855161186896	0.4605259981842747
Korean	13	shuffled	1.869231091820788	-0.5274542904465748
Korean	14	shuffled	1.888900833890361	1.0714134938997442
Korean	15	shuffled	1.8907562911066402	1.2222355411766528
Korean	16	shuffled	1.877317274394304	0.12983632218107516
Korean	17	shuffled	1.8768800606328768	0.09429711706357384
Korean	18	shuffled	1.8641460765595321	-0.940793065066703
Korean	19	shuffled	1.8964074694423245	1.6815952497362467
Korean	20	shuffled	1.876878154675953	0.09414219011470464
Korean	21	shuffled	1.8817655442244865	0.49141683006989706
Korean	22	shuffled	1.8986933076740686	1.8674010979286495
Korean	23	shuffled	1.8769977643347993	0.10386473907083922
Korean	24	shuffled	1.881256921089064	0.4500730675170423
Korean	25	shuffled	1.8628293690540267	-1.0478224915082497
Korean	26	shuffled	1.8735135588136587	-0.17935117408598175
Korean	27	shuffled	1.8796315207934962	0.31795134675129894
Korean	28	shuffled	1.8629471400052267	-1.0382494030997014
Korean	29	shuffled	1.8533162679246564	-1.8211011075256547
Korean	30	shuffled	1.8800347058564393	0.35072450696810675
Korean	31	shuffled	1.8559988884954937	-1.603042548691208
Korean	32	shuffled	1.8814082624197934	0.46237494607180796
Korean	33	shuffled	1.8705996191992043	-0.4162126519133223
Korean	34	shuffled	1.8910403770414395	1.2453276512577005
Korean	35	shuffled	1.8822861103393302	0.5337313854769806
Korean	36	shuffled	1.8716077330254515	-0.33426746350975317
