language	i	lex.type	seq.H	seq.H.scaled
Malay	1	original	1.468554639454514	2.0245214779670193
Malay	2	shuffled	1.44553976598162	-1.484427341144038
Malay	3	shuffled	1.4517802616181124	-0.5329739334106596
Malay	4	shuffled	1.453588711665163	-0.25724968645821955
Malay	5	shuffled	1.4588777303469438	0.5491373605767942
Malay	6	shuffled	1.4493213883141327	-0.9078645703939529
Malay	7	shuffled	1.4483817149173863	-1.051131308738038
Malay	8	shuffled	1.446086265135935	-1.4011056768108803
Malay	9	shuffled	1.4522440708974453	-0.46225953105146284
Malay	10	shuffled	1.4607187855963326	0.8298327400612692
Malay	11	shuffled	1.4616411557062647	0.9704613432052994
Malay	12	shuffled	1.4619335318179636	1.015038290938264
Malay	13	shuffled	1.4450494813647217	-1.5591782898955082
Malay	14	shuffled	1.4564073588487954	0.172493658346455
Malay	15	shuffled	1.4557649311017158	0.07454629890804694
Malay	16	shuffled	1.4544571287948966	-0.12484699193704729
Malay	17	shuffled	1.4577275888557089	0.3737817309995703
Malay	18	shuffled	1.4525848303211837	-0.41030585079613163
Malay	19	shuffled	1.447555221016902	-1.1771422033676555
Malay	20	shuffled	1.4504503824161958	-0.7357331647669099
Malay	21	shuffled	1.464990805764417	1.4811637213796465
Malay	22	shuffled	1.4579490421685886	0.4075454769368519
Malay	23	shuffled	1.4444859964104002	-1.6450896839938445
Malay	24	shuffled	1.4561589759711855	0.13462411254586482
Malay	25	shuffled	1.4497080389482302	-0.8489141143976238
Malay	26	shuffled	1.4598867177547745	0.7029720178637625
Malay	27	shuffled	1.4479505306971214	-1.1168715511208507
Malay	28	shuffled	1.4511087142885537	-0.6353609924491259
Malay	29	shuffled	1.4461411609791788	-1.3927360151418153
Malay	30	shuffled	1.4547607448269781	-0.07855635651424728
Malay	31	shuffled	1.45644624444512	0.17842232736410957
Malay	32	shuffled	1.4496424181793324	-0.8589189453954725
Malay	33	shuffled	1.4565734569596427	0.19781770675370647
Malay	34	shuffled	1.4463288707155761	-1.364116963264648
Malay	35	shuffled	1.4666563469603817	1.7350994564443858
Malay	36	shuffled	1.4461906634341422	-1.385188653167767
Malay	37	shuffled	1.446963211018171	-1.267402651177462
Malay	38	shuffled	1.4471136231278277	-1.2444701594919636
Malay	39	shuffled	1.4533815607327412	-0.28883282857521253
Malay	40	shuffled	1.4569603696440707	0.25680811609581433
Malay	41	shuffled	1.4589437422617444	0.5592018273990705
Malay	42	shuffled	1.4535439943857238	-0.2640674795287107
Malay	43	shuffled	1.449149242260638	-0.9341107147334498
Malay	44	shuffled	1.4552632373539738	-0.0019441361042535534
Malay	45	shuffled	1.4547381575504823	-0.08200011201785132
Malay	46	shuffled	1.450464292557101	-0.7336123635137464
Malay	47	shuffled	1.46297675493834	1.1740926755137484
Malay	48	shuffled	1.4579890360103802	0.413643113931981
Malay	49	shuffled	1.4575885083932714	0.35257691208078573
Malay	50	shuffled	1.4591963155745697	0.5977102653803312
Malay	51	shuffled	1.4646553324751592	1.4300159884333525
Malay	52	shuffled	1.4604347945630285	0.7865342182543047
Malay	53	shuffled	1.4579583466780193	0.40896408336185536
Malay	54	shuffled	1.4497882249276859	-0.836688607346642
Malay	55	shuffled	1.457880686463177	0.39712366549105904
Malay	56	shuffled	1.4506523047274815	-0.7049472012215283
Malay	57	shuffled	1.45315730807128	-0.32302337550753313
Malay	58	shuffled	1.462420259586475	1.0892469469431858
Malay	59	shuffled	1.4516855489398506	-0.547414244843739
Malay	60	shuffled	1.444504962818559	-1.6421979819999328
Malay	61	shuffled	1.4631372159379232	1.1985572651481193
Malay	62	shuffled	1.4608586944023272	0.8511638518814619
Malay	63	shuffled	1.4678435927860307	1.916112176015151
Malay	64	shuffled	1.4619656025155943	1.0199279305320574
Malay	65	shuffled	1.4673332066741804	1.8382964649456546
Malay	66	shuffled	1.4571286604653777	0.28246647478233344
Malay	67	shuffled	1.466157079487281	1.6589789419335863
Malay	68	shuffled	1.4522772373013446	-0.4572028352615167
Malay	69	shuffled	1.4499968471091427	-0.8048811521318506
Malay	70	shuffled	1.4520225695484295	-0.49603060078930855
Malay	71	shuffled	1.4567702893124344	0.2278276328436594
Malay	72	shuffled	1.4528381461536084	-0.37168420501147303
Malay	73	shuffled	1.453367461029198	-0.29098253138178454
Malay	74	shuffled	1.4554116895525364	0.02068953891700166
Malay	75	shuffled	1.4662776987399089	1.6773690836204147
Malay	76	shuffled	1.4601976448524476	0.7503773304975536
Malay	77	shuffled	1.4584845399040596	0.4891898165735967
Malay	78	shuffled	1.45427499366938	-0.15261611412462364
Malay	79	shuffled	1.4493452428162574	-0.9042276080982616
Malay	80	shuffled	1.4651765233673386	1.5094790438265637
Malay	81	shuffled	1.4562548632517682	0.1492435090141901
Malay	82	shuffled	1.4564962408663158	0.18604500160219295
Malay	83	shuffled	1.4559611935949504	0.10446934170392948
Malay	84	shuffled	1.4475300367066886	-1.180981914052478
Malay	85	shuffled	1.4556795449864757	0.061527956287429804
Malay	86	shuffled	1.4547881954251531	-0.07437111760066026
Malay	87	shuffled	1.4597392286567865	0.6804851813914132
Malay	88	shuffled	1.465499824525085	1.5587709600748747
Malay	89	shuffled	1.4468775987289533	-1.2804554772773111
Malay	90	shuffled	1.4566589164055723	0.2108472296937245
Malay	91	shuffled	1.449995832385004	-0.8050358614363559
Malay	92	shuffled	1.4635797763949587	1.2660319786167356
Malay	93	shuffled	1.4648645528929305	1.4619146533874343
Malay	94	shuffled	1.465493839971063	1.5578585286512225
Malay	95	shuffled	1.4536841315990225	-0.24270154372648614
Malay	96	shuffled	1.4619170975195	1.0125326455235772
Malay	97	shuffled	1.4657428989878676	1.5958311616067935
Malay	98	shuffled	1.458049761894559	0.4229016492799739
Malay	99	shuffled	1.4587638977412232	0.5317819409221893
Malay	100	shuffled	1.4492459588642161	-0.9193648760342447
Malay	101	shuffled	1.4553488116943902	0.011102904154480188
Malay	102	shuffled	1.462057715320016	1.033971853766374
Malay	103	shuffled	1.4478001749645042	-1.139795447314988
Malay	104	shuffled	1.459170805388153	0.593820870176483
Malay	105	shuffled	1.4531218578966703	-0.3284282650230419
Malay	106	shuffled	1.4537144836283495	-0.23807393986022873
Malay	107	shuffled	1.4585960774116487	0.50619531547422
Malay	108	shuffled	1.4495742169573114	-0.8693172036241951
Malay	109	shuffled	1.4482136864537052	-1.0767496672271855
Malay	110	shuffled	1.4567854402150648	0.23013760608580378
Malay	111	shuffled	1.4533501862210585	-0.2936163245978498
Malay	112	shuffled	1.450400001603103	-0.7434144450840294
Malay	113	shuffled	1.4577939999727068	0.38390706194436497
Malay	114	shuffled	1.4565075665710936	0.18777176835815454
Malay	115	shuffled	1.4573020740228362	0.30890586835008205
Malay	116	shuffled	1.4529541956456087	-0.3539907891257666
Malay	117	shuffled	1.4417439393322793	-2.0631557645021585
Malay	118	shuffled	1.439227873274428	-2.4467662602496665
Malay	119	shuffled	1.4547486415780393	-0.08040167107230566
Malay	120	shuffled	1.45651483900634	0.18888055581684537
Malay	121	shuffled	1.4540157337540938	-0.19214402092184169
Malay	122	shuffled	1.4587402252638635	0.5281727309226418
Malay	123	shuffled	1.4551323602486128	-0.021898235128344747
Malay	124	shuffled	1.4408080598591066	-2.2058440645741593
Malay	125	shuffled	1.4467867578182607	-1.2943054820004327
Malay	126	shuffled	1.4537158570798456	-0.23786453740529082
Malay	127	shuffled	1.4609499642164772	0.8650792491118325
Malay	128	shuffled	1.4496451100200471	-0.8585085355225498
Malay	129	shuffled	1.4508195812623181	-0.6794434851106738
Malay	130	shuffled	1.4591108121287433	0.584674034022549
Malay	131	shuffled	1.4691390837044838	2.1136284184498013
Malay	132	shuffled	1.4603329483300538	0.7710062936994109
Malay	133	shuffled	1.4504855761175872	-0.7303673782861425
Malay	134	shuffled	1.4635581346446234	1.2627323821895722
Malay	135	shuffled	1.4529871524549773	-0.34896604903966466
Malay	136	shuffled	1.4453514096948743	-1.513144968930566
Malay	137	shuffled	1.4558241372281726	0.08357312531052499
Malay	138	shuffled	1.448856144317664	-0.9787977160369317
Malay	139	shuffled	1.4518182605087546	-0.527180455440696
Malay	140	shuffled	1.4532960108256792	-0.30187614361727944
Malay	141	shuffled	1.443306053779987	-1.8249889263026589
Malay	142	shuffled	1.4614135544254887	0.9357602510464464
Malay	143	shuffled	1.4592721157839017	0.6092670986315328
Malay	144	shuffled	1.449641781657246	-0.859015992351909
Malay	145	shuffled	1.4381787584553456	-2.606718919119006
Malay	146	shuffled	1.4584303527024343	0.4809281975219862
Malay	147	shuffled	1.462426053104128	1.0901302521219332
Malay	148	shuffled	1.4608144494805915	0.8444180765436549
Malay	149	shuffled	1.4505103902387102	-0.7265841082579877
Malay	150	shuffled	1.4575023526947553	0.3394412354096169
Malay	151	shuffled	1.454427692137873	-0.12933503411653471
Malay	152	shuffled	1.4455280081397075	-1.486219993427914
Malay	153	shuffled	1.4567594201531053	0.2261704730145076
Malay	154	shuffled	1.4590556634530367	0.5762658244043664
Malay	155	shuffled	1.4560949955156641	0.12486937093877828
Malay	156	shuffled	1.4463243819952998	-1.3648013332974276
Malay	157	shuffled	1.4578601794145232	0.3939970706721837
Malay	158	shuffled	1.457356539683603	0.3172099425069518
Malay	159	shuffled	1.4628511041904777	1.1549354099371747
Malay	160	shuffled	1.453101105770002	-0.33159222551372836
Malay	161	shuffled	1.457069589616097	0.2734602733330182
Malay	162	shuffled	1.4578683706916826	0.39524594880959885
Malay	163	shuffled	1.4610468256074123	0.8798471627281967
Malay	164	shuffled	1.4610397244563633	0.8787644900114892
Malay	165	shuffled	1.4710954030828205	2.4118974739153325
Malay	166	shuffled	1.4578279942539067	0.3890899795482232
Malay	167	shuffled	1.4606122159056298	0.8135846563694361
Malay	168	shuffled	1.453002857620183	-0.34657157048790344
Malay	169	shuffled	1.4611825400325702	0.9005387808009653
Malay	170	shuffled	1.4638652441835467	1.309555653028403
Malay	171	shuffled	1.4519849469874186	-0.5017667018887255
Malay	172	shuffled	1.4516321189155652	-0.555560421308365
Malay	173	shuffled	1.445217270253318	-1.5335964580773491
Malay	174	shuffled	1.45946331760512	0.6384185691171642
Malay	175	shuffled	1.4460942728452602	-1.3998847862327293
Malay	176	shuffled	1.4544406842550028	-0.1273541988052118
Malay	177	shuffled	1.457035161376668	0.26821119254922066
Malay	178	shuffled	1.4523312245597166	-0.448971700437566
Malay	179	shuffled	1.466037661401653	1.6407719354498027
Malay	180	shuffled	1.4604552511672746	0.7896531220969399
Malay	181	shuffled	1.4512718054716207	-0.6104953934744272
Malay	182	shuffled	1.4504381805385222	-0.7375935166955924
Malay	183	shuffled	1.4534906403182926	-0.2722020752773292
Malay	184	shuffled	1.457261467706751	0.30271485083076893
Malay	185	shuffled	1.4628934210179942	1.1613872195514043
