language	i	lex.type	seq.H	seq.H.scaled
Slovak	1	original	1.3029255595832394	5.9396978534737626
Slovak	2	shuffled	1.2617582037963158	0.05575183607369181
Slovak	3	shuffled	1.2665091401708266	0.7347911531581182
Slovak	4	shuffled	1.2646123504324633	0.4636877943547597
Slovak	5	shuffled	1.2605476649604925	-0.11726741730795616
Slovak	6	shuffled	1.2570596904820972	-0.6157947856230762
Slovak	7	shuffled	1.2637810984913143	0.34487905730845675
Slovak	8	shuffled	1.266156584419	0.6844012514454838
Slovak	9	shuffled	1.2621188499644662	0.10729808052433783
Slovak	10	shuffled	1.2752198313314682	1.9797882044319135
Slovak	11	shuffled	1.272086409679766	1.5319361746878752
Slovak	12	shuffled	1.261273697409706	-0.013497436059605577
Slovak	13	shuffled	1.2642435099439022	0.41097035641781954
Slovak	14	shuffled	1.2565858477198597	-0.6835199329017064
Slovak	15	shuffled	1.2727776986640882	1.630740360393371
Slovak	16	shuffled	1.262463108357366	0.15650206171622968
Slovak	17	shuffled	1.259645332091942	-0.24623557148712472
Slovak	18	shuffled	1.2568289401857327	-0.6487753417300905
Slovak	19	shuffled	1.2546173483819276	-0.9648725633604065
Slovak	20	shuffled	1.259436429151245	-0.27609354031805505
Slovak	21	shuffled	1.2703463122506182	1.2832284512403085
Slovak	22	shuffled	1.2673321719026185	0.8524249964764916
Slovak	23	shuffled	1.2720227830793847	1.5228421856580265
Slovak	24	shuffled	1.2474645839391525	-1.9871990900943834
Slovak	25	shuffled	1.2711734857233659	1.4014542631157068
Slovak	26	shuffled	1.2592883996759132	-0.2972510187420844
Slovak	27	shuffled	1.2490612148633267	-1.758996671260953
Slovak	28	shuffled	1.2659403818397539	0.6534999637433859
Slovak	29	shuffled	1.2671431360681777	0.8254065828829518
Slovak	30	shuffled	1.2573033070356785	-0.5809752879211447
Slovak	31	shuffled	1.2608147099106093	-0.0790993581583959
Slovak	32	shuffled	1.2528307942592796	-1.2202202244837792
Slovak	33	shuffled	1.253506897862806	-1.1235864468394505
Slovak	34	shuffled	1.2613827329515621	0.002086738099636558
Slovak	35	shuffled	1.266147158332495	0.6830540047474641
Slovak	36	shuffled	1.269183973709694	1.117098344071403
Slovak	37	shuffled	1.2536545710084035	-1.1024798977228818
Slovak	38	shuffled	1.2580701989723628	-0.47136536349497343
Slovak	39	shuffled	1.2572458591603541	-0.5891861674095527
Slovak	40	shuffled	1.2646395435563056	0.467574438752336
Slovak	41	shuffled	1.2626966277333296	0.1898783953651014
Slovak	42	shuffled	1.2597049999658934	-0.2377073932111249
Slovak	43	shuffled	1.2702699778849789	1.272318173470242
Slovak	44	shuffled	1.2638218172495383	0.3506988864110636
Slovak	45	shuffled	1.2569166266989296	-0.6362425302283008
Slovak	46	shuffled	1.271994774114236	1.5188389351264269
Slovak	47	shuffled	1.2654921295459538	0.5894323973797191
Slovak	48	shuffled	1.2617078898095342	0.048560585227384837
Slovak	49	shuffled	1.2568111507287296	-0.6513179438157454
Slovak	50	shuffled	1.2613653780565601	-3.9375313856363723e-4
Slovak	51	shuffled	1.258155690608802	-0.45914626017555665
Slovak	52	shuffled	1.259478293856821	-0.27010992385946014
