language	i	lex.type	seq.H	seq.H.scaled
Spanish	1	original	1.6929608955099569	4.576805135559983
Spanish	2	shuffled	1.645004927387743	0.41825223646887927
Spanish	3	shuffled	1.6429886387624364	0.24340761886456833
Spanish	4	shuffled	1.611477772091807	-2.4890907765816426
Spanish	5	shuffled	1.6499166716265394	0.8441793742922029
Spanish	6	shuffled	1.6477733039676017	0.6583149628141893
Spanish	7	shuffled	1.630627757920942	-0.8284793406003402
Spanish	8	shuffled	1.63879805349064	-0.11998345034513597
Spanish	9	shuffled	1.6303891276746125	-0.8491724168021492
Spanish	10	shuffled	1.664971479278013	2.1496730689402805
Spanish	11	shuffled	1.6423281307468804	0.18613096216225547
Spanish	12	shuffled	1.659596563711007	1.683581535628311
Spanish	13	shuffled	1.6340811202704226	-0.5290173430144284
Spanish	14	shuffled	1.6354560516718128	-0.40978870079973456
Spanish	15	shuffled	1.6520089008485321	1.0256092616944887
Spanish	16	shuffled	1.653021627825892	1.1134289611520183
Spanish	17	shuffled	1.6400032576511652	-0.0154728867594651
Spanish	18	shuffled	1.6480520588983543	0.6824874938005903
Spanish	19	shuffled	1.6309092260101716	-0.8040715351842488
Spanish	20	shuffled	1.6338472314073613	-0.54929926511159
Spanish	21	shuffled	1.642457413779762	0.19734187818052934
Spanish	22	shuffled	1.6432828506122465	0.2689205130648678
Spanish	23	shuffled	1.6348342604052555	-0.46370799333871515
Spanish	24	shuffled	1.6388498704802983	-0.11549008484750004
Spanish	25	shuffled	1.6658917538973625	2.229475663614272
Spanish	26	shuffled	1.647975625810866	0.6758595171376889
Spanish	27	shuffled	1.6235369284839225	-1.4433681743974232
Spanish	28	shuffled	1.6616473800688452	1.8614202623673215
Spanish	29	shuffled	1.6417145210866049	0.13292114633398766
Spanish	30	shuffled	1.6336068712824496	-0.5701423495787846
Spanish	31	shuffled	1.6459842125779354	0.5031719957016252
Spanish	32	shuffled	1.6264787468279094	-1.1882652605784612
Spanish	33	shuffled	1.6407907661252177	0.05281675008998688
Spanish	34	shuffled	1.621727656272262	-1.6002611430029412
Spanish	35	shuffled	1.63543967895455	-0.41120847843128805
Spanish	36	shuffled	1.6472144221871623	0.6098509334284735
Spanish	37	shuffled	1.6376558678892974	-0.21902929239045058
