i,word,freq,ipa,xsampa
0,لە,82985,"['l', 'ɛ']","['l', 'E']"
1,و,70162,['u'],['u']
2,بە,33331,"['b', 'ɛ']","['b', 'E']"
3,کە,29626,"['k', 'ɛ']","['k', 'E']"
4,بۆ,22704,"['b', 'o']","['b', 'o']"
7,ساڵی,9106,"['s', 'a', 'ɫ', 'iː']","['s', 'a', '5', 'i:']"
11,لەگەڵ,5651,"['l', 'ɛ', 'ɡ', 'ɛ', 'ɫ']","['l', 'E', 'g', 'E', '5']"
12,وەک,5203,"['u', 'ɛ', 'k']","['u', 'E', 'k']"
13,دوای,4927,"['d', 'u', 'a', 'iː']","['d', 'u', 'a', 'i:']"
14,بەڵام,4598,"['b', 'ɛ', 'ɫ', 'a', 'm']","['b', 'E', '5', 'a', 'm']"
15,یان,4476,"['iː', 'a', 'n']","['i:', 'a', 'n']"
16,دا,4386,"['d', 'a']","['d', 'a']"
17,لەسەر,4341,"['l', 'ɛ', 's', 'ɛ', 'ɾ']","['l', 'E', 's', 'E', '4']"
18,ژمارەی,3951,"['ʒ', 'm', 'a', 'ɾ', 'ɛ', 'iː']","['Z', 'm', 'a', '4', 'E', 'i:']"
19,کرد,3819,"['k', 'ɾ', 'd']","['k', '4', 'd']"
20,کەس,3813,"['k', 'ɛ', 's']","['k', 'E', 's']"
21,زۆر,3810,"['z', 'o', 'ɾ']","['z', 'o', '4']"
22,خۆی,3675,"['x', 'o', 'iː']","['x', 'o', 'i:']"
25,لەلایەن,3336,"['l', 'ɛ', 'l', 'a', 'j', 'e', 'n']","['l', 'E', 'l', 'a', 'j', 'e', 'n']"
29,ناوی,3017,"['n', 'a', 'u', 'iː']","['n', 'a', 'u', 'i:']"
30,تا,2932,"['t', 'a']","['t', 'a']"
31,وە,2887,"['u', 'ɛ']","['u', 'E']"
32,دەکات,2865,"['d', 'ɛ', 'k', 'a', 't']","['d', 'E', 'k', 'a', 't']"
33,سەر,2837,"['s', 'ɛ', 'ɾ']","['s', 'E', '4']"
34,لەو,2738,"['l', 'ɛ', 'u']","['l', 'E', 'u']"
36,یەکەم,2556,"['j', 'e', 'k', 'ɛ', 'm']","['j', 'e', 'k', 'E', 'm']"
37,چەند,2203,"['t͡ʃ', 'ɛ', 'n', 'd']","['tS', 'E', 'n', 'd']"
