i,word,freq,ipa,xsampa
7,citation,100323,"['t͡sʰ', 'z̩', 'tʰ', 'a', 'tʰ', 'i', 'o', 'n']","['ts_h', 'z=', 't_h', 'a', 't_h', 'i', 'o', 'n']"
41,main,26254,"['m', 'a', 'i̯', 'n']","['m', 'a', 'i_^', 'n']"
335,of,5009,"['o', 'f']","['o', 'f']"
572,the,3213,"['tʰ', 'x', 'ɤ']","['t_h', 'x', '7']"
580,The,3197,"['tʰ', 'x', 'ɤ']","['t_h', 'x', '7']"
710,sfn,2693,"['s', 'f', 'n']","['s', 'f', 'n']"
738,and,2597,"['a', 'n', 't']","['a', 'n', 't']"
858,convert,2273,"['t͡sʰ', 'o', 'n', 'y̯', 'ɛ', 'ɻ', 'tʰ']","['ts_h', 'o', 'n', 'y_^', 'E', 'r\\`', 't_h']"
927,A,2137,['a'],['a']
1054,coord,1911,"['t͡sʰ', 'o', 'u̯', 'ɔ', 'ɻ', 't']","['ts_h', 'o', 'u_^', 'O', 'r\\`', 't']"
1510,in,1386,"['i', 'n']","['i', 'n']"
1722,de,1226,"['t', 'ɤ']","['t', '7']"
1927,C,1085,['t͡sʰ'],['ts_h']
2032,B,1011,['p'],['p']
2184,HR,937,"['x', 'ʐ']","['x', 'z`']"
2222,SAO,919,"['s', 'a', 'u̯']","['s', 'a', 'u_^']"
2427,Windows,846,"['u̯', 'i', 'n', 't', 'o', 'u̯', 's']","['u_^', 'i', 'n', 't', 'o', 'u_^', 's']"
2469,to,830,"['tʰ', 'o']","['t_h', 'o']"
2649,cfn,777,"['t͡sʰ', 'f', 'n']","['ts_h', 'f', 'n']"
2745,HD,753,"['x', 't']","['x', 't']"
2784,John,741,"['t͡ɕ', 'o', 'x', 'n']","['ts\\', 'o', 'x', 'n']"
2790,a,739,['a'],['a']
2950,I,703,['i'],['i']
3164,for,656,"['f', 'u̯', 'ɔ', 'ʐ']","['f', 'u_^', 'O', 'z`']"
3498,X,582,['ɕ'],['s\\']
3534,S,576,['s'],['s']
3620,on,560,"['o', 'n']","['o', 'n']"
3900,JR,516,"['t͡ɕ', 'ʐ']","['ts\\', 'z`']"
3901,http,516,"['x', 'tʰ', 'tʰ', 'pʰ']","['x', 't_h', 't_h', 'p_h']"
3921,New,513,"['n', 'ɤ', 'u̯']","['n', '7', 'u_^']"
3991,CD,500,"['t͡sʰ', 't']","['ts_h', 't']"
4000,D,498,['t'],['t']
4133,pp,478,"['pʰ', 'pʰ']","['p_h', 'p_h']"
4167,DNA,473,"['t', 'n', 'a']","['t', 'n', 'a']"
4198,Google,467,"['k', 'o', 'o', 'k', 'l', 'ɤ']","['k', 'o', 'o', 'k', 'l', '7']"
4216,University,464,"['u̯', 'ə', 'n', 'i', 'y̯', 'ɛ', 'ɻ', 's', 'z̩', 'tʰ', 'i̯']","['u_^', '@', 'n', 'i', 'y_^', 'E', 'r\\`', 's', 'z=', 't_h', 'i_^']"
4406,II,438,"['i', 'i']","['i', 'i']"
4444,n,434,['n'],['n']
4700,H,406,['x'],['x']
4787,F,396,['f'],['f']
4824,David,393,"['t', 'a', 'v', 'i', 't']","['t', 'a', 'v', 'i', 't']"
4894,World,386,"['u̯', 'ɔ', 'ɻ', 'l', 't']","['u_^', 'O', 'r\\`', 'l', 't']"
4951,K,381,['kʰ'],['k_h']
4963,James,380,"['t͡ɕ', 'a', 'm', 'ɤ', 's']","['ts\\', 'a', 'm', '7', 's']"
4992,NBA,377,"['n', 'p', 'a']","['n', 'p', 'a']"
5190,by,359,"['p', 'i̯']","['p', 'i_^']"
5335,J,348,['t͡ɕ'],['ts\\']
5446,School,340,"['s', 'ʈ͡ʂʰ', 'o', 'o', 'l']","['s', 'ts`_h', 'o', 'o', 'l']"
5526,et,334,"['ɤ', 'tʰ']","['7', 't_h']"
5759,ISBN,318,"['i', 's', 'p', 'n']","['i', 's', 'p', 'n']"
5859,File,311,"['f', 'i', 'l', 'ɤ']","['f', 'i', 'l', '7']"
5900,William,308,"['u̯', 'i', 'l', 'l', 'i̯', 'ä', 'm']","['u_^', 'i', 'l', 'l', 'i_^', 'a_""', 'm']"
5952,International,305,"['i', 'n', 'tʰ', 'ɻ̩', 'n', 'a', 'tʰ', 'i', 'o', 'n', 'a', 'l']","['i', 'n', 't_h', 'r\\`=', 'n', 'a', 't_h', 'i', 'o', 'n', 'a', 'l']"
6005,Michael,302,"['m', 'i', 'ʈ͡ʂʰ', 'a', 'ɤ', 'l']","['m', 'i', 'ts`_h', 'a', '7', 'l']"
6006,Press,302,"['pʰ', 'ʐ', 'ɤ', 's', 's']","['p_h', 'z`', '7', 's', 's']"
6024,https,301,"['x', 'tʰ', 'tʰ', 'pʰ', 's']","['x', 't_h', 't_h', 'p_h', 's']"
6123,km,295,"['kʰ', 'm']","['k_h', 'm']"
6159,Robert,293,"['ʐ', 'o', 'p', 'ɻ̩', 'tʰ']","['z`', 'o', 'p', 'r\\`=', 't_h']"
6217,Paul,289,"['pʰ', 'a', 'u', 'l']","['p_h', 'a', 'u', 'l']"
6336,L,282,['l'],['l']
6337,Love,282,"['l', 'o', 'v', 'ɤ']","['l', 'o', 'v', '7']"
6338,National,282,"['n', 'a', 'tʰ', 'i', 'o', 'n', 'a', 'l']","['n', 'a', 't_h', 'i', 'o', 'n', 'a', 'l']"
6339,O,282,['o'],['o']
6340,You,282,"['i̯', 'o', 'ʊ̯']","['i_^', 'o', 'U_^']"
6444,Linux,276,"['l', 'i', 'n', 'u', 'ɕ']","['l', 'i', 'n', 'u', 's\\']"
6501,x,273,['ɕ'],['s\\']
6576,La,269,"['l', 'a']","['l', 'a']"
6600,M,268,['m'],['m']
6785,Thomas,259,"['tʰ', 'x', 'o', 'm', 'a', 's']","['t_h', 'x', 'o', 'm', 'a', 's']"
6786,la,259,"['l', 'a']","['l', 'a']"
6863,Live,256,"['l', 'i', 'v', 'ɤ']","['l', 'i', 'v', '7']"
6947,History,252,"['x', 'i', 's', 'tʰ', 'u̯', 'ɔ', 'ɻ', 'i̯']","['x', 'i', 's', 't_h', 'u_^', 'O', 'r\\`', 'i_^']"
