i,word,freq,ipa,xsampa
0,و,298749,['v'],['v']
1,در,244395,"['d', 'r']","['d', 'r']"
2,به,199393,"['b', 'h']","['b', 'h']"
3,از,167049,"['ɒ', 'z']","['Q', 'z']"
4,که,138688,"['k', 'h']","['k', 'h']"
5,این,132978,"['ɒ', 'j', 'n']","['Q', 'j', 'n']"
6,را,112614,"['r', 'ɒ']","['r', 'Q']"
7,است,99537,"['ɒ', 's', 't']","['Q', 's', 't']"
8,با,99034,"['b', 'ɒ']","['b', 'Q']"
9,برای,51114,"['b', 'r', 'ɒ', 'j']","['b', 'r', 'Q', 'j']"
10,کرد,34004,"['k', 'r', 'd']","['k', 'r', 'd']"
11,هم,33858,"['h', 'm']","['h', 'm']"
12,یک,33165,"['j', 'k']","['j', 'k']"
14,شده,28527,"['ʃ', 'd', 'h']","['S', 'd', 'h']"
15,تا,27609,"['t', 'ɒ']","['t', 'Q']"
16,می,27603,"['m', 'j']","['m', 'j']"
17,شد,26269,"['ʃ', 'd']","['S', 'd']"
18,بود,24264,"['b', 'v', 'd']","['b', 'v', 'd']"
19,گفت,22028,"['ɡ', 'f', 't']","['g', 'f', 't']"
20,خود,21974,"['x', 'v', 'd']","['x', 'v', 'd']"
21,ما,21663,"['m', 'ɒ']","['m', 'Q']"
22,بر,20490,"['b', 'r']","['b', 'r']"
23,اما,19948,"['ɒ', 'm', 'ɒ']","['Q', 'm', 'Q']"
24,سال,19478,"['s', 'ɒ', 'l']","['s', 'Q', 'l']"
25,ایران,19149,"['ɒ', 'j', 'r', 'ɒ', 'n']","['Q', 'j', 'r', 'Q', 'n']"
26,باید,19090,"['b', 'ɒ', 'j', 'd']","['b', 'Q', 'j', 'd']"
27,های,18247,"['h', 'ɒ', 'j']","['h', 'Q', 'j']"
28,او,18244,"['ɒ', 'v']","['Q', 'v']"
29,وی,18059,"['v', 'j']","['v', 'j']"
30,نیز,17931,"['n', 'j', 'z']","['n', 'j', 'z']"
31,کشور,16353,"['k', 'ʃ', 'v', 'r']","['k', 'S', 'v', 'r']"
32,شود,15899,"['ʃ', 'v', 'd']","['S', 'v', 'd']"
33,دارد,15610,"['d', 'ɒ', 'r', 'd']","['d', 'Q', 'r', 'd']"
34,کرده,14008,"['k', 'r', 'd', 'h']","['k', 'r', 'd', 'h']"
35,اینکه,13610,"['ɒ', 'j', 'n', 'k', 'h']","['Q', 'j', 'n', 'k', 'h']"
36,قرار,13546,"['ɣ', 'r', 'ɒ', 'r']","['G', 'r', 'Q', 'r']"
37,کار,12666,"['k', 'ɒ', 'r']","['k', 'Q', 'r']"
38,مردم,12634,"['m', 'r', 'd', 'm']","['m', 'r', 'd', 'm']"
39,دیگر,12577,"['d', 'j', 'ɡ', 'r']","['d', 'j', 'g', 'r']"
40,من,12570,"['m', 'n']","['m', 'n']"
41,هر,12321,"['h', 'r']","['h', 'r']"
42,داد,12294,"['d', 'ɒ', 'd']","['d', 'Q', 'd']"
43,کند,12282,"['k', 'n', 'd']","['k', 'n', 'd']"
44,یا,12111,"['j', 'ɒ']","['j', 'Q']"
45,استان,11788,"['ɒ', 's', 't', 'ɒ', 'n']","['Q', 's', 't', 'Q', 'n']"
46,ادامه,11622,"['ɒ', 'd', 'ɒ', 'm', 'h']","['Q', 'd', 'Q', 'm', 'h']"
47,روز,11340,"['r', 'v', 'z']","['r', 'v', 'z']"
48,تیم,11294,"['t', 'j', 'm']","['t', 'j', 'm']"
49,ها,10764,"['h', 'ɒ']","['h', 'Q']"
50,دو,10673,"['d', 'v']","['d', 'v']"
51,یکی,10602,"['j', 'k', 'j']","['j', 'k', 'j']"
52,اگر,10520,"['ɒ', 'ɡ', 'r']","['Q', 'g', 'r']"
53,انجام,10040,"['ɒ', 'n', 'd͡ʒ', 'ɒ', 'm']","['Q', 'n', 'dZ', 'Q', 'm']"
54,کنند,9769,"['k', 'n', 'n', 'd']","['k', 'n', 'n', 'd']"
55,همه,9527,"['h', 'm', 'h']","['h', 'm', 'h']"
56,خواهد,9477,"['x', 'v', 'ɒ', 'h', 'd']","['x', 'v', 'Q', 'h', 'd']"
58,وجود,9244,"['v', 'd͡ʒ', 'v', 'd']","['v', 'dZ', 'v', 'd']"
60,باشد,9242,"['b', 'ɒ', 'ʃ', 'd']","['b', 'Q', 'S', 'd']"
61,هستند,8911,"['h', 's', 't', 'n', 'd']","['h', 's', 't', 'n', 'd']"
63,همین,8713,"['h', 'm', 'j', 'n']","['h', 'm', 'j', 'n']"
64,شهر,8665,"['ʃ', 'h', 'r']","['S', 'h', 'r']"
65,داشت,8635,"['d', 'ɒ', 'ʃ', 't']","['d', 'Q', 'S', 't']"
66,داشته,8613,"['d', 'ɒ', 'ʃ', 't', 'h']","['d', 'Q', 'S', 't', 'h']"
67,حضور,8440,"['h', 'z', 'v', 'r']","['h', 'z', 'v', 'r']"
68,بعد,8336,"['b', 'ʔ', 'd']","['b', '?', 'd']"
69,عنوان,8283,"['ʔ', 'n', 'v', 'ɒ', 'n']","['?', 'n', 'v', 'Q', 'n']"
70,دست,8280,"['d', 's', 't']","['d', 's', 't']"
71,اعلام,8274,"['ɒ', 'ʔ', 'l', 'ɒ', 'm']","['Q', '?', 'l', 'Q', 'm']"
73,میشود,8216,"['m', 'j', 'ʃ', 'v', 'd']","['m', 'j', 'S', 'v', 'd']"
75,هزار,8164,"['h', 'z', 'ɒ', 'r']","['h', 'z', 'Q', 'r']"
76,افزود,8114,"['ɒ', 'f', 'z', 'v', 'd']","['Q', 'f', 'z', 'v', 'd']"
77,بازی,8089,"['b', 'ɒ', 'z', 'j']","['b', 'Q', 'z', 'j']"
78,بیان,8055,"['b', 'j', 'ɒ', 'n']","['b', 'j', 'Q', 'n']"
80,درباره,7903,"['d', 'r', 'b', 'ɒ', 'r', 'h']","['d', 'r', 'b', 'Q', 'r', 'h']"
81,چه,7899,"['t͡ʃ', 'h']","['tS', 'h']"
82,نیست,7879,"['n', 'j', 's', 't']","['n', 'j', 's', 't']"
83,صورت,7746,"['s', 'v', 'r', 't']","['s', 'v', 'r', 't']"
85,مورد,7537,"['m', 'v', 'r', 'd']","['m', 'v', 'r', 'd']"
86,دولت,7488,"['d', 'v', 'l', 't']","['d', 'v', 'l', 't']"
87,حال,7425,"['h', 'ɒ', 'l']","['h', 'Q', 'l']"
88,روی,7376,"['r', 'v', 'j']","['r', 'v', 'j']"
89,گذشته,7300,"['ɡ', 'z', 'ʃ', 't', 'h']","['g', 'z', 'S', 't', 'h']"
90,اشاره,7146,"['ɒ', 'ʃ', 'ɒ', 'r', 'h']","['Q', 'S', 'Q', 'r', 'h']"
91,نظر,7122,"['n', 'z', 'r']","['n', 'z', 'r']"
92,امروز,7114,"['ɒ', 'm', 'r', 'v', 'z']","['Q', 'm', 'r', 'v', 'z']"
93,همچنین,7001,"['h', 'm', 't͡ʃ', 'n', 'j', 'n']","['h', 'm', 'tS', 'n', 'j', 'n']"
94,استفاده,6930,"['ɒ', 's', 't', 'f', 'ɒ', 'd', 'h']","['Q', 's', 't', 'f', 'Q', 'd', 'h']"
95,بوده,6842,"['b', 'v', 'd', 'h']","['b', 'v', 'd', 'h']"
96,ملی,6815,"['m', 'l', 'j']","['m', 'l', 'j']"
97,چند,6758,"['t͡ʃ', 'n', 'd']","['tS', 'n', 'd']"
98,برخی,6685,"['b', 'r', 'x', 'j']","['b', 'r', 'x', 'j']"
99,اسلامی,6669,"['ɒ', 's', 'l', 'ɒ', 'm', 'j']","['Q', 's', 'l', 'Q', 'm', 'j']"
100,افزایش,6613,"['ɒ', 'f', 'z', 'ɒ', 'j', 'ʃ']","['Q', 'f', 'z', 'Q', 'j', 'S']"
101,تهران,6595,"['t', 'h', 'r', 'ɒ', 'n']","['t', 'h', 'r', 'Q', 'n']"
102,بیشتر,6514,"['b', 'j', 'ʃ', 't', 'r']","['b', 'j', 'S', 't', 'r']"
103,کردند,6482,"['k', 'r', 'd', 'n', 'd']","['k', 'r', 'd', 'n', 'd']"
104,سازمان,6403,"['s', 'ɒ', 'z', 'm', 'ɒ', 'n']","['s', 'Q', 'z', 'm', 'Q', 'n']"
105,مشهد,6247,"['m', 'ʃ', 'h', 'd']","['m', 'S', 'h', 'd']"
106,شورای,6242,"['ʃ', 'v', 'r', 'ɒ', 'j']","['S', 'v', 'r', 'Q', 'j']"
107,توجه,6136,"['t', 'v', 'd͡ʒ', 'h']","['t', 'v', 'dZ', 'h']"
108,بین,6056,"['b', 'j', 'n']","['b', 'j', 'n']"
109,منطقه,6003,"['m', 'n', 't', 'ɣ', 'h']","['m', 'n', 't', 'G', 'h']"
110,داده,5975,"['d', 'ɒ', 'd', 'h']","['d', 'Q', 'd', 'h']"
111,بخش,5946,"['b', 'x', 'ʃ']","['b', 'x', 'S']"
112,موضوع,5912,"['m', 'v', 'z', 'v', 'ʔ']","['m', 'v', 'z', 'v', '?']"
113,دارند,5880,"['d', 'ɒ', 'r', 'n', 'd']","['d', 'Q', 'r', 'n', 'd']"
114,کنیم,5865,"['k', 'n', 'j', 'm']","['k', 'n', 'j', 'm']"
115,مجلس,5803,"['m', 'd͡ʒ', 'l', 's']","['m', 'dZ', 'l', 's']"
116,شما,5785,"['ʃ', 'm', 'ɒ']","['S', 'm', 'Q']"
117,ماه,5734,"['m', 'ɒ', 'h']","['m', 'Q', 'h']"
118,نفر,5710,"['n', 'f', 'r']","['n', 'f', 'r']"
119,طرح,5700,"['t', 'r', 'h']","['t', 'r', 'h']"
120,گرفته,5488,"['ɡ', 'r', 'f', 't', 'h']","['g', 'r', 'f', 't', 'h']"
121,گزارش,5464,"['ɡ', 'z', 'ɒ', 'r', 'ʃ']","['g', 'z', 'Q', 'r', 'S']"
122,ای,5454,"['ɒ', 'j']","['Q', 'j']"
123,شرکت,5365,"['ʃ', 'r', 'k', 't']","['S', 'r', 'k', 't']"
124,گفته,5359,"['ɡ', 'f', 't', 'h']","['g', 'f', 't', 'h']"
125,ایجاد,5328,"['ɒ', 'j', 'd͡ʒ', 'ɒ', 'd']","['Q', 'j', 'dZ', 'Q', 'd']"
126,قیمت,5298,"['ɣ', 'j', 'm', 't']","['G', 'j', 'm', 't']"
127,راه,5279,"['r', 'ɒ', 'h']","['r', 'Q', 'h']"
128,زمان,5271,"['z', 'm', 'ɒ', 'n']","['z', 'm', 'Q', 'n']"
129,نشان,5220,"['n', 'ʃ', 'ɒ', 'n']","['n', 'S', 'Q', 'n']"
130,درصد,5212,"['d', 'r', 's', 'd']","['d', 'r', 's', 'd']"
131,دلیل,5176,"['d', 'l', 'j', 'l']","['d', 'l', 'j', 'l']"
132,خبر,5127,"['x', 'b', 'r']","['x', 'b', 'r']"
133,تومان,5112,"['t', 'v', 'm', 'ɒ', 'n']","['t', 'v', 'm', 'Q', 'n']"
134,هیچ,5071,"['h', 'j', 't͡ʃ']","['h', 'j', 'tS']"
135,فیلم,4991,"['f', 'j', 'l', 'm']","['f', 'j', 'l', 'm']"
137,حتی,4913,"['h', 't', 'j']","['h', 't', 'j']"
138,برگزار,4901,"['b', 'r', 'ɡ', 'z', 'ɒ', 'r']","['b', 'r', 'g', 'z', 'Q', 'r']"
139,بسیار,4874,"['b', 's', 'j', 'ɒ', 'r']","['b', 's', 'j', 'Q', 'r']"
140,حوزه,4860,"['h', 'v', 'z', 'h']","['h', 'v', 'z', 'h']"
141,میکند,4796,"['m', 'j', 'k', 'n', 'd']","['m', 'j', 'k', 'n', 'd']"
142,سه,4795,"['s', 'h']","['s', 'h']"
143,افراد,4754,"['ɒ', 'f', 'r', 'ɒ', 'd']","['Q', 'f', 'r', 'Q', 'd']"
144,تمام,4749,"['t', 'm', 'ɒ', 'm']","['t', 'm', 'Q', 'm']"
145,خیلی,4737,"['x', 'j', 'l', 'j']","['x', 'j', 'l', 'j']"
146,شرایط,4736,"['ʃ', 'r', 'ɒ', 'j', 't']","['S', 'r', 'Q', 'j', 't']"
147,میلیون,4725,"['m', 'j', 'l', 'j', 'v', 'n']","['m', 'j', 'l', 'j', 'v', 'n']"
148,هفته,4711,"['h', 'f', 't', 'h']","['h', 'f', 't', 'h']"
150,اظهار,4641,"['ɒ', 'z', 'h', 'ɒ', 'r']","['Q', 'z', 'h', 'Q', 'r']"
151,شدن,4639,"['ʃ', 'd', 'n']","['S', 'd', 'n']"
152,وزیر,4638,"['v', 'z', 'j', 'r']","['v', 'z', 'j', 'r']"
153,البته,4596,"['ɒ', 'l', 'b', 't', 'h']","['Q', 'l', 'b', 't', 'h']"
154,اول,4568,"['ɒ', 'v', 'l']","['Q', 'v', 'l']"
155,نام,4536,"['n', 'ɒ', 'm']","['n', 'Q', 'm']"
156,کاهش,4492,"['k', 'ɒ', 'h', 'ʃ']","['k', 'Q', 'h', 'S']"
157,ولی,4488,"['v', 'l', 'j']","['v', 'l', 'j']"
158,بازار,4475,"['b', 'ɒ', 'z', 'ɒ', 'r']","['b', 'Q', 'z', 'Q', 'r']"
159,زندگی,4451,"['z', 'n', 'd', 'ɡ', 'j']","['z', 'n', 'd', 'g', 'j']"
160,اقتصادی,4430,"['ɒ', 'ɣ', 't', 's', 'ɒ', 'd', 'j']","['Q', 'G', 't', 's', 'Q', 'd', 'j']"
161,برنامه,4417,"['b', 'r', 'n', 'ɒ', 'm', 'h']","['b', 'r', 'n', 'Q', 'm', 'h']"
162,جامعه,4380,"['d͡ʒ', 'ɒ', 'm', 'ʔ', 'h']","['dZ', 'Q', 'm', '?', 'h']"
163,وارد,4366,"['v', 'ɒ', 'r', 'd']","['v', 'Q', 'r', 'd']"
164,تولید,4335,"['t', 'v', 'l', 'j', 'd']","['t', 'v', 'l', 'j', 'd']"
165,انتخابات,4325,"['ɒ', 'n', 't', 'x', 'ɒ', 'b', 'ɒ', 't']","['Q', 'n', 't', 'x', 'Q', 'b', 'Q', 't']"
166,اجتماعی,4308,"['ɒ', 'd͡ʒ', 't', 'm', 'ɒ', 'ʔ', 'j']","['Q', 'dZ', 't', 'm', 'Q', '?', 'j']"
167,زیادی,4204,"['z', 'j', 'ɒ', 'd', 'j']","['z', 'j', 'Q', 'd', 'j']"
168,تنها,4194,"['t', 'n', 'h', 'ɒ']","['t', 'n', 'h', 'Q']"
169,وقتی,4189,"['v', 'ɣ', 't', 'j']","['v', 'G', 't', 'j']"
170,بودند,4184,"['b', 'v', 'd', 'n', 'd']","['b', 'v', 'd', 'n', 'd']"
171,انقلاب,4167,"['ɒ', 'n', 'ɣ', 'l', 'ɒ', 'b']","['Q', 'n', 'G', 'l', 'Q', 'b']"
172,فوتبال,4119,"['f', 'v', 't', 'b', 'ɒ', 'l']","['f', 'v', 't', 'b', 'Q', 'l']"
174,بیش,4111,"['b', 'j', 'ʃ']","['b', 'j', 'S']"
175,بار,4100,"['b', 'ɒ', 'r']","['b', 'Q', 'r']"
176,جدید,4099,"['d͡ʒ', 'd', 'j', 'd']","['dZ', 'd', 'j', 'd']"
177,شدند,4054,"['ʃ', 'd', 'n', 'd']","['S', 'd', 'n', 'd']"
178,مختلف,4044,"['m', 'x', 't', 'l', 'f']","['m', 'x', 't', 'l', 'f']"
179,سوی,4029,"['s', 'v', 'j']","['s', 'v', 'j']"
181,ندارد,4022,"['n', 'd', 'ɒ', 'r', 'd']","['n', 'd', 'Q', 'r', 'd']"
182,نه,3960,"['n', 'h']","['n', 'h']"
183,خانه,3933,"['x', 'ɒ', 'n', 'h']","['x', 'Q', 'n', 'h']"
184,سر,3926,"['s', 'r']","['s', 'r']"
185,کردن,3925,"['k', 'r', 'd', 'n']","['k', 'r', 'd', 'n']"
186,وزارت,3898,"['v', 'z', 'ɒ', 'r', 't']","['v', 'z', 'Q', 'r', 't']"
187,تاکید,3892,"['t', 'ɒ', 'k', 'j', 'd']","['t', 'Q', 'k', 'j', 'd']"
188,قبل,3874,"['ɣ', 'b', 'l']","['G', 'b', 'l']"
191,همان,3855,"['h', 'm', 'ɒ', 'n']","['h', 'm', 'Q', 'n']"
