i,word,freq,ipa,xsampa
0,ഒരു,42759,"['o', 'ɾ', 'u']","['o', '4', 'u']"
1,ഈ,34952,['iː'],['i:']
10,അവർ,5729,"['a', 'ʋ', 'a', 'r']","['a', 'P', 'a', 'r']"
17,വലിയ,4267,"['ʋ', 'a', 'l', 'i', 'j', 'a']","['P', 'a', 'l', 'i', 'j', 'a']"
18,വരെ,4265,"['ʋ', 'a', 'ɾ', 'e']","['P', 'a', '4', 'e']"
19,ആ,4230,['aː'],['a:']
21,മുതൽ,4111,"['m', 'u', 't̪', 'a', 'l']","['m', 'u', 't_d', 'a', 'l']"
22,കൂടുതൽ,3875,"['k', 'uː', 'ʈ', 'u', 't̪', 'a', 'l']","['k', 'u:', 't`', 'u', 't_d', 'a', 'l']"
23,അവരുടെ,3851,"['a', 'ʋ', 'a', 'ɾ', 'u', 'ʈ', 'e']","['a', 'P', 'a', '4', 'u', 't`', 'e']"
24,വളരെ,3836,"['ʋ', 'a', 'ɭ', 'a', 'ɾ', 'e']","['P', 'a', 'l`', 'a', '4', 'e']"
25,ചില,3775,"['t͡ʃ', 'i', 'l', 'a']","['tS', 'i', 'l', 'a']"
26,ശേഷം,3631,"['ʃ', 'eː', 'ʂ', 'a', 'm']","['S', 'e:', 's`', 'a', 'm']"
29,പല,3521,"['p', 'a', 'l', 'a']","['p', 'a', 'l', 'a']"
33,ൽ,3330,['l'],['l']
34,ഇവിടെ,3293,"['i', 'ʋ', 'i', 'ʈ', 'e']","['i', 'P', 'i', 't`', 'e']"
46,ഇവ,2763,"['i', 'ʋ', 'a']","['i', 'P', 'a']"
48,പുതിയ,2623,"['p', 'u', 't̪', 'i', 'j', 'a']","['p', 'u', 't_d', 'i', 'j', 'a']"
49,ചെറിയ,2519,"['t͡ʃ', 'e', 'r', 'i', 'j', 'a']","['tS', 'e', 'r', 'i', 'j', 'a']"
52,ഇതിൽ,2412,"['i', 't̪', 'i', 'l']","['i', 't_d', 'i', 'l']"
58,നേടി,2345,"['n̪', 'eː', 'ʈ', 'i']","['n_d', 'e:', 't`', 'i']"
59,പേരിൽ,2327,"['p', 'eː', 'ɾ', 'i', 'l']","['p', 'e:', '4', 'i', 'l']"
61,കൂടാതെ,2246,"['k', 'uː', 'ʈ', 'aː', 't̪', 'e']","['k', 'u:', 't`', 'a:', 't_d', 'e']"
63,അവിടെ,2237,"['a', 'ʋ', 'i', 'ʈ', 'e']","['a', 'P', 'i', 't`', 'e']"
67,കാരണം,2043,"['k', 'aː', 'ɾ', 'a', 'ɳ', 'a', 'm']","['k', 'a:', '4', 'a', 'n`', 'a', 'm']"
70,ഏകദേശം,1973,"['eː', 'k', 'a', 'd̪', 'eː', 'ʃ', 'a', 'm']","['e:', 'k', 'a', 'd_d', 'e:', 'S', 'a', 'm']"
75,ആയി,1916,"['aː', 'j', 'i']","['a:', 'j', 'i']"
79,അഥവാ,1773,"['a', 't̪ʰ', 'a', 'ʋ', 'aː']","['a', 't_d_h', 'a', 'P', 'a:']"
80,വർഷം,1759,"['ʋ', 'a', 'r', 'ʂ', 'a', 'm']","['P', 'a', 'r', 's`', 'a', 'm']"
81,നൽകി,1730,"['n̪', 'a', 'l', 'k', 'i']","['n_d', 'a', 'l', 'k', 'i']"
89,വഴി,1601,"['ʋ', 'a', 'ɻ', 'i']","['P', 'a', 'r\\`', 'i']"
93,ലെ,1564,"['l', 'e']","['l', 'e']"
100,കൂടി,1498,"['k', 'uː', 'ʈ', 'i']","['k', 'u:', 't`', 'i']"
102,അവ,1489,"['a', 'ʋ', 'a']","['a', 'P', 'a']"
106,കാണാം,1440,"['k', 'aː', 'ɳ', 'aː', 'm']","['k', 'a:', 'n`', 'a:', 'm']"
107,സി,1421,"['s', 'i']","['s', 'i']"
108,ദേശീയ,1410,"['d̪', 'eː', 'ʃ', 'iː', 'j', 'a']","['d_d', 'e:', 'S', 'i:', 'j', 'a']"
111,ഇവർ,1371,"['i', 'ʋ', 'a', 'r']","['i', 'P', 'a', 'r']"
114,മാറി,1360,"['m', 'aː', 'r', 'i']","['m', 'a:', 'r', 'i']"
116,ദിവസം,1337,"['d̪', 'i', 'ʋ', 'a', 's', 'a', 'm']","['d_d', 'i', 'P', 'a', 's', 'a', 'm']"
118,അതിൽ,1328,"['a', 't̪', 'i', 'l']","['a', 't_d', 'i', 'l']"
120,പി,1313,"['p', 'i']","['p', 'i']"
123,വിവാഹം,1296,"['ʋ', 'i', 'ʋ', 'aː', 'ɦ', 'a', 'm']","['P', 'i', 'P', 'a:', 'h\\', 'a', 'm']"
124,കേരള,1290,"['k', 'eː', 'ɾ', 'a', 'ɭ', 'a']","['k', 'e:', '4', 'a', 'l`', 'a']"
127,ഡി,1259,"['ɖ', 'i']","['d`', 'i']"
130,മൂലം,1246,"['m', 'uː', 'l', 'a', 'm']","['m', 'u:', 'l', 'a', 'm']"
135,എം,1201,"['e', 'm']","['e', 'm']"
138,ഇതിനെ,1178,"['i', 't̪', 'i', 'n', 'e']","['i', 't_d', 'i', 'n', 'e']"
139,ഇവയുടെ,1175,"['i', 'ʋ', 'a', 'j', 'u', 'ʈ', 'e']","['i', 'P', 'a', 'j', 'u', 't`', 'e']"
144,കെ,1149,"['k', 'e']","['k', 'e']"
146,ജനനം,1142,"['ɟ', 'a', 'n', 'a', 'n̪', 'a', 'm']","['J\\', 'a', 'n', 'a', 'n_d', 'a', 'm']"
156,അതിനാൽ,1109,"['a', 't̪', 'i', 'n', 'aː', 'l']","['a', 't_d', 'i', 'n', 'a:', 'l']"
159,ദി,1094,"['d̪', 'i']","['d_d', 'i']"
160,നിലയിൽ,1088,"['n̪', 'i', 'l', 'a', 'j', 'i', 'l']","['n_d', 'i', 'l', 'a', 'j', 'i', 'l']"
167,സമയം,1057,"['s', 'a', 'm', 'a', 'j', 'a', 'm']","['s', 'a', 'm', 'a', 'j', 'a', 'm']"
171,മുഴുവൻ,1043,"['m', 'u', 'ɻ', 'u', 'ʋ', 'a', 'n']","['m', 'u', 'r\\`', 'u', 'P', 'a', 'n']"
172,ഇതു,1042,"['i', 't̪', 'u']","['i', 't_d', 'u']"
175,ഏറെ,1031,"['eː', 'r', 'e']","['e:', 'r', 'e']"
177,ദ,1016,"['d̪', 'a']","['d_d', 'a']"
183,ആകെ,991,"['aː', 'k', 'e']","['a:', 'k', 'e']"
184,ബി,991,"['b', 'i']","['b', 'i']"
186,പഴയ,989,"['p', 'a', 'ɻ', 'a', 'j', 'a']","['p', 'a', 'r\\`', 'a', 'j', 'a']"
188,രൂപം,987,"['ɾ', 'uː', 'p', 'a', 'm']","['4', 'u:', 'p', 'a', 'm']"
191,നേടിയ,975,"['n̪', 'eː', 'ʈ', 'i', 'j', 'a']","['n_d', 'e:', 't`', 'i', 'j', 'a']"
192,രീതിയിൽ,962,"['ɾ', 'iː', 't̪', 'i', 'j', 'i', 'l']","['4', 'i:', 't_d', 'i', 'j', 'i', 'l']"
193,അവരെ,955,"['a', 'ʋ', 'a', 'ɾ', 'e']","['a', 'P', 'a', '4', 'e']"
196,മുൻ,936,"['m', 'u', 'n']","['m', 'u', 'n']"
201,കഴിയും,918,"['k', 'a', 'ɻ', 'i', 'j', 'u', 'm']","['k', 'a', 'r\\`', 'i', 'j', 'u', 'm']"
204,നിലവിൽ,903,"['n̪', 'i', 'l', 'a', 'ʋ', 'i', 'l']","['n_d', 'i', 'l', 'a', 'P', 'i', 'l']"
206,നാഷണൽ,899,"['n̪', 'aː', 'ʂ', 'a', 'ɳ', 'a', 'l']","['n_d', 'a:', 's`', 'a', 'n`', 'a', 'l']"
208,ആയ,896,"['aː', 'j', 'a']","['a:', 'j', 'a']"
213,അവയുടെ,879,"['a', 'ʋ', 'a', 'j', 'u', 'ʈ', 'e']","['a', 'P', 'a', 'j', 'u', 't`', 'e']"
215,കീഴിൽ,876,"['k', 'iː', 'ɻ', 'i', 'l']","['k', 'i:', 'r\\`', 'i', 'l']"
220,തരം,865,"['t̪', 'a', 'ɾ', 'a', 'm']","['t_d', 'a', '4', 'a', 'm']"
224,പേർ,853,"['p', 'eː', 'r']","['p', 'e:', 'r']"
225,കഥ,849,"['k', 'a', 't̪ʰ', 'a']","['k', 'a', 't_d_h', 'a']"
231,മലയാള,838,"['m', 'a', 'l', 'a', 'j', 'aː', 'ɭ', 'a']","['m', 'a', 'l', 'a', 'j', 'a:', 'l`', 'a']"
232,പഠനം,837,"['p', 'a', 'ʈʰ', 'a', 'n', 'a', 'm']","['p', 'a', 't`_h', 'a', 'n', 'a', 'm']"
236,ഇതിനു,826,"['i', 't̪', 'i', 'n', 'u']","['i', 't_d', 'i', 'n', 'u']"
237,ബിരുദം,825,"['b', 'i', 'ɾ', 'u', 'd̪', 'a', 'm']","['b', 'i', '4', 'u', 'd_d', 'a', 'm']"
238,ഒരേ,824,"['o', 'ɾ', 'eː']","['o', '4', 'e:']"
239,നഗരം,824,"['n̪', 'a', 'ɡ', 'a', 'ɾ', 'a', 'm']","['n_d', 'a', 'g', 'a', '4', 'a', 'm']"
243,ഇവയെ,811,"['i', 'ʋ', 'a', 'j', 'e']","['i', 'P', 'a', 'j', 'e']"
246,എ,796,['e'],['e']
254,അവളുടെ,775,"['a', 'ʋ', 'a', 'ɭ', 'u', 'ʈ', 'e']","['a', 'P', 'a', 'l`', 'u', 't`', 'e']"
257,പകരം,769,"['p', 'a', 'k', 'a', 'ɾ', 'a', 'm']","['p', 'a', 'k', 'a', '4', 'a', 'm']"
260,അനേകം,766,"['a', 'n', 'eː', 'k', 'a', 'm']","['a', 'n', 'e:', 'k', 'a', 'm']"
267,അതേ,752,"['a', 't̪', 'eː']","['a', 't_d', 'e:']"
272,സംഗീത,751,"['s', 'a', 'm', 'ɡ', 'iː', 't̪', 'a']","['s', 'a', 'm', 'g', 'i:', 't_d', 'a']"
274,അവൾ,747,"['a', 'ʋ', 'a', 'ɭ']","['a', 'P', 'a', 'l`']"
276,മൈൽ,744,"['m', 'a', 'i̯', 'l']","['m', 'a', 'i_^', 'l']"
278,പുരാതന,738,"['p', 'u', 'ɾ', 'aː', 't̪', 'a', 'n', 'a']","['p', 'u', '4', 'a:', 't_d', 'a', 'n', 'a']"
279,കി,736,"['k', 'i']","['k', 'i']"
281,അതിനു,731,"['a', 't̪', 'i', 'n', 'u']","['a', 't_d', 'i', 'n', 'u']"
290,കൂടിയ,708,"['k', 'uː', 'ʈ', 'i', 'j', 'a']","['k', 'u:', 't`', 'i', 'j', 'a']"
292,ജീവിതം,704,"['ɟ', 'iː', 'ʋ', 'i', 't̪', 'a', 'm']","['J\\', 'i:', 'P', 'i', 't_d', 'a', 'm']"
294,നാലു,695,"['n̪', 'aː', 'l', 'u']","['n_d', 'a:', 'l', 'u']"
296,of,691,"['o', 'f']","['o', 'f']"
305,താൻ,683,"['t̪', 'aː', 'n']","['t_d', 'a:', 'n']"
307,കാണാൻ,678,"['k', 'aː', 'ɳ', 'aː', 'n']","['k', 'a:', 'n`', 'a:', 'n']"
310,യുടെ,676,"['j', 'u', 'ʈ', 'e']","['j', 'u', 't`', 'e']"
312,കാലം,673,"['k', 'aː', 'l', 'a', 'm']","['k', 'a:', 'l', 'a', 'm']"
316,ജനുവരി,669,"['ɟ', 'a', 'n', 'u', 'ʋ', 'a', 'ɾ', 'i']","['J\\', 'a', 'n', 'u', 'P', 'a', '4', 'i']"
318,യു,669,"['j', 'u']","['j', 'u']"
320,തവണ,667,"['t̪', 'a', 'ʋ', 'a', 'ɳ', 'a']","['t_d', 'a', 'P', 'a', 'n`', 'a']"
321,നിയമം,659,"['n̪', 'i', 'j', 'a', 'm', 'a', 'm']","['n_d', 'i', 'j', 'a', 'm', 'a', 'm']"
324,ടി,658,"['ʈ', 'i']","['t`', 'i']"
328,ജൂൺ,654,"['ɟ', 'uː', 'ɳ']","['J\\', 'u:', 'n`']"
329,താഴെ,651,"['t̪', 'aː', 'ɻ', 'e']","['t_d', 'a:', 'r\\`', 'e']"
332,അവസാന,648,"['a', 'ʋ', 'a', 's', 'aː', 'n', 'a']","['a', 'P', 'a', 's', 'a:', 'n', 'a']"
335,നദി,643,"['n̪', 'a', 'd̪', 'i']","['n_d', 'a', 'd_d', 'i']"
338,അടി,639,"['a', 'ʈ', 'i']","['a', 't`', 'i']"
340,നൽകിയ,638,"['n̪', 'a', 'l', 'k', 'i', 'j', 'a']","['n_d', 'a', 'l', 'k', 'i', 'j', 'a']"
341,മുകളിൽ,636,"['m', 'u', 'k', 'a', 'ɭ', 'i', 'l']","['m', 'u', 'k', 'a', 'l`', 'i', 'l']"
342,ഏതാനും,635,"['eː', 't̪', 'aː', 'n', 'u', 'm']","['e:', 't_d', 'a:', 'n', 'u', 'm']"
343,എഴുതിയ,634,"['e', 'ɻ', 'u', 't̪', 'i', 'j', 'a']","['e', 'r\\`', 'u', 't_d', 'i', 'j', 'a']"
344,ഇവരുടെ,632,"['i', 'ʋ', 'a', 'ɾ', 'u', 'ʈ', 'e']","['i', 'P', 'a', '4', 'u', 't`', 'e']"
