i,word,freq,ipa,xsampa
0,нь,46350,['nʲ'],"[""n'""]"
1,юм,11870,"['j', 'u', 'm']","['j', 'u', 'm']"
4,болон,8280,"['p', 'ɔ', 'ɮ', 'ɔ', 'n']","['p', 'O', 'K\\', 'O', 'n']"
6,бөгөөд,6612,"['p', 'o', 'ɡ', 'oː', 't']","['p', 'o', 'g', 'o:', 't']"
7,ба,6467,"['p', 'a']","['p', 'a']"
8,гэж,6181,"['ɡ', 'ɛ', 't͡ʃ']","['g', 'E', 'tS']"
9,ч,5946,['t͡ʃʰ'],['tS_h']
10,Энэ,5778,"['ɛ', 'n', 'ɛ']","['E', 'n', 'E']"
11,онд,5035,"['ɔ', 'n', 't']","['O', 'n', 't']"
12,нэг,5020,"['n', 'ɛ', 'ɡ']","['n', 'E', 'g']"
13,олон,4964,"['ɔ', 'ɮ', 'ɔ', 'n']","['O', 'K\\', 'O', 'n']"
14,энэ,4320,"['ɛ', 'n', 'ɛ']","['E', 'n', 'E']"
15,оны,4311,"['ɔ', 'n', 'iː']","['O', 'n', 'i:']"
16,үед,4064,"['u', 'j', 't']","['u', 'j', 't']"
17,бол,3981,"['p', 'ɔ', 'ɮ']","['p', 'O', 'K\\']"
18,их,3779,"['i', 'x']","['i', 'x']"
19,дээр,3571,"['t', 'ɛː', 'r']","['t', 'E:', 'r']"
20,болсон,3556,"['p', 'ɔ', 'ɮ', 's', 'ɔ', 'n']","['p', 'O', 'K\\', 's', 'O', 'n']"
22,гэсэн,3275,"['ɡ', 'ɛ', 's', 'ɛ', 'n']","['g', 'E', 's', 'E', 'n']"
23,буюу,3254,"['p', 'ʊ', 'j', 'u', 'ʊ']","['p', 'U', 'j', 'u', 'U']"
24,болно,3191,"['p', 'ɔ', 'ɮ', 'n', 'ɔ']","['p', 'O', 'K\\', 'n', 'O']"
27,хүн,3119,"['x', 'u', 'n']","['x', 'u', 'n']"
28,улсын,3046,"['ʊ', 'ɮ', 's', 'iː', 'n']","['U', 'K\\', 's', 'i:', 'n']"
30,зэрэг,2853,"['t͡s', 'ɛ', 'r', 'ɛ', 'ɡ']","['ts', 'E', 'r', 'E', 'g']"
31,гэдэг,2850,"['ɡ', 'ɛ', 't', 'ɛ', 'ɡ']","['g', 'E', 't', 'E', 'g']"
32,дараа,2731,"['t', 'a', 'r', 'aː']","['t', 'a', 'r', 'a:']"
33,болох,2723,"['p', 'ɔ', 'ɮ', 'ɔ', 'x']","['p', 'O', 'K\\', 'O', 'x']"
34,улс,2693,"['ʊ', 'ɮ', 's']","['U', 'K\\', 's']"
36,мөн,2539,"['m', 'o', 'n']","['m', 'o', 'n']"
38,сарын,2494,"['s', 'a', 'r', 'iː', 'n']","['s', 'a', 'r', 'i:', 'n']"
39,газар,2487,"['ɡ', 'a', 't͡s', 'a', 'r']","['g', 'a', 'ts', 'a', 'r']"
40,Мөн,2323,"['m', 'o', 'n']","['m', 'o', 'n']"
42,Монгол,2273,"['m', 'ɔ', 'n', 'ɡ', 'ɔ', 'ɮ']","['m', 'O', 'n', 'g', 'O', 'K\\']"
44,болж,2247,"['p', 'ɔ', 'ɮ', 't͡ʃ']","['p', 'O', 'K\\', 'tS']"
46,л,2179,['ɮ'],['K\\']
47,тус,2117,"['tʰ', 'ʊ', 's']","['t_h', 'U', 's']"
