i,word,freq,ipa,xsampa
2,chi̍t,57191,"['t͡ɕ', 'i', 't', '˧']","['ts\\', 'i', 't', '_M']"
6,chiu,24821,"['t͡ɕ', 'i̯', 'u', '˥']","['ts\\', 'i_^', 'u', '_T']"
12,kap,9988,"['k', 'a', 'p']","['k', 'a', 'p']"
13,Chiu,9485,"['t͡ɕ', 'i̯', 'u', '˥']","['ts\\', 'i_^', 'u', '_T']"
14,city,7978,"['c', 'i', 't', 'y']","['c', 'i', 't', 'y']"
30,goe̍h,4210,"['ɡ', 'ə', 'e', 'ʔ']","['g', '@', 'e', '?']"
34,ji̍t,3834,"['d͡ʑ', 'i', 't', '˧']","['dz\\', 'i', 't', '_M']"
35,town,3805,"['t', 'ə', 'w', 'n']","['t', '@', 'w', 'n']"
39,khu,3260,"['kʰ', 'u']","['k_h', 'u']"
41,Türkiye,2949,"['t', 'ü', 'r', 'k', 'i', 'y', 'e']","['t', 'u_""', 'r', 'k', 'i', 'y', 'e']"
43,village,2645,"['v', 'i', 'l', 'l', 'a', 'ɡ', 'e']","['v', 'i', 'l', 'l', 'a', 'g', 'e']"
45,Magyar,2462,"['m', 'a', 'ɡ', 'y', 'a', 'r']","['m', 'a', 'g', 'y', 'a', 'r']"
47,Slovakia,2379,"['s', 'l', 'ə', 'v', 'a', 'k', 'i̯', 'a']","['s', 'l', '@', 'v', 'a', 'k', 'i_^', 'a']"
50,obec,2225,"['ə', 'b', 'e', 'c']","['@', 'b', 'e', 'c']"
52,New,2209,"['n', 'e', 'w']","['n', 'e', 'w']"
70,Pennsylvania,1935,"['p', 'ẽ', 's', 'y', 'l', 'v', 'a', 'n', 'i̯', 'a']","['p', 'e~', 's', 'y', 'l', 'v', 'a', 'n', 'i_^', 'a']"
71,Mazowieckie,1922,"['m', 'a', 'z', 'ə', 'w', 'i', 'e', 'c', 'k', 'i', 'e']","['m', 'a', 'z', '@', 'w', 'i', 'e', 'c', 'k', 'i', 'e']"
73,Chit,1864,"['t͡ɕ', 'i', 't', '˧']","['ts\\', 'i', 't', '_M']"
74,Ohio,1771,"['ə', 'ʔ', 'i̯', 'o']","['@', '?', 'i_^', 'o']"
81,Texas,1698,"['t', 'e', 'x', 'a', 's']","['t', 'e', 'x', 'a', 's']"
82,tätort,1678,"['t', 'ä', 't', 'ə', 'r', 't']","['t', 'a_""', 't', '@', 'r', 't']"
86,Armenia,1566,"['a', 'r', 'm', 'e', 'n', 'i̯', 'a']","['a', 'r', 'm', 'e', 'n', 'i_^', 'a']"
89,I,1421,['i'],['i']
93,comune,1393,"['c', 'ɔ', 'm', 'u', 'n', 'e']","['c', 'O', 'm', 'u', 'n', 'e']"
94,Illinois,1387,"['i', 'l', 'l', 'i', 'n', 'ə', 'i', 's']","['i', 'l', 'l', 'i', 'n', '@', 'i', 's']"
98,Italia,1296,"['i', 't', 'a', 'l', 'i̯', 'a']","['i', 't', 'a', 'l', 'i_^', 'a']"
99,Bavaria,1277,"['b', 'a', 'v', 'a', 'r', 'i̯', 'a']","['b', 'a', 'v', 'a', 'r', 'i_^', 'a']"
104,do,1243,"['d', 'ə']","['d', '@']"
107,Opolskie,1139,"['ɔ', 'p', 'ə', 'l', 's', 'k', 'i', 'e']","['O', 'p', '@', 'l', 's', 'k', 'i', 'e']"
111,North,1074,"['n', 'ə', 'r', 'tʰ']","['n', '@', 'r', 't_h']"
114,i,1047,['i'],['i']
115,borough,1039,"['b', 'ə', 'r', 'ə', 'u', 'ɡ', 'ʔ']","['b', '@', 'r', '@', 'u', 'g', '?']"
117,Maryland,1017,"['m', 'a', 'r', 'y', 'l', 'a', 'n', 'd']","['m', 'a', 'r', 'y', 'l', 'a', 'n', 'd']"
119,Minnesota,1006,"['m', 'ĩ', 'e', 's', 'ə', 't', 'a']","['m', 'i~', 'e', 's', '@', 't', 'a']"
120,Lubelskie,1005,"['l', 'u', 'b', 'e', 'l', 's', 'k', 'i', 'e']","['l', 'u', 'b', 'e', 'l', 's', 'k', 'i', 'e']"
121,Podlaskie,1003,"['p', 'ə', 'd', 'l', 'a', 's', 'k', 'i', 'e']","['p', '@', 'd', 'l', 'a', 's', 'k', 'i', 'e']"
123,Iowa,997,"['i̯', 'o', 'w', 'a']","['i_^', 'o', 'w', 'a']"
124,koh,997,"['k', 'ə', 'ʔ']","['k', '@', '?']"
129,Kentucky,967,"['k', 'e', 'n', 't', 'u', 'c', 'k', 'y']","['k', 'e', 'n', 't', 'u', 'c', 'k', 'y']"
