i,word,freq,ipa,xsampa
1,ଓ,23450,['o'],['o']
2,ଏହି,15596,"['e', 'h', 'i']","['e', 'h', 'i']"
3,ସେ,12028,"['s', 'e']","['s', 'e']"
4,ଏକ,11263,"['e', 'k']","['e', 'k']"
5,କରିଥିଲେ,10065,"['k', 'ɔ', 'r', 'i', 'tʰ', 'i', 'l', 'e']","['k', 'O', 'r', 'i', 't_h', 'i', 'l', 'e']"
6,ଏବଂ,8505,"['e', 'b', 'ɔ', 'ŋ']","['e', 'b', 'O', 'N']"
8,ଏହା,6852,"['e', 'h', 'a']","['e', 'h', 'a']"
9,ପାଇଁ,6586,"['p', 'a', 'ĩ']","['p', 'a', 'i~']"
10,ପରେ,5009,"['p', 'ɔ', 'r', 'e']","['p', 'O', 'r', 'e']"
11,କରି,4879,"['k', 'ɔ', 'r', 'i']","['k', 'O', 'r', 'i']"
12,ହୁଏ,4817,"['h', 'u', 'e']","['h', 'u', 'e']"
13,ବା,4636,"['b', 'a']","['b', 'a']"
14,ଭାବରେ,4008,"['b̤', 'a', 'b', 'r', 'e']","['b_t', 'a', 'b', 'r', 'e']"
16,ମସିହାରେ,3812,"['m', 'ɔ', 's', 'i', 'h', 'a', 'r', 'e']","['m', 'O', 's', 'i', 'h', 'a', 'r', 'e']"
17,ଥିଲେ,3586,"['tʰ', 'i', 'l', 'e']","['t_h', 'i', 'l', 'e']"
18,ଏହାର,3549,"['e', 'h', 'a', 'r']","['e', 'h', 'a', 'r']"
19,ଜଣେ,3483,"['d͡ʒ', 'ɔ', 'ɳ', 'e']","['dZ', 'O', 'n`', 'e']"
20,କରିବା,3320,"['k', 'ɔ', 'r', 'i', 'b', 'a']","['k', 'O', 'r', 'i', 'b', 'a']"
23,ସମୟରେ,3055,"['s', 'ɔ', 'm', 'ɔ', 'j', 'ɔ', 'r', 'e']","['s', 'O', 'm', 'O', 'j', 'O', 'r', 'e']"
24,ଥିଲା,2837,"['tʰ', 'i', 'l', 'a']","['t_h', 'i', 'l', 'a']"
25,ଅଧିକ,2807,"['ɔ', 'd̤', 'i', 'k']","['O', 'd_t', 'i', 'k']"
26,କରାଯାଏ,2806,"['k', 'ɔ', 'r', 'a', 'd͡ʒ', 'a', 'e']","['k', 'O', 'r', 'a', 'dZ', 'a', 'e']"
28,ଥିବା,2694,"['tʰ', 'i', 'b', 'a']","['t_h', 'i', 'b', 'a']"
29,ଅନେକ,2677,"['ɔ', 'n', 'e', 'k']","['O', 'n', 'e', 'k']"
31,ଭାବେ,2540,"['b̤', 'a', 'b', 'e']","['b_t', 'a', 'b', 'e']"
35,ନାମ,2419,"['n', 'a', 'm']","['n', 'a', 'm']"
36,ସହ,2405,"['s', 'ɔ', 'h', 'ɔ']","['s', 'O', 'h', 'O']"
38,ରହିଛି,2294,"['r', 'ɔ', 'h', 'i', 't͡ʃʰ', 'i']","['r', 'O', 'h', 'i', 'tS_h', 'i']"
39,ଭାରତୀୟ,2250,"['b̤', 'a', 'r', 't', 'i', 'j']","['b_t', 'a', 'r', 't', 'i', 'j']"
40,ଉପରେ,2208,"['u', 'p', 'r', 'e']","['u', 'p', 'r', 'e']"
41,ଅଭିନୟ,2191,"['ɔ', 'b̤', 'i', 'n', 'ɔ', 'j', 'ɔ']","['O', 'b_t', 'i', 'n', 'O', 'j', 'O']"
42,କିଛି,2133,"['k', 'i', 't͡ʃʰ', 'i']","['k', 'i', 'tS_h', 'i']"
50,କଲେ,1854,"['k', 'ɔ', 'l', 'e']","['k', 'O', 'l', 'e']"
51,ନିଜ,1805,"['n', 'i', 'd͡ʒ']","['n', 'i', 'dZ']"
52,ନାହିଁ,1802,"['n', 'a', 'h', 'ĩ']","['n', 'a', 'h', 'i~']"
53,ସହିତ,1767,"['s', 'ɔ', 'h', 'i', 't']","['s', 'O', 'h', 'i', 't']"
54,ଯାହା,1733,"['d͡ʒ', 'a', 'h', 'a']","['dZ', 'a', 'h', 'a']"
56,ଯେ,1703,"['d͡ʒ', 'e']","['dZ', 'e']"
57,ସେହି,1702,"['s', 'e', 'h', 'i']","['s', 'e', 'h', 'i']"
59,ହେଲେ,1674,"['h', 'e', 'l', 'e']","['h', 'e', 'l', 'e']"
65,ଏହାକୁ,1590,"['e', 'h', 'a', 'k', 'u']","['e', 'h', 'a', 'k', 'u']"
67,ଅନୁସାରେ,1511,"['ɔ', 'n', 'u', 's', 'a', 'r', 'e']","['O', 'n', 'u', 's', 'a', 'r', 'e']"
68,ନ,1510,"['n', 'ɔ']","['n', 'O']"
69,ତଥା,1488,"['t', 'ɔ', 'tʰ', 'a']","['t', 'O', 't_h', 'a']"
71,ହେଲା,1455,"['h', 'e', 'l', 'a']","['h', 'e', 'l', 'a']"
72,ଦିନ,1446,"['d', 'i', 'n']","['d', 'i', 'n']"
73,କରିବାକୁ,1417,"['k', 'ɔ', 'r', 'i', 'b', 'a', 'k', 'u']","['k', 'O', 'r', 'i', 'b', 'a', 'k', 'u']"
74,ଦେଇଥିଲେ,1393,"['d', 'e', 'i', 'tʰ', 'i', 'l', 'e']","['d', 'e', 'i', 't_h', 'i', 'l', 'e']"
76,ହେବା,1362,"['h', 'e', 'b', 'a']","['h', 'e', 'b', 'a']"
78,ଆଦି,1340,"['a', 'd', 'i']","['a', 'd', 'i']"
80,ହେଉଛି,1310,"['h', 'e', 'u', 't͡ʃʰ', 'i']","['h', 'e', 'u', 'tS_h', 'i']"
81,ଜାତୀୟ,1294,"['d͡ʒ', 'a', 't', 'i', 'j']","['dZ', 'a', 't', 'i', 'j']"
82,ବେଳେ,1292,"['b', 'e', 'ɭ', 'e']","['b', 'e', 'l`', 'e']"
