i,word,freq,ipa,xsampa
0,සහ,13599,"['s', 'a', 'h', 'a']","['s', 'a', 'h', 'a']"
1,අතර,13426,"['a', 't', 'a', 'r', 'a']","['a', 't', 'a', 'r', 'a']"
2,හා,12758,"['h', 'aː']","['h', 'a:']"
3,මෙම,10460,"['m', 'e', 'm', 'a']","['m', 'e', 'm', 'a']"
4,වන,10194,"['v', 'a', 'n', 'a']","['v', 'a', 'n', 'a']"
5,ලෙස,9932,"['l', 'e', 's', 'a']","['l', 'e', 's', 'a']"
6,වූ,8288,"['v', 'uː']","['v', 'u:']"
7,ඇති,8244,"['æ', 't', 'i']","['{', 't', 'i']"
8,විය,8039,"['v', 'i', 'j', 'a']","['v', 'i', 'j', 'a']"
9,වේ,7803,"['v', 'eː']","['v', 'e:']"
10,ඇත,7744,"['æ', 't', 'a']","['{', 't', 'a']"
11,ද,7381,"['d', 'a']","['d', 'a']"
12,කරන,7009,"['k', 'a', 'r', 'a', 'n', 'a']","['k', 'a', 'r', 'a', 'n', 'a']"
13,විසින්,6783,"['v', 'i', 's', 'i', 'n']","['v', 'i', 's', 'i', 'n']"
15,එය,5751,"['e', 'j', 'a']","['e', 'j', 'a']"
16,කර,5261,"['k', 'a', 'r', 'a']","['k', 'a', 'r', 'a']"
17,දී,5207,"['d', 'iː']","['d', 'i:']"
18,හෝ,5181,"['h', 'oː']","['h', 'o:']"
19,කළ,4354,"['k', 'a', 'ɭ', 'a']","['k', 'a', 'l`', 'a']"
20,මේ,4310,"['m', 'eː']","['m', 'e:']"
21,බව,4185,"['b', 'a', 'v', 'a']","['b', 'a', 'v', 'a']"
22,යන,4117,"['j', 'a', 'n', 'a']","['j', 'a', 'n', 'a']"
23,ඔහු,4029,"['o', 'h', 'u']","['o', 'h', 'u']"
24,එම,3860,"['e', 'm', 'a']","['e', 'm', 'a']"
25,නම්,3829,"['n', 'a', 'm']","['n', 'a', 'm']"
26,කිරීම,3652,"['k', 'i', 'r', 'iː', 'm', 'a']","['k', 'i', 'r', 'i:', 'm', 'a']"
27,නිසා,3474,"['n', 'i', 's', 'aː']","['n', 'i', 's', 'a:']"
28,ඒ,3445,['eː'],['e:']
29,විට,3306,"['v', 'i', 'ʈ', 'a']","['v', 'i', 't`', 'a']"
30,එහි,3290,"['e', 'h', 'i']","['e', 'h', 'i']"
31,ලදී,3275,"['l', 'a', 'd', 'iː']","['l', 'a', 'd', 'i:']"
32,වී,3244,"['v', 'iː']","['v', 'i:']"
33,වශයෙන්,3226,"['v', 'a', 's', 'a', 'j', 'e', 'n']","['v', 'a', 's', 'a', 'j', 'e', 'n']"
34,මෙය,3161,"['m', 'e', 'j', 'a']","['m', 'e', 'j', 'a']"
35,සිදු,2965,"['s', 'i', 'd', 'u']","['s', 'i', 'd', 'u']"
36,කිරීමට,2889,"['k', 'i', 'r', 'iː', 'm', 'a', 'ʈ', 'a']","['k', 'i', 'r', 'i:', 'm', 'a', 't`', 'a']"
37,අනුව,2847,"['a', 'n', 'u', 'v', 'a']","['a', 'n', 'u', 'v', 'a']"
38,බොහෝ,2767,"['b', 'o', 'h', 'oː']","['b', 'o', 'h', 'o:']"
39,ලද,2752,"['l', 'a', 'd', 'a']","['l', 'a', 'd', 'a']"
40,හැකි,2733,"['h', 'æ', 'k', 'i']","['h', '{', 'k', 'i']"
41,මගින්,2731,"['m', 'a', 'ɡ', 'i', 'n']","['m', 'a', 'g', 'i', 'n']"
42,තුළ,2681,"['t', 'u', 'ɭ', 'a']","['t', 'u', 'l`', 'a']"
43,කරයි,2680,"['k', 'a', 'r', 'a', 'j', 'i']","['k', 'a', 'r', 'a', 'j', 'i']"
44,යනු,2610,"['j', 'a', 'n', 'u']","['j', 'a', 'n', 'u']"
45,සිට,2574,"['s', 'i', 'ʈ', 'a']","['s', 'i', 't`', 'a']"
46,ඔහුගේ,2534,"['o', 'h', 'u', 'ɡ', 'eː']","['o', 'h', 'u', 'g', 'e:']"
47,වැනි,2524,"['v', 'æ', 'n', 'i']","['v', '{', 'n', 'i']"
48,හැක,2503,"['h', 'æ', 'k', 'a']","['h', '{', 'k', 'a']"
49,භාවිතා,2502,"['b', 'aː', 'v', 'i', 't', 'aː']","['b', 'a:', 'v', 'i', 't', 'a:']"
50,නමුත්,2490,"['n', 'a', 'm', 'u', 't']","['n', 'a', 'm', 'u', 't']"
51,වල,2461,"['v', 'a', 'l', 'a']","['v', 'a', 'l', 'a']"
52,බවට,2459,"['b', 'a', 'v', 'a', 'ʈ', 'a']","['b', 'a', 'v', 'a', 't`', 'a']"
53,එක්,2384,"['e', 'k']","['e', 'k']"
55,වන්නේ,2317,"['v', 'a', 'n', 'n', 'eː']","['v', 'a', 'n', 'n', 'e:']"
56,ලබා,2236,"['l', 'a', 'b', 'aː']","['l', 'a', 'b', 'a:']"
