i,word,freq,ipa,xsampa
0,oo,63550,['ɔː'],['O:']
1,ka,60181,"['k', 'æ']","['k', '{']"
2,ku,51457,"['k', 'u']","['k', 'u']"
3,ay,49279,"['æ', 'j']","['{', 'j']"
4,iyo,36326,"['i', 'j', 'ɔ']","['i', 'j', 'O']"
5,in,35372,"['i', 'n']","['i', 'n']"
6,u,35249,['u'],['u']
7,ah,33897,"['æ', 'h']","['{', 'h']"
8,ayaa,32039,"['æ', 'j', 'æː']","['{', 'j', '{:']"
9,ee,30531,['eː'],['e:']
10,la,28524,"['l', 'æ']","['l', '{']"
11,uu,26096,['uː'],['u:']
12,soo,23900,"['s', 'ɔː']","['s', 'O:']"
13,lagu,13420,"['l', 'æ', 'ɡ', 'u']","['l', '{', 'g', 'u']"
14,kale,11827,"['k', 'æ', 'l', 'e']","['k', '{', 'l', 'e']"
15,sheegay,11716,"['ʃ', 'eː', 'ɡ', 'æ', 'j']","['S', 'e:', 'g', '{', 'j']"
16,inay,11422,"['i', 'n', 'æ', 'j']","['i', 'n', '{', 'j']"
17,mid,11383,"['m', 'i', 'd']","['m', 'i', 'd']"
18,aan,11042,"['æː', 'n']","['{:', 'n']"
19,ugu,10877,"['u', 'ɡ', 'u']","['u', 'g', 'u']"
20,waxa,9078,"['w', 'æ', 'ħ', 'æ']","['w', '{', 'X\\', '{']"
21,loo,8800,"['l', 'ɔː']","['l', 'O:']"
22,waxay,8711,"['w', 'æ', 'ħ', 'æ', 'j']","['w', '{', 'X\\', '{', 'j']"
23,waxaa,8604,"['w', 'æ', 'ħ', 'æː']","['w', '{', 'X\\', '{:']"
24,waa,8602,"['w', 'æː']","['w', '{:']"
25,laga,8050,"['l', 'æ', 'ɡ', 'æ']","['l', '{', 'g', '{']"
26,wax,7846,"['w', 'æ', 'ħ']","['w', '{', 'X\\']"
27,si,7670,"['s', 'i']","['s', 'i']"
28,Somalia,7353,"['s', 'ɔ', 'm', 'æ', 'l', 'i', 'æ']","['s', 'O', 'm', '{', 'l', 'i', '{']"
29,badan,6958,"['b', 'æ', 'd', 'æ', 'n']","['b', '{', 'd', '{', 'n']"
30,dalka,6612,"['d', 'æ', 'l', 'k', 'æ']","['d', '{', 'l', 'k', '{']"
31,kala,6291,"['k', 'æ', 'l', 'æ']","['k', '{', 'l', '{']"
32,wuxuu,5959,"['w', 'u', 'ħ', 'uː']","['w', 'u', 'X\\', 'u:']"
33,ayuu,5948,"['æ', 'j', 'uː']","['{', 'j', 'u:']"
34,Muqdisho,5775,"['m', 'u', 'q', 'd', 'i', 'ʃ', 'ɔ']","['m', 'u', 'q', 'd', 'i', 'S', 'O']"
35,inuu,5740,"['i', 'n', 'uː']","['i', 'n', 'u:']"
36,aad,5645,"['æː', 'd']","['{:', 'd']"
37,yahay,5599,"['j', 'æ', 'h', 'æ', 'j']","['j', '{', 'h', '{', 'j']"
38,tahay,5484,"['t', 'æ', 'h', 'æ', 'j']","['t', '{', 'h', '{', 'j']"
39,iyadoo,5267,"['i', 'j', 'æ', 'd', 'ɔː']","['i', 'j', '{', 'd', 'O:']"
40,markii,5244,"['m', 'æ', 'r', 'k', 'iː']","['m', '{', 'r', 'k', 'i:']"
41,ahaa,5029,"['æ', 'h', 'æː']","['{', 'h', '{:']"
42,dadka,4900,"['d', 'æ', 'd', 'k', 'æ']","['d', '{', 'd', 'k', '{']"
43,ma,4819,"['m', 'æ']","['m', '{']"
44,uga,4725,"['u', 'ɡ', 'æ']","['u', 'g', '{']"
45,yihiin,4655,"['j', 'i', 'h', 'iː', 'n']","['j', 'i', 'h', 'i:', 'n']"
46,Somaliland,4470,"['s', 'ɔ', 'm', 'æ', 'l', 'i', 'l', 'æ', 'n', 'd']","['s', 'O', 'm', '{', 'l', 'i', 'l', '{', 'n', 'd']"
47,sida,4366,"['s', 'i', 'd', 'æ']","['s', 'i', 'd', '{']"
48,ciidamada,4211,"['ʕ', 'iː', 'd', 'æ', 'm', 'æ', 'd', 'æ']","['?\\', 'i:', 'd', '{', 'm', '{', 'd', '{']"
49,magaalada,4206,"['m', 'æ', 'ɡ', 'æː', 'l', 'æ', 'd', 'æ']","['m', '{', 'g', '{:', 'l', '{', 'd', '{']"
50,isku,4081,"['i', 's', 'k', 'u']","['i', 's', 'k', 'u']"
51,waxaana,4051,"['w', 'æ', 'ħ', 'æː', 'n', 'æ']","['w', '{', 'X\\', '{:', 'n', '{']"
52,yiri,3789,"['j', 'i', 'r', 'i']","['j', 'i', 'r', 'i']"
53,hore,3731,"['h', 'ɔ', 'r', 'e']","['h', 'O', 'r', 'e']"
55,tirsan,3557,"['t', 'i', 'r', 's', 'æ', 'n']","['t', 'i', 'r', 's', '{', 'n']"
56,dib,3263,"['d', 'i', 'b']","['d', 'i', 'b']"
57,maanta,3218,"['m', 'æː', 'n', 't', 'æ']","['m', '{:', 'n', 't', '{']"
58,sii,3064,"['s', 'iː']","['s', 'i:']"
59,dhacay,2935,"['ɖ', 'æ', 'ʕ', 'æ', 'j']","['d`', '{', '?\\', '{', 'j']"
60,DF,2870,"['d', 'f']","['d', 'f']"
61,leh,2867,"['l', 'e', 'h']","['l', 'e', 'h']"
62,Sh,2838,['ʃ'],['S']
63,ama,2830,"['æ', 'm', 'æ']","['{', 'm', '{']"
64,Soomaaliya,2697,"['s', 'ɔː', 'm', 'æː', 'l', 'i', 'j', 'æ']","['s', 'O:', 'm', '{:', 'l', 'i', 'j', '{']"
65,wada,2688,"['w', 'æ', 'd', 'æ']","['w', '{', 'd', '{']"
66,waxaan,2651,"['w', 'æ', 'ħ', 'æː', 'n']","['w', '{', 'X\\', '{:', 'n']"
67,ahaan,2597,"['æ', 'h', 'æː', 'n']","['{', 'h', '{:', 'n']"
68,isagoo,2597,"['i', 's', 'æ', 'ɡ', 'ɔː']","['i', 's', '{', 'g', 'O:']"
69,kuwa,2559,"['k', 'u', 'w', 'æ']","['k', 'u', 'w', '{']"
70,dad,2557,"['d', 'æ', 'd']","['d', '{', 'd']"
71,isla,2545,"['i', 's', 'l', 'æ']","['i', 's', 'l', '{']"
72,looga,2478,"['l', 'ɔː', 'ɡ', 'æ']","['l', 'O:', 'g', '{']"
73,hadlay,2461,"['h', 'æ', 'd', 'l', 'æ', 'j']","['h', '{', 'd', 'l', '{', 'j']"
74,Waxa,2455,"['w', 'æ', 'ħ', 'æ']","['w', '{', 'X\\', '{']"
75,Ethiopia,2433,"['e', 't', 'h', 'i', 'ɔ', 'p', 'i', 'æ']","['e', 't', 'h', 'i', 'O', 'p', 'i', '{']"
76,balse,2431,"['b', 'æ', 'l', 's', 'e']","['b', '{', 'l', 's', 'e']"
77,qof,2412,"['q', 'ɔ', 'f']","['q', 'O', 'f']"
78,kaga,2409,"['k', 'æ', 'ɡ', 'æ']","['k', '{', 'g', '{']"
79,lahaa,2404,"['l', 'æ', 'h', 'æː']","['l', '{', 'h', '{:']"
80,weyn,2383,"['w', 'e', 'j', 'n']","['w', 'e', 'j', 'n']"
81,iska,2353,"['i', 's', 'k', 'æ']","['i', 's', 'k', '{']"
82,Madaxweynaha,2339,"['m', 'æ', 'd', 'æ', 'ħ', 'w', 'e', 'j', 'n', 'æ', 'h', 'æ']","['m', '{', 'd', '{', 'X\\', 'w', 'e', 'j', 'n', '{', 'h', '{']"
83,sugan,2334,"['s', 'u', 'ɡ', 'æ', 'n']","['s', 'u', 'g', '{', 'n']"
84,sidii,2321,"['s', 'i', 'd', 'iː']","['s', 'i', 'd', 'i:']"
85,loogu,2278,"['l', 'ɔː', 'ɡ', 'u']","['l', 'O:', 'g', 'u']"
86,inta,2266,"['i', 'n', 't', 'æ']","['i', 'n', 't', '{']"
87,isaga,2195,"['i', 's', 'æ', 'ɡ', 'æ']","['i', 's', '{', 'g', '{']"
