i,word,freq,ipa,xsampa
0,ya,90422,"['j', 'a']","['j', 'a']"
1,na,77514,"['n', 'a']","['n', 'a']"
2,wa,68716,"['w', 'a']","['w', 'a']"
3,kwa,33239,"['k', 'w', 'a']","['k', 'w', 'a']"
4,katika,27080,"['k', 'a', 't', 'i', 'k', 'a']","['k', 'a', 't', 'i', 'k', 'a']"
5,la,17673,"['l', 'a']","['l', 'a']"
6,za,16087,"['z', 'a']","['z', 'a']"
7,ni,15555,"['n', 'i']","['n', 'i']"
8,kuwa,11843,"['k', 'u', 'w', 'a']","['k', 'u', 'w', 'a']"
9,kama,9949,"['k', 'a', 'm', 'a']","['k', 'a', 'm', 'a']"
11,mwaka,9115,"['m', 'w', 'a', 'k', 'a']","['m', 'w', 'a', 'k', 'a']"
12,watu,8201,"['w', 'a', 't', 'u']","['w', 'a', 't', 'u']"
13,zaidi,7906,"['z', 'a', 'i', 'd', 'i']","['z', 'a', 'i', 'd', 'i']"
14,yake,7001,"['j', 'a', 'k', 'e']","['j', 'a', 'k', 'e']"
15,lugha,6038,"['l', 'u', 'ɣ', 'a']","['l', 'u', 'G', 'a']"
16,au,5726,"['a', 'u']","['a', 'u']"
17,kundi,5254,"['k', 'u', 'n', 'd', 'i']","['k', 'u', 'n', 'd', 'i']"
18,ndani,5179,"['n', 'd', 'a', 'n', 'i']","['n', 'd', 'a', 'n', 'i']"
19,Mwaka,5175,"['m', 'w', 'a', 'k', 'a']","['m', 'w', 'a', 'k', 'a']"
20,idadi,4902,"['i', 'd', 'a', 'd', 'i']","['i', 'd', 'a', 'd', 'i']"
22,Kwa,4745,"['k', 'w', 'a']","['k', 'w', 'a']"
23,vya,4666,"['v', 'j', 'a']","['v', 'j', 'a']"
24,pia,4663,"['p', 'i', 'a']","['p', 'i', 'a']"
25,kwenye,4644,"['k', 'w', 'e', 'ɲ', 'e']","['k', 'w', 'e', 'J', 'e']"
26,iko,4511,"['i', 'k', 'o']","['i', 'k', 'o']"
27,ilikuwa,4227,"['i', 'l', 'i', 'k', 'u', 'w', 'a']","['i', 'l', 'i', 'k', 'u', 'w', 'a']"
28,Kufuatana,4073,"['k', 'u', 'f', 'u', 'a', 't', 'a', 'n', 'a']","['k', 'u', 'f', 'u', 'a', 't', 'a', 'n', 'a']"
30,kutoka,4029,"['k', 'u', 't', 'o', 'k', 'a']","['k', 'u', 't', 'o', 'k', 'a']"
31,imehesabiwa,3988,"['i', 'm', 'e', 'h', 'e', 's', 'a', 'b', 'i', 'w', 'a']","['i', 'm', 'e', 'h', 'e', 's', 'a', 'b', 'i', 'w', 'a']"
32,wake,3970,"['w', 'a', 'k', 'e']","['w', 'a', 'k', 'e']"
33,hii,3760,"['h', 'i', 'i']","['h', 'i', 'i']"
34,wakati,3756,"['w', 'a', 'k', 'a', 't', 'i']","['w', 'a', 'k', 'a', 't', 'i']"
35,wakazi,3663,"['w', 'a', 'k', 'a', 'z', 'i']","['w', 'a', 'k', 'a', 'z', 'i']"
36,mara,3593,"['m', 'a', 'ɾ', 'a']","['m', 'a', '4', 'a']"
37,kwanza,3482,"['k', 'w', 'a', 'n', 'z', 'a']","['k', 'w', 'a', 'n', 'z', 'a']"
38,lakini,3411,"['l', 'a', 'k', 'i', 'n', 'i']","['l', 'a', 'k', 'i', 'n', 'i']"
39,sana,3316,"['s', 'a', 'n', 'a']","['s', 'a', 'n', 'a']"
41,sensa,3073,"['s', 'e', 'n', 's', 'a']","['s', 'e', 'n', 's', 'a']"
42,miaka,3050,"['m', 'i', 'a', 'k', 'a']","['m', 'i', 'a', 'k', 'a']"
43,nyingi,3039,"['ɲ', 'i', 'n', 'ɡ', 'i']","['J', 'i', 'n', 'g', 'i']"
44,kazi,2964,"['k', 'a', 'z', 'i']","['k', 'a', 'z', 'i']"
46,kwamba,2923,"['k', 'w', 'a', 'm', 'b', 'a']","['k', 'w', 'a', 'm', 'b', 'a']"
48,Katika,2840,"['k', 'a', 't', 'i', 'k', 'a']","['k', 'a', 't', 'i', 'k', 'a']"
49,hiyo,2833,"['h', 'i', 'j', 'o']","['h', 'i', 'j', 'o']"
50,hadi,2824,"['h', 'a', 'd', 'i']","['h', 'a', 'd', 'i']"
51,kati,2821,"['k', 'a', 't', 'i']","['k', 'a', 't', 'i']"
53,huu,2694,"['h', 'u', 'u']","['h', 'u', 'u']"
54,hivyo,2684,"['h', 'i', 'v', 'j', 'o']","['h', 'i', 'v', 'j', 'o']"
55,tu,2653,"['t', 'u']","['t', 'u']"
56,ambayo,2611,"['a', 'm', 'b', 'a', 'j', 'o']","['a', 'm', 'b', 'a', 'j', 'o']"
58,wapatao,2566,"['w', 'a', 'p', 'a', 't', 'a', 'o']","['w', 'a', 'p', 'a', 't', 'a', 'o']"
60,iliyofanyika,2499,"['i', 'l', 'i', 'j', 'o', 'f', 'a', 'ɲ', 'i', 'k', 'a']","['i', 'l', 'i', 'j', 'o', 'f', 'a', 'J', 'i', 'k', 'a']"
61,sehemu,2408,"['s', 'e', 'h', 'e', 'm', 'u']","['s', 'e', 'h', 'e', 'm', 'u']"
62,mnamo,2355,"['m', 'n', 'a', 'm', 'o']","['m', 'n', 'a', 'm', 'o']"
63,baada,2353,"['b', 'a', 'a', 'd', 'a']","['b', 'a', 'a', 'd', 'a']"
64,alikuwa,2317,"['a', 'l', 'i', 'k', 'u', 'w', 'a']","['a', 'l', 'i', 'k', 'u', 'w', 'a']"
65,sababu,2260,"['s', 'a', 'b', 'a', 'b', 'u']","['s', 'a', 'b', 'a', 'b', 'u']"
66,kawaida,2235,"['k', 'a', 'w', 'a', 'i', 'd', 'a']","['k', 'a', 'w', 'a', 'i', 'd', 'a']"
67,Wakati,2232,"['w', 'a', 'k', 'a', 't', 'i']","['w', 'a', 'k', 'a', 't', 'i']"
68,yao,2127,"['j', 'a', 'o']","['j', 'a', 'o']"
70,kubwa,2073,"['k', 'u', 'b', 'w', 'a']","['k', 'u', 'b', 'w', 'a']"
72,kila,2009,"['k', 'i', 'l', 'a']","['k', 'i', 'l', 'a']"
73,kata,1963,"['k', 'a', 't', 'a']","['k', 'a', 't', 'a']"
74,humo,1942,"['h', 'u', 'm', 'o']","['h', 'u', 'm', 'o']"
75,ili,1932,"['i', 'l', 'i']","['i', 'l', 'i']"
76,huo,1910,"['h', 'u', 'o']","['h', 'u', 'o']"
77,mbalimbali,1823,"['m', 'b', 'a', 'l', 'i', 'm', 'b', 'a', 'l', 'i']","['m', 'b', 'a', 'l', 'i', 'm', 'b', 'a', 'l', 'i']"
78,ambao,1813,"['a', 'm', 'b', 'a', 'o']","['a', 'm', 'b', 'a', 'o']"
79,kuna,1784,"['k', 'u', 'n', 'a']","['k', 'u', 'n', 'a']"
80,wengi,1761,"['w', 'e', 'n', 'ɡ', 'i']","['w', 'e', 'n', 'g', 'i']"
81,muda,1749,"['m', 'u', 'd', 'a']","['m', 'u', 'd', 'a']"
82,hali,1699,"['h', 'a', 'l', 'i']","['h', 'a', 'l', 'i']"
84,siku,1687,"['s', 'i', 'k', 'u']","['s', 'i', 'k', 'u']"
85,mtu,1641,"['m', 't', 'u']","['m', 't', 'u']"
87,aina,1620,"['a', 'i', 'n', 'a']","['a', 'i', 'n', 'a']"
88,hasa,1609,"['h', 'a', 's', 'a']","['h', 'a', 's', 'a']"
89,tofauti,1573,"['t', 'o', 'f', 'a', 'u', 't', 'i']","['t', 'o', 'f', 'a', 'u', 't', 'i']"
90,vile,1550,"['v', 'i', 'l', 'e']","['v', 'i', 'l', 'e']"
91,eneo,1518,"['e', 'n', 'e', 'o']","['e', 'n', 'e', 'o']"
93,huwa,1484,"['h', 'u', 'w', 'a']","['h', 'u', 'w', 'a']"
94,mbili,1476,"['m', 'b', 'i', 'l', 'i']","['m', 'b', 'i', 'l', 'i']"
