i,word,freq,ipa,xsampa
0,ва,50636,"['v', 'æ']","['v', '{']"
1,дар,45670,"['d', 'æ', 'r']","['d', '{', 'r']"
2,ба,39576,"['b', 'æ']","['b', '{']"
3,аз,30504,"['æ', 'z']","['{', 'z']"
4,ки,19305,"['k', 'i']","['k', 'i']"
5,Дар,13578,"['d', 'æ', 'r']","['d', '{', 'r']"
6,бо,13576,"['b', 'ɔ']","['b', 'O']"
7,аст,10491,"['æ', 's', 't']","['{', 's', 't']"
8,ин,9818,"['i', 'n']","['i', 'n']"
9,он,9371,"['ɔ', 'n']","['O', 'n']"
10,соли,9292,"['s', 'ɔ', 'l', 'i']","['s', 'O', 'l', 'i']"
11,то,9157,"['t', 'ɔ']","['t', 'O']"
12,Аз,6827,"['æ', 'z']","['{', 'z']"
13,барои,5903,"['b', 'æ', 'r', 'ɔ', 'i']","['b', '{', 'r', 'O', 'i']"
14,буд,5822,"['b', 'u', 'd']","['b', 'u', 'd']"
15,маркази,5282,"['m', 'æ', 'r', 'k', 'æ', 'z', 'i']","['m', '{', 'r', 'k', '{', 'z', 'i']"
17,карда,4960,"['k', 'æ', 'r', 'd', 'æ']","['k', '{', 'r', 'd', '{']"
18,шуд,4955,"['ʃ', 'u', 'd']","['S', 'u', 'd']"
19,км,4936,"['k', 'm']","['k', 'm']"
20,мешавад,4599,"['m', 'e', 'ʃ', 'æ', 'v', 'æ', 'd']","['m', 'e', 'S', '{', 'v', '{', 'd']"
21,Тоҷикистон,4333,"['t', 'ɔ', 'd͡ʒ', 'i', 'k', 'i', 's', 't', 'ɔ', 'n']","['t', 'O', 'dZ', 'i', 'k', 'i', 's', 't', 'O', 'n']"
23,шудааст,4309,"['ʃ', 'u', 'd', 'æ', 'æ', 's', 't']","['S', 'u', 'd', '{', '{', 's', 't']"
24,мебошад,4183,"['m', 'e', 'b', 'ɔ', 'ʃ', 'æ', 'd']","['m', 'e', 'b', 'O', 'S', '{', 'd']"
25,дорад,3924,"['d', 'ɔ', 'r', 'æ', 'd']","['d', 'O', 'r', '{', 'd']"
26,низ,3480,"['n', 'i', 'z']","['n', 'i', 'z']"
28,онҳо,3289,"['ɔ', 'n', 'h', 'ɔ']","['O', 'n', 'h', 'O']"
29,кард,3151,"['k', 'æ', 'r', 'd']","['k', '{', 'r', 'd']"
30,мекунад,3065,"['m', 'e', 'k', 'u', 'n', 'æ', 'd']","['m', 'e', 'k', 'u', 'n', '{', 'd']"
31,Ин,2990,"['i', 'n']","['i', 'n']"
32,номи,2872,"['n', 'ɔ', 'm', 'i']","['n', 'O', 'm', 'i']"
33,худ,2826,"['χ', 'u', 'd']","['X', 'u', 'd']"
34,кардааст,2801,"['k', 'æ', 'r', 'd', 'æ', 'æ', 's', 't']","['k', '{', 'r', 'd', '{', '{', 's', 't']"
35,Соли,2746,"['s', 'ɔ', 'l', 'i']","['s', 'O', 'l', 'i']"
37,буда,2522,"['b', 'u', 'd', 'æ']","['b', 'u', 'd', '{']"
38,шуда,2498,"['ʃ', 'u', 'd', 'æ']","['S', 'u', 'd', '{']"
39,дигар,2437,"['d', 'i', 'ɡ', 'æ', 'r']","['d', 'i', 'g', '{', 'r']"
40,мекунанд,2396,"['m', 'e', 'k', 'u', 'n', 'æ', 'n', 'd']","['m', 'e', 'k', 'u', 'n', '{', 'n', 'd']"
41,нафар,2375,"['n', 'æ', 'f', 'æ', 'r']","['n', '{', 'f', '{', 'r']"
42,ду,2191,"['d', 'u']","['d', 'u']"
43,Ба,2178,"['b', 'æ']","['b', '{']"
44,истифода,2148,"['i', 's', 't', 'i', 'f', 'ɔ', 'd', 'æ']","['i', 's', 't', 'i', 'f', 'O', 'd', '{']"
45,ҳам,2115,"['h', 'æ', 'm']","['h', '{', 'm']"
46,ҷамоат,2060,"['d͡ʒ', 'æ', 'm', 'ɔ', 'æ', 't']","['dZ', '{', 'm', 'O', '{', 't']"
47,мешаванд,2000,"['m', 'e', 'ʃ', 'æ', 'v', 'æ', 'n', 'd']","['m', 'e', 'S', '{', 'v', '{', 'n', 'd']"
48,кор,1987,"['k', 'ɔ', 'r']","['k', 'O', 'r']"
49,шаҳри,1933,"['ʃ', 'æ', 'h', 'r', 'i']","['S', '{', 'h', 'r', 'i']"
50,онро,1930,"['ɔ', 'n', 'r', 'ɔ']","['O', 'n', 'r', 'O']"
51,худро,1885,"['χ', 'u', 'd', 'r', 'ɔ']","['X', 'u', 'd', 'r', 'O']"
