i,word,freq,ipa,xsampa
0,น,40193,"['n', 'a', 'ʔ']","['n', 'a', '?']"
2,เมษายน,17653,"['m', 'eː', 's', 'aː', 'j', 'o', 'n']","['m', 'e:', 's', 'a:', 'j', 'o', 'n']"
5,มีนาคม,6264,"['m', 'iː', 'n', 'aː', 'kʰ', 'o', 'm']","['m', 'i:', 'n', 'a:', 'k_h', 'o', 'm']"
6,พฤษภาคม,5999,"['pʰ', 'r', 'ʉ', 's', 'a', 'pʰ', 'aː', 'kʰ', 'o', 'm']","['p_h', 'r', '}', 's', 'a', 'p_h', 'a:', 'k_h', 'o', 'm']"
7,พบ,5120,"['pʰ', 'o', 'b']","['p_h', 'o', 'b']"
8,รายการ,5098,"['r', 'aː', 'j', 'k', 'aː', 'n']","['r', 'a:', 'j', 'k', 'a:', 'n']"
15,มกราคม,4056,"['m', 'o', 'k', 'r', 'aː', 'kʰ', 'o', 'm']","['m', 'o', 'k', 'r', 'a:', 'k_h', 'o', 'm']"
16,พล,3906,"['pʰ', 'o', 'n']","['p_h', 'o', 'n']"
19,ธันวาคม,3301,"['tʰ', 'a', 'n', 'w', 'aː', 'kʰ', 'o', 'm']","['t_h', 'a', 'n', 'w', 'a:', 'k_h', 'o', 'm']"
21,พฤศจิกายน,2954,"['pʰ', 'r', 'ʉ', 's', 'a', 't͡ɕ', 'i', 'k', 'aː', 'j', 'o', 'n']","['p_h', 'r', '}', 's', 'a', 'ts\\', 'i', 'k', 'a:', 'j', 'o', 'n']"
24,ปี,2912,"['p', 'iː']","['p', 'i:']"
27,เม,2728,"['m', 'eː']","['m', 'e:']"
28,และ,2667,"['l', 'ɛ', 'ʔ']","['l', 'E', '?']"
29,ตุลาคม,2598,"['t', 'u', 'l', 'aː', 'kʰ', 'o', 'm']","['t', 'u', 'l', 'a:', 'k_h', 'o', 'm']"
30,คน,2515,"['kʰ', 'o', 'n']","['k_h', 'o', 'n']"
31,มี,2472,"['m', 'iː']","['m', 'i:']"
32,กันยายน,2460,"['k', 'a', 'n', 'j', 'aː', 'j', 'o', 'n']","['k', 'a', 'n', 'j', 'a:', 'j', 'o', 'n']"
34,l,2416,['l'],['l']
37,ย,2176,"['j', 'a', 'ʔ']","['j', 'a', '?']"
38,รมว,2075,"['r', 'a', 'm', 'o', 'w']","['r', 'a', 'm', 'o', 'w']"
39,ครม,2064,"['kʰ', 'r', 'o', 'm']","['k_h', 'r', 'o', 'm']"
40,กรกฎาคม,1983,"['k', 'o', 'n', 'k', 'a', 'd', 'aː', 'kʰ', 'o', 'm']","['k', 'o', 'n', 'k', 'a', 'd', 'a:', 'k_h', 'o', 'm']"
42,สิงหาคม,1926,"['s', 'i', 'ŋ', 'h', 'aː', 'kʰ', 'o', 'm']","['s', 'i', 'N', 'h', 'a:', 'k_h', 'o', 'm']"
43,มิถุนายน,1851,"['m', 'i', 'tʰ', 'u', 'n', 'aː', 'j', 'o', 'n']","['m', 'i', 't_h', 'u', 'n', 'a:', 'j', 'o', 'n']"
44,โดย,1817,"['d', 'oː', 'j']","['d', 'o:', 'j']"
46,จำกัด,1576,"['t͡ɕ', 'a', 'm', 'k', 'a', 't']","['ts\\', 'a', 'm', 'k', 'a', 't']"
47,บาท,1550,"['b', 'aː', 't']","['b', 'a:', 't']"
48,ผบ,1549,"['pʰ', 'o', 'b']","['p_h', 'o', 'b']"
49,เวลา,1507,"['w', 'eː', 'l', 'aː']","['w', 'e:', 'l', 'a:']"
50,บริษัท,1475,"['b', 'a', 'r', 'i', 's', 'a', 't']","['b', 'a', 'r', 'i', 's', 'a', 't']"
51,ใน,1387,"['n', 'a', 'j']","['n', 'a', 'j']"
53,วัน,1308,"['w', 'a', 'n']","['w', 'a', 'n']"
58,กทม,1246,"['k', 'a', 'tʰ', 'o', 'm']","['k', 'a', 't_h', 'o', 'm']"
59,จุด,1233,"['t͡ɕ', 'u', 't']","['ts\\', 'u', 't']"
60,มหาชน,1212,"['m', 'a', 'h', 'aː', 't͡ɕʰ', 'o', 'n']","['m', 'a', 'h', 'a:', 'ts\\_h', 'o', 'n']"
61,ค,1197,"['kʰ', 'a', 'ʔ']","['k_h', 'a', '?']"
63,นปช,1178,"['n', 'a', 'p', 'o', 't']","['n', 'a', 'p', 'o', 't']"
65,หรือ,1151,"['h', 'a', 'r', 'ɯː', 'ɔː']","['h', 'a', 'r', 'M:', 'O:']"
71,กกต,1053,"['k', 'a', 'k', 'o', 't']","['k', 'a', 'k', 'o', 't']"
76,ตร,1038,"['t', 'o', 'n']","['t', 'o', 'n']"
77,ราย,1034,"['r', 'aː', 'j']","['r', 'a:', 'j']"
79,บีอีซี,991,"['b', 'iː', 'ʔ', 'iː', 's', 'iː']","['b', 'i:', '?', 'i:', 's', 'i:']"
83,ของ,970,"['kʰ', 'ɔː', 'ŋ']","['k_h', 'O:', 'N']"
84,กับ,952,"['k', 'a', 'b']","['k', 'a', 'b']"
86,ปชป,935,"['p', 'a', 't͡ɕʰ', 'o', 'p']","['p', 'a', 'ts\\_h', 'o', 'p']"
87,เผย,917,"['pʰ', 'eː', 'j']","['p_h', 'e:', 'j']"
89,ณ,897,"['n', 'a', 'ʔ']","['n', 'a', '?']"
91,เดือน,870,"['d', 'ɯː', 'a̯', 'n']","['d', 'M:', 'a_^', 'n']"
92,s,863,['s'],['s']
94,ธปท,829,"['tʰ', 'a', 'p', 'o', 't']","['t_h', 'a', 'p', 'o', 't']"
95,มิ,823,"['m', 'i', 'ʔ']","['m', 'i', '?']"
96,newspaper,816,"['n', 'e', 'w', 's', 'p', 'a', 'p', 'e', 'r']","['n', 'e', 'w', 's', 'p', 'a', 'p', 'e', 'r']"
99,ผอ,776,"['pʰ', 'ɔː']","['p_h', 'O:']"
100,การ,775,"['k', 'aː', 'n']","['k', 'a:', 'n']"
101,สุเทพ,770,"['s', 'u', 'tʰ', 'eː', 'p']","['s', 'u', 't_h', 'e:', 'p']"
104,รพ,757,"['r', 'o', 'p']","['r', 'o', 'p']"
106,มา,725,"['m', 'aː']","['m', 'a:']"
107,นาย,707,"['n', 'aː', 'j']","['n', 'a:', 'j']"
109,สธ,689,"['s', 'o', 't']","['s', 'o', 't']"
111,จาก,682,"['t͡ɕ', 'aː', 'k']","['ts\\', 'a:', 'k']"
114,ดร,671,"['d', 'o', 'n']","['d', 'o', 'n']"
116,ไป,666,"['p', 'a', 'j']","['p', 'a', 'j']"
117,โทร,659,"['tʰ', 'oː', 'n']","['t_h', 'o:', 'n']"
118,จะ,655,"['t͡ɕ', 'a', 'ʔ']","['ts\\', 'a', '?']"
119,คือ,653,"['kʰ', 'ɯː', 'ɔː']","['k_h', 'M:', 'O:']"
120,นายกรัฐมนตรี,641,"['n', 'aː', 'j', 'k', 'r', 'a', 't', 'm', 'a', 'n', 'o', 't', 'r', 'iː']","['n', 'a:', 'j', 'k', 'r', 'a', 't', 'm', 'a', 'n', 'o', 't', 'r', 'i:']"
124,ทักษิณ,625,"['tʰ', 'a', 'k', 's', 'i', 'n']","['t_h', 'a', 'k', 's', 'i', 'n']"
