i,word,freq,ipa,xsampa
211,of,792,"['o', 'f']","['o', 'f']"
544,The,324,"['tʰ', 'e̞']","['t_h', 'e_o']"
586,the,305,"['tʰ', 'e̞']","['t_h', 'e_o']"
800,PP,231,"['p', 'p']","['p', 'p']"
1151,John,166,"['t͡ɕ', 'o', 'h', 'n']","['ts\\', 'o', 'h', 'n']"
1826,H,106,['h'],['h']
1875,II,103,"['i', 'i']","['i', 'i']"
1936,I,99,['i'],['i']
2126,San,89,"['s', 'ã']","['s', 'a~']"
2227,Sir,85,"['s', 'i', 'z̩']","['s', 'i', 'z=']"
2300,MRT,82,"['m', 'z̩', 't']","['m', 'z=', 't']"
2324,O,81,['o'],['o']
2722,X,68,['ɕ'],['s\\']
2752,New,67,"['n', 'e̞', 'w']","['n', 'e_o', 'w']"
2825,Henry,65,"['h', 'ə', 'ɲ', 'z̩', 'y']","['h', '@', 'J', 'z=', 'y']"
2866,in,64,"['ɪ', 'ɲ']","['I', 'J']"
2955,Joseph,62,"['t͡ɕ', 'o', 's', 'e̞', 'pʰ']","['ts\\', 'o', 's', 'e_o', 'p_h']"
2956,for,62,"['f', 'o', 'z̩']","['f', 'o', 'z=']"
3083,Metro,59,"['m', 'e̞', 't', 'z̩', 'o']","['m', 'e_o', 't', 'z=', 'o']"
3192,III,57,"['i', 'i', 'i']","['i', 'i', 'i']"
3241,Jr,56,"['t͡ɕ', 'z̩']","['ts\\', 'z=']"
3242,Microsoft,56,"['m', 'i', 'c', 'z̩', 'o', 's', 'o', 'f', 't']","['m', 'i', 'c', 'z=', 'o', 's', 'o', 'f', 't']"
3243,S,56,['s'],['s']
3288,Line,55,"['l', 'ɪ', 'ɲ', 'e̞']","['l', 'I', 'J', 'e_o']"
3344,Paul,54,"['p', 'ɔ', 'l']","['p', 'O', 'l']"
3345,les,54,"['l', 'e̞', 's']","['l', 'e_o', 's']"
3346,n,54,['n'],['n']
3347,y,54,['y'],['y']
3628,PHP,49,"['pʰ', 'p']","['p_h', 'p']"
3690,Jeux,48,"['t͡ɕ', 'ɜ', 'ɕ']","['ts\\', '3', 's\\']"
3762,Peter,47,"['p', 'e̞', 't', 'ə', 'ɻ']","['p', 'e_o', 't', '@', 'r\\`']"
4135,ISO,42,"['i', 's', 'o']","['i', 's', 'o']"
4301,J,40,['t͡ɕ'],['ts\\']
